"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","6,51","6,56","6,56","6,38","60,96K","0,15%"
"11/11/2022","6,50","6,19","6,50","6,05","1,41M","4,84%"
"10/11/2022","6,20","6,55","6,63","6,20","171,97K","-4,47%"
"09/11/2022","6,49","6,79","6,79","6,49","70,26K","-2,41%"
"08/11/2022","6,65","6,88","6,88","6,65","116,94K","-1,48%"
"07/11/2022","6,75","6,96","6,96","6,75","56,19K","-1,46%"
"04/11/2022","6,85","6,86","6,96","6,85","15,72K","-0,44%"
"03/11/2022","6,88","6,98","6,98","6,86","31,01K","-0,29%"
"02/11/2022","6,90","6,95","6,95","6,88","15,73K","0,29%"
"01/11/2022","6,88","6,88","7,00","6,88","7,89K","0,29%"
"31/10/2022","6,86","7,05","7,07","6,86","84,40K","-2,00%"
"28/10/2022","7,00","7,10","7,10","6,99","130,98K","0,86%"
"27/10/2022","6,94","7,03","7,03","6,93","23,97K","-0,57%"
"26/10/2022","6,98","6,90","7,07","6,90","24,08K","-0,29%"
"25/10/2022","7,00","6,80","7,09","6,80","117,69K","1,16%"
"24/10/2022","6,92","6,96","7,03","6,91","59,73K","-1,56%"
"21/10/2022","7,03","7,13","7,13","6,90","61,39K","2,48%"
"20/10/2022","6,86","7,38","7,40","6,86","327,11K","-5,90%"
"19/10/2022","7,29","7,56","7,56","7,28","88,94K","-0,95%"
"18/10/2022","7,36","7,40","7,50","7,36","76,51K","-0,67%"
"17/10/2022","7,41","7,58","7,58","7,41","326,73K","-0,94%"
"14/10/2022","7,48","7,59","7,68","7,48","80,30K","-1,84%"
"13/10/2022","7,62","7,67","7,67","7,50","56,24K","-0,65%"
"12/10/2022","7,67","7,60","7,67","7,51","6,11K","0,79%"
"11/10/2022","7,61","7,69","7,74","7,50","36,79K","0,00%"
"07/10/2022","7,61","7,78","7,78","7,60","70,58K","-2,44%"
"06/10/2022","7,80","7,88","7,88","7,71","13,59K","0,00%"
"05/10/2022","7,80","7,90","7,90","7,70","12,61K","0,65%"
"04/10/2022","7,75","7,77","7,89","7,60","247,81K","0,78%"
"03/10/2022","7,69","7,37","7,79","7,37","402,35K","3,22%"
"30/09/2022","7,45","7,75","7,84","7,33","251,25K","-3,87%"
"29/09/2022","7,75","7,83","7,92","7,75","99,84K","-1,40%"
"28/09/2022","7,86","7,87","7,99","7,82","36,10K","0,00%"
"27/09/2022","7,86","8,08","8,08","7,85","289,66K","-1,75%"
"26/09/2022","8,00","8,00","8,10","7,80","68,59K","-0,12%"
"23/09/2022","8,01","8,19","8,19","8,01","51,24K","-0,50%"
"22/09/2022","8,05","8,11","8,29","8,05","163,05K","-1,23%"
"21/09/2022","8,15","8,17","8,20","8,15","82,44K","-0,61%"
"20/09/2022","8,20","8,13","8,24","8,13","39,20K","-0,61%"
"19/09/2022","8,25","8,20","8,29","8,11","51,88K","0,36%"
"16/09/2022","8,22","8,24","8,33","8,16","92,96K","-0,36%"
"15/09/2022","8,25","8,20","8,33","8,15","42,17K","0,12%"
"14/09/2022","8,24","8,36","8,37","8,20","175,27K","-1,44%"
"13/09/2022","8,36","8,40","8,55","8,36","19,11K","-0,48%"
"12/09/2022","8,40","8,53","8,60","8,40","108,13K","-1,75%"
"09/09/2022","8,55","8,60","8,64","8,55","137,58K","0,47%"
"08/09/2022","8,51","8,31","8,64","8,31","134,05K","2,28%"
"07/09/2022","8,32","8,40","8,44","8,31","51,98K","-0,95%"
"06/09/2022","8,40","8,44","8,58","8,33","75,48K","-1,18%"
"05/09/2022","8,50","8,42","8,65","8,42","240,59K","1,19%"
"02/09/2022","8,40","8,25","8,42","8,21","249,83K","1,33%"
"01/09/2022","8,29","8,17","8,39","8,01","88,07K","2,35%"
"31/08/2022","8,10","8,03","8,10","8,03","34,59K","0,37%"
"30/08/2022","8,07","8,20","8,20","8,01","16,58K","-0,86%"
"29/08/2022","8,14","8,20","8,20","8,14","38,08K","-0,37%"
"26/08/2022","8,17","8,03","8,20","8,01","118,48K","1,36%"
"25/08/2022","8,06","8,11","8,16","8,01","17,12K","-0,74%"
"24/08/2022","8,12","8,09","8,14","8,04","49,88K","0,25%"
"23/08/2022","8,10","8,18","8,18","7,94","24,65K","-0,74%"
"22/08/2022","8,16","8,20","8,23","7,95","47,86K","-0,61%"
"19/08/2022","8,21","8,29","8,29","8,12","39,07K","0,12%"
"18/08/2022","8,20","8,23","8,30","8,12","69,58K","0,37%"
"17/08/2022","8,17","8,02","8,35","8,02","131,03K","0,25%"
"16/08/2022","8,15","8,15","8,32","8,00","44,72K","-1,81%"
"15/08/2022","8,30","8,33","8,40","8,20","104,17K","1,22%"
"12/08/2022","8,20","8,39","8,39","8,14","170,99K","2,50%"
"11/08/2022","8,00","7,76","8,09","7,74","365,41K","3,36%"
"10/08/2022","7,74","7,69","7,74","7,63","96,09K","0,78%"
"09/08/2022","7,68","7,63","7,69","7,60","50,20K","0,66%"
"08/08/2022","7,63","7,56","7,70","7,56","55,60K","0,93%"
"05/08/2022","7,56","7,64","7,64","7,56","29,64K","-0,53%"
"04/08/2022","7,60","7,58","7,62","7,56","20,29K","0,26%"
"03/08/2022","7,58","7,64","7,65","7,56","32,04K","-0,66%"
"02/08/2022","7,63","7,63","7,65","7,51","35,69K","-0,78%"
"01/08/2022","7,69","7,60","7,70","7,60","43,57K","1,18%"
"29/07/2022","7,60","7,50","7,65","7,50","36,83K","0,13%"
"28/07/2022","7,59","7,46","7,66","7,46","6,82K","1,88%"
"27/07/2022","7,45","7,49","7,50","7,44","66,08K","0,40%"
"26/07/2022","7,42","7,57","7,57","7,32","101,75K","-1,33%"
"25/07/2022","7,52","7,70","7,70","7,41","22,91K","1,35%"
"22/07/2022","7,42","7,59","7,59","7,37","65,43K","0,95%"
"21/07/2022","7,35","7,60","7,72","7,35","44,89K","-3,29%"
"20/07/2022","7,60","7,57","7,84","7,57","118,12K","0,00%"
"19/07/2022","7,60","7,69","7,78","7,51","494,83K","0,00%"
"18/07/2022","7,60","7,57","7,60","7,41","334,79K","2,01%"
"15/07/2022","7,45","7,39","7,55","7,30","272,77K","-0,53%"
"14/07/2022","7,49","7,40","7,57","7,30","89,63K","1,22%"
"13/07/2022","7,40","7,25","7,40","7,21","94,57K","1,37%"
"12/07/2022","7,30","7,30","7,40","7,25","29,82K","0,00%"
"08/07/2022","7,30","7,38","7,42","7,26","151,67K","-0,95%"
"07/07/2022","7,37","7,49","7,49","7,36","40,64K","-1,07%"
"06/07/2022","7,45","7,60","7,60","7,30","31,93K","0,95%"
"05/07/2022","7,38","7,70","7,70","7,31","50,11K","-1,07%"
"04/07/2022","7,46","7,50","7,60","7,40","124,86K","-0,13%"
"01/07/2022","7,47","7,70","7,70","7,47","175,28K","-2,99%"
"30/06/2022","7,70","7,70","7,75","7,55","116,17K","0,00%"
"29/06/2022","7,70","7,79","7,80","7,61","62,02K","-1,16%"
"28/06/2022","7,79","7,61","7,87","7,61","43,52K","2,37%"
"27/06/2022","7,61","7,89","7,89","7,60","42,03K","-0,52%"
"24/06/2022","7,65","7,75","7,75","7,60","51,75K","-1,03%"
"23/06/2022","7,73","7,70","7,85","7,54","152,31K","0,39%"
"22/06/2022","7,70","8,10","8,11","7,70","47,65K","-4,94%"
"21/06/2022","8,10","8,03","8,13","8,02","42,19K","1,25%"
"20/06/2022","8,00","7,88","8,12","7,88","41,33K","3,90%"
"17/06/2022","7,70","7,60","7,76","7,58","83,38K","1,32%"
"16/06/2022","7,60","7,60","7,88","7,58","67,65K","0,66%"
"15/06/2022","7,55","7,63","8,00","7,52","176,81K","-1,56%"
"14/06/2022","7,67","8,00","8,11","7,67","239,56K","-5,89%"
"13/06/2022","8,15","8,41","8,47","8,14","286,83K","-4,00%"
"10/06/2022","8,49","8,36","8,55","8,36","25,41K","-1,28%"
"09/06/2022","8,60","8,53","8,65","8,35","230,95K","-0,58%"
"08/06/2022","8,65","8,75","8,75","8,58","102,47K","-1,70%"
"07/06/2022","8,80","8,86","8,90","8,70","122,83K","-0,56%"
"06/06/2022","8,85","8,50","8,85","8,50","247,12K","4,12%"
"03/06/2022","8,50","8,26","8,50","8,20","212,66K","3,03%"
"02/06/2022","8,25","8,31","8,33","8,15","223,71K","-0,12%"
"01/06/2022","8,26","8,26","8,26","8,26","628,42K","5,90%"
"31/05/2022","7,80","7,90","7,90","7,75","126,11K","-1,89%"
"30/05/2022","7,95","7,95","8,19","7,85","35,98K","0,00%"
"27/05/2022","7,95","8,26","8,26","7,95","535,41K","1,92%"
"26/05/2022","7,80","7,40","7,84","7,40","399,73K","5,41%"
"25/05/2022","7,40","7,51","7,64","7,40","79,36K","-1,07%"
"24/05/2022","7,48","7,70","7,70","7,46","110,54K","-0,40%"
"23/05/2022","7,51","7,80","7,80","7,51","55,98K","-2,85%"
"20/05/2022","7,73","7,75","7,79","7,66","77,89K","-0,90%"
"19/05/2022","7,80","7,84","7,84","7,75","68,76K","0,00%"
"18/05/2022","7,80","7,90","7,90","7,76","109,60K","-0,51%"
"17/05/2022","7,84","7,94","7,94","7,78","33,86K","-0,38%"
"16/05/2022","7,87","7,76","7,99","7,75","33,21K","1,55%"
"13/05/2022","7,75","7,87","7,87","7,72","61,36K","-0,39%"
"12/05/2022","7,78","7,97","7,97","7,78","104,25K","-2,26%"
"11/05/2022","7,96","7,87","8,09","7,87","39,59K","0,76%"
"10/05/2022","7,90","8,17","8,17","7,90","228,84K","-1,86%"
"09/05/2022","8,05","8,10","8,25","8,00","112,30K","-1,11%"
"06/05/2022","8,14","8,25","8,25","8,12","33,35K","-1,09%"
"05/05/2022","8,23","8,01","8,30","8,01","59,10K","1,73%"
"04/05/2022","8,09","8,14","8,14","7,98","170,63K","-0,12%"
"29/04/2022","8,10","8,39","8,39","8,10","199,97K","-2,41%"
"28/04/2022","8,30","8,42","8,48","8,30","128,11K","-1,31%"
"27/04/2022","8,41","8,35","8,50","8,34","93,09K","0,00%"
"26/04/2022","8,41","8,64","8,64","8,31","851,00K","-2,77%"
"25/04/2022","8,65","8,64","8,73","8,51","99,50K","-1,37%"
"22/04/2022","8,77","8,66","8,80","8,66","273,95K","1,62%"
"21/04/2022","8,63","8,63","8,70","8,55","47,93K","-0,69%"
"20/04/2022","8,69","8,78","8,79","8,63","73,20K","-1,03%"
"19/04/2022","8,78","8,88","8,88","8,72","44,79K","-0,11%"
"18/04/2022","8,79","8,90","8,95","8,79","180,58K","-0,90%"
"15/04/2022","8,87","8,88","8,95","8,77","144,78K","0,34%"
"14/04/2022","8,84","8,84","8,90","8,72","159,74K","-0,11%"
"13/04/2022","8,85","8,87","8,88","8,71","234,74K","0,68%"
"12/04/2022","8,79","9,00","9,00","8,70","266,76K","-1,46%"
"11/04/2022","8,92","8,76","8,93","8,60","127,35K","3,12%"
"08/04/2022","8,65","8,40","8,70","8,40","172,63K","-0,57%"
"07/04/2022","8,70","8,89","8,89","8,61","213,02K","-0,23%"
"06/04/2022","8,72","9,00","9,13","8,51","791,99K","1,16%"
"05/04/2022","8,62","8,62","8,62","8,62","54,52K","5,90%"
"04/04/2022","8,14","8,00","8,14","7,80","170,59K","5,99%"
"01/04/2022","7,68","7,68","7,68","7,45","303,65K","5,93%"
"31/03/2022","7,25","7,50","7,50","7,20","374,43K","-3,46%"
"30/03/2022","7,51","7,45","7,60","7,40","136,86K","1,49%"
"29/03/2022","7,40","7,32","7,44","7,30","160,10K","1,37%"
