"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","55,40","54,05","56,00","54,00","7,14K","2,59%"
"11/11/2022","54,00","54,99","54,99","52,50","44,95K","-1,80%"
"10/11/2022","54,99","55,50","55,50","53,62","9,69K","-0,02%"
"09/11/2022","55,00","55,98","55,98","54,02","3,62K","0,00%"
"08/11/2022","55,00","56,50","56,50","55,00","4,89K","-2,65%"
"07/11/2022","56,50","57,00","57,00","56,00","1,24K","-0,88%"
"04/11/2022","57,00","57,01","57,90","56,10","1,02K","-1,55%"
"03/11/2022","57,90","56,51","57,95","55,70","17,87K","0,71%"
"02/11/2022","57,49","56,00","57,79","56,00","10,11K","-0,54%"
"01/11/2022","57,80","57,99","57,99","55,10","8,09K","0,52%"
"31/10/2022","57,50","57,33","58,17","56,54","4,32K","0,30%"
"28/10/2022","57,33","60,00","60,19","57,33","11,23K","-3,97%"
"27/10/2022","59,70","59,50","59,77","59,00","5,25K","2,93%"
"26/10/2022","58,00","58,05","59,50","57,00","17,32K","1,75%"
"25/10/2022","57,00","54,05","57,55","54,05","12,84K","4,97%"
"24/10/2022","54,30","54,00","55,50","54,00","12,02K","-0,37%"
"21/10/2022","54,50","53,13","56,50","53,12","26,03K","-1,75%"
"20/10/2022","55,47","59,99","59,99","55,47","18,64K","-5,98%"
"19/10/2022","59,00","59,10","60,00","58,50","6,88K","-1,47%"
"18/10/2022","59,88","59,00","60,80","58,31","6,75K","1,49%"
"17/10/2022","59,00","60,00","61,00","59,00","18,04K","-1,70%"
"14/10/2022","60,02","61,00","62,50","60,02","30,22K","-0,79%"
"13/10/2022","60,50","62,35","62,45","60,50","35,17K","-3,97%"
"12/10/2022","63,00","63,45","63,97","62,50","7,90K","-1,08%"
"11/10/2022","63,69","64,89","64,89","62,10","23,46K","-1,94%"
"07/10/2022","64,95","64,90","65,75","64,00","16,38K","-0,06%"
"06/10/2022","64,99","65,98","66,00","64,99","13,34K","-1,52%"
"05/10/2022","65,99","66,00","66,98","65,14","5,40K","-1,29%"
"04/10/2022","66,85","66,50","67,40","65,11","6,80K","-0,33%"
"03/10/2022","67,07","66,00","67,82","64,20","172,66K","4,81%"
"30/09/2022","63,99","63,00","64,95","61,95","19,41K","1,57%"
"29/09/2022","63,00","65,00","67,50","63,00","69,47K","-1,24%"
"28/09/2022","63,79","59,00","63,79","59,00","59,87K","5,79%"
"27/09/2022","60,30","62,00","62,99","60,30","15,09K","-3,21%"
"26/09/2022","62,30","61,00","62,50","60,00","33,85K","0,48%"
"23/09/2022","62,00","64,40","64,40","62,00","23,50K","-2,07%"
"22/09/2022","63,31","64,15","64,50","63,04","13,78K","-0,14%"
"21/09/2022","63,40","65,02","65,02","62,10","44,74K","-3,60%"
"20/09/2022","65,77","65,02","65,94","64,60","1,25K","1,15%"
"19/09/2022","65,02","66,80","67,00","64,60","32,71K","-1,80%"
"16/09/2022","66,21","66,50","66,86","66,00","11,94K","-0,44%"
"15/09/2022","66,50","66,50","66,90","65,51","3,85K","-0,66%"
"14/09/2022","66,94","66,31","67,30","65,60","608,30K","0,36%"
"13/09/2022","66,70","67,69","67,75","66,70","6,14K","-1,55%"
"12/09/2022","67,75","68,49","68,49","67,40","10,82K","-0,37%"
"09/09/2022","68,00","67,10","68,49","67,00","34,69K","0,24%"
"08/09/2022","67,84","66,68","68,00","66,00","48,33K","2,02%"
"07/09/2022","66,50","67,00","67,00","65,11","8,80K","-0,43%"
"06/09/2022","66,79","67,10","67,99","65,30","14,97K","-1,13%"
"05/09/2022","67,55","66,75","67,88","66,75","26,82K","2,35%"
"02/09/2022","66,00","65,00","66,48","64,51","45,76K","1,80%"
"01/09/2022","64,83","63,80","66,75","62,52","55,20K","1,61%"
"31/08/2022","63,80","62,50","64,00","62,50","7,32K","0,79%"
"30/08/2022","63,30","65,00","65,00","63,30","18,59K","-2,62%"
"29/08/2022","65,00","64,22","65,50","64,22","14,59K","0,00%"
"26/08/2022","65,00","64,20","65,00","63,50","15,28K","1,56%"
"25/08/2022","64,00","62,20","64,44","62,20","9,85K","0,31%"
"24/08/2022","63,80","63,20","64,44","62,62","3,97K","1,27%"
"23/08/2022","63,00","62,23","63,40","62,22","17,05K","0,25%"
"22/08/2022","62,84","64,59","64,99","62,08","34,94K","-3,02%"
"19/08/2022","64,80","64,01","65,30","64,00","51,80K","1,58%"
"18/08/2022","63,79","62,49","65,00","62,00","44,98K","3,07%"
"17/08/2022","61,89","61,80","62,00","61,32","10,13K","-0,32%"
"16/08/2022","62,09","62,00","62,30","61,11","7,52K","-0,46%"
"15/08/2022","62,38","61,75","62,64","61,23","7,61K","1,91%"
"12/08/2022","61,21","60,00","62,15","60,00","20,87K","2,89%"
"11/08/2022","59,49","58,02","60,00","57,10","56,18K","2,59%"
"10/08/2022","57,99","56,50","57,99","55,85","13,23K","3,55%"
"09/08/2022","56,00","55,55","56,00","55,55","1,73K","0,88%"
"08/08/2022","55,51","56,00","56,50","55,51","7,96K","-0,52%"
"05/08/2022","55,80","55,50","56,00","55,00","2,14K","1,09%"
"04/08/2022","55,20","56,00","56,00","55,20","0,35K","-1,71%"
"03/08/2022","56,16","55,10","56,29","55,10","0,19K","2,00%"
"02/08/2022","55,06","56,05","57,00","55,06","4,91K","-1,33%"
"01/08/2022","55,80","54,50","56,10","54,00","2,67K","2,44%"
"29/07/2022","54,47","54,47","54,49","54,47","0,46K","0,87%"
"28/07/2022","54,00","54,10","54,49","52,45","5,30K","0,00%"
"27/07/2022","54,00","54,00","54,97","53,50","1,70K","0,00%"
"26/07/2022","54,00","55,80","55,80","53,12","9,25K","-0,92%"
"25/07/2022","54,50","55,64","55,70","54,50","7,50K","-2,05%"
"22/07/2022","55,64","55,00","55,64","54,50","1,29K","2,07%"
"21/07/2022","54,51","55,10","56,20","54,35","9,71K","0,83%"
"20/07/2022","54,06","57,95","59,00","54,06","59,47K","-5,98%"
"19/07/2022","57,50","56,10","57,60","56,00","39,14K","2,68%"
"18/07/2022","56,00","56,00","57,00","55,90","46,48K","1,39%"
"15/07/2022","55,23","57,49","57,49","55,23","13,35K","-1,90%"
"14/07/2022","56,30","56,00","58,19","56,00","29,33K","1,44%"
"13/07/2022","55,50","54,07","55,60","54,00","28,26K","0,91%"
"12/07/2022","55,00","54,96","55,40","54,00","9,76K","1,66%"
"08/07/2022","54,10","55,85","55,85","53,75","7,94K","-3,17%"
"07/07/2022","55,87","54,70","55,95","53,40","7,93K","3,48%"
"06/07/2022","53,99","54,00","54,50","52,60","47,87K","1,87%"
"05/07/2022","53,00","54,00","56,10","52,50","67,24K","0,00%"
"04/07/2022","53,00","54,47","55,88","52,50","90,17K","-4,45%"
"01/07/2022","55,47","59,88","59,88","55,47","41,69K","-5,98%"
"30/06/2022","59,00","58,19","59,97","57,10","75,67K","3,47%"
"29/06/2022","57,02","53,40","57,02","52,51","87,22K","5,99%"
"28/06/2022","53,80","54,50","56,05","53,80","21,72K","-1,34%"
"27/06/2022","54,53","57,11","58,64","54,53","69,26K","-5,98%"
"24/06/2022","58,00","59,98","61,20","58,00","34,79K","-0,34%"
"23/06/2022","58,20","60,60","61,49","58,20","46,20K","-4,24%"
"22/06/2022","60,78","63,00","64,00","60,78","93,72K","-5,99%"
"21/06/2022","64,65","62,45","64,65","61,40","58,15K","5,98%"
"20/06/2022","61,00","61,89","61,89","60,50","27,49K","1,67%"
"17/06/2022","60,00","60,48","61,00","60,00","50,95K","0,00%"
"16/06/2022","60,00","61,80","61,80","60,00","28,24K","-1,64%"
"15/06/2022","61,00","62,11","63,00","60,06","165,56K","-4,52%"
"14/06/2022","63,89","67,00","67,89","63,89","19,26K","-5,99%"
"13/06/2022","67,96","68,10","68,50","67,00","14,91K","-1,51%"
"10/06/2022","69,00","69,00","69,39","68,00","13,74K","-0,65%"
"09/06/2022","69,45","68,52","69,80","68,32","2,31K","0,65%"
"08/06/2022","69,00","70,20","70,68","69,00","7,14K","-0,14%"
"07/06/2022","69,10","68,12","70,82","68,12","0,94K","-0,65%"
"06/06/2022","69,55","71,00","71,00","69,03","1,86K","-0,64%"
"03/06/2022","70,00","70,40","70,40","68,46","2,22K","0,72%"
"02/06/2022","69,50","70,00","70,50","69,00","8,73K","-0,71%"
"01/06/2022","70,00","69,95","72,00","69,00","40,70K","1,67%"
