"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/11/2022","350,00","349,90","350,00","339,50","0,66K","-2,23%"
"10/11/2022","358,00","358,00","358,00","358,00","0,00K","-0,56%"
"07/11/2022","360,00","348,00","360,00","337,00","0,04K","3,17%"
"04/11/2022","348,95","348,95","348,95","348,95","0,00K","2,03%"
"31/10/2022","342,00","342,00","342,00","342,00","0,00K","0,00%"
"28/10/2022","342,00","342,50","342,50","342,00","0,63K","-2,01%"
"25/10/2022","349,00","340,50","349,00","340,50","0,03K","5,57%"
"24/10/2022","330,60","325,00","330,60","321,00","0,03K","0,18%"
"21/10/2022","330,00","338,00","338,00","330,00","0,09K","-2,37%"
"20/10/2022","338,00","341,00","341,00","338,00","0,03K","-0,59%"
"19/10/2022","340,00","340,05","341,00","340,00","0,02K","0,00%"
"18/10/2022","340,00","357,00","357,00","340,00","0,04K","-5,03%"
"12/10/2022","358,00","358,00","358,00","358,00","0,01K","3,77%"
"11/10/2022","345,00","348,50","348,50","345,00","0,07K","-0,72%"
"06/10/2022","347,50","347,50","347,50","347,50","0,64K","0,43%"
"05/10/2022","346,00","346,60","346,60","346,00","0,15K","-0,04%"
"04/10/2022","346,15","346,15","346,15","346,15","0,05K","-2,22%"
"03/10/2022","354,00","354,00","354,00","354,00","0,01K","1,87%"
"30/09/2022","347,50","345,25","365,00","345,25","0,02K","-2,11%"
"28/09/2022","355,00","368,00","368,00","355,00","0,03K","-3,51%"
"26/09/2022","367,90","367,90","367,90","367,90","1,01K","-0,03%"
"23/09/2022","368,00","360,00","368,00","360,00","0,03K","0,27%"
"22/09/2022","367,00","367,00","367,00","367,00","0,00K","-0,27%"
"21/09/2022","368,00","367,95","368,00","367,95","0,02K","2,22%"
"20/09/2022","360,00","360,00","360,00","360,00","0,01K","0,00%"
"19/09/2022","360,00","361,00","361,00","360,00","0,04K","-2,70%"
"16/09/2022","370,00","370,00","370,00","370,00","0,01K","0,27%"
"15/09/2022","369,00","369,00","369,00","369,00","0,02K","2,50%"
"14/09/2022","360,00","361,20","361,20","360,00","0,07K","0,00%"
"13/09/2022","360,00","369,00","369,00","360,00","0,02K","-2,70%"
"12/09/2022","370,00","370,00","370,00","370,00","0,00K","2,78%"
"09/09/2022","360,00","360,00","360,00","360,00","0,00K","-1,64%"
"08/09/2022","366,00","366,00","366,00","366,00","0,01K","-0,27%"
"05/09/2022","367,00","358,00","367,00","358,00","0,06K","2,51%"
"02/09/2022","358,00","359,00","359,00","357,00","0,16K","0,28%"
"01/09/2022","357,00","357,00","357,00","357,00","0,00K","0,28%"
"31/08/2022","356,00","361,10","361,10","356,00","0,07K","-1,25%"
"30/08/2022","360,50","380,00","380,00","360,50","0,14K","-5,63%"
"29/08/2022","382,00","382,00","382,00","382,00","0,01K","0,53%"
"25/08/2022","380,00","380,00","380,00","380,00","0,01K","1,33%"
"23/08/2022","375,00","375,00","375,00","375,00","0,00K","-1,32%"
"22/08/2022","380,00","379,00","385,00","378,00","1,26K","0,26%"
"17/08/2022","379,00","379,00","379,00","379,00","0,01K","-0,79%"
"15/08/2022","382,00","373,00","382,00","373,00","0,03K","2,41%"
"12/08/2022","373,00","367,00","373,00","367,00","0,03K","2,47%"
"11/08/2022","364,00","364,00","364,00","364,00","0,02K","-0,79%"
"10/08/2022","366,90","366,90","366,90","366,90","0,00K","1,92%"
"08/08/2022","360,00","360,00","360,00","360,00","0,16K","0,00%"
"04/08/2022","360,00","360,00","360,00","360,00","0,01K","1,41%"
"03/08/2022","355,00","355,30","355,30","355,00","0,09K","-3,77%"
"02/08/2022","368,90","366,90","368,90","366,90","0,03K","2,47%"
"01/08/2022","360,00","360,00","360,00","360,00","0,01K","1,64%"
"28/07/2022","354,20","354,20","354,20","354,20","0,02K","0,00%"
"27/07/2022","354,20","354,30","354,30","354,20","0,01K","-2,96%"
"22/07/2022","365,00","365,00","365,00","365,00","0,01K","-0,54%"
"21/07/2022","367,00","367,00","367,00","367,00","0,01K","-0,27%"
"20/07/2022","368,00","368,00","368,00","368,00","0,00K","-0,24%"
"18/07/2022","368,90","367,00","368,90","367,00","0,04K","0,24%"
"14/07/2022","368,00","368,00","368,00","368,00","0,01K","4,55%"
"07/07/2022","352,00","351,00","352,00","351,00","0,02K","0,28%"
"05/07/2022","351,00","351,00","351,00","351,00","0,00K","0,00%"
"04/07/2022","351,00","351,00","351,00","351,00","0,01K","-0,28%"
"30/06/2022","352,00","348,00","352,00","348,00","0,03K","0,54%"
"29/06/2022","350,10","350,10","350,10","350,10","0,02K","2,40%"
"27/06/2022","341,90","345,00","345,00","341,90","0,10K","-0,90%"
"24/06/2022","345,00","345,00","345,00","345,00","0,11K","-4,96%"
"22/06/2022","363,00","363,00","363,00","363,00","0,00K","-3,20%"
