"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","1.315,00","1.315,00","1.315,00","1.315,00","0,00K","-0,83%"
"11/11/2022","1.326,00","1.326,00","1.326,00","1.326,00","0,01K","2,00%"
"10/11/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,02K","-1,96%"
"09/11/2022","1.326,00","1.326,00","1.326,00","1.326,00","0,00K","0,00%"
"08/11/2022","1.326,00","1.326,00","1.326,00","1.326,00","0,00K","0,00%"
"07/11/2022","1.326,00","1.326,00","1.326,00","1.326,00","0,00K","0,00%"
"04/11/2022","1.326,00","1.326,00","1.326,00","1.326,00","0,02K","2,00%"
"03/11/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,03K","-1,59%"
"02/11/2022","1.321,00","1.321,00","1.321,00","1.321,00","0,00K","0,00%"
"01/11/2022","1.321,00","1.321,00","1.321,00","1.321,00","0,00K","-1,49%"
"31/10/2022","1.341,00","1.341,00","1.341,00","1.341,00","0,01K","1,59%"
"28/10/2022","1.320,00","1.282,00","1.320,00","1.266,00","0,08K","1,15%"
"27/10/2022","1.305,00","1.305,00","1.305,00","1.305,00","0,00K","-0,38%"
"26/10/2022","1.310,00","1.310,00","1.310,00","1.310,00","0,00K","0,38%"
"25/10/2022","1.305,00","1.305,00","1.305,00","1.305,00","0,00K","0,38%"
"24/10/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,00K","0,00%"
"21/10/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,01K","1,56%"
"20/10/2022","1.280,00","1.280,00","1.280,00","1.270,00","0,12K","-1,92%"
"19/10/2022","1.305,00","1.305,00","1.305,00","1.305,00","0,00K","0,00%"
"18/10/2022","1.305,00","1.305,00","1.305,00","1.305,00","0,00K","0,00%"
"17/10/2022","1.305,00","1.305,00","1.305,00","1.305,00","0,00K","0,38%"
"14/10/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,30K","-2,69%"
"13/10/2022","1.336,00","1.336,00","1.336,00","1.336,00","0,00K","0,00%"
"12/10/2022","1.336,00","1.336,00","1.336,00","1.336,00","0,00K","0,45%"
"11/10/2022","1.330,00","1.330,00","1.330,00","1.330,00","0,00K","0,76%"
"07/10/2022","1.320,00","1.320,00","1.320,00","1.320,00","0,00K","0,38%"
"06/10/2022","1.315,00","1.315,00","1.315,00","1.315,00","0,03K","0,31%"
"05/10/2022","1.311,00","1.311,00","1.311,00","1.311,00","0,00K","0,77%"
"04/10/2022","1.301,00","1.301,00","1.301,00","1.301,00","0,00K","0,39%"
"03/10/2022","1.296,00","1.296,00","1.296,00","1.296,00","0,00K","0,47%"
"30/09/2022","1.290,00","1.290,00","1.290,00","1.290,00","0,09K","-1,90%"
"29/09/2022","1.315,00","1.354,00","1.354,00","1.315,00","0,03K","-4,78%"
"28/09/2022","1.381,00","1.381,00","1.381,00","1.381,00","0,00K","-1,71%"
"27/09/2022","1.405,00","1.405,00","1.405,00","1.405,00","0,00K","0,29%"
"26/09/2022","1.401,00","1.401,00","1.401,00","1.401,00","0,00K","0,07%"
"23/09/2022","1.400,00","1.400,00","1.400,00","1.400,00","0,00K","-0,21%"
"22/09/2022","1.403,00","1.423,00","1.423,00","1.403,00","0,03K","-1,41%"
"21/09/2022","1.423,00","1.423,00","1.423,00","1.423,00","0,00K","0,07%"
"20/09/2022","1.422,00","1.422,00","1.422,00","1.422,00","0,00K","0,07%"
"19/09/2022","1.421,00","1.421,00","1.421,00","1.421,00","0,00K","-2,00%"
"16/09/2022","1.450,00","1.450,00","1.450,00","1.450,00","0,24K","2,76%"
"15/09/2022","1.411,00","1.411,00","1.411,00","1.411,00","0,00K","0,00%"
"14/09/2022","1.411,00","1.411,00","1.411,00","1.411,00","0,00K","0,00%"
"13/09/2022","1.411,00","1.411,00","1.411,00","1.411,00","0,00K","0,00%"
"12/09/2022","1.411,00","1.411,00","1.411,00","1.411,00","0,00K","-0,98%"
"09/09/2022","1.425,00","1.448,00","1.448,00","1.425,00","0,12K","0,00%"
"08/09/2022","1.425,00","1.425,00","1.425,00","1.425,00","0,00K","0,00%"
