"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","6.100,0","6.100,0","6.100,0","6.100,0","0,14K","0,00%"
"11/11/2022","6.100,0","6.100,0","6.100,0","6.100,0","0,01K","0,00%"
"09/11/2022","6.100,0","6.100,0","6.100,0","6.100,0","0,01K","0,00%"
"03/11/2022","6.100,0","6.100,0","6.100,0","6.100,0","0,00K","1,67%"
"01/11/2022","6.000,0","6.000,0","6.000,0","6.000,0","0,00K","0,00%"
"18/10/2022","6.000,0","6.000,0","6.000,0","6.000,0","0,33K","0,00%"
"14/10/2022","6.000,0","6.000,0","6.000,0","6.000,0","0,02K","0,02%"
"13/10/2022","5.999,0","5.999,0","5.999,0","5.999,0","0,01K","0,15%"
"12/10/2022","5.990,0","5.990,0","5.990,0","5.990,0","0,00K","0,17%"
"07/10/2022","5.980,0","5.980,0","5.980,0","5.980,0","0,00K","0,08%"
"04/10/2022","5.975,0","5.975,0","5.975,0","5.975,0","0,00K","3,91%"
"29/09/2022","5.750,0","5.750,0","5.750,0","5.750,0","0,00K","-3,93%"
"27/09/2022","5.985,0","5.985,0","5.985,0","5.985,0","0,00K","3,19%"
"21/09/2022","5.800,0","5.800,0","5.800,0","5.800,0","0,00K","1,75%"
"08/09/2022","5.700,0","5.700,0","5.700,0","5.700,0","0,01K","1,79%"
"18/08/2022","5.600,0","5.600,0","5.600,0","5.600,0","0,03K","0,00%"
"12/08/2022","5.600,0","5.600,0","5.600,0","5.600,0","0,01K","0,90%"
"05/08/2022","5.550,0","5.550,0","5.550,0","5.550,0","0,01K","1,83%"
"04/08/2022","5.450,0","5.450,0","5.450,0","5.450,0","0,00K","2,83%"
"03/08/2022","5.300,0","5.300,0","5.300,0","5.300,0","0,05K","-0,93%"
"02/08/2022","5.350,0","5.350,0","5.350,0","5.350,0","0,02K","0,94%"
"29/07/2022","5.300,0","5.300,0","5.300,0","5.300,0","0,02K","0,00%"
"19/07/2022","5.300,0","5.300,0","5.300,0","5.300,0","0,02K","1,92%"
"18/07/2022","5.200,0","5.200,0","5.200,0","5.200,0","0,01K","-1,89%"
"08/07/2022","5.300,0","5.300,0","5.300,0","5.300,0","0,00K","0,93%"
"07/07/2022","5.251,0","5.251,0","5.251,0","5.251,0","0,00K","0,02%"
"05/07/2022","5.250,0","5.250,0","5.250,0","5.250,0","0,00K","0,85%"
"29/06/2022","5.206,0","5.206,0","5.206,0","5.206,0","0,01K","0,10%"
"23/06/2022","5.201,0","5.201,0","5.201,0","5.201,0","0,01K","0,00%"
"21/06/2022","5.201,0","5.201,0","5.201,0","5.201,0","0,02K","0,02%"
"10/06/2022","5.200,0","5.200,0","5.200,0","5.200,0","0,01K","0,00%"
"08/06/2022","5.200,0","5.200,0","5.200,0","5.200,0","0,03K","3,98%"
