"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/11/2022","1.599,00","1.599,00","1.599,00","1.599,00","0,01K","0,63%"
"14/11/2022","1.589,00","1.503,00","1.589,00","1.503,00","1,04K","-0,56%"
"11/11/2022","1.598,00","1.598,00","1.598,00","1.598,00","0,01K","-0,13%"
"10/11/2022","1.600,00","1.598,00","1.600,00","1.560,00","0,02K","0,00%"
"07/11/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,01K","0,00%"
"04/11/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,01K","0,00%"
"02/11/2022","1.600,00","1.599,00","1.600,00","1.599,00","0,00K","0,00%"
"01/11/2022","1.600,00","1.599,00","1.600,00","1.599,00","0,00K","0,00%"
"25/10/2022","1.600,00","1.550,00","1.600,00","1.550,00","0,02K","0,00%"
"21/10/2022","1.600,00","1.550,00","1.600,00","1.550,00","0,01K","0,00%"
"20/10/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,01K","-1,78%"
"18/10/2022","1.629,00","1.591,00","1.629,00","1.547,00","0,04K","0,00%"
"14/10/2022","1.629,00","1.629,00","1.629,00","1.629,00","0,02K","2,52%"
"13/10/2022","1.589,00","1.645,00","1.645,00","1.547,00","5,18K","-3,40%"
"12/10/2022","1.645,00","1.645,00","1.645,00","1.645,00","0,20K","-2,95%"
"11/10/2022","1.695,00","1.695,00","1.695,00","1.695,00","0,10K","0,00%"
"05/10/2022","1.695,00","1.690,00","1.695,00","1.690,00","0,01K","2,73%"
"04/10/2022","1.650,00","1.649,00","1.650,00","1.649,00","0,05K","1,23%"
"03/10/2022","1.630,00","1.695,00","1.695,00","1.630,00","0,06K","-4,12%"
"30/09/2022","1.700,00","1.684,00","1.700,00","1.684,00","0,20K","3,98%"
"29/09/2022","1.635,00","1.636,00","1.636,00","1.635,00","0,01K","-2,97%"
"27/09/2022","1.685,00","1.700,00","1.700,00","1.685,00","0,01K","0,00%"
"26/09/2022","1.685,00","1.685,00","1.685,00","1.685,00","0,02K","-2,15%"
"21/09/2022","1.722,00","1.722,00","1.722,00","1.722,00","0,00K","1,35%"
"20/09/2022","1.699,00","1.699,00","1.699,00","1.699,00","0,00K","2,66%"
"19/09/2022","1.655,00","1.699,00","1.699,00","1.655,00","0,02K","-2,59%"
"14/09/2022","1.699,00","1.699,00","1.699,00","1.699,00","0,01K","-0,06%"
