"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","70,10","70,11","70,30","70,10","0,10K","-2,75%"
"11/11/2022","72,08","73,19","73,19","69,99","25,60K","2,97%"
"10/11/2022","70,00","73,95","73,95","69,99","77,19K","-4,10%"
"09/11/2022","72,99","70,55","72,99","70,55","0,44K","-1,31%"
"08/11/2022","73,96","73,97","73,97","73,96","0,01K","-0,01%"
"07/11/2022","73,97","73,98","73,99","73,96","0,02K","4,18%"
"04/11/2022","71,00","72,00","72,00","71,00","2,00K","1,40%"
"03/11/2022","70,02","74,00","74,00","70,02","0,52K","-5,37%"
"02/11/2022","73,99","73,98","74,00","73,01","0,14K","0,00%"
"01/11/2022","73,99","73,98","73,99","73,98","0,03K","0,01%"
"31/10/2022","73,98","70,55","73,98","70,50","0,11K","5,69%"
"28/10/2022","70,00","74,27","78,55","70,00","2,16K","-5,75%"
"27/10/2022","74,27","78,88","78,88","74,27","1,27K","-5,99%"
"26/10/2022","79,00","77,50","79,00","77,50","0,01K","5,33%"
"25/10/2022","75,00","74,00","75,00","72,00","0,25K","1,35%"
"24/10/2022","74,00","74,00","74,00","74,00","0,03K","5,68%"
"21/10/2022","70,02","74,00","74,00","70,02","3,03K","-4,08%"
"20/10/2022","73,00","74,10","74,10","73,00","0,78K","-1,35%"
"19/10/2022","74,00","74,10","74,10","74,00","0,32K","-0,13%"
"18/10/2022","74,10","75,00","75,00","74,00","0,78K","-1,20%"
"17/10/2022","75,00","76,00","76,00","75,00","0,13K","-2,52%"
"14/10/2022","76,94","76,97","76,97","74,52","0,17K","0,71%"
"13/10/2022","76,40","75,00","76,40","74,20","0,02K","3,10%"
"12/10/2022","74,10","76,00","77,40","74,10","0,28K","-4,63%"
"11/10/2022","77,70","77,69","77,70","77,69","0,04K","3,60%"
"07/10/2022","75,00","74,50","77,90","74,50","1,72K","0,00%"
"06/10/2022","75,00","77,90","77,90","75,00","0,78K","-0,66%"
"05/10/2022","75,50","77,00","77,50","75,50","0,17K","-2,58%"
"04/10/2022","77,50","73,60","77,99","73,60","0,12K","3,33%"
"03/10/2022","75,00","74,00","75,00","74,00","0,19K","2,04%"
"30/09/2022","73,50","76,10","76,10","73,50","10,30K","-3,29%"
"29/09/2022","76,00","77,00","78,99","76,00","7,79K","-1,30%"
"28/09/2022","77,00","80,50","80,50","77,00","1,79K","-1,28%"
"27/09/2022","78,00","80,50","80,50","78,00","0,44K","2,63%"
"26/09/2022","76,00","80,00","81,50","76,00","16,54K","-5,00%"
"23/09/2022","80,00","81,99","81,99","80,00","5,00K","-2,42%"
"22/09/2022","81,98","81,98","81,98","80,30","0,07K","-0,02%"
