"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","378,00","378,00","378,00","375,00","9,66K","1,34%"
"11/11/2022","373,00","380,00","380,00","370,10","150,15K","0,27%"
"10/11/2022","372,00","389,00","389,00","372,00","58,54K","-3,88%"
"09/11/2022","387,00","388,00","389,90","386,65","46,05K","-0,21%"
"08/11/2022","387,80","386,25","392,00","386,25","20,03K","-0,55%"
"07/11/2022","389,95","393,50","393,50","389,95","29,62K","0,50%"
"04/11/2022","388,00","388,00","390,00","388,00","29,87K","-0,51%"
"03/11/2022","390,00","390,00","394,00","387,00","2,90K","0,00%"
"02/11/2022","390,00","394,90","394,90","390,00","4,41K","0,00%"
"01/11/2022","390,00","390,00","390,00","389,95","19,19K","1,30%"
"31/10/2022","385,00","394,00","395,00","385,00","28,06K","-1,31%"
"28/10/2022","390,10","390,00","394,00","390,00","13,17K","0,03%"
"27/10/2022","390,00","380,00","390,00","380,00","10,23K","3,86%"
"26/10/2022","375,50","390,50","394,50","375,50","38,64K","-4,94%"
"25/10/2022","395,00","389,00","398,00","389,00","27,61K","1,27%"
"24/10/2022","390,05","390,00","399,95","390,00","3,43K","-2,00%"
"21/10/2022","398,00","399,00","400,00","398,00","12,57K","-0,25%"
"20/10/2022","399,00","404,00","405,00","399,00","34,85K","-2,21%"
"19/10/2022","408,00","410,00","415,00","403,50","31,89K","0,49%"
"18/10/2022","406,00","412,00","412,00","406,00","3,07K","-1,47%"
"17/10/2022","412,05","415,00","420,00","408,00","12,98K","0,24%"
"14/10/2022","411,05","417,55","420,00","411,05","62,18K","-1,90%"
"13/10/2022","419,00","424,00","424,00","416,40","13,95K","-1,18%"
"12/10/2022","424,00","423,10","425,00","423,10","24,40K","-1,17%"
"11/10/2022","429,00","425,00","429,00","423,00","21,85K","1,66%"
"07/10/2022","422,00","421,05","425,00","420,00","11,88K","0,24%"
"06/10/2022","421,00","422,00","422,00","420,00","10,39K","0,24%"
"05/10/2022","420,00","416,10","425,00","416,10","8,86K","1,07%"
"04/10/2022","415,55","416,15","420,00","415,00","67,60K","0,08%"
"03/10/2022","415,20","421,00","422,00","415,20","2,01K","-2,31%"
"30/09/2022","425,00","425,00","425,00","411,00","187,11K","0,95%"
"29/09/2022","421,00","420,00","428,00","420,00","47,62K","-0,94%"
"28/09/2022","425,00","431,15","431,15","420,10","111,01K","-2,97%"
"27/09/2022","438,00","441,05","441,50","438,00","354,20K","-0,57%"
"26/09/2022","440,50","431,00","441,00","431,00","51,92K","0,00%"
"23/09/2022","440,50","437,00","443,00","437,00","37,18K","-0,33%"
"22/09/2022","441,95","440,00","441,95","440,00","34,56K","0,67%"
"21/09/2022","439,00","435,00","441,00","435,00","3,20K","-0,18%"
"20/09/2022","439,80","441,00","441,00","437,00","8,81K","0,41%"
"19/09/2022","438,00","438,00","438,10","438,00","7,04K","-0,68%"
"16/09/2022","441,00","438,00","441,00","437,00","30,50K","0,68%"
"15/09/2022","438,00","436,50","438,00","435,10","0,42K","0,00%"
"14/09/2022","438,00","438,00","438,00","437,00","7,62K","0,00%"
"13/09/2022","438,00","437,00","438,00","433,20","42,70K","0,69%"
"12/09/2022","435,00","435,00","435,00","431,60","1,60K","-0,46%"
"09/09/2022","437,00","432,05","437,05","432,05","103,21K","1,02%"
"08/09/2022","432,60","432,60","435,00","432,60","5,18K","-0,67%"
"07/09/2022","435,50","432,20","435,50","432,15","5,19K","0,11%"
"06/09/2022","435,00","431,10","435,00","431,10","2,94K","0,67%"
"05/09/2022","432,10","430,10","439,00","430,10","24,94K","-0,67%"
"02/09/2022","435,00","439,95","439,95","432,20","1,91K","0,69%"
"01/09/2022","432,00","433,95","433,95","432,00","0,83K","-1,03%"
"31/08/2022","436,50","442,90","442,90","434,95","12,50K","0,31%"
"30/08/2022","435,15","437,05","440,00","435,00","14,58K","-1,10%"
"29/08/2022","440,00","436,10","440,00","436,10","3,61K","0,00%"
"26/08/2022","440,00","432,50","440,00","432,50","15,16K","0,00%"
"25/08/2022","440,00","433,00","440,00","432,15","1,67K","0,23%"
"24/08/2022","439,00","436,00","439,00","432,15","2,86K","-0,13%"
"23/08/2022","439,55","447,90","447,90","436,00","21,98K","0,24%"
"22/08/2022","438,50","442,05","442,05","438,50","12,27K","-1,46%"
"19/08/2022","445,00","443,50","445,00","440,10","11,03K","0,34%"
