"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","151,00","151,00","151,00","151,00","0,03K","0,00%"
"10/11/2022","151,00","151,00","151,00","151,00","0,00K","0,00%"
"31/10/2022","151,00","151,00","151,00","151,00","0,53K","0,67%"
"27/10/2022","150,00","150,00","150,00","150,00","0,06K","3,45%"
"20/10/2022","145,00","145,00","145,00","145,00","0,01K","3,57%"
"03/10/2022","140,00","140,00","140,00","140,00","0,01K","-0,71%"
"30/09/2022","141,00","141,00","141,00","141,00","0,00K","-3,13%"
"27/09/2022","145,55","145,55","145,55","145,55","1,07K","3,96%"
"26/09/2022","140,00","140,00","140,00","140,00","0,00K","3,70%"
"25/08/2022","135,00","135,00","135,00","135,00","0,00K","0,00%"
"19/08/2022","135,00","135,00","135,00","135,00","0,00K","-2,53%"
"27/06/2022","138,50","138,50","138,50","138,50","0,00K","3,36%"
"08/06/2022","134,00","134,00","134,00","134,00","0,01K","0,00%"
"31/05/2022","134,00","134,00","134,00","134,00","0,01K","3,88%"
"16/05/2022","129,00","129,00","129,00","129,00","0,01K","3,20%"
"12/05/2022","125,00","125,00","125,00","125,00","0,01K","0,00%"
"10/05/2022","125,00","125,00","125,00","125,00","0,02K","-1,96%"
"09/05/2022","127,50","127,50","127,50","127,50","0,01K","1,19%"
"29/04/2022","126,00","126,00","126,00","126,00","0,20K","-2,82%"
"28/04/2022","129,65","129,65","129,65","129,65","0,00K","-3,96%"
"27/04/2022","135,00","135,00","135,00","135,00","0,00K","3,85%"
"26/04/2022","130,00","130,00","130,00","130,00","","0,78%"
"20/04/2022","129,00","129,00","129,00","129,00","0,02K","3,20%"
"19/04/2022","125,00","125,00","125,00","125,00","0,00K","0,00%"
"15/04/2022","125,00","125,00","125,00","125,00","0,00K","3,56%"
"13/04/2022","120,70","120,70","120,70","120,70","0,52K","-3,90%"
"11/04/2022","125,60","125,60","125,60","125,60","0,00K","3,97%"
"21/03/2022","120,80","120,80","120,80","120,80","0,02K","0,17%"
"14/03/2022","120,60","120,60","120,60","120,60","0,04K","3,97%"
"11/03/2022","116,00","116,00","116,00","116,00","0,01K","2,65%"
"08/03/2022","113,00","113,00","113,00","113,00","0,01K","-3,42%"
"25/02/2022","117,00","117,00","117,00","117,00","0,01K","0,00%"
"21/02/2022","117,00","117,00","117,00","117,00","0,02K","-2,50%"
"17/02/2022","120,00","120,00","120,00","120,00","0,00K","-3,23%"
"15/02/2022","124,00","124,00","124,00","124,00","0,00K","0,00%"
"11/02/2022","124,00","124,00","124,00","124,00","0,00K","3,94%"
"10/02/2022","119,30","119,30","119,30","119,30","0,00K","3,97%"
"04/02/2022","114,75","114,75","114,75","114,75","0,01K","-3,97%"
"20/01/2022","119,50","119,50","119,50","119,50","0,00K","0,00%"
"18/01/2022","119,50","119,50","119,50","119,50","0,00K","3,91%"
"17/01/2022","115,00","115,00","115,00","115,00","0,01K","1,32%"
"13/01/2022","113,50","113,50","113,50","113,50","0,03K","0,44%"
"07/01/2022","113,00","113,00","113,00","113,00","0,02K","2,73%"
"27/12/2021","110,00","110,00","110,00","110,00","0,00K","0,92%"
"23/12/2021","109,00","109,00","109,00","109,00","0,01K","0,93%"
"20/12/2021","108,00","108,00","108,00","108,00","0,13K","0,00%"
"17/12/2021","108,00","108,00","108,00","108,00","0,09K","-1,82%"
"13/12/2021","110,00","110,00","110,00","110,00","0,06K","0,46%"
"09/12/2021","109,50","109,50","109,50","109,50","0,06K","-3,95%"
"07/12/2021","114,00","114,00","114,00","114,00","0,02K","-1,38%"
"06/12/2021","115,60","115,60","115,60","115,60","0,02K","-3,99%"
"03/12/2021","120,40","120,40","120,40","120,40","0,02K","-3,99%"
"02/12/2021","125,40","125,40","125,40","125,40","0,00K","-3,98%"
"29/11/2021","130,60","130,60","130,60","130,60","0,01K","-3,97%"
"26/11/2021","136,00","136,00","136,00","136,00","0,01K","0,00%"
"25/11/2021","136,00","136,00","136,00","136,00","0,01K","2,26%"
"22/11/2021","133,00","133,00","133,00","133,00","0,03K","0,00%"
"19/11/2021","133,00","133,00","133,00","133,00","0,00K","3,10%"
"17/11/2021","129,00","129,00","129,00","129,00","0,05K","0,00%"
"16/11/2021","129,00","129,00","129,00","129,00","0,04K","3,20%"
"15/11/2021","125,00","125,00","125,00","125,00","0,05K","2,04%"
"12/11/2021","122,50","122,50","122,50","122,50","0,01K","3,81%"
"11/11/2021","118,00","118,00","118,00","118,00","0,03K","1,07%"
"09/11/2021","116,75","116,75","116,75","116,75","0,03K","3,96%"
"08/11/2021","112,30","112,30","112,30","112,30","0,04K","3,98%"
"05/11/2021","108,00","108,00","108,00","108,00","0,00K","0,00%"
"04/11/2021","108,00","108,00","108,00","108,00","0,01K","2,37%"
"03/11/2021","105,50","105,50","105,50","105,50","0,01K","0,00%"
"02/11/2021","105,50","105,50","105,50","105,50","0,02K","3,53%"
"29/10/2021","101,90","101,90","101,90","101,90","0,02K","3,99%"
"28/10/2021","97,99","97,99","97,99","97,99","0,02K","3,15%"
"27/10/2021","95,00","95,00","95,00","95,00","0,01K","0,00%"
"26/10/2021","95,00","95,00","95,00","95,00","0,01K","2,15%"
"22/10/2021","93,00","93,00","93,00","93,00","0,01K","3,97%"
"21/10/2021","89,45","89,45","89,45","89,45","0,01K","3,95%"
"07/10/2021","86,05","86,05","86,05","86,05","2,61K","0,09%"
"06/10/2021","85,97","85,97","85,97","85,97","0,19K","-1,98%"
"04/10/2021","87,71","87,71","87,71","87,71","0,01K","1,99%"
"29/09/2021","86,00","86,00","86,00","86,00","0,00K","1,78%"
"28/09/2021","84,50","84,50","84,50","84,50","0,00K","-1,85%"
"20/09/2021","86,09","86,09","86,09","86,09","0,00K","1,99%"
"10/09/2021","84,41","84,41","84,41","84,41","0,00K","1,99%"
"27/08/2021","82,76","82,76","82,76","82,76","0,06K","2,00%"
"26/08/2021","81,14","81,14","81,14","81,14","0,01K","2,00%"
"25/08/2021","79,55","79,55","79,55","79,55","0,17K","1,99%"
"23/08/2021","78,00","78,00","78,00","78,00","0,79K","0,00%"
"19/08/2021","78,00","78,00","78,00","78,00","0,10K","0,00%"
"18/08/2021","78,00","78,00","78,00","78,00","0,05K","1,89%"
"17/08/2021","76,55","76,55","76,55","76,55","0,00K","-1,86%"
