"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","440","440","440","440","0,00K","2,30%"
"11/11/2022","430","431","431","430","0,02K","-0,21%"
"10/11/2022","431","458","458","431","0,49K","-5,90%"
"09/11/2022","458","462","462","458","0,03K","-2,55%"
"08/11/2022","470","470","470","470","0,01K","4,44%"
"04/11/2022","450","451","451","450","0,01K","0,00%"
"03/11/2022","450","460","460","450","0,05K","-3,43%"
"02/11/2022","466","494","525","466","165,18K","-5,86%"
"01/11/2022","495","475","495","475","0,94K","3,14%"
"31/10/2022","480","480","480","480","0,00K","-1,45%"
"28/10/2022","487","460","487","460","0,67K","5,87%"
"27/10/2022","460","460","460","460","0,02K","5,75%"
"26/10/2022","435","435","435","435","0,01K","-1,14%"
"25/10/2022","440","440","440","440","0,01K","0,23%"
"21/10/2022","439","450","450","439","0,04K","-3,52%"
"20/10/2022","455","450","455","450","0,75K","1,11%"
"19/10/2022","450","442","450","440","0,52K","-1,10%"
"18/10/2022","455","455","455","455","0,00K","3,41%"
"17/10/2022","440","430","440","430","0,22K","-1,12%"
"14/10/2022","445","455","455","445","0,17K","-1,11%"
"13/10/2022","450","461","461","450","0,22K","-3,43%"
"12/10/2022","466","466","466","466","0,00K","-0,85%"
"07/10/2022","470","465","470","465","0,03K","1,08%"
"04/10/2022","465","465","465","465","0,01K","1,09%"
"03/10/2022","460","460","460","460","0,01K","2,22%"
"30/09/2022","450","450","450","450","3,10K","-1,10%"
"29/09/2022","455","455","455","451","0,47K","0,00%"
"28/09/2022","455","460","469","455","0,19K","-1,09%"
"27/09/2022","460","465","465","460","0,74K","-1,15%"
"26/09/2022","465","470","470","465","0,01K","0,28%"
"23/09/2022","464","484","484","464","0,06K","-1,27%"
"22/09/2022","470","470","470","470","0,15K","0,00%"
"21/09/2022","470","475","475","470","0,06K","-2,88%"
"20/09/2022","484","484","484","484","0,00K","2,64%"
"16/09/2022","472","485","485","472","0,32K","-0,74%"
"15/09/2022","475","475","475","475","0,32K","-2,05%"
"14/09/2022","485","485","485","485","0,00K","2,85%"
"13/09/2022","472","488","488","472","0,27K","-2,58%"
"12/09/2022","484","475","484","474","0,49K","2,11%"
"09/09/2022","474","474","474","465","8,38K","1,91%"
"08/09/2022","465","464","465","463","6,20K","0,45%"
"07/09/2022","463","475","475","450","1,06M","-1,49%"
"06/09/2022","470","470","470","470","0,05K","0,00%"
"05/09/2022","470","470","470","470","0,15K","0,86%"
"02/09/2022","466","466","466","466","0,02K","-0,84%"
"01/09/2022","470","464","470","464","0,02K","0,20%"
"31/08/2022","469","470","470","467","0,04K","-0,19%"
"29/08/2022","470","470","470","470","0,02K","1,69%"
"25/08/2022","462","463","463","462","0,02K","0,00%"
"24/08/2022","463","465","465","463","0,17K","-0,22%"
"22/08/2022","464","467","467","464","0,06K","-1,38%"
"19/08/2022","470","463","470","463","0,00K","0,86%"
"18/08/2022","466","466","466","466","0,37K","0,00%"
"17/08/2022","466","468","474","466","0,06K","-0,84%"
"16/08/2022","470","470","470","470","0,00K","1,06%"
"15/08/2022","465","466","466","465","0,06K","0,00%"
"12/08/2022","465","463","474","462","0,04K","0,43%"
"11/08/2022","463","463","463","463","0,02K","0,00%"
"10/08/2022","463","463","463","463","0,01K","0,65%"
