"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","217,90","211,00","218,00","211,00","14,22K","3,76%"
"11/11/2022","210,00","217,00","217,00","210,00","56,25K","-2,33%"
"10/11/2022","215,00","216,10","218,00","215,00","65,06K","-1,38%"
"09/11/2022","218,00","220,00","220,00","218,00","38,31K","-0,91%"
"08/11/2022","220,00","221,00","221,00","219,00","40,58K","-0,45%"
"07/11/2022","221,00","219,40","221,00","219,20","15,83K","0,55%"
"04/11/2022","219,80","220,50","220,50","219,80","36,85K","-0,09%"
"03/11/2022","220,00","220,00","220,50","219,00","11,65K","0,00%"
"02/11/2022","220,00","220,00","220,50","220,00","41,20K","0,00%"
"01/11/2022","220,00","220,00","220,00","220,00","25,13K","0,00%"
"31/10/2022","220,00","220,00","220,00","220,00","30,99K","0,00%"
"28/10/2022","220,00","220,00","220,00","220,00","9,02K","-0,90%"
"27/10/2022","222,00","215,30","225,00","215,30","9,96K","3,26%"
"26/10/2022","215,00","224,05","224,05","215,00","55,07K","-4,02%"
"25/10/2022","224,00","225,00","225,00","223,50","4,58K","0,04%"
"24/10/2022","223,90","223,90","223,90","223,90","1,86K","0,00%"
"21/10/2022","223,90","224,10","225,00","223,00","9,19K","-0,04%"
"20/10/2022","224,00","230,00","230,00","224,00","48,37K","-4,68%"
"19/10/2022","235,00","235,00","235,00","235,00","2,55K","0,00%"
"18/10/2022","235,00","235,00","235,00","235,00","2,56K","0,00%"
"17/10/2022","235,00","236,50","236,50","228,10","49,08K","-0,80%"
"14/10/2022","236,90","239,05","239,90","236,90","32,73K","-1,29%"
"13/10/2022","240,00","240,20","242,00","238,00","96,87K","0,00%"
"12/10/2022","240,00","243,95","243,95","240,00","5,86K","-2,04%"
"11/10/2022","245,00","242,00","245,00","240,00","6,69K","1,24%"
"07/10/2022","242,00","241,05","242,90","241,05","7,02K","-0,82%"
"06/10/2022","244,00","243,00","244,00","243,00","10,25K","0,41%"
"05/10/2022","243,00","239,00","243,00","239,00","22,09K","0,00%"
"04/10/2022","243,00","237,15","243,00","237,15","1,29K","1,25%"
"03/10/2022","240,00","244,00","244,00","240,00","2,58K","-1,23%"
"30/09/2022","243,00","251,00","251,00","236,00","264,06K","0,41%"
"29/09/2022","242,00","250,00","250,00","238,50","184,54K","-1,22%"
"28/09/2022","245,00","253,00","253,00","245,00","17,91K","-3,52%"
"27/09/2022","253,95","255,50","255,50","253,95","7,93K","-0,76%"
"26/09/2022","255,90","256,00","256,00","255,90","5,30K","-0,04%"
"23/09/2022","256,00","255,50","256,00","255,50","11,46K","0,00%"
"22/09/2022","256,00","257,95","257,95","256,00","6,89K","-0,76%"
"21/09/2022","257,95","256,50","257,95","256,00","10,52K","0,57%"
"20/09/2022","256,50","255,20","256,50","255,10","4,59K","0,00%"
"19/09/2022","256,50","258,90","258,90","256,50","6,78K","0,00%"
"16/09/2022","256,50","255,15","256,50","255,15","28,12K","0,20%"
"15/09/2022","256,00","256,00","256,00","256,00","0,28K","0,00%"
"14/09/2022","256,00","256,00","259,00","256,00","7,47K","0,00%"
"13/09/2022","256,00","255,10","256,00","255,10","27,24K","-0,31%"
"12/09/2022","256,80","256,80","256,80","256,80","0,01K","0,31%"
"09/09/2022","256,00","256,00","256,00","256,00","7,65K","0,39%"
"08/09/2022","255,00","255,05","255,05","252,70","1,84K","-0,02%"
"07/09/2022","255,05","256,00","256,00","255,05","11,39K","-0,37%"
