"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","158,00","156,30","164,95","156,30","10,05K","1,28%"
"11/11/2022","156,00","156,50","156,50","156,00","5,90K","0,00%"
"10/11/2022","156,00","158,00","158,50","155,00","50,07K","-1,27%"
"09/11/2022","158,00","158,00","158,05","157,00","47,13K","0,00%"
"08/11/2022","158,00","158,60","158,60","156,00","25,16K","-0,63%"
"07/11/2022","159,00","159,50","159,50","159,00","14,30K","-0,31%"
"04/11/2022","159,50","160,15","160,15","159,00","28,43K","-0,31%"
"03/11/2022","160,00","159,50","160,00","159,50","25,58K","0,06%"
"02/11/2022","159,90","164,00","164,00","159,90","2,77K","-0,06%"
"01/11/2022","160,00","160,00","161,00","158,00","1,71K","0,00%"
"31/10/2022","160,00","161,00","161,00","160,00","19,13K","-0,62%"
"28/10/2022","161,00","169,05","169,05","159,50","235,03K","0,94%"
"27/10/2022","159,50","159,00","159,50","158,35","5,88K","-0,25%"
"26/10/2022","159,90","165,95","165,95","159,90","2,72K","-1,90%"
"25/10/2022","163,00","166,00","166,00","163,00","0,51K","0,62%"
"24/10/2022","162,00","163,00","171,95","162,00","3,05K","-0,61%"
"21/10/2022","163,00","164,00","165,00","161,00","7,63K","-0,58%"
"20/10/2022","163,95","173,00","173,00","159,50","67,62K","-2,41%"
"19/10/2022","168,00","168,00","168,00","165,00","0,97K","0,00%"
"18/10/2022","168,00","171,00","171,00","168,00","6,41K","-1,18%"
"17/10/2022","170,00","170,00","170,00","168,10","8,84K","-0,58%"
"14/10/2022","171,00","172,90","175,00","171,00","17,27K","-1,10%"
"13/10/2022","172,90","175,00","175,00","172,90","5,61K","-1,20%"
"12/10/2022","175,00","174,10","176,00","174,00","3,09K","-1,13%"
"11/10/2022","177,00","178,50","178,50","175,05","3,15K","0,00%"
"07/10/2022","177,00","177,00","177,00","175,00","28,76K","-0,45%"
"06/10/2022","177,80","175,00","177,80","175,00","75,02K","2,77%"
"05/10/2022","173,00","170,00","175,00","170,00","20,55K","1,76%"
"04/10/2022","170,00","173,00","173,05","168,00","10,82K","2,84%"
"03/10/2022","165,30","165,10","165,30","165,00","0,10K","2,67%"
"30/09/2022","161,00","170,00","180,05","161,00","13,16K","-5,29%"
"29/09/2022","170,00","178,00","181,00","170,00","8,99K","-2,30%"
"28/09/2022","174,00","178,00","179,90","174,00","5,05K","-1,85%"
"27/09/2022","177,27","177,27","177,27","175,30","66,35K","0,00%"
"26/09/2022","177,27","177,76","177,76","177,27","0,99K","-0,28%"
"23/09/2022","177,76","179,74","179,74","177,76","12,37K","0,19%"
"22/09/2022","177,42","177,76","177,76","177,42","0,51K","-0,22%"
"21/09/2022","177,81","177,86","177,86","177,81","2,30K","-0,03%"
"20/09/2022","177,86","177,76","179,98","177,76","10,18K","0,06%"
"19/09/2022","177,76","177,86","177,86","177,27","25,98K","0,17%"
"16/09/2022","177,47","177,76","179,24","177,27","33,24K","0,11%"
"15/09/2022","177,27","174,37","177,32","174,32","60,59K","0,00%"
"14/09/2022","177,27","177,27","177,27","175,30","13,67K","0,00%"
"13/09/2022","177,27","177,27","177,27","177,27","13,26K","0,00%"
"12/09/2022","177,27","179,24","179,24","176,29","14,23K","0,00%"
"09/09/2022","177,27","177,27","177,27","177,27","10,20K","0,00%"
"08/09/2022","177,27","177,27","179,24","172,35","13,80K","0,00%"
"07/09/2022","177,27","177,27","179,24","177,27","17,65K","0,00%"
"06/09/2022","177,27","175,79","177,27","174,32","2,83K","0,00%"
"05/09/2022","177,27","177,27","177,27","175,30","0,76K","0,00%"
"02/09/2022","177,27","176,29","177,27","176,29","15,23K","0,00%"
"01/09/2022","177,27","176,39","177,27","174,32","15,99K","0,00%"
"31/08/2022","177,27","179,24","179,24","176,78","11,47K","-1,10%"
"30/08/2022","179,24","179,24","179,24","179,24","0,00K","1,11%"
"29/08/2022","177,27","177,27","177,27","177,27","0,15K","0,00%"
"26/08/2022","177,27","177,27","177,27","177,27","10,24K","0,00%"
"25/08/2022","177,27","179,19","179,19","176,68","2,05K","0,00%"
"24/08/2022","177,27","177,27","178,75","176,29","3,48K","0,00%"
"23/08/2022","177,27","177,27","177,27","177,27","0,01K","0,00%"
"22/08/2022","177,27","178,75","178,75","176,34","3,10K","0,00%"
"19/08/2022","177,27","177,27","178,26","177,27","4,28K","0,00%"
"18/08/2022","177,27","177,27","177,27","177,27","7,41K","0,00%"
"17/08/2022","177,27","177,27","177,27","176,88","0,77K","-0,03%"
"16/08/2022","177,32","179,24","179,24","177,32","16,00K","-1,07%"
"15/08/2022","179,24","179,24","179,24","176,68","15,29K","1,11%"
"12/08/2022","177,27","177,27","177,27","176,53","9,43K","-1,10%"
"11/08/2022","179,24","180,67","180,67","176,29","11,51K","1,11%"
"10/08/2022","177,27","180,72","180,72","175,79","0,70K","0,00%"
"09/08/2022","177,27","174,37","177,27","174,32","1,49K","0,00%"
"08/08/2022","177,27","181,16","181,16","175,30","4,47K","0,00%"
"05/08/2022","177,27","180,97","180,97","177,27","1,74K","0,00%"
"04/08/2022","177,27","177,27","177,27","175,30","2,13K","0,00%"
"03/08/2022","177,27","175,35","177,27","175,30","8,75K","0,00%"
"02/08/2022","177,27","177,27","177,27","175,30","5,34K","0,00%"
"01/08/2022","177,27","177,27","177,27","175,30","2,32K","0,00%"
"29/07/2022","177,27","180,18","180,18","177,27","0,13K","0,00%"
"28/07/2022","177,27","177,22","177,27","177,22","7,12K","0,00%"
"27/07/2022","177,27","177,27","177,27","177,27","7,15K","0,00%"
"26/07/2022","177,27","177,27","177,27","177,27","11,09K","0,00%"
