"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","590,50","590,50","590,50","590,50","0,50K","0,00%"
"10/11/2022","590,50","590,50","590,50","590,50","0,10K","-3,98%"
"08/11/2022","615,00","615,00","615,00","615,00","2,50K","0,00%"
"07/11/2022","615,00","615,00","615,00","615,00","0,62K","0,00%"
"04/11/2022","615,00","615,00","615,00","615,00","1,05K","0,00%"
"02/11/2022","615,00","615,00","615,00","615,00","0,00K","3,36%"
"01/11/2022","595,00","595,00","595,00","595,00","0,10K","3,48%"
"31/10/2022","575,00","575,00","575,00","575,00","3,00K","0,88%"
"28/10/2022","570,00","570,00","570,00","570,00","3,25K","-2,56%"
"27/10/2022","585,00","585,00","585,00","585,00","0,54K","0,86%"
"26/10/2022","580,00","580,00","580,00","580,00","0,50K","0,00%"
"25/10/2022","580,00","580,00","580,00","580,00","0,50K","0,00%"
"24/10/2022","580,00","580,00","580,00","580,00","0,36K","-0,85%"
"21/10/2022","585,00","585,00","585,00","585,00","1,18K","0,00%"
"20/10/2022","585,00","585,00","585,00","585,00","1,00K","0,00%"
"14/10/2022","585,00","585,00","585,00","585,00","0,15K","-3,47%"
"13/10/2022","606,00","606,00","606,00","606,00","0,03K","1,00%"
"12/10/2022","600,00","600,00","600,00","600,00","0,06K","-3,24%"
"07/10/2022","620,10","620,10","620,10","620,10","1,04K","0,00%"
"06/10/2022","620,10","620,10","620,10","620,10","1,00K","0,00%"
"05/10/2022","620,10","620,10","620,10","620,10","0,88K","-3,82%"
"30/09/2022","644,70","644,70","644,70","644,70","4,01K","3,98%"
"29/09/2022","620,00","620,00","620,00","620,00","1,10K","-3,95%"
"27/09/2022","645,50","645,50","645,50","645,50","2,40K","-1,01%"
"26/09/2022","652,10","652,10","652,10","652,10","1,10K","3,99%"
"23/09/2022","627,10","627,10","627,10","627,10","7,25K","4,00%"
"22/09/2022","603,00","603,00","603,00","603,00","0,10K","-0,99%"
"21/09/2022","609,00","609,00","609,00","609,00","0,01K","3,92%"
"20/09/2022","586,00","586,00","586,00","586,00","0,07K","-3,93%"
"16/09/2022","610,00","610,00","610,00","610,00","1,50K","-1,61%"
"15/09/2022","620,00","620,00","620,00","620,00","0,05K","0,00%"
"30/08/2022","620,00","620,00","620,00","620,00","0,19K","0,16%"
"26/08/2022","619,00","619,00","619,00","619,00","0,00K","3,86%"
"25/08/2022","596,00","596,00","596,00","596,00","0,13K","-3,87%"
"24/08/2022","620,00","620,00","620,00","620,00","0,09K","0,00%"
"19/08/2022","620,00","620,00","620,00","620,00","0,12K","0,00%"
"15/08/2022","620,00","620,00","620,00","620,00","1,60K","-2,05%"
"12/08/2022","633,00","633,00","633,00","633,00","0,01K","-3,95%"
"11/08/2022","659,00","659,00","659,00","659,00","0,00K","3,94%"
"09/08/2022","634,00","634,00","634,00","634,00","0,04K","3,93%"
"05/08/2022","610,00","610,00","610,00","610,00","0,24K","-3,48%"
"04/08/2022","632,00","632,00","632,00","632,00","0,01K","-3,81%"
"02/08/2022","657,00","657,00","657,00","657,00","0,01K","3,96%"
"29/07/2022","632,00","632,00","632,00","632,00","0,01K","-3,95%"
"22/07/2022","658,00","658,00","658,00","658,00","0,00K","-3,94%"
"21/07/2022","685,00","685,00","685,00","685,00","0,01K","2,24%"
