"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","299,90","299,80","299,90","299,80","0,02K","0,37%"
"11/11/2022","298,80","296,50","298,80","296,50","21,60K","3,75%"
"10/11/2022","288,00","299,80","299,80","288,00","1,99K","-4,00%"
"09/11/2022","300,00","300,65","300,65","300,00","0,32K","-2,28%"
"08/11/2022","307,00","307,50","307,50","307,00","0,01K","-0,16%"
"07/11/2022","307,50","307,00","307,50","307,00","0,10K","0,16%"
"04/11/2022","307,00","307,00","307,00","307,00","0,10K","5,83%"
"03/11/2022","290,10","300,00","300,00","290,10","1,19K","-3,30%"
"02/11/2022","300,00","304,80","304,80","300,00","0,00K","3,45%"
"31/10/2022","290,00","292,00","305,00","290,00","5,10K","-2,68%"
"28/10/2022","298,00","298,00","298,00","298,00","0,01K","2,79%"
"27/10/2022","289,90","283,00","290,00","281,00","23,62K","1,72%"
"26/10/2022","285,00","290,00","290,00","285,00","12,81K","-1,72%"
"25/10/2022","290,00","290,00","290,00","286,00","0,52K","0,00%"
"24/10/2022","290,00","290,00","290,00","290,00","0,51K","0,69%"
"21/10/2022","288,00","289,95","289,95","285,00","1,83K","-0,69%"
"20/10/2022","290,00","297,00","297,00","290,00","13,50K","-2,36%"
"19/10/2022","297,00","297,00","297,00","297,00","1,00K","0,30%"
"18/10/2022","296,10","296,05","296,10","296,05","0,16K","-0,97%"
"17/10/2022","299,00","300,00","300,00","297,00","1,11K","-0,33%"
"14/10/2022","300,00","302,00","302,00","299,05","6,78K","-0,07%"
"13/10/2022","300,20","308,00","308,00","300,20","0,41K","-3,16%"
"12/10/2022","310,00","310,00","310,00","310,00","0,06K","-2,19%"
"11/10/2022","316,95","316,95","316,95","316,95","0,00K","0,62%"
"07/10/2022","315,00","306,50","315,00","306,50","0,29K","5,00%"
"06/10/2022","300,00","299,50","300,00","299,50","0,37K","0,33%"
"04/10/2022","299,00","300,05","300,05","299,00","0,08K","-0,33%"
"03/10/2022","300,00","310,00","310,00","300,00","11,37K","-3,23%"
"30/09/2022","310,00","317,90","317,90","300,00","36,24K","0,00%"
"29/09/2022","310,00","310,50","317,90","310,00","3,89K","-1,02%"
"28/09/2022","313,20","316,00","316,00","313,20","1,51K","-2,12%"
"27/09/2022","320,00","323,00","323,00","320,00","2,01K","-0,93%"
"26/09/2022","323,00","316,00","323,00","316,00","0,21K","0,00%"
"23/09/2022","323,00","320,30","323,00","320,00","6,30K","0,00%"
"22/09/2022","323,00","320,00","323,00","320,00","6,47K","0,94%"
"21/09/2022","320,00","320,00","320,00","320,00","8,10K","-1,17%"
"20/09/2022","323,80","320,00","323,80","320,00","0,51K","1,19%"
"19/09/2022","320,00","320,00","320,00","320,00","1,67K","0,00%"
"16/09/2022","320,00","320,00","320,90","320,00","9,74K","0,00%"
"14/09/2022","320,00","320,00","320,00","320,00","0,06K","0,31%"
"13/09/2022","319,00","314,00","319,90","314,00","7,30K","0,00%"
"12/09/2022","319,00","319,00","319,00","319,00","0,01K","0,31%"
"09/09/2022","318,00","319,90","319,90","318,00","0,09K","-0,59%"
"07/09/2022","319,90","319,85","319,90","319,85","0,01K","1,52%"
"06/09/2022","315,10","315,00","315,10","315,00","1,10K","-1,53%"
"02/09/2022","320,00","311,90","320,00","310,00","1,89K","3,23%"
"01/09/2022","310,00","311,00","311,00","310,00","0,39K","-2,21%"
"31/08/2022","317,00","317,00","317,00","317,00","9,99K","2,26%"
"29/08/2022","310,00","316,00","316,00","310,00","0,65K","-1,90%"
"26/08/2022","316,00","317,90","317,95","316,00","1,11K","-0,30%"
"25/08/2022","316,95","316,95","316,95","316,95","2,58K","-0,30%"
"24/08/2022","317,90","317,90","317,90","317,90","0,01K","2,55%"
"23/08/2022","310,00","315,00","315,00","310,00","0,04K","-2,50%"
"22/08/2022","317,95","316,00","317,95","316,00","2,17K","0,94%"
"19/08/2022","315,00","318,00","318,00","315,00","3,99K","0,00%"
"18/08/2022","315,00","315,00","315,00","315,00","0,06K","0,00%"
"17/08/2022","315,00","314,00","315,00","314,00","10,08K","0,96%"
"16/08/2022","312,00","318,00","318,00","312,00","0,12K","-0,95%"
"15/08/2022","315,00","315,00","315,00","315,00","0,10K","0,03%"
"12/08/2022","314,90","312,00","316,00","310,00","15,16K","-0,03%"
"11/08/2022","315,00","315,00","315,00","315,00","0,05K","0,32%"
"10/08/2022","314,00","314,00","314,00","305,00","0,16K","0,00%"
"09/08/2022","314,00","314,00","314,00","314,00","0,07K","3,63%"
"08/08/2022","303,00","305,35","305,35","303,00","1,14K","-1,62%"
"05/08/2022","308,00","310,00","310,00","308,00","0,19K","-1,28%"
"01/08/2022","312,00","306,00","312,00","303,30","0,55K","-0,95%"
"29/07/2022","315,00","312,00","315,00","312,00","0,20K","1,61%"
"27/07/2022","310,00","312,00","312,00","310,00","0,24K","0,00%"
"22/07/2022","310,00","313,00","313,00","310,00","1,60K","2,62%"
"21/07/2022","302,10","303,00","303,00","302,10","0,12K","-1,92%"
"20/07/2022","308,00","310,00","310,00","308,00","1,49K","0,00%"
"19/07/2022","308,00","311,00","311,00","308,00","0,20K","-0,65%"
"18/07/2022","310,00","310,00","310,00","301,00","5,00K","0,00%"
"15/07/2022","310,00","310,00","310,00","310,00","3,00K","1,87%"
"14/07/2022","304,30","309,00","310,00","304,30","0,07K","0,10%"
"13/07/2022","304,00","309,00","309,00","304,00","10,05K","-1,94%"
"08/07/2022","310,00","310,00","310,00","310,00","0,02K","-0,88%"
"07/07/2022","312,75","312,75","312,75","312,75","0,01K","1,87%"
"06/07/2022","307,00","304,00","307,00","300,00","8,39K","0,66%"
"05/07/2022","305,00","305,00","305,00","305,00","0,05K","-2,85%"
"04/07/2022","313,95","308,00","313,95","305,00","0,02K","1,27%"
"01/07/2022","310,00","313,00","313,00","310,00","1,03K","-2,52%"
"30/06/2022","318,00","320,00","324,00","313,00","0,28K","-0,63%"
"28/06/2022","320,00","320,00","320,00","320,00","0,01K","0,00%"
"24/06/2022","320,00","310,00","320,00","308,00","10,47K","3,23%"
"23/06/2022","310,00","316,00","318,00","310,00","55,57K","-3,28%"
"22/06/2022","320,50","321,00","321,00","320,50","2,30K","-0,77%"
"20/06/2022","323,00","323,00","323,00","323,00","0,00K","0,00%"
"17/06/2022","323,00","323,00","323,00","318,00","2,20K","0,00%"
"16/06/2022","323,00","325,00","325,00","320,00","560,10K","-1,82%"
"15/06/2022","329,00","320,00","329,00","320,00","0,10K","2,81%"
"14/06/2022","320,00","326,00","326,00","320,00","1,84K","-4,18%"
"13/06/2022","333,95","326,00","333,95","325,00","0,17K","-0,31%"
"10/06/2022","335,00","330,00","335,00","330,00","1,93K","0,00%"
"08/06/2022","335,00","335,00","335,00","335,00","0,02K","1,52%"
"07/06/2022","330,00","330,00","335,00","330,00","5,68K","-1,49%"
"03/06/2022","335,00","321,00","335,00","321,00","2,04K","4,04%"
"01/06/2022","322,00","322,10","322,10","322,00","0,05K","0,00%"
"31/05/2022","322,00","320,00","322,10","320,00","0,38K","-2,25%"
"30/05/2022","329,40","329,50","329,50","329,40","0,04K","0,73%"
"27/05/2022","327,00","329,70","329,70","320,00","2,30K","2,19%"
"26/05/2022","320,00","316,00","320,00","301,20","2,45K","0,00%"
"25/05/2022","320,00","320,00","320,00","315,05","0,65K","1,59%"
"24/05/2022","315,00","320,20","324,50","315,00","1,22K","-1,56%"
"23/05/2022","320,00","330,00","330,00","320,00","0,30K","-3,03%"
"20/05/2022","330,00","328,00","330,00","325,00","1,87K","0,30%"
"19/05/2022","329,00","332,00","332,00","329,00","0,40K","-0,89%"
"18/05/2022","331,95","330,00","331,95","322,10","1,03K","-0,02%"
"17/05/2022","332,00","336,90","336,90","330,00","0,49K","-0,90%"
"13/05/2022","335,00","335,00","336,00","335,00","0,31K","0,00%"
"12/05/2022","335,00","330,05","336,90","330,05","0,11K","0,00%"
"11/05/2022","335,00","327,50","335,00","327,50","0,00K","3,08%"
"10/05/2022","325,00","338,10","338,10","325,00","6,60K","-3,56%"
"09/05/2022","337,00","337,00","337,00","337,00","0,01K","-2,03%"
