"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","1.300,00","1.358,00","1.358,00","1.290,00","3,52K","0,78%"
"11/11/2022","1.290,00","1.270,00","1.349,00","1.250,00","7,88K","0,00%"
"10/11/2022","1.290,00","1.330,00","1.340,00","1.290,00","4,02K","-3,73%"
"09/11/2022","1.340,00","1.379,00","1.379,00","1.340,00","0,60K","-2,83%"
"08/11/2022","1.379,00","1.398,00","1.398,00","1.375,00","1,63K","-1,43%"
"07/11/2022","1.399,00","1.389,00","1.399,00","1.389,00","0,00K","3,63%"
"04/11/2022","1.350,00","1.397,00","1.397,00","1.350,00","0,29K","-1,82%"
"03/11/2022","1.375,00","1.400,00","1.400,00","1.375,00","0,38K","0,51%"
"02/11/2022","1.368,00","1.370,00","1.370,00","1.368,00","0,29K","-0,51%"
"01/11/2022","1.375,00","1.375,00","1.375,00","1.375,00","0,04K","1,85%"
"31/10/2022","1.350,00","1.375,00","1.375,00","1.350,00","4,07K","-1,82%"
"28/10/2022","1.375,00","1.400,00","1.400,00","1.375,00","1,20K","0,36%"
"27/10/2022","1.370,00","1.372,00","1.398,00","1.370,00","0,24K","-0,36%"
"26/10/2022","1.375,00","1.399,00","1.399,00","1.375,00","1,10K","-1,79%"
"21/10/2022","1.400,00","1.370,00","1.400,00","1.370,00","0,59K","2,87%"
"20/10/2022","1.361,00","1.385,00","1.385,00","1.352,00","1,97K","-2,79%"
"19/10/2022","1.400,00","1.386,00","1.400,00","1.385,00","8,61K","1,08%"
"18/10/2022","1.385,00","1.385,00","1.385,00","1.385,00","0,02K","0,00%"
"17/10/2022","1.385,00","1.385,00","1.385,00","1.355,00","0,03K","0,00%"
"14/10/2022","1.385,00","1.430,00","1.450,00","1.385,00","2,27K","-1,07%"
"13/10/2022","1.400,00","1.400,00","1.400,00","1.400,00","3,96K","-2,17%"
"12/10/2022","1.431,00","1.431,00","1.431,00","1.431,00","0,37K","-4,60%"
"11/10/2022","1.500,00","1.500,00","1.500,00","1.457,00","0,28K","0,00%"
"07/10/2022","1.500,00","1.500,00","1.500,00","1.500,00","0,01K","0,07%"
"06/10/2022","1.499,00","1.499,00","1.499,00","1.499,00","0,00K","0,60%"
"05/10/2022","1.490,00","1.490,00","1.490,00","1.490,00","0,00K","-0,27%"
"04/10/2022","1.494,00","1.494,00","1.494,00","1.494,00","0,00K","1,63%"
"30/09/2022","1.470,00","1.450,00","1.470,00","1.420,00","31,68K","1,59%"
"29/09/2022","1.447,00","1.490,00","1.490,00","1.414,00","8,35K","-2,89%"
"28/09/2022","1.490,00","1.500,00","1.500,00","1.460,00","0,13K","-0,60%"
"27/09/2022","1.499,00","1.550,00","1.550,00","1.499,00","0,73K","-3,29%"
"26/09/2022","1.550,00","1.598,00","1.598,00","1.550,00","1,16K","-3,06%"
"23/09/2022","1.599,00","1.598,00","1.599,00","1.598,00","0,16K","0,06%"
"22/09/2022","1.598,00","1.600,00","1.600,00","1.595,00","0,20K","-0,13%"
"21/09/2022","1.600,00","1.595,00","1.600,00","1.595,00","0,06K","0,31%"
"20/09/2022","1.595,00","1.595,00","1.595,00","1.595,00","0,01K","1,59%"
"19/09/2022","1.570,00","1.595,00","1.595,00","1.570,00","0,31K","-1,57%"
"16/09/2022","1.595,00","1.595,00","1.595,00","1.595,00","7,75K","-1,24%"
"15/09/2022","1.615,00","1.615,00","1.615,00","1.615,00","0,00K","0,94%"
"13/09/2022","1.600,00","1.616,00","1.616,00","1.600,00","0,27K","-1,17%"
"12/09/2022","1.619,00","1.619,00","1.619,00","1.619,00","0,01K","2,47%"
"09/09/2022","1.580,00","1.615,00","1.615,00","1.580,00","1,90K","-1,25%"
"08/09/2022","1.600,00","1.600,00","1.600,00","1.592,00","0,03K","-0,62%"
"07/09/2022","1.610,00","1.610,00","1.610,00","1.610,00","0,00K","0,63%"
"06/09/2022","1.600,00","1.610,00","1.610,00","1.600,00","0,01K","-0,62%"
"05/09/2022","1.610,00","1.610,00","1.610,00","1.610,00","0,02K","1,58%"
"02/09/2022","1.585,00","1.600,00","1.600,00","1.585,00","2,26K","-0,94%"
"31/08/2022","1.600,00","1.602,00","1.602,00","1.600,00","1,97K","-0,62%"
"30/08/2022","1.610,00","1.600,00","1.610,00","1.600,00","0,03K","0,63%"
"26/08/2022","1.600,00","1.602,00","1.649,00","1.600,00","2,37K","-0,62%"
"25/08/2022","1.610,00","1.602,00","1.610,00","1.601,00","0,65K","0,00%"
"24/08/2022","1.610,00","1.610,00","1.610,00","1.610,00","0,51K","-0,62%"
"23/08/2022","1.620,00","1.620,00","1.620,00","1.620,00","0,00K","0,62%"
"22/08/2022","1.610,00","1.600,00","1.620,00","1.600,00","0,47K","0,63%"
"19/08/2022","1.600,00","1.620,00","1.620,00","1.600,00","0,39K","-0,31%"
"18/08/2022","1.605,00","1.611,00","1.611,00","1.605,00","1,19K","-0,31%"
"17/08/2022","1.610,00","1.620,00","1.620,00","1.610,00","0,32K","0,31%"
"16/08/2022","1.605,00","1.605,00","1.605,00","1.605,00","0,50K","-0,31%"
"15/08/2022","1.610,00","1.620,00","1.620,00","1.610,00","0,02K","0,00%"
"12/08/2022","1.610,00","1.620,00","1.620,00","1.610,00","0,18K","0,63%"
"11/08/2022","1.600,00","1.600,00","1.600,00","1.600,00","2,62K","-1,17%"
"10/08/2022","1.619,00","1.600,00","1.619,00","1.600,00","0,01K","1,19%"
"09/08/2022","1.600,00","1.600,00","1.600,00","1.590,00","0,06K","0,00%"
"08/08/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,01K","0,63%"
"05/08/2022","1.590,00","1.590,00","1.590,00","1.590,00","0,58K","0,63%"
"04/08/2022","1.580,00","1.581,00","1.581,00","1.580,00","3,02K","-0,63%"
"03/08/2022","1.590,00","1.590,00","1.590,00","1.590,00","0,57K","0,00%"
"02/08/2022","1.590,00","1.590,00","1.590,00","1.590,00","0,06K","-1,55%"
"01/08/2022","1.615,00","1.619,00","1.619,00","1.615,00","0,10K","2,15%"
"29/07/2022","1.581,00","1.581,00","1.581,00","1.581,00","0,12K","1,28%"
"28/07/2022","1.561,00","1.561,00","1.561,00","1.561,00","0,01K","0,32%"
"27/07/2022","1.556,00","1.560,00","1.560,00","1.555,00","0,32K","0,06%"
