"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","1.850,00","1.850,00","1.850,00","1.850,00","0,05K","-1,80%"
"10/11/2022","1.884,00","1.893,00","1.893,00","1.884,00","0,09K","0,75%"
"08/11/2022","1.870,00","1.870,00","1.870,00","1.870,00","0,01K","3,31%"
"07/11/2022","1.810,00","1.870,00","1.870,00","1.810,00","0,01K","-4,49%"
"04/11/2022","1.895,00","1.895,00","1.895,00","1.895,00","0,25K","2,43%"
"03/11/2022","1.850,00","1.850,00","1.850,00","1.850,00","0,05K","-1,07%"
"01/11/2022","1.870,00","1.875,00","1.875,00","1.870,00","0,01K","0,00%"
"28/10/2022","1.870,00","1.870,00","1.870,00","1.870,00","0,32K","0,00%"
"27/10/2022","1.870,00","1.870,00","1.870,00","1.870,00","0,20K","1,36%"
"26/10/2022","1.845,00","1.811,00","1.845,00","1.810,00","0,25K","0,00%"
"25/10/2022","1.845,00","1.849,00","1.849,00","1.845,00","4,26K","2,50%"
"24/10/2022","1.800,00","1.800,00","1.800,00","1.800,00","0,03K","-2,70%"
"21/10/2022","1.850,00","1.850,00","1.850,00","1.850,00","0,15K","0,00%"
"20/10/2022","1.850,00","1.880,00","1.880,00","1.805,00","0,50K","-1,60%"
"19/10/2022","1.880,00","1.875,00","1.880,00","1.875,00","0,03K","0,00%"
"18/10/2022","1.880,00","1.841,00","1.880,00","1.841,00","0,06K","-0,48%"
"17/10/2022","1.889,00","1.840,00","1.889,00","1.840,00","0,02K","-0,05%"
"14/10/2022","1.890,00","1.885,00","1.898,00","1.880,00","0,36K","-0,21%"
"07/10/2022","1.894,00","1.892,00","1.894,00","1.892,00","0,03K","2,21%"
"06/10/2022","1.853,00","1.852,00","1.853,00","1.852,00","0,01K","2,77%"
"05/10/2022","1.803,00","1.803,00","1.803,00","1.803,00","0,00K","0,17%"
"04/10/2022","1.800,00","1.800,00","1.800,00","1.800,00","0,04K","0,00%"
"03/10/2022","1.800,00","1.810,00","1.810,00","1.800,00","0,07K","0,00%"
"30/09/2022","1.800,00","1.900,00","1.970,00","1.800,00","1,32K","-4,76%"
"29/09/2022","1.890,00","1.846,00","1.900,00","1.846,00","0,37K","-0,53%"
"28/09/2022","1.900,00","1.920,00","1.920,00","1.811,00","0,10K","-0,52%"
"27/09/2022","1.910,00","1.939,00","1.939,00","1.910,00","2,54K","0,00%"
"26/09/2022","1.910,00","1.970,00","1.970,00","1.910,00","1,16K","-2,90%"
"23/09/2022","1.967,00","1.901,00","1.967,00","1.900,00","2,99K","1,39%"
"22/09/2022","1.940,00","1.900,00","1.940,00","1.900,00","0,26K","2,16%"
"21/09/2022","1.899,00","1.880,00","1.899,00","1.806,00","0,07K","-0,05%"
"20/09/2022","1.900,00","1.899,00","1.900,00","1.899,00","0,15K","2,37%"
"19/09/2022","1.856,00","1.910,00","1.910,00","1.856,00","1,07K","-2,32%"
"16/09/2022","1.900,00","1.891,00","1.945,00","1.891,00","1,29K","0,37%"
"15/09/2022","1.893,00","1.893,00","1.893,00","1.893,00","0,01K","-0,37%"
"14/09/2022","1.900,00","1.900,00","1.900,00","1.900,00","0,00K","0,26%"
"13/09/2022","1.895,00","1.891,00","1.900,00","1.891,00","0,52K","-0,26%"
"12/09/2022","1.900,00","1.920,00","1.920,00","1.900,00","0,03K","-0,26%"
"09/09/2022","1.905,00","1.930,00","1.930,00","1.905,00","0,17K","-0,37%"
"08/09/2022","1.912,00","1.943,00","1.944,00","1.897,00","0,07K","0,63%"
"07/09/2022","1.900,00","1.900,00","1.900,00","1.900,00","0,01K","-2,01%"
"06/09/2022","1.939,00","1.898,00","1.939,00","1.895,00","0,03K","2,05%"
"05/09/2022","1.900,00","1.900,00","1.900,00","1.900,00","0,57K","-2,56%"
"02/09/2022","1.950,00","1.939,00","1.950,00","1.939,00","0,10K","0,57%"
"01/09/2022","1.939,00","1.939,00","1.939,00","1.939,00","0,01K","-0,05%"
"31/08/2022","1.940,00","1.941,00","1.949,00","1.895,00","0,13K","-0,51%"
