"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","44,95","44,95","44,95","44,95","","0,11%"
"15/11/2022","44,90","45,32","45,32","44,90","0,13K","-0,95%"
"14/11/2022","45,33","44,90","45,33","44,01","0,29K","2,79%"
"10/11/2022","44,10","44,01","44,10","44,01","0,09K","-2,71%"
"09/11/2022","45,33","44,01","45,33","44,01","0,07K","2,56%"
"07/11/2022","44,20","45,35","45,35","44,20","0,00K","-2,54%"
"04/11/2022","45,35","45,30","45,35","45,30","0,32K","0,00%"
"03/11/2022","45,35","45,48","45,48","45,35","0,05K","-0,74%"
"02/11/2022","45,69","45,75","45,75","45,69","0,00K","0,64%"
"01/11/2022","45,40","45,50","45,50","45,40","0,20K","3,18%"
"31/10/2022","44,00","44,10","44,10","44,00","0,13K","-2,44%"
"28/10/2022","45,10","45,10","45,20","45,10","0,31K","-0,88%"
"27/10/2022","45,50","45,50","45,50","45,50","0,01K","-0,78%"
"26/10/2022","45,86","45,05","45,98","44,00","1,08K","-0,20%"
"25/10/2022","45,95","45,89","46,00","45,89","0,24K","0,02%"
"24/10/2022","45,94","45,00","45,94","45,00","0,17K","0,09%"
"21/10/2022","45,90","45,92","45,95","45,90","0,03K","-0,74%"
"19/10/2022","46,24","46,24","46,24","46,24","0,02K","5,04%"
"18/10/2022","44,02","45,99","45,99","44,02","0,80K","-1,08%"
"17/10/2022","44,50","44,50","44,50","44,50","0,10K","-4,79%"
"14/10/2022","46,74","46,79","46,79","46,74","0,01K","0,43%"
"13/10/2022","46,54","46,69","46,69","45,00","0,11K","3,42%"
"12/10/2022","45,00","46,69","46,69","45,00","0,30K","-3,18%"
"11/10/2022","46,48","45,02","46,48","45,02","0,02K","-0,26%"
"07/10/2022","46,60","45,99","46,60","44,00","0,90K","5,91%"
"06/10/2022","44,00","47,94","47,94","44,00","2,01K","-3,30%"
"05/10/2022","45,50","47,39","47,39","45,50","0,44K","0,82%"
"04/10/2022","45,13","48,14","48,14","45,13","1,08K","-5,98%"
"03/10/2022","48,00","46,00","48,39","46,00","0,07K","4,35%"
"30/09/2022","46,00","48,62","48,62","46,00","0,21K","0,00%"
"29/09/2022","46,00","46,00","48,75","46,00","1,18K","0,00%"
"28/09/2022","46,00","48,50","48,50","46,00","0,11K","0,00%"
"27/09/2022","46,00","46,00","46,00","46,00","1,00K","-4,17%"
"26/09/2022","48,00","51,08","51,08","48,00","1,14K","-3,98%"
"23/09/2022","49,99","51,16","51,16","49,99","0,04K","2,02%"
"22/09/2022","49,00","51,24","51,24","49,00","0,84K","-4,67%"
"21/09/2022","51,40","49,00","51,40","49,00","0,06K","4,90%"
"20/09/2022","49,00","49,00","49,00","49,00","0,23K","-1,01%"
"19/09/2022","49,50","51,69","51,69","49,50","1,52K","-4,26%"
"16/09/2022","51,70","49,51","51,70","49,51","0,21K","-0,19%"
"15/09/2022","51,80","51,50","51,80","51,50","0,02K","2,47%"
"14/09/2022","50,55","50,55","50,55","50,55","0,10K","-2,47%"
"12/09/2022","51,83","50,55","51,83","50,50","0,05K","1,83%"
"09/09/2022","50,90","50,90","50,90","50,90","0,03K","-1,70%"
"08/09/2022","51,78","51,78","51,78","51,78","0,00K","0,25%"
"07/09/2022","51,65","50,21","51,65","50,21","0,12K","0,00%"
"06/09/2022","51,65","50,20","51,65","50,20","0,02K","1,27%"
"05/09/2022","51,00","50,20","51,00","50,20","0,43K","-1,24%"
"02/09/2022","51,64","51,64","51,64","51,64","0,02K","0,86%"
"01/09/2022","51,20","50,87","51,20","50,87","1,15K","0,59%"
"31/08/2022","50,90","48,56","50,99","48,05","0,19K","1,82%"
"30/08/2022","49,99","51,00","51,00","49,99","0,38K","-2,71%"
"29/08/2022","51,38","51,38","51,38","51,38","0,00K","-0,21%"
"26/08/2022","51,49","48,10","51,49","48,10","0,15K","1,02%"
"25/08/2022","50,97","50,00","50,97","50,00","0,03K","-0,02%"
"23/08/2022","50,98","51,00","51,00","49,50","0,42K","-1,58%"
"22/08/2022","51,80","51,98","51,98","51,80","0,29K","3,15%"
"19/08/2022","50,22","50,22","51,50","50,22","1,49K","-1,43%"
"18/08/2022","50,95","49,96","50,95","49,96","1,62K","1,92%"
"17/08/2022","49,99","49,20","50,00","49,20","1,88K","1,61%"
"16/08/2022","49,20","48,98","49,30","48,00","0,64K","0,61%"
"15/08/2022","48,90","46,50","48,90","46,50","0,96K","3,25%"
"12/08/2022","47,36","47,39","47,39","45,14","0,50K","0,77%"
"11/08/2022","47,00","47,00","47,00","47,00","0,12K","0,00%"
"10/08/2022","47,00","47,00","47,00","47,00","0,01K","-0,74%"
"09/08/2022","47,35","46,00","47,35","46,00","0,03K","2,93%"
"08/08/2022","46,00","46,00","46,00","46,00","0,00K","2,22%"
"04/08/2022","45,00","45,50","45,50","45,00","1,25K","-2,17%"
"03/08/2022","46,00","47,50","47,50","46,00","0,44K","2,20%"
"02/08/2022","45,01","45,97","47,60","45,01","1,42K","-2,09%"
"01/08/2022","45,97","45,98","45,98","45,00","1,23K","2,16%"
"29/07/2022","45,00","45,00","45,05","45,00","0,46K","-2,77%"
"27/07/2022","46,28","46,44","46,44","45,00","0,53K","-0,45%"
"26/07/2022","46,49","46,98","46,98","45,00","1,71K","1,29%"
"25/07/2022","45,90","47,47","47,47","45,00","1,03K","1,77%"
"22/07/2022","45,10","45,22","45,22","45,08","2,20K","-5,94%"
"21/07/2022","47,95","47,75","47,99","45,22","2,55K","-0,31%"
"20/07/2022","48,10","48,10","48,10","48,10","0,02K","0,84%"
"19/07/2022","47,70","47,70","47,70","47,70","0,00K","-2,65%"
"18/07/2022","49,00","49,40","49,40","49,00","0,25K","-0,79%"
"15/07/2022","49,39","49,40","49,40","49,39","0,08K","0,00%"
"14/07/2022","49,39","47,02","49,39","47,02","0,00K","-0,02%"
"13/07/2022","49,40","49,40","49,40","49,40","0,02K","5,31%"
"12/07/2022","46,91","49,40","49,40","46,91","0,11K","-5,04%"
"08/07/2022","49,40","49,40","49,40","49,40","0,05K","2,92%"
"07/07/2022","48,00","48,05","48,05","48,00","0,55K","-1,03%"
"06/07/2022","48,50","48,90","49,50","48,50","1,06K","-1,02%"
"05/07/2022","49,00","49,00","49,00","49,00","0,51K","-1,98%"
"04/07/2022","49,99","49,99","49,99","49,99","0,01K","0,00%"
"01/07/2022","49,99","49,99","49,99","49,99","0,00K","-0,79%"
"30/06/2022","50,39","50,39","50,39","50,39","0,00K","0,00%"
"29/06/2022","50,39","50,43","50,43","50,39","0,13K","-0,06%"
"28/06/2022","50,42","49,21","50,42","49,21","0,10K","2,79%"
"27/06/2022","49,05","49,00","49,05","49,00","0,80K","-3,75%"
"24/06/2022","50,96","48,91","51,00","48,89","0,46K","-2,00%"
"23/06/2022","52,00","52,45","52,45","50,00","0,29K","-0,86%"
"22/06/2022","52,45","53,10","53,10","52,45","0,94K","-1,04%"
"21/06/2022","53,00","53,60","53,60","52,00","0,87K","-2,81%"
"20/06/2022","54,53","55,00","55,01","54,53","0,67K","-5,98%"
"17/06/2022","58,00","58,00","59,00","58,00","0,11K","-4,92%"
"16/06/2022","61,00","59,75","61,00","58,50","0,23K","5,90%"
"15/06/2022","57,60","57,59","57,60","57,50","0,91K","6,00%"
"14/06/2022","54,34","54,34","54,34","54,34","0,63K","5,99%"
"13/06/2022","51,27","51,27","51,27","51,27","0,00K","5,97%"
"10/06/2022","48,38","47,92","48,38","47,25","1,35K","3,71%"
"09/06/2022","46,65","46,21","47,92","46,21","0,10K","0,32%"
"08/06/2022","46,50","46,50","46,50","46,50","0,08K","-2,74%"
"07/06/2022","47,81","47,81","47,81","47,81","0,04K","-0,31%"
"03/06/2022","47,96","47,96","47,96","47,96","0,04K","-0,87%"
"02/06/2022","48,38","47,25","48,67","47,25","0,52K","2,39%"
"01/06/2022","47,25","45,58","47,25","45,58","0,00K","-0,78%"
"31/05/2022","47,62","47,62","47,62","47,62","0,14K","0,00%"
"27/05/2022","47,62","47,25","47,62","47,25","0,05K","0,00%"
"26/05/2022","47,62","46,58","47,62","45,75","0,85K","-0,77%"
"25/05/2022","47,99","47,99","47,99","47,99","0,01K","-0,56%"
"20/05/2022","48,26","47,25","48,26","47,25","0,27K","0,54%"
"19/05/2022","48,00","47,99","48,00","47,25","0,16K","-0,39%"
"18/05/2022","48,19","48,83","48,83","48,00","2,19K","-2,65%"
"17/05/2022","49,50","49,50","49,50","49,50","0,19K","0,00%"
"16/05/2022","49,50","49,88","49,88","48,01","1,01K","0,92%"
"13/05/2022","49,05","48,67","49,05","48,67","0,48K","0,78%"
"12/05/2022","48,67","48,00","48,67","48,00","0,08K","1,40%"
"11/05/2022","48,00","48,67","48,67","48,00","0,09K","-1,54%"
"10/05/2022","48,75","49,50","49,50","48,75","0,07K","-2,23%"
"09/05/2022","49,86","48,02","49,86","48,02","0,15K","0,73%"
"06/05/2022","49,50","49,50","49,50","49,50","0,00K","-0,74%"
"05/05/2022","49,87","49,88","49,88","48,00","1,10K","0,75%"
"04/05/2022","49,50","49,50","49,50","49,50","0,03K","0,00%"
"28/04/2022","49,50","49,49","49,50","49,49","0,05K","1,54%"
"27/04/2022","48,75","48,75","48,75","48,75","0,27K","0,00%"
"26/04/2022","48,75","49,50","49,50","48,75","0,25K","-1,52%"
"25/04/2022","49,50","49,50","49,50","49,50","0,47K","3,13%"
"22/04/2022","48,00","48,75","48,75","48,00","0,01K","-1,54%"
"21/04/2022","48,75","48,75","48,75","48,75","0,00K","2,37%"
"20/04/2022","47,62","48,26","48,26","47,62","0,11K","0,78%"
"19/04/2022","47,25","48,26","48,26","47,25","0,11K","-1,56%"
"18/04/2022","48,00","48,00","48,75","48,00","0,10K","0,00%"
"15/04/2022","48,00","48,75","48,75","48,00","0,69K","-1,54%"
"14/04/2022","48,75","48,75","49,49","48,75","1,56K","-1,52%"
"13/04/2022","49,50","49,50","49,50","49,50","0,14K","0,00%"
"12/04/2022","49,50","48,45","49,50","48,45","0,06K","0,16%"
"11/04/2022","49,42","49,42","49,42","49,42","0,00K","0,61%"
"08/04/2022","49,12","49,12","49,12","49,12","0,04K","-0,61%"
"07/04/2022","49,42","49,42","49,42","49,42","0,05K","-0,14%"
"06/04/2022","49,49","49,49","49,49","49,49","0,01K","-0,02%"
"05/04/2022","49,50","49,50","49,50","49,50","0,00K","1,54%"
"04/04/2022","48,75","48,75","48,75","48,00","0,34K","0,00%"
"01/04/2022","48,75","48,74","48,75","48,74","1,34K","0,00%"
"31/03/2022","48,75","48,75","48,75","48,75","0,03K","0,76%"
"30/03/2022","48,38","48,38","49,35","48,38","0,84K","-0,76%"
"29/03/2022","48,75","48,37","49,42","48,37","2,05K","0,81%"
"28/03/2022","48,36","47,33","48,36","46,50","0,60K","3,91%"
"25/03/2022","46,54","48,00","48,00","46,54","30,76K","-3,80%"
"24/03/2022","48,38","48,45","48,45","48,38","0,79K","2,39%"
"23/03/2022","47,25","48,00","48,00","46,27","0,36K","-3,08%"
"22/03/2022","48,75","49,95","49,95","48,74","4,84K","2,05%"
"18/03/2022","47,77","47,25","47,77","46,50","0,11K","3,49%"
"17/03/2022","46,16","46,16","46,16","45,01","0,59K","-2,47%"
"16/03/2022","47,33","47,33","47,33","47,33","0,03K","0,00%"
"15/03/2022","47,33","47,21","47,33","47,21","0,08K","1,78%"
"14/03/2022","46,50","46,50","46,50","46,50","0,20K","-1,42%"
"11/03/2022","47,17","47,58","47,58","46,16","0,07K","-0,65%"
"10/03/2022","47,48","47,24","47,69","46,26","0,42K","5,51%"
"09/03/2022","45,00","47,25","47,25","45,00","3,95K","0,00%"
"08/03/2022","45,00","45,00","45,75","45,00","5,02K","-1,14%"
"07/03/2022","45,52","48,75","48,75","45,00","0,36K","-3,05%"
"04/03/2022","46,95","48,75","48,75","46,95","1,39K","-5,00%"
"03/03/2022","49,42","49,42","49,42","49,42","0,01K","2,96%"
"02/03/2022","48,00","47,95","48,97","47,95","1,04K","-5,88%"
"01/03/2022","51,00","51,74","51,74","51,00","0,17K","-0,43%"
"28/02/2022","51,22","51,22","51,22","51,22","0,01K","-0,02%"
"25/02/2022","51,23","48,75","51,23","48,67","0,60K","5,26%"
"24/02/2022","48,67","50,39","51,74","48,67","0,51K","-3,41%"
"23/02/2022","50,39","51,75","51,75","50,39","6,67K","-1,20%"
"22/02/2022","51,00","52,12","52,12","51,00","0,59K","-2,82%"
"21/02/2022","52,48","51,00","52,48","51,00","0,40K","0,69%"
"17/02/2022","52,12","52,12","52,12","52,12","0,33K","0,00%"
"16/02/2022","52,12","52,12","52,12","52,05","2,39K","0,71%"
"14/02/2022","51,75","52,27","52,27","51,75","0,05K","-0,99%"
"11/02/2022","52,27","52,27","52,27","52,27","0,01K","0,00%"
"10/02/2022","52,27","51,45","52,27","51,45","0,08K","0,02%"
"09/02/2022","52,26","51,00","52,27","51,00","0,20K","2,47%"
"08/02/2022","51,00","51,00","51,00","51,00","0,03K","1,49%"
"07/02/2022","50,25","50,62","50,62","50,25","0,16K","-1,47%"
"03/02/2022","51,00","51,00","51,00","51,00","0,00K","0,00%"
"02/02/2022","51,00","50,25","51,00","50,25","0,10K","-0,58%"
"31/01/2022","51,30","51,30","51,30","50,25","0,02K","-0,16%"
"28/01/2022","51,38","51,38","51,38","51,38","20,00K","-0,71%"
"27/01/2022","51,75","51,75","51,75","51,75","0,29K","0,00%"
"24/01/2022","51,75","50,93","52,50","50,93","0,15K","-1,43%"
"21/01/2022","52,50","49,81","52,50","49,81","2,01K","1,45%"
"19/01/2022","51,75","51,00","51,75","51,00","2,20K","1,39%"
"18/01/2022","51,04","51,04","51,04","51,04","0,00K","2,94%"
"17/01/2022","49,58","51,02","51,02","49,58","14,00K","-2,86%"
"14/01/2022","51,04","51,04","51,04","51,04","0,01K","0,22%"
"07/01/2022","50,93","47,92","50,93","47,92","1,15K","0,02%"
"03/01/2022","50,92","50,25","50,96","47,96","0,19K","-0,16%"
"31/12/2021","51,00","49,88","51,00","49,88","11,12K","2,25%"
