"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","24,80","24,80","24,80","24,80","","3,20%"
"15/11/2022","24,03","24,03","24,03","24,03","0,00K","-4,64%"
"14/11/2022","25,20","25,20","25,20","25,20","0,02K","4,78%"
"10/11/2022","24,05","24,06","24,06","24,05","0,61K","2,30%"
"28/10/2022","23,51","23,51","23,51","23,51","0,00K","-5,96%"
"25/10/2022","25,00","25,40","25,40","25,00","0,20K","-0,40%"
"18/10/2022","25,10","25,10","25,10","25,10","0,01K","0,36%"
"17/10/2022","25,01","25,01","25,01","25,01","0,01K","-3,81%"
"14/10/2022","26,00","26,00","26,00","26,00","0,01K","0,00%"
"12/10/2022","26,00","26,00","26,00","26,00","0,14K","-1,89%"
"07/10/2022","26,50","26,50","26,50","26,50","0,06K","-1,85%"
"06/10/2022","27,00","27,00","27,00","27,00","0,10K","0,00%"
"05/10/2022","27,00","27,00","27,00","27,00","0,01K","0,04%"
"03/10/2022","26,99","26,99","26,99","26,99","0,00K","3,61%"
"30/09/2022","26,05","26,05","26,05","26,05","0,75K","-0,19%"
"29/09/2022","26,10","26,10","26,10","26,10","0,00K","-0,38%"
"28/09/2022","26,20","26,20","26,20","26,20","0,02K","-1,69%"
"26/09/2022","26,65","26,61","26,70","26,61","0,17K","-4,82%"
"22/09/2022","28,00","28,00","28,00","28,00","0,00K","0,00%"
"21/09/2022","28,00","28,47","28,47","28,00","0,01K","-1,06%"
"20/09/2022","28,30","28,30","28,30","28,30","0,07K","4,81%"
"19/09/2022","27,00","28,47","28,47","27,00","0,01K","0,33%"
"15/09/2022","26,91","26,91","26,91","26,91","0,02K","-3,89%"
"14/09/2022","28,00","28,48","28,48","28,00","0,16K","0,00%"
"13/09/2022","28,00","28,48","28,48","28,00","0,14K","-1,65%"
"12/09/2022","28,47","28,47","28,47","28,47","0,00K","-0,07%"
"09/09/2022","28,49","28,49","28,49","28,49","0,02K","5,52%"
"06/09/2022","27,00","27,00","27,00","27,00","0,10K","0,00%"
"05/09/2022","27,00","27,00","27,00","27,00","0,14K","0,00%"
"02/09/2022","27,00","27,00","27,00","27,00","0,01K","0,00%"
"31/08/2022","27,00","27,70","27,70","27,00","1,10K","-2,00%"
"30/08/2022","27,55","28,00","28,00","27,55","0,05K","-0,54%"
"29/08/2022","27,70","27,70","27,70","27,70","0,96K","-1,07%"
"26/08/2022","28,00","28,00","28,00","28,00","0,03K","0,00%"
"25/08/2022","28,00","28,00","28,00","28,00","0,03K","0,00%"
"24/08/2022","28,00","28,99","28,99","28,00","0,20K","2,00%"
"23/08/2022","27,45","27,50","27,50","27,45","0,11K","-1,96%"
"22/08/2022","28,00","28,00","28,00","28,00","0,02K","0,00%"
"19/08/2022","28,00","28,59","28,59","28,00","0,32K","0,00%"
"18/08/2022","28,00","28,00","28,00","28,00","0,10K","-2,10%"
"17/08/2022","28,60","28,74","28,74","28,60","0,43K","2,14%"
"11/08/2022","28,00","28,00","28,00","28,00","0,20K","0,11%"
"10/08/2022","27,97","26,00","27,97","26,00","0,07K","5,99%"
"08/08/2022","26,39","26,39","26,39","26,39","0,06K","5,98%"
"02/08/2022","24,90","24,92","24,92","24,82","0,02K","-0,08%"
"29/07/2022","24,92","24,80","24,92","24,80","1,89K","0,00%"
"28/07/2022","24,92","24,92","24,92","24,92","0,12K","-6,00%"
"27/07/2022","26,51","26,51","26,51","26,51","0,00K","6,00%"
"25/07/2022","25,01","25,01","25,01","25,01","0,02K","-5,27%"
"20/07/2022","26,40","26,52","26,52","26,40","0,02K","-0,45%"
"14/07/2022","26,52","26,52","26,52","26,52","0,03K","6,00%"
"13/07/2022","25,02","25,02","25,02","25,02","0,00K","0,08%"
"07/07/2022","25,00","25,00","25,00","25,00","0,00K","0,00%"
"06/07/2022","25,00","25,00","25,00","25,00","0,06K","0,81%"
"05/07/2022","24,80","24,80","24,80","24,80","0,08K","-5,81%"
"04/07/2022","26,33","26,33","26,33","26,33","0,00K","1,27%"
"29/06/2022","26,00","26,00","26,00","26,00","0,01K","0,00%"
"28/06/2022","26,00","26,00","26,00","26,00","0,53K","-1,25%"
"27/06/2022","26,33","28,44","28,44","26,33","0,21K","-5,96%"
"24/06/2022","28,00","28,00","28,00","28,00","0,01K","-1,55%"
"16/06/2022","28,44","28,44","28,44","28,44","0,03K","4,06%"
"14/06/2022","27,33","27,33","27,33","27,33","0,06K","0,00%"
