"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","181,00","181,00","181,00","181,00","0,07K","1,97%"
"11/11/2022","177,50","181,40","182,00","176,00","198,72K","-2,18%"
"10/11/2022","181,45","183,00","184,00","181,45","5,15K","-0,85%"
"09/11/2022","183,00","184,80","189,00","183,00","11,18K","-0,97%"
"08/11/2022","184,80","185,00","185,00","184,80","14,35K","-0,11%"
"07/11/2022","185,00","196,00","196,00","185,00","1,27K","-0,54%"
"04/11/2022","186,00","187,00","187,00","186,00","1,95K","-0,53%"
"03/11/2022","187,00","190,00","190,00","187,00","39,76K","-1,03%"
"02/11/2022","188,95","188,95","188,95","188,95","13,73K","-3,57%"
"01/11/2022","195,95","195,90","196,00","190,15","0,31K","5,35%"
"31/10/2022","186,00","187,00","187,00","181,00","133,88K","0,00%"
"28/10/2022","186,00","183,00","188,00","183,00","3,01K","0,43%"
"27/10/2022","185,20","186,00","186,00","185,15","7,80K","0,11%"
"26/10/2022","185,00","186,10","189,00","185,00","5,48K","-0,54%"
"25/10/2022","186,00","185,00","189,00","185,00","3,34K","-0,40%"
"24/10/2022","186,75","191,00","191,00","186,75","2,14K","-2,25%"
"21/10/2022","191,05","197,50","197,50","191,05","36,58K","-3,99%"
"20/10/2022","199,00","199,00","199,00","197,50","1,17K","0,00%"
"19/10/2022","199,00","200,00","200,00","199,00","0,02K","-2,28%"
"18/10/2022","203,65","200,10","203,65","199,10","0,01K","1,32%"
"17/10/2022","201,00","203,00","205,00","201,00","89,08K","-1,49%"
"14/10/2022","204,05","206,00","206,00","204,00","233,83K","-0,44%"
"13/10/2022","204,95","205,00","206,50","204,95","291,00K","-0,85%"
"12/10/2022","206,70","206,70","206,70","201,50","4,00K","-0,10%"
"11/10/2022","206,90","207,00","207,00","206,90","0,02K","2,43%"
"07/10/2022","202,00","202,00","202,00","200,00","16,01K","-1,42%"
"06/10/2022","204,90","201,00","204,90","200,00","373,70K","1,94%"
"05/10/2022","201,00","203,90","203,90","201,00","77,28K","-1,95%"
"04/10/2022","205,00","205,00","205,10","201,00","51,96K","0,00%"
"03/10/2022","205,00","205,00","205,05","205,00","32,03K","-1,91%"
"30/09/2022","209,00","205,00","209,90","205,00","90,05K","1,95%"
"29/09/2022","205,00","206,00","209,80","204,00","253,69K","-2,33%"
"28/09/2022","209,90","210,00","214,50","206,00","31,06K","-1,89%"
"27/09/2022","213,95","214,75","214,75","212,10","5,37K","-0,49%"
"26/09/2022","215,00","220,00","220,00","215,00","50,23K","-2,27%"
