"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","542,00","542,00","542,00","542,00","","-1,45%"
"15/11/2022","550,00","550,00","550,00","550,00","0,02K","0,55%"
"14/11/2022","547,00","547,00","547,00","547,00","0,02K","0,00%"
"10/11/2022","547,00","547,00","547,00","547,00","0,00K","0,37%"
"08/11/2022","545,00","555,00","555,00","545,00","0,02K","-0,91%"
"04/11/2022","550,00","553,20","553,20","550,00","0,07K","-0,18%"
"28/10/2022","551,00","552,00","552,00","551,00","0,02K","0,53%"
"26/10/2022","548,10","547,00","548,10","547,00","0,08K","-4,84%"
"25/10/2022","576,00","576,00","576,00","576,00","0,01K","3,23%"
"24/10/2022","558,00","561,00","561,00","558,00","0,03K","0,00%"
"20/10/2022","558,00","574,00","574,00","558,00","0,05K","-6,00%"
"17/10/2022","593,60","643,90","643,90","593,60","0,01K","-5,78%"
"13/10/2022","630,00","628,00","630,00","628,00","0,00K","1,61%"
"11/10/2022","620,00","625,00","625,00","620,00","1,00K","-0,80%"
"06/10/2022","625,00","590,10","625,00","590,10","0,04K","1,13%"
"04/10/2022","618,00","621,00","621,00","618,00","0,01K","-0,48%"
"03/10/2022","621,00","621,00","621,00","621,00","0,06K","-5,95%"
"28/09/2022","660,30","660,30","660,30","660,30","0,00K","5,99%"
"26/09/2022","623,00","623,00","623,00","623,00","0,00K","0,26%"
"21/09/2022","621,40","670,00","670,00","621,40","0,01K","-9,02%"
"12/09/2022","683,00","683,00","683,00","683,00","0,00K","0,44%"
"09/09/2022","680,00","680,00","680,00","680,00","0,00K","-0,72%"
"08/09/2022","684,90","684,90","684,90","684,90","0,00K","2,99%"
"07/09/2022","665,00","665,00","665,00","665,00","0,01K","-2,91%"
"05/09/2022","684,90","665,20","684,90","665,20","0,01K","-0,01%"
"02/09/2022","685,00","685,00","685,00","685,00","0,00K","3,79%"
"30/08/2022","660,00","660,00","660,00","660,00","0,00K","0,00%"
"29/08/2022","660,00","662,00","665,00","660,00","0,37K","0,46%"
"25/08/2022","657,00","657,00","657,00","657,00","0,10K","-5,93%"
"24/08/2022","698,40","651,00","698,40","650,00","0,07K","1,22%"
"22/08/2022","690,00","690,00","690,00","690,00","0,00K","-1,43%"
"16/08/2022","700,00","700,00","700,00","700,00","0,00K","0,00%"
"11/08/2022","700,00","689,50","700,00","689,50","0,09K","1,45%"
"10/08/2022","690,00","690,00","690,00","690,00","0,06K","0,00%"
"09/08/2022","690,00","690,00","690,00","690,00","0,05K","0,73%"
"08/08/2022","685,00","690,00","690,00","685,00","0,08K","-0,44%"
"05/08/2022","688,00","650,00","688,00","650,00","0,06K","5,86%"
"04/08/2022","649,90","649,90","649,90","649,90","0,01K","4,15%"
"03/08/2022","624,00","630,00","630,00","624,00","0,03K","-0,65%"
"02/08/2022","628,10","628,10","628,10","628,10","0,00K","-3,35%"
"29/07/2022","649,90","640,00","649,90","640,00","0,01K","3,49%"
"25/07/2022","628,00","628,00","628,00","628,00","0,01K","0,00%"
"22/07/2022","628,00","628,00","628,00","628,00","0,02K","0,00%"
"15/07/2022","628,00","628,00","628,00","628,00","0,18K","0,00%"
"14/07/2022","628,00","628,00","628,00","628,00","0,15K","0,00%"
"13/07/2022","628,00","628,00","628,00","628,00","0,00K","0,62%"
"08/07/2022","624,10","624,10","624,10","624,10","0,00K","-0,94%"
"07/07/2022","630,00","630,00","630,00","630,00","0,00K","0,00%"
"06/07/2022","630,00","632,00","633,00","630,00","0,16K","-0,47%"
"04/07/2022","633,00","633,00","633,00","633,00","0,01K","0,00%"
"01/07/2022","633,00","633,00","633,00","633,00","0,01K","0,00%"
"30/06/2022","633,00","633,00","633,00","633,00","0,00K","-2,01%"
"27/06/2022","646,00","646,00","646,00","646,00","0,02K","0,14%"
"24/06/2022","645,10","645,10","645,10","645,10","0,01K","-0,75%"
"23/06/2022","650,00","650,00","650,00","650,00","0,00K","0,00%"
"17/06/2022","650,00","650,00","650,00","650,00","0,00K","1,55%"
"15/06/2022","640,10","640,10","640,10","640,10","0,00K","-0,14%"
"13/06/2022","641,00","641,00","641,00","641,00","0,01K","0,00%"
"09/06/2022","641,00","640,00","641,00","640,00","0,01K","0,61%"
"08/06/2022","637,10","637,10","637,10","637,10","0,01K","0,31%"
"06/06/2022","635,10","635,10","635,10","635,10","0,01K","-5,12%"
"03/06/2022","669,40","669,40","669,40","669,30","0,05K","5,75%"
