"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","23,00","24,55","24,55","23,00","1,88K","-2,21%"
"11/11/2022","23,52","23,51","24,00","23,51","0,49K","1,29%"
"10/11/2022","23,22","24,69","24,69","23,22","1,98K","-4,84%"
"09/11/2022","24,40","25,11","25,11","24,40","0,27K","-1,21%"
"08/11/2022","24,70","25,20","25,20","24,70","18,92K","0,41%"
"07/11/2022","24,60","25,40","25,40","24,00","15,32K","2,50%"
"04/11/2022","24,00","25,65","25,65","24,00","1,87K","-1,03%"
"03/11/2022","24,25","25,80","25,80","24,25","1,34K","-1,02%"
"02/11/2022","24,50","24,75","25,00","24,50","1,61K","-2,00%"
"01/11/2022","25,00","25,00","25,00","25,00","0,49K","0,00%"
"31/10/2022","25,00","25,50","25,50","25,00","0,52K","2,04%"
"28/10/2022","24,50","24,99","25,10","24,50","2,43K","0,00%"
"27/10/2022","24,50","25,00","25,00","24,50","0,78K","-2,39%"
"26/10/2022","25,10","25,00","25,10","25,00","0,96K","-2,68%"
"25/10/2022","25,79","25,79","25,79","25,79","0,01K","3,16%"
"24/10/2022","25,00","25,25","25,89","25,00","0,87K","-3,81%"
"21/10/2022","25,99","25,50","25,99","25,50","0,52K","-1,89%"
"20/10/2022","26,49","26,49","26,49","26,49","0,01K","-0,15%"
"19/10/2022","26,53","26,55","26,55","25,50","0,29K","-0,34%"
"18/10/2022","26,62","26,62","26,62","26,62","0,50K","-0,97%"
"17/10/2022","26,88","25,00","26,88","25,00","1,70K","5,91%"
"14/10/2022","25,38","26,01","26,98","25,38","14,16K","-5,97%"
