"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/03/2013","27,42","27,99","27,99","27,42","0,17K","-31,45%"
"01/03/2013","40,00","33,93","40,00","33,93","0,98K","-4,49%"
"27/02/2013","41,88","41,88","41,88","41,88","0,30K","-9,99%"
"26/02/2013","46,53","49,99","49,99","46,53","0,61K","-10,00%"
"25/02/2013","51,70","51,70","51,70","51,70","0,03K","-6,00%"
"09/01/2013","55,00","55,00","55,00","55,00","0,01K","1,89%"
"08/01/2013","53,98","50,00","53,98","50,00","0,70K","1,85%"
"07/01/2013","53,00","52,90","53,00","52,50","0,32K","6,00%"
"04/01/2013","50,00","50,00","50,00","50,00","0,14K","0,00%"
"03/01/2013","50,00","49,54","50,02","49,54","1,21K","5,93%"
"02/01/2013","47,20","44,70","47,20","44,70","2,17K","5,97%"
"31/12/2012","44,54","39,50","44,54","39,50","0,83K","6,00%"
"28/12/2012","42,02","42,02","42,02","42,02","0,01K","-6,00%"
"27/12/2012","44,70","44,78","44,78","44,00","0,23K","-2,61%"
"26/12/2012","45,90","42,00","45,90","42,00","0,12K","4,75%"
"25/12/2012","43,82","43,82","43,82","43,82","0,02K","-5,97%"
"24/12/2012","46,60","46,60","46,60","46,60","0,06K","-0,38%"
"21/12/2012","46,78","44,20","46,78","44,20","0,05K","0,17%"
"20/12/2012","46,70","46,74","46,74","43,94","0,64K","-0,09%"
"19/12/2012","46,74","44,10","46,74","44,10","1,37K","5,99%"
"18/12/2012","44,10","45,40","45,40","44,10","0,01K","-5,77%"
"12/12/2012","46,80","45,10","46,80","45,10","0,01K","3,77%"
"11/12/2012","45,10","45,12","46,88","45,10","1,12K","-5,96%"
"07/12/2012","47,96","48,18","48,18","45,86","0,21K","-1,68%"
"04/12/2012","48,78","46,00","48,78","46,00","0,43K","-0,20%"
"03/12/2012","48,88","48,88","48,88","48,88","0,00K","2,95%"
"30/11/2012","47,48","47,76","47,76","45,60","0,59K","-0,88%"
"27/11/2012","47,90","46,30","47,90","46,00","0,76K","1,27%"
"26/11/2012","47,30","47,30","47,30","46,00","0,61K","0,85%"
"23/11/2012","46,90","47,44","47,44","46,00","1,64K","-0,21%"
"22/11/2012","47,00","47,00","47,00","43,50","0,81K","2,17%"
"21/11/2012","46,00","46,00","48,50","46,00","0,95K","-5,97%"
"19/11/2012","48,92","46,20","49,68","46,06","0,51K","-0,16%"
"15/11/2012","49,00","49,20","49,20","49,00","0,35K","-1,01%"
"14/11/2012","49,50","49,90","49,90","46,60","0,55K","0,00%"
"13/11/2012","49,50","47,00","50,80","47,00","0,64K","-0,80%"
"12/11/2012","49,90","48,02","49,90","48,02","0,31K","-2,16%"
"09/11/2012","51,00","50,78","51,70","46,44","0,59K","3,24%"
"07/11/2012","49,40","50,78","50,78","47,94","0,83K","-3,10%"
"05/11/2012","50,98","49,96","52,50","47,00","1,57K","2,00%"
"02/11/2012","49,98","48,00","49,98","45,50","1,47K","3,35%"
"01/11/2012","48,36","48,36","48,36","48,36","0,05K","-5,99%"
"31/10/2012","51,44","51,44","51,44","51,44","0,22K","-5,96%"
"30/10/2012","54,70","54,90","54,94","48,74","1,36K","5,52%"
"29/10/2012","51,84","51,50","51,84","51,50","1,38K","19,01%"
"23/10/2012","43,56","43,56","43,56","43,56","0,39K","5,99%"
"22/10/2012","41,10","37,00","41,10","37,00","0,83K","5,98%"
"19/10/2012","38,78","34,42","38,78","34,42","4,38K","-6,33%"
"16/10/2012","41,40","41,40","41,40","41,40","0,14K","-16,90%"
"11/10/2012","49,82","49,82","49,82","49,82","0,11K","-6,00%"
"10/10/2012","53,00","53,00","53,00","53,00","0,76K","-11,58%"
"06/09/2012","59,94","57,50","60,98","57,50","0,11K","3,70%"
"05/09/2012","57,80","55,36","57,90","55,36","0,32K","-1,77%"
"04/09/2012","58,84","58,84","58,84","58,84","0,08K","-0,07%"
"03/09/2012","58,88","56,52","58,88","53,14","0,69K","4,18%"
"31/08/2012","56,52","56,52","57,00","56,52","0,04K","-5,99%"
"28/08/2012","60,12","60,12","60,12","60,12","0,01K","0,23%"
"27/08/2012","59,98","59,98","59,98","59,98","0,00K","-0,86%"
"24/08/2012","60,50","58,00","60,50","58,00","0,10K","-0,13%"
"23/08/2012","60,58","58,30","60,58","58,30","0,01K","-2,29%"
"16/08/2012","62,00","62,78","62,78","62,00","0,12K","3,37%"
"10/08/2012","59,98","59,98","59,98","59,98","0,01K","0,60%"
"09/08/2012","59,62","52,92","59,62","52,92","0,42K","-6,38%"
"06/08/2012","63,68","63,86","63,86","60,16","0,02K","-0,47%"
"03/08/2012","63,98","60,80","63,98","60,80","0,12K","5,06%"
"02/08/2012","60,90","61,22","61,22","60,90","0,50K","5,04%"
"31/07/2012","57,98","57,98","57,98","57,98","0,00K","4,09%"
"27/07/2012","55,70","54,00","55,70","53,98","1,03K","3,15%"
"26/07/2012","54,00","52,76","54,00","52,76","0,02K","2,27%"
"25/07/2012","52,80","49,90","52,80","49,90","1,40K","4,18%"
"24/07/2012","50,68","47,70","50,68","47,66","0,13K","-0,04%"
"20/07/2012","50,70","47,76","50,70","47,76","0,09K","-0,20%"
"19/07/2012","50,80","50,70","50,80","50,70","0,05K","0,55%"
"18/07/2012","50,52","50,52","50,52","50,52","0,02K","0,00%"
"11/07/2012","50,52","50,76","50,76","50,52","0,03K","-5,99%"
"10/07/2012","53,74","50,76","53,74","50,76","0,22K","-0,48%"
"09/07/2012","54,00","55,88","55,88","54,00","0,02K","-3,57%"
"05/07/2012","56,00","53,98","56,00","53,98","0,06K","4,91%"
"03/07/2012","53,38","53,38","55,48","53,38","0,03K","-5,99%"
"29/06/2012","56,78","56,78","56,78","56,78","0,00K","4,37%"
"28/06/2012","54,40","54,40","54,40","54,40","0,07K","-5,98%"
"26/06/2012","57,86","55,98","57,86","55,98","0,01K","5,97%"
"25/06/2012","54,60","54,60","54,60","54,60","0,25K","-1,48%"
"22/06/2012","55,42","55,80","55,80","55,42","0,11K","-4,91%"
"21/06/2012","58,28","59,00","59,00","55,68","0,84K","-1,12%"
"20/06/2012","58,94","59,56","61,00","55,62","1,08K","-0,07%"
"14/06/2012","58,98","60,80","61,00","57,34","0,71K","-3,31%"
"11/06/2012","61,00","61,00","61,00","61,00","0,26K","0,00%"
"08/06/2012","61,00","59,00","61,00","59,00","0,26K","2,69%"
"07/06/2012","59,40","56,50","59,40","56,50","0,30K","-0,50%"
"05/06/2012","59,70","56,34","59,70","56,32","0,10K","-0,33%"
"04/06/2012","59,90","58,00","59,90","58,00","0,09K","-0,13%"
"01/06/2012","59,98","58,00","59,98","58,00","0,12K","3,41%"
"31/05/2012","58,00","56,90","58,30","55,04","0,39K","5,45%"
"30/05/2012","55,00","57,60","57,60","55,00","0,23K","-5,95%"
"24/05/2012","58,48","55,36","58,90","55,36","0,17K","-0,68%"
"23/05/2012","58,88","58,88","58,88","58,88","0,01K","-0,17%"
"22/05/2012","58,98","58,98","58,98","58,98","0,01K","-0,44%"
"18/05/2012","59,24","54,52","59,24","54,52","0,10K","2,31%"
"17/05/2012","57,90","54,54","57,90","54,52","0,10K","-0,14%"
"16/05/2012","57,98","56,44","57,98","56,44","0,43K","-3,37%"
"15/05/2012","60,00","58,28","60,90","58,28","0,95K","-3,23%"
"14/05/2012","62,00","56,44","62,00","56,44","0,10K","3,33%"
"11/05/2012","60,00","59,80","62,20","59,78","0,19K","1,73%"
"10/05/2012","58,98","55,62","59,98","55,62","0,03K","3,47%"
"09/05/2012","57,00","61,20","61,20","57,00","0,52K","-3,59%"
"08/05/2012","59,12","59,74","59,76","59,12","0,69K","-5,98%"
"04/05/2012","62,88","62,90","62,90","62,88","0,02K","-0,19%"
"03/05/2012","63,00","63,00","63,00","63,00","0,01K","-0,06%"
"02/05/2012","63,04","58,52","63,04","58,52","0,31K","1,68%"
"30/04/2012","62,00","62,00","62,00","62,00","0,35K","-3,09%"
"27/04/2012","63,98","62,04","63,98","60,72","0,65K","-0,93%"
"26/04/2012","64,58","64,58","64,58","64,58","0,10K","-6,00%"
"19/04/2012","68,70","68,70","68,70","68,70","0,01K","-0,32%"
"18/04/2012","68,92","62,50","69,00","62,04","0,45K","4,42%"
"16/04/2012","66,00","66,00","66,00","66,00","0,03K","5,06%"
"13/04/2012","62,82","62,76","69,70","62,76","0,89K","-5,90%"
"12/04/2012","66,76","60,12","66,98","60,12","0,90K","-1,10%"
"10/04/2012","67,50","70,00","70,00","67,50","0,85K","-5,99%"
"09/04/2012","71,80","71,98","71,98","71,80","0,64K","3,67%"
"06/04/2012","69,26","68,00","69,26","65,00","8,40K","12,33%"
"03/04/2012","61,66","61,80","61,80","58,26","0,03K","-0,48%"
"02/04/2012","61,96","63,96","63,96","57,34","0,80K","1,57%"
"29/03/2012","61,00","61,00","61,00","61,00","0,01K","0,00%"
"28/03/2012","61,00","60,60","61,00","59,60","1,32K","0,79%"
"27/03/2012","60,52","60,52","60,52","60,52","1,45K","-6,00%"
"26/03/2012","64,38","61,10","64,38","61,10","0,03K","-0,95%"
