"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/11/2022","50,76","50,76","50,76","50,76","0,19K","-5,98%"
"14/11/2022","53,99","52,00","53,99","50,10","0,13K","1,89%"
"11/11/2022","52,99","52,99","52,99","52,99","0,08K","-6,00%"
"10/11/2022","56,37","59,96","61,97","56,37","0,09K","-5,99%"
"09/11/2022","59,96","60,00","60,00","59,96","0,12K","-5,99%"
"08/11/2022","63,78","63,78","63,78","63,78","0,05K","-6,00%"
"07/11/2022","67,85","64,91","67,85","64,91","0,10K","-1,72%"
"03/11/2022","69,04","67,60","69,04","67,60","0,07K","4,91%"
"02/11/2022","65,81","66,11","69,80","65,81","1,43K","-5,99%"
"01/11/2022","70,00","65,71","70,00","65,71","0,63K","0,14%"
"31/10/2022","69,90","65,98","69,95","65,98","0,53K","5,91%"
"28/10/2022","66,00","58,60","66,00","58,60","0,17K","5,92%"
"27/10/2022","62,31","62,32","62,32","62,31","0,02K","-0,02%"
"25/10/2022","62,32","62,32","62,32","62,32","0,01K","-5,99%"
"21/10/2022","66,29","66,29","66,29","66,29","0,02K","-0,32%"
"20/10/2022","66,50","59,52","66,50","59,52","0,05K","5,56%"
"18/10/2022","63,00","63,00","63,00","63,00","0,05K","-5,97%"
"17/10/2022","67,00","64,57","67,00","64,57","0,30K","4,69%"
"14/10/2022","64,00","64,00","64,00","64,00","0,02K","-1,05%"
"13/10/2022","64,68","63,00","64,68","63,00","0,01K","2,67%"
"11/10/2022","63,00","64,00","64,00","63,00","0,03K","-3,06%"
"06/10/2022","64,99","64,99","64,99","64,99","0,05K","-0,85%"
"05/10/2022","65,55","65,54","65,56","65,54","0,02K","-0,08%"
"04/10/2022","65,60","63,00","65,60","62,79","0,09K","-1,78%"
"03/10/2022","66,79","66,79","66,79","66,79","0,00K","5,83%"
"30/09/2022","63,11","63,00","66,29","63,00","0,29K","-0,06%"
"29/09/2022","63,15","66,94","66,94","63,11","0,15K","-5,73%"
"28/09/2022","66,99","63,08","66,99","63,08","0,77K","-0,16%"
"27/09/2022","67,10","67,10","67,10","67,10","0,19K","-5,93%"
"26/09/2022","71,33","67,87","71,50","66,01","0,22K","5,10%"
"23/09/2022","67,87","67,91","72,15","67,87","0,93K","-6,00%"
"22/09/2022","72,20","69,45","72,20","65,35","0,81K","3,88%"
