"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"26/10/2022","4.119,0","4.119,0","4.119,0","4.119,0","0,00K","-3,99%"
"25/10/2022","4.290,0","4.290,0","4.290,0","4.290,0","0,00K","0,00%"
"13/10/2022","4.290,0","4.290,0","4.290,0","4.290,0","0,01K","1,54%"
"12/10/2022","4.225,0","4.225,0","4.225,0","4.225,0","0,01K","-3,98%"
"11/10/2022","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","0,00%"
"07/10/2022","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","0,00%"
"06/10/2022","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","0,00%"
"05/10/2022","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","0,00%"
"04/10/2022","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","0,94%"
"03/10/2022","4.359,0","4.359,0","4.359,0","4.359,0","0,00K","-3,99%"
"27/09/2022","4.540,0","4.540,0","4.540,0","4.540,0","0,02K","1,68%"
"26/09/2022","4.465,0","4.465,0","4.465,0","4.465,0","0,00K","-3,98%"
"09/08/2022","4.650,0","4.650,0","4.650,0","4.650,0","0,05K","-0,53%"
"05/08/2022","4.675,0","4.675,0","4.675,0","4.675,0","0,03K","-5,56%"
"17/06/2022","4.950,0","4.950,0","4.950,0","4.950,0","0,01K","3,13%"
"08/06/2022","4.800,0","4.800,0","4.800,0","4.800,0","1,00K","-3,98%"
"03/06/2022","4.999,0","4.999,0","4.999,0","4.999,0","0,00K","-0,02%"
"16/05/2022","5.000,0","5.000,0","5.000,0","5.000,0","0,00K","0,00%"
"12/04/2022","5.000,0","5.000,0","5.000,0","5.000,0","0,01K","-0,81%"
"15/02/2022","5.041,0","5.041,0","5.041,0","5.041,0","0,01K","-3,98%"
"20/01/2022","5.250,0","5.250,0","5.250,0","5.250,0","0,00K","0,00%"
"30/12/2021","5.250,0","5.250,0","5.250,0","5.250,0","0,01K","3,96%"
"28/12/2021","5.050,0","5.050,0","5.050,0","5.050,0","0,01K","3,91%"
"24/12/2021","4.860,0","4.860,0","4.860,0","4.860,0","0,00K","3,96%"
"23/12/2021","4.675,0","4.675,0","4.675,0","4.675,0","0,01K","3,89%"
"16/12/2021","4.500,0","4.500,0","4.500,0","4.500,0","0,02K","3,97%"
"07/12/2021","4.328,0","4.328,0","4.328,0","4.328,0","0,05K","3,96%"
"30/11/2021","4.163,0","4.163,0","4.163,0","4.163,0","0,02K","4,00%"
"29/11/2021","4.003,0","4.003,0","4.003,0","4.003,0","0,00K","-2,37%"
"25/11/2021","4.100,0","4.100,0","4.100,0","4.100,0","0,01K","0,00%"
"19/11/2021","4.100,0","4.100,0","4.100,0","4.100,0","0,01K","-1,66%"
"12/11/2021","4.169,0","4.169,0","4.169,0","4.169,0","0,00K","0,02%"
"04/11/2021","4.168,0","4.168,0","4.168,0","4.168,0","0,02K","0,00%"
"01/11/2021","4.168,0","4.168,0","4.168,0","4.168,0","0,01K","0,00%"
"29/10/2021","4.168,0","4.168,0","4.168,0","4.168,0","0,10K","0,00%"
"27/10/2021","4.168,0","4.168,0","4.168,0","4.168,0","0,00K","0,00%"
"26/10/2021","4.168,0","4.168,0","4.168,0","4.168,0","0,14K","-0,02%"
"22/10/2021","4.169,0","4.169,0","4.169,0","4.169,0","0,00K","2,21%"
"07/10/2021","4.079,0","4.079,0","4.079,0","4.079,0","0,01K","1,98%"
"06/10/2021","4.000,0","4.000,0","4.000,0","4.000,0","0,14K","-1,23%"
"21/09/2021","4.050,0","4.050,0","4.050,0","4.050,0","3,89K","0,77%"
"16/09/2021","4.019,0","4.019,0","4.019,0","4.019,0","0,01K","0,00%"
"15/09/2021","4.019,0","4.019,0","4.019,0","4.019,0","0,00K","-1,98%"
"09/09/2021","4.100,0","4.100,0","4.100,0","4.100,0","2,81K","-1,98%"
"08/09/2021","4.183,0","4.183,0","4.183,0","4.183,0","0,03K","-1,25%"
"07/09/2021","4.236,0","4.236,0","4.236,0","4.236,0","0,02K","-1,99%"
"06/09/2021","4.322,0","4.322,0","4.322,0","4.322,0","0,02K","-2,00%"
"31/08/2021","4.410,0","4.410,0","4.410,0","4.410,0","0,00K","1,99%"
"24/08/2021","4.324,0","4.324,0","4.324,0","4.324,0","0,05K","-1,99%"
"19/08/2021","4.412,0","4.412,0","4.412,0","4.412,0","0,02K","-1,98%"
"03/08/2021","4.501,0","4.501,0","4.501,0","4.501,0","0,01K","-4,46%"
"09/07/2021","4.711,0","4.711,0","4.711,0","4.711,0","0,12K","1,97%"
"25/06/2021","4.620,0","4.620,0","4.620,0","4.620,0","0,01K","1,54%"
"19/05/2021","4.550,0","4.550,0","4.550,0","4.550,0","0,56K","0,00%"
"17/05/2021","4.550,0","4.550,0","4.550,0","4.550,0","0,00K","-1,09%"
