"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","689,00","667,10","689,00","667,10","0,06K","-1,52%"
"11/11/2022","699,60","666,20","699,60","666,20","0,10K","4,89%"
"10/11/2022","667,00","699,00","699,00","667,00","9,96K","0,27%"
"08/11/2022","665,20","699,70","699,70","665,20","0,01K","-4,97%"
"04/11/2022","700,00","698,00","700,00","698,00","0,70K","0,43%"
"03/11/2022","697,00","677,00","697,00","662,00","5,88K","0,00%"
"02/11/2022","697,00","697,00","697,00","697,00","0,00K","0,00%"
"01/11/2022","697,00","697,00","697,00","697,00","0,01K","0,00%"
"31/10/2022","697,00","697,00","697,00","697,00","0,31K","0,00%"
"28/10/2022","697,00","697,00","697,00","697,00","0,20K","1,31%"
"27/10/2022","688,00","688,00","688,00","688,00","0,00K","0,00%"
"25/10/2022","688,00","660,00","689,00","660,00","0,04K","1,18%"
"21/10/2022","680,00","650,00","680,00","650,00","1,64K","0,00%"
"20/10/2022","680,00","652,00","680,00","650,00","5,53K","-1,16%"
"19/10/2022","688,00","680,00","689,80","650,00","11,89K","1,18%"
"18/10/2022","680,00","692,00","692,00","675,00","0,34K","-1,73%"
"17/10/2022","692,00","695,00","695,00","691,20","0,06K","-0,43%"
"14/10/2022","695,00","690,00","695,00","690,00","0,01K","0,58%"
"13/10/2022","691,00","695,10","702,90","691,00","1,17K","-1,85%"
"12/10/2022","704,00","703,90","704,00","695,00","0,30K","0,00%"
"11/10/2022","704,00","700,00","704,00","700,00","0,06K","0,00%"
"07/10/2022","704,00","705,00","705,00","704,00","0,63K","0,00%"
"06/10/2022","704,00","700,10","710,00","700,00","0,13K","-1,54%"
"05/10/2022","715,00","700,00","715,00","700,00","0,11K","0,14%"
"04/10/2022","714,00","714,00","714,00","700,00","0,01K","0,00%"
"03/10/2022","714,00","714,00","714,00","714,00","0,02K","-0,83%"
"30/09/2022","720,00","725,00","725,00","685,00","5,13K","-0,83%"
"29/09/2022","726,00","703,00","726,00","703,00","0,02K","3,42%"
"28/09/2022","702,00","720,00","729,00","702,00","0,15K","-4,36%"
"27/09/2022","734,00","734,80","735,00","734,00","5,08K","-0,12%"
"26/09/2022","734,90","734,90","735,00","709,20","2,45K","-0,03%"
"23/09/2022","735,10","736,00","736,50","735,10","14,35K","-6,00%"
"22/09/2022","782,00","779,00","797,50","770,00","6,46K","1,56%"
"21/09/2022","770,00","759,90","775,00","759,90","7,29K","1,32%"
"20/09/2022","760,00","747,90","765,00","740,00","0,93K","3,40%"
"19/09/2022","735,00","740,00","740,00","735,00","1,65K","0,41%"
"16/09/2022","732,00","721,00","740,00","721,00","6,06K","0,27%"
"15/09/2022","730,00","729,70","730,00","729,70","0,03K","0,01%"
"14/09/2022","729,90","729,90","729,90","729,90","0,00K","0,68%"
"13/09/2022","725,00","725,00","725,00","725,00","0,00K","0,00%"
"09/09/2022","725,00","716,00","725,00","716,00","0,61K","-0,14%"
"08/09/2022","726,00","726,10","726,10","726,00","0,01K","0,12%"
"07/09/2022","725,10","715,10","732,90","715,10","3,51K","1,37%"
"06/09/2022","715,30","715,10","736,50","709,00","0,16K","0,04%"
"05/09/2022","715,00","737,50","737,50","715,00","5,02K","0,00%"
"02/09/2022","715,00","715,00","738,50","715,00","0,47K","0,00%"
"01/09/2022","715,00","730,00","730,00","711,00","0,14K","-2,05%"
"31/08/2022","730,00","730,00","730,00","730,00","0,00K","-1,35%"
"30/08/2022","740,00","740,00","740,00","740,00","0,00K","-1,06%"
"29/08/2022","747,90","747,90","747,90","747,90","0,00K","4,60%"
"26/08/2022","715,00","730,00","748,70","715,00","0,14K","-2,04%"
"25/08/2022","729,90","710,00","730,00","710,00","0,01K","3,22%"
"24/08/2022","707,10","766,80","766,80","707,10","0,23K","-3,14%"
"23/08/2022","730,00","769,00","769,00","730,00","0,12K","-3,82%"
"22/08/2022","759,00","736,00","759,00","736,00","0,01K","3,13%"
"19/08/2022","736,00","730,00","768,90","730,00","0,08K","0,82%"
"18/08/2022","730,00","720,00","730,00","715,00","0,03K","1,39%"
"17/08/2022","720,00","705,00","720,00","705,00","5,10K","2,13%"
"16/08/2022","705,00","705,00","705,00","705,00","0,11K","0,00%"
"15/08/2022","705,00","710,00","710,00","700,50","0,20K","-0,70%"
"12/08/2022","710,00","710,00","710,00","710,00","0,09K","0,00%"
"11/08/2022","710,00","710,00","710,00","710,00","0,03K","1,43%"
"10/08/2022","700,00","719,70","719,70","700,00","0,01K","-2,75%"
"09/08/2022","719,80","715,00","719,80","698,00","2,01K","-0,01%"
"08/08/2022","719,90","727,90","727,90","682,60","0,01K","2,84%"
"05/08/2022","700,00","693,00","700,00","681,00","0,34K","1,29%"
"04/08/2022","691,10","700,00","700,00","690,10","0,64K","-1,27%"
"03/08/2022","700,00","729,00","729,00","700,00","0,41K","-0,71%"
"02/08/2022","705,00","705,00","705,00","705,00","0,40K","0,00%"
"01/08/2022","705,00","728,90","728,90","705,00","0,01K","2,47%"
"29/07/2022","688,00","744,00","744,00","688,00","0,74K","-5,90%"
"28/07/2022","731,10","735,00","735,00","731,00","0,10K","0,15%"
"27/07/2022","730,00","730,10","730,10","730,00","0,06K","-0,41%"
"26/07/2022","733,00","734,00","734,00","733,00","0,05K","0,40%"
"25/07/2022","730,10","736,00","736,00","730,10","0,07K","-1,34%"
"22/07/2022","740,00","741,00","741,00","738,10","2,27K","-0,27%"
"21/07/2022","742,00","749,90","749,90","742,00","0,29K","0,13%"
"20/07/2022","741,00","773,00","773,00","741,00","0,05K","0,14%"
"19/07/2022","740,00","735,50","740,00","735,50","0,02K","1,23%"
"18/07/2022","731,00","737,00","738,00","731,00","0,04K","0,14%"
"15/07/2022","730,00","740,00","740,00","730,00","0,14K","-1,35%"
"14/07/2022","740,00","760,00","760,00","740,00","0,01K","-2,63%"
"13/07/2022","760,00","758,00","760,00","758,00","0,04K","0,00%"
"12/07/2022","760,00","760,00","760,00","760,00","0,00K","0,93%"
"08/07/2022","753,00","729,00","753,00","720,00","1,87K","4,58%"
"07/07/2022","720,00","715,00","730,00","713,00","2,07K","0,70%"
"06/07/2022","715,00","730,00","731,50","715,00","2,78K","-2,05%"
"05/07/2022","730,00","732,00","749,50","730,00","0,48K","-0,19%"
"04/07/2022","731,40","750,00","750,00","731,40","0,15K","-5,99%"
"01/07/2022","778,00","778,50","778,50","778,00","0,02K","0,00%"
"30/06/2022","778,00","771,00","780,00","770,00","21,14K","1,04%"
"29/06/2022","770,00","790,00","790,00","770,00","0,42K","-2,53%"
"28/06/2022","790,00","794,00","794,00","775,00","0,05K","-1,00%"
"27/06/2022","798,00","789,00","798,00","789,00","1,25K","1,28%"
"24/06/2022","787,90","790,00","790,00","787,00","0,40K","-6,20%"
"23/06/2022","840,00","835,00","845,00","830,00","10,97K","1,20%"
"22/06/2022","830,00","869,00","869,90","830,00","2,95K","-3,49%"
"21/06/2022","860,00","851,00","871,00","850,00","0,28K","-1,49%"
"20/06/2022","873,00","850,00","873,00","838,00","0,39K","1,51%"
"17/06/2022","860,00","851,00","860,00","850,00","2,89K","1,18%"
"16/06/2022","850,00","869,00","870,00","850,00","4,87K","-2,75%"
"15/06/2022","874,00","873,00","874,00","852,00","0,26K","-0,68%"
"14/06/2022","880,00","880,00","880,00","872,00","0,89K","0,00%"
"13/06/2022","880,00","880,00","889,00","876,00","1,29K","-1,12%"
"10/06/2022","890,00","879,00","918,00","879,00","15,18K","1,95%"
"09/06/2022","873,00","860,00","899,00","860,00","5,59K","2,83%"
"08/06/2022","849,00","839,00","850,00","832,00","0,30K","1,43%"
"07/06/2022","837,00","832,10","837,00","830,10","0,07K","0,83%"
"06/06/2022","830,10","840,00","840,00","830,10","0,11K","-1,18%"
"03/06/2022","840,00","840,00","840,00","840,00","0,62K","0,48%"
"02/06/2022","836,00","854,90","854,90","835,00","0,77K","0,72%"
"01/06/2022","830,00","835,00","835,00","830,00","0,05K","-0,60%"
"31/05/2022","835,00","830,00","835,00","830,00","0,32K","0,60%"
"30/05/2022","830,00","830,00","838,30","830,00","0,05K","0,00%"
"27/05/2022","830,00","830,00","830,50","830,00","0,70K","0,00%"
"26/05/2022","830,00","830,10","830,10","830,00","0,06K","0,00%"
"25/05/2022","830,00","836,00","839,00","828,00","0,37K","-1,07%"
"24/05/2022","839,00","845,00","850,00","839,00","2,82K","-0,71%"
"23/05/2022","845,00","850,00","850,00","833,00","0,65K","-0,59%"
"20/05/2022","850,00","855,00","855,00","850,00","1,35K","-0,58%"
"19/05/2022","855,00","852,00","855,00","851,30","24,61K","0,59%"
"18/05/2022","850,00","845,00","850,00","845,00","0,13K","0,00%"
"17/05/2022","850,00","855,00","855,00","845,00","1,13K","0,00%"
"16/05/2022","850,00","846,00","850,00","833,00","0,31K","0,59%"
"13/05/2022","845,00","848,00","848,00","832,00","0,20K","-0,35%"
"12/05/2022","848,00","849,50","850,00","830,00","6,07K","-0,18%"
"11/05/2022","849,50","850,20","851,00","848,00","0,47K","-0,06%"
"10/05/2022","850,00","880,00","880,00","850,00","11,98K","-3,85%"
"09/05/2022","884,00","874,00","885,00","874,00","0,21K","0,45%"
"06/05/2022","880,00","880,00","882,90","874,00","0,31K","0,46%"
"05/05/2022","876,00","884,80","884,80","874,00","0,05K","0,69%"
"04/05/2022","870,00","863,10","885,00","863,10","0,33K","0,58%"
