"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","1.000,00","1.000,00","1.000,00","1.000,00","0,00K","0,00%"
"04/11/2022","1.000,00","1.000,00","1.000,00","1.000,00","0,09K","-2,53%"
"02/11/2022","1.026,00","1.026,00","1.026,00","1.026,00","0,00K","2,60%"
"01/11/2022","1.000,00","1.000,00","1.000,00","1.000,00","0,26K","-3,85%"
"28/10/2022","1.040,00","1.040,00","1.040,00","1.040,00","0,00K","-5,45%"
"27/10/2022","1.100,00","1.100,00","1.100,00","1.100,00","0,00K","3,77%"
"26/10/2022","1.060,00","1.060,00","1.060,00","1.060,00","0,01K","2,91%"
"25/10/2022","1.030,00","1.030,00","1.030,00","1.030,00","0,00K","3,10%"
"21/10/2022","999,00","999,00","999,00","999,00","0,00K","-1,87%"
"20/10/2022","1.018,00","1.018,00","1.018,00","1.018,00","0,00K","2,83%"
"19/10/2022","990,00","993,00","993,00","990,00","1,57K","-0,10%"
"18/10/2022","991,00","1.000,00","1.000,00","991,00","0,00K","-2,27%"
"14/10/2022","1.014,00","1.015,00","1.025,00","1.014,00","1,51K","-2,97%"
"30/09/2022","1.045,00","1.045,00","1.045,00","1.045,00","0,31K","-5,86%"
"29/09/2022","1.110,00","1.110,00","1.110,00","1.110,00","0,00K","-4,97%"
"28/09/2022","1.168,00","1.168,00","1.168,00","1.168,00","0,14K","-2,67%"
"27/09/2022","1.200,00","1.200,00","1.200,00","1.200,00","0,10K","3,18%"
"23/09/2022","1.163,00","1.066,00","1.163,00","1.063,00","0,39K","5,92%"
"22/09/2022","1.098,00","1.130,00","1.130,00","1.098,00","0,09K","-2,83%"
"21/09/2022","1.130,00","1.135,00","1.135,00","1.130,00","0,05K","-0,09%"
"20/09/2022","1.131,00","1.131,00","1.131,00","1.131,00","1,01K","-2,92%"
"19/09/2022","1.165,00","1.165,00","1.165,00","1.165,00","0,00K","-2,92%"
"16/09/2022","1.200,00","1.200,00","1.200,00","1.200,00","0,05K","5,26%"
"15/09/2022","1.140,00","1.200,00","1.200,00","1.140,00","0,00K","0,44%"
"14/09/2022","1.135,00","1.135,00","1.135,00","1.135,00","0,02K","0,44%"
"13/09/2022","1.130,00","1.130,00","1.130,00","1.130,00","0,00K","-5,83%"
"26/08/2022","1.200,00","1.200,00","1.200,00","1.200,00","0,00K","0,08%"
"23/08/2022","1.199,00","1.199,00","1.199,00","1.199,00","0,00K","2,13%"
