"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/11/2022","134,40","128,80","134,85","128,80","0,29K","-0,07%"
"11/11/2022","134,50","131,00","134,50","127,10","0,47K","2,67%"
"10/11/2022","131,00","128,80","134,95","128,80","0,25K","-4,34%"
"09/11/2022","136,95","136,95","136,95","136,95","0,06K","-0,04%"
"08/11/2022","137,00","137,00","137,00","137,00","0,04K","-0,36%"
"07/11/2022","137,50","134,00","137,50","132,10","0,11K","-0,33%"
"04/11/2022","137,95","135,00","137,95","132,10","0,14K","-0,76%"
"02/11/2022","139,00","132,55","139,00","132,55","0,04K","2,96%"
"01/11/2022","135,00","135,85","135,85","135,00","0,25K","-3,57%"
"31/10/2022","140,00","140,00","140,00","140,00","0,00K","0,79%"
"28/10/2022","138,90","138,90","142,00","136,10","1,66K","2,06%"
"27/10/2022","136,10","131,00","136,10","131,00","1,28K","2,45%"
"26/10/2022","132,85","132,80","132,85","132,80","0,04K","-0,08%"
"25/10/2022","132,95","127,00","132,95","127,00","0,12K","0,00%"
"24/10/2022","132,95","131,70","132,95","131,50","0,05K","-0,04%"
"21/10/2022","133,00","133,00","133,00","133,00","0,02K","-0,71%"
"20/10/2022","133,95","130,00","133,95","130,00","0,12K","-0,67%"
"19/10/2022","134,85","132,00","134,85","132,00","0,09K","2,16%"
"18/10/2022","132,00","132,00","132,00","132,00","0,03K","-3,23%"
"14/10/2022","136,40","132,85","136,40","132,00","0,22K","-0,40%"
"13/10/2022","136,95","135,50","136,95","132,00","0,72K","-2,11%"
"12/10/2022","139,90","139,90","139,90","139,90","0,04K","0,79%"
"11/10/2022","138,80","137,15","138,80","135,55","0,08K","-0,11%"
"07/10/2022","138,95","139,00","140,50","138,95","0,41K","2,93%"
"06/10/2022","135,00","139,00","139,00","133,00","1,71K","-4,26%"
"05/10/2022","141,00","141,05","141,05","138,00","1,65K","-3,56%"
"04/10/2022","146,20","144,00","146,40","141,00","0,28K","-0,85%"
"03/10/2022","147,45","148,20","148,20","141,00","3,52K","5,40%"
"30/09/2022","139,90","139,90","139,90","135,40","9,07K","5,98%"
"29/09/2022","132,00","126,50","132,00","125,00","1,05K","1,54%"
"28/09/2022","130,00","134,90","134,90","126,50","1,08K","-3,35%"
"27/09/2022","134,50","134,00","136,95","134,00","0,06K","-1,82%"
"26/09/2022","137,00","133,50","137,00","133,00","2,90K","2,85%"
"23/09/2022","133,20","139,75","139,75","133,20","0,10K","-4,62%"
"22/09/2022","139,65","139,75","139,75","139,00","0,26K","0,22%"
"21/09/2022","139,35","137,00","139,90","131,00","0,33K","1,83%"
"20/09/2022","136,85","140,00","140,00","136,85","0,12K","-3,52%"
"19/09/2022","141,85","141,50","143,50","140,00","1,48K","-0,80%"
"16/09/2022","143,00","146,00","146,00","140,00","4,31K","0,70%"
"15/09/2022","142,00","135,00","142,00","135,00","4,22K","5,97%"
"14/09/2022","134,00","134,00","134,00","134,00","0,45K","1,13%"
"13/09/2022","132,50","134,00","134,00","130,00","0,13K","-0,38%"
"12/09/2022","133,00","128,30","133,00","127,10","0,66K","1,53%"
"09/09/2022","131,00","132,00","132,00","131,00","0,03K","0,77%"
"07/09/2022","130,00","129,50","130,00","129,50","0,17K","0,39%"
"06/09/2022","129,50","129,50","129,50","129,50","0,01K","-0,23%"
"02/09/2022","129,80","129,80","129,80","129,80","0,08K","0,00%"
"01/09/2022","129,80","130,00","130,00","128,10","0,28K","-3,13%"
"31/08/2022","134,00","133,80","134,00","133,80","0,10K","0,04%"
"30/08/2022","133,95","134,00","134,00","130,00","0,24K","-0,04%"
"29/08/2022","134,00","131,05","134,00","130,00","0,45K","-2,19%"
"24/08/2022","137,00","135,10","137,00","133,50","0,64K","0,00%"
"23/08/2022","137,00","135,00","137,00","135,00","0,17K","0,04%"
"22/08/2022","136,95","134,00","136,95","134,00","0,03K","-1,05%"
"19/08/2022","138,40","137,00","138,40","137,00","0,16K","0,29%"
"18/08/2022","138,00","138,00","138,00","138,00","0,20K","-0,65%"
"17/08/2022","138,90","134,00","140,00","134,00","1,72K","3,66%"
"16/08/2022","134,00","137,45","137,45","130,10","1,11K","0,00%"
"15/08/2022","134,00","135,00","138,20","133,00","1,17K","-0,74%"
"12/08/2022","135,00","132,70","135,00","132,70","0,18K","-1,46%"
"11/08/2022","137,00","135,10","140,00","132,55","2,39K","-2,84%"
"10/08/2022","141,00","137,00","142,60","137,00","0,87K","-0,53%"
"09/08/2022","141,75","141,00","144,00","140,00","0,51K","2,72%"
"08/08/2022","138,00","131,40","138,00","131,40","4,38K","5,99%"
"05/08/2022","130,20","117,00","130,25","117,00","3,23K","5,94%"
"04/08/2022","122,90","116,00","122,90","116,00","0,15K","5,58%"
"03/08/2022","116,40","115,00","116,50","113,05","0,51K","1,22%"
"02/08/2022","115,00","115,15","115,15","111,70","0,21K","4,55%"
"01/08/2022","110,00","108,85","110,00","108,00","0,20K","0,00%"
"29/07/2022","110,00","113,00","113,00","110,00","0,89K","1,15%"
"28/07/2022","108,75","108,55","112,40","108,55","0,02K","-3,76%"
"26/07/2022","113,00","110,00","113,00","110,00","0,11K","4,15%"
"25/07/2022","108,50","110,00","110,00","108,50","0,49K","0,00%"
"22/07/2022","108,50","108,50","108,50","108,50","0,91K","0,28%"
"21/07/2022","108,20","111,50","111,50","108,20","2,13K","-2,43%"
"20/07/2022","110,90","108,00","110,90","107,10","0,08K","-0,85%"
"19/07/2022","111,85","110,10","111,85","107,10","0,93K","-1,15%"
"18/07/2022","113,15","111,00","113,15","109,95","0,26K","-3,25%"
"14/07/2022","116,95","112,50","116,95","112,50","0,13K","3,50%"
"08/07/2022","113,00","112,55","113,00","112,55","0,03K","-2,59%"
"07/07/2022","116,00","116,00","116,00","116,00","0,10K","1,98%"
"05/07/2022","113,75","108,00","113,75","107,10","0,58K","-0,09%"
"04/07/2022","113,85","112,30","113,85","109,00","0,38K","-1,64%"
"01/07/2022","115,75","115,00","115,75","115,00","0,16K","-0,22%"
"28/06/2022","116,00","113,25","116,00","110,00","0,11K","-0,64%"
"23/06/2022","116,75","113,10","116,75","108,15","0,79K","1,52%"
"22/06/2022","115,00","115,00","115,00","115,00","0,01K","-0,86%"
"20/06/2022","116,00","114,45","116,50","112,25","0,13K","-1,65%"
"17/06/2022","117,95","118,85","118,85","113,00","0,09K","-0,88%"
"16/06/2022","119,00","116,00","119,00","113,80","0,08K","-0,38%"
"15/06/2022","119,45","113,75","119,45","113,75","0,11K","-1,28%"
"14/06/2022","121,00","115,00","121,00","113,00","0,46K","4,00%"
"13/06/2022","116,35","116,35","116,35","116,35","0,16K","-2,92%"
"10/06/2022","119,85","118,05","119,85","116,50","0,06K","-3,11%"
"09/06/2022","123,70","123,70","123,70","123,70","0,01K","4,83%"
"08/06/2022","118,00","118,00","118,00","118,00","0,32K","-4,76%"
"07/06/2022","123,90","118,40","123,90","118,40","0,04K","1,56%"
"03/06/2022","122,00","119,50","122,00","118,50","0,35K","3,04%"
"02/06/2022","118,40","115,00","118,40","115,00","0,33K","-0,42%"
"01/06/2022","118,90","119,50","119,50","118,90","0,01K","-0,42%"
"31/05/2022","119,40","119,00","119,40","119,00","0,10K","-0,08%"
"26/05/2022","119,50","115,00","119,50","115,00","0,27K","1,27%"
"25/05/2022","118,00","118,05","118,05","115,00","0,32K","-3,52%"
"23/05/2022","122,30","118,20","122,30","118,20","0,02K","0,25%"
"20/05/2022","122,00","121,00","122,00","120,00","0,55K","-2,75%"
"19/05/2022","125,45","120,00","125,45","120,00","0,28K","-0,44%"
"13/05/2022","126,00","124,90","126,00","124,90","0,13K","2,44%"
"12/05/2022","123,00","123,00","123,00","118,00","0,17K","0,00%"
"11/05/2022","123,00","119,00","123,00","119,00","0,62K","3,36%"
"10/05/2022","119,00","125,10","125,10","119,00","0,93K","-4,95%"
"09/05/2022","125,20","125,20","125,20","125,20","0,09K","-0,08%"
"06/05/2022","125,30","131,00","131,00","125,25","0,10K","-4,35%"
"05/05/2022","131,00","129,00","131,00","129,00","0,43K","1,55%"
"04/05/2022","129,00","127,15","129,00","126,00","0,29K","2,38%"
"29/04/2022","126,00","126,00","126,00","126,00","0,02K","0,80%"
"28/04/2022","125,00","129,75","131,00","125,00","1,20K","-3,66%"
"27/04/2022","129,75","129,75","129,75","129,75","0,26K","0,00%"
"26/04/2022","129,75","129,75","129,75","129,75","0,00K","2,53%"
"25/04/2022","126,55","126,55","126,55","126,55","0,07K","-2,65%"
"22/04/2022","130,00","130,00","130,00","130,00","0,60K","0,00%"
"21/04/2022","130,00","128,00","130,00","128,00","0,10K","-0,88%"
"20/04/2022","131,15","131,15","131,15","131,15","0,30K","-0,15%"
"19/04/2022","131,35","124,10","131,35","124,10","0,20K","3,83%"
"18/04/2022","126,50","128,00","128,00","123,50","1,88K","-1,17%"
"15/04/2022","128,00","130,00","130,00","128,00","2,84K","-1,54%"
"14/04/2022","130,00","130,00","130,00","129,00","1,41K","0,04%"
"13/04/2022","129,95","131,00","134,90","129,95","1,78K","-3,74%"
"12/04/2022","135,00","137,90","137,95","135,00","0,12K","-2,10%"
"08/04/2022","137,90","136,80","137,90","136,80","0,14K","2,22%"
"07/04/2022","134,90","133,05","134,90","131,00","0,65K","-1,53%"
"06/04/2022","137,00","134,50","137,00","134,50","0,14K","-1,08%"
"05/04/2022","138,50","132,05","138,50","132,05","0,56K","-1,07%"
"01/04/2022","140,00","140,00","142,00","140,00","1,15K","0,00%"
"31/03/2022","140,00","140,00","142,75","134,45","3,30K","-2,10%"
"30/03/2022","143,00","143,00","143,00","143,00","0,05K","0,00%"
"29/03/2022","143,00","143,00","143,00","143,00","0,21K","2,14%"
"28/03/2022","140,00","140,00","140,00","140,00","0,14K","1,45%"
"25/03/2022","138,00","138,00","140,00","138,00","0,19K","0,00%"
"24/03/2022","138,00","138,55","138,55","134,45","0,56K","-3,50%"
"23/03/2022","143,00","143,00","147,00","139,00","1,19K","0,70%"
"22/03/2022","142,00","134,10","143,00","134,10","0,81K","3,42%"
"21/03/2022","137,30","134,90","137,30","134,90","0,62K","1,78%"
"18/03/2022","134,90","134,90","134,90","132,10","3,03K","0,00%"
"17/03/2022","134,90","133,30","135,00","131,00","0,68K","1,85%"
"16/03/2022","132,45","128,10","132,45","128,00","0,47K","3,32%"
"15/03/2022","128,20","133,90","133,90","128,00","1,11K","-4,29%"
"14/03/2022","133,95","136,00","136,00","127,00","0,77K","3,12%"
"11/03/2022","129,90","129,90","129,90","126,00","0,43K","-0,08%"
"10/03/2022","130,00","134,00","135,00","130,00","0,93K","-0,08%"
"09/03/2022","130,10","130,00","135,65","128,00","2,70K","1,64%"
"08/03/2022","128,00","116,00","128,50","116,00","13,65K","4,23%"
"07/03/2022","122,80","122,80","122,80","122,80","0,43K","-5,97%"
"04/03/2022","130,60","133,00","133,00","130,60","0,86K","-5,98%"
"03/03/2022","138,90","138,90","138,90","135,00","0,33K","0,00%"
"02/03/2022","138,90","142,00","142,00","134,50","7,31K","-2,87%"
"01/03/2022","143,00","144,00","145,00","143,00","0,63K","-0,87%"
"28/02/2022","144,25","144,05","147,00","144,05","0,33K","-2,60%"
"25/02/2022","148,10","140,00","149,00","138,00","5,03K","0,99%"
"24/02/2022","146,65","154,90","154,90","146,65","1,92K","-5,99%"
"23/02/2022","156,00","156,00","156,00","155,90","0,40K","-1,02%"
"22/02/2022","157,60","153,70","158,00","153,70","0,72K","-0,57%"
"21/02/2022","158,50","161,00","161,00","156,00","0,72K","-2,10%"
"18/02/2022","161,90","160,00","162,00","157,20","0,72K","1,25%"
"17/02/2022","159,90","159,90","160,00","159,90","0,41K","0,63%"
"16/02/2022","158,90","156,00","158,90","156,00","0,28K","-0,06%"
"15/02/2022","159,00","158,50","159,00","156,00","1,11K","0,32%"
"14/02/2022","158,50","163,10","163,10","155,15","4,39K","-3,94%"
"11/02/2022","165,00","167,00","170,00","163,00","2,00K","0,12%"
"10/02/2022","164,80","167,50","167,50","161,00","10,25K","2,97%"
"09/02/2022","160,05","155,00","160,05","154,00","9,03K","5,99%"
"08/02/2022","151,00","142,00","151,00","141,90","5,80K","5,96%"
"07/02/2022","142,50","142,50","142,50","140,05","1,73K","-0,31%"
"04/02/2022","142,95","141,00","142,95","140,10","3,07K","-1,07%"
"03/02/2022","144,50","145,15","145,15","137,85","13,51K","-0,48%"
"02/02/2022","145,20","147,80","147,80","145,20","2,03K","-1,89%"
"01/02/2022","148,00","147,00","148,90","145,00","0,73K","0,68%"
"31/01/2022","147,00","150,75","150,75","147,00","0,57K","-2,00%"
"28/01/2022","150,00","150,00","151,00","148,10","0,18K","-0,66%"
"27/01/2022","151,00","151,00","151,00","151,00","0,15K","0,67%"
"26/01/2022","150,00","149,10","150,00","148,00","0,57K","-0,66%"
"25/01/2022","151,00","148,00","151,00","147,55","0,02K","-0,92%"
"24/01/2022","152,40","151,90","152,40","148,00","0,24K","-0,33%"
"21/01/2022","152,90","154,50","156,00","150,00","5,01K","-0,52%"
"20/01/2022","153,70","147,90","153,75","147,90","9,43K","3,92%"
"19/01/2022","147,90","145,50","147,90","145,50","1,94K","2,71%"
"18/01/2022","144,00","147,05","148,00","144,00","3,90K","-2,70%"
"17/01/2022","148,00","150,00","152,50","147,00","2,68K","-0,67%"
"14/01/2022","149,00","148,20","149,00","148,10","1,58K","-0,67%"
"13/01/2022","150,00","150,00","151,00","150,00","0,73K","-0,92%"
"12/01/2022","151,40","150,00","151,40","150,00","0,34K","-1,62%"
"10/01/2022","153,90","150,00","153,90","145,60","1,08K","0,62%"
"07/01/2022","152,95","153,05","155,00","150,00","3,37K","-3,17%"
"06/01/2022","157,95","156,40","159,50","152,50","5,58K","-0,03%"
"05/01/2022","158,00","155,30","159,90","154,30","3,12K","1,74%"
"04/01/2022","155,30","146,95","155,70","146,00","2,07K","5,72%"
"03/01/2022","146,90","142,00","148,00","136,80","0,35K","3,45%"
"31/12/2021","142,00","141,90","142,00","135,00","6,44K","0,71%"
"30/12/2021","141,00","139,70","141,90","139,70","0,10K","0,79%"
"29/12/2021","139,90","135,00","139,90","134,50","0,24K","3,63%"
"28/12/2021","135,00","137,00","138,00","134,25","0,96K","-3,57%"
"27/12/2021","140,00","135,05","145,00","134,25","1,52K","-1,96%"
"24/12/2021","142,80","135,05","142,80","135,00","0,44K","4,23%"
"23/12/2021","137,00","135,90","137,00","133,00","0,28K","-1,44%"
"22/12/2021","139,00","138,90","143,00","136,00","0,31K","2,39%"
"21/12/2021","135,75","134,00","140,00","127,80","3,90K","-0,15%"
"20/12/2021","135,95","141,10","141,10","135,95","1,52K","-5,98%"
"17/12/2021","144,60","149,00","149,00","144,60","2,58K","-5,98%"
"16/12/2021","153,80","150,00","153,80","150,00","0,01K","-0,39%"
"15/12/2021","154,40","150,00","154,40","148,10","0,29K","0,26%"
"14/12/2021","154,00","149,50","156,90","146,00","1,39K","0,00%"
"13/12/2021","154,00","156,00","156,00","153,50","0,26K","-1,91%"
"10/12/2021","157,00","162,05","162,05","157,00","0,80K","-0,63%"
"09/12/2021","158,00","159,00","162,50","156,00","0,67K","0,03%"
"08/12/2021","157,95","160,00","162,50","155,00","2,09K","-0,03%"
"07/12/2021","158,00","160,00","160,00","154,95","4,66K","-1,25%"
"06/12/2021","160,00","158,00","164,95","158,00","0,69K","-1,17%"
"03/12/2021","161,90","160,15","161,90","159,00","0,46K","-0,64%"
"02/12/2021","162,95","161,35","169,00","160,05","0,95K","-0,58%"
"01/12/2021","163,90","164,40","168,00","160,20","0,71K","-0,24%"
"30/11/2021","164,30","163,00","164,50","160,00","0,67K","-3,35%"
"29/11/2021","170,00","159,90","170,00","159,75","2,34K","0,06%"
"26/11/2021","169,90","174,50","174,50","165,00","2,72K","-1,79%"
"25/11/2021","173,00","170,00","180,00","168,00","4,38K","1,76%"
"24/11/2021","170,00","172,50","172,50","168,00","0,58K","-1,08%"
"23/11/2021","171,85","173,00","173,00","164,95","4,69K","-2,02%"
"22/11/2021","175,40","174,90","183,90","172,55","2,93K","0,52%"
"19/11/2021","174,50","172,00","176,00","171,00","0,86K","-0,14%"
"17/11/2021","174,75","173,00","176,50","171,00","1,27K","2,22%"
"16/11/2021","170,95","165,00","173,00","165,00","1,12K","3,67%"
"15/11/2021","164,90","166,00","167,00","164,90","0,48K","3,06%"
"12/11/2021","160,00","165,00","168,95","157,10","1,07K","0,00%"
