"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","4.500,0","4.501,0","4.501,0","4.400,0","2,21K","0,00%"
"11/11/2022","4.500,0","4.500,0","4.500,0","4.500,0","0,02K","0,00%"
"10/11/2022","4.500,0","4.500,0","4.500,0","4.500,0","2,38K","-2,17%"
"09/11/2022","4.600,0","4.600,0","4.600,0","4.600,0","0,01K","2,22%"
"04/11/2022","4.500,0","4.500,0","4.500,0","4.500,0","0,00K","-2,60%"
"03/11/2022","4.620,0","4.550,0","4.620,0","4.550,0","0,02K","0,48%"
"28/10/2022","4.598,0","4.598,0","4.598,0","4.598,0","0,31K","-0,04%"
"27/10/2022","4.600,0","4.501,0","4.600,0","4.500,0","0,04K","-0,82%"
"26/10/2022","4.638,0","4.530,0","4.638,0","4.530,0","0,72K","-0,26%"
"21/10/2022","4.650,0","4.650,0","4.650,0","4.650,0","0,15K","1,97%"
"20/10/2022","4.560,0","4.690,0","4.690,0","4.560,0","0,05K","-2,98%"
"18/10/2022","4.700,0","4.500,0","4.700,0","4.500,0","0,27K","-0,93%"
"17/10/2022","4.744,0","4.504,0","4.744,0","4.500,0","0,01K","0,94%"
"14/10/2022","4.700,0","4.700,0","4.700,0","4.700,0","0,10K","-1,26%"
"13/10/2022","4.760,0","4.530,0","4.760,0","4.530,0","1,00K","5,66%"
"12/10/2022","4.505,0","4.772,0","4.772,0","4.505,0","0,08K","0,04%"
"11/10/2022","4.503,0","4.505,0","4.505,0","4.503,0","0,02K","-1,03%"
"07/10/2022","4.550,0","4.798,0","4.800,0","4.550,0","0,06K","-3,60%"
"06/10/2022","4.720,0","4.720,0","4.720,0","4.720,0","0,01K","0,85%"
"05/10/2022","4.680,0","4.680,0","4.680,0","4.680,0","0,00K","1,74%"
"30/09/2022","4.600,0","4.600,0","4.600,0","4.600,0","3,00K","0,00%"
"29/09/2022","4.600,0","4.600,0","4.600,0","4.600,0","2,00K","2,22%"
"28/09/2022","4.500,0","4.500,0","4.500,0","4.500,0","0,10K","-2,17%"
"27/09/2022","4.600,0","4.900,0","4.900,0","4.600,0","1,64K","-4,17%"
"26/09/2022","4.800,0","4.851,0","4.851,0","4.800,0","0,03K","-1,03%"
"23/09/2022","4.850,0","4.857,0","4.950,0","4.850,0","1,61K","-2,81%"
"22/09/2022","4.990,0","4.950,0","4.998,0","4.950,0","2,35K","1,01%"
"21/09/2022","4.940,0","4.940,0","4.940,0","4.940,0","0,05K","-1,00%"
"20/09/2022","4.990,0","4.990,0","4.990,0","4.990,0","0,01K","1,42%"
"19/09/2022","4.920,0","4.940,0","4.940,0","4.920,0","0,49K","-0,61%"
"16/09/2022","4.950,0","4.900,0","4.950,0","4.900,0","0,05K","1,02%"
"15/09/2022","4.900,0","4.900,0","4.901,0","4.900,0","0,08K","0,00%"
"13/09/2022","4.900,0","4.900,0","4.900,0","4.900,0","0,02K","0,00%"
"09/09/2022","4.900,0","4.900,0","4.900,0","4.900,0","0,49K","0,00%"
"07/09/2022","4.900,0","4.900,0","4.900,0","4.900,0","0,50K","-1,84%"
"01/09/2022","4.992,0","4.992,0","4.992,0","4.992,0","0,00K","0,00%"
"31/08/2022","4.992,0","4.920,0","4.992,0","4.800,0","0,05K","1,59%"
"30/08/2022","4.914,0","4.914,0","4.914,0","4.914,0","0,01K","-1,72%"
"26/08/2022","5.000,0","5.000,0","5.000,0","5.000,0","0,05K","0,12%"
"25/08/2022","4.994,0","4.994,0","4.994,0","4.994,0","0,00K","-0,04%"
"19/08/2022","4.996,0","4.996,0","4.996,0","4.996,0","0,01K","1,96%"
"12/08/2022","4.900,0","4.900,0","4.900,0","4.900,0","0,10K","1,03%"
"29/07/2022","4.850,0","4.899,0","4.899,0","4.850,0","0,02K","-1,02%"
"28/07/2022","4.900,0","4.850,0","4.900,0","4.850,0","0,11K","1,03%"
"27/07/2022","4.850,0","4.830,0","4.854,0","4.830,0","0,03K","1,04%"
"22/07/2022","4.800,0","4.819,0","4.819,0","4.800,0","0,05K","2,13%"
"21/07/2022","4.700,0","4.700,0","4.700,0","4.700,0","0,03K","2,17%"
"20/07/2022","4.600,0","4.600,0","4.600,0","4.600,0","0,37K","0,00%"
"19/07/2022","4.600,0","4.601,0","4.601,0","4.600,0","0,10K","0,00%"
"18/07/2022","4.600,0","4.600,0","4.600,0","4.600,0","1,21K","-2,13%"
"15/07/2022","4.700,0","4.500,0","4.700,0","4.500,0","0,18K","3,34%"
"14/07/2022","4.548,0","4.548,0","4.548,0","4.548,0","0,00K","1,07%"
"12/07/2022","4.500,0","4.500,0","4.500,0","4.500,0","0,05K","0,00%"
"08/07/2022","4.500,0","4.540,0","4.540,0","4.500,0","0,45K","-1,06%"
"06/07/2022","4.548,0","4.301,0","4.550,0","4.301,0","0,02K","4,43%"
"05/07/2022","4.355,0","4.355,0","4.355,0","4.355,0","0,01K","-1,69%"
"04/07/2022","4.430,0","4.305,0","4.430,0","4.305,0","0,01K","-1,23%"
"01/07/2022","4.485,0","4.480,0","4.485,0","4.480,0","0,02K","5,98%"
"30/06/2022","4.232,0","4.700,0","4.700,0","4.232,0","1,43K","-5,96%"
"29/06/2022","4.500,0","4.500,0","4.500,0","4.500,0","0,20K","-2,20%"
"28/06/2022","4.601,0","4.601,0","4.601,0","4.601,0","0,00K","0,00%"
"27/06/2022","4.601,0","4.601,0","4.601,0","4.601,0","12,16K","0,02%"
"24/06/2022","4.600,0","4.600,0","4.600,0","4.600,0","1,47K","0,66%"
"23/06/2022","4.570,0","4.570,0","4.570,0","4.570,0","0,60K","-2,79%"
"22/06/2022","4.701,0","4.700,0","4.707,0","4.700,0","2,24K","0,02%"
"21/06/2022","4.700,0","4.651,0","4.700,0","4.651,0","0,16K","1,56%"
"20/06/2022","4.628,0","4.628,0","4.628,0","4.628,0","0,01K","-2,57%"
"17/06/2022","4.750,0","4.750,0","4.750,0","4.750,0","0,80K","-0,42%"
"16/06/2022","4.770,0","4.770,0","4.770,0","4.770,0","0,02K","-2,65%"
"15/06/2022","4.900,0","4.999,0","4.999,0","4.806,0","0,36K","2,08%"
"14/06/2022","4.800,0","4.800,0","4.800,0","4.800,0","0,26K","0,00%"
"13/06/2022","4.800,0","4.800,0","4.800,0","4.800,0","0,02K","-4,00%"
"10/06/2022","5.000,0","5.000,0","5.000,0","5.000,0","0,03K","0,30%"
"09/06/2022","4.985,0","4.980,0","4.985,0","4.980,0","0,03K","0,50%"
"08/06/2022","4.960,0","4.960,0","4.960,0","4.960,0","0,02K","-5,88%"
"07/06/2022","5.270,0","4.900,0","5.270,0","4.900,0","0,06K","5,80%"
"03/06/2022","4.981,0","4.820,0","4.984,0","4.820,0","0,41K","-0,16%"
"02/06/2022","4.989,0","4.989,0","4.989,0","4.989,0","0,05K","5,99%"
"31/05/2022","4.707,0","4.707,0","4.707,0","4.707,0","0,09K","0,15%"
"30/05/2022","4.700,0","4.700,0","4.700,0","4.700,0","0,15K","0,09%"
"27/05/2022","4.696,0","4.696,0","4.696,0","4.696,0","0,34K","2,98%"
"25/05/2022","4.560,0","4.801,0","4.801,0","4.560,0","0,05K","-5,30%"
"24/05/2022","4.815,0","4.814,0","4.815,0","4.814,0","0,04K","0,00%"
"23/05/2022","4.815,0","4.817,0","4.817,0","4.815,0","0,00K","-2,73%"
"20/05/2022","4.950,0","4.808,0","4.950,0","4.808,0","0,13K","0,39%"
"19/05/2022","4.931,0","4.931,0","4.931,0","4.931,0","2,88K","-2,74%"
"16/05/2022","5.070,0","4.825,0","5.070,0","4.610,0","0,06K","5,08%"
"13/05/2022","4.825,0","4.825,0","4.825,0","4.825,0","0,03K","-1,33%"
"11/05/2022","4.890,0","4.950,0","4.950,0","4.890,0","0,05K","-2,20%"
"10/05/2022","5.000,0","5.000,0","5.000,0","5.000,0","0,02K","0,00%"
"09/05/2022","5.000,0","5.000,0","5.000,0","5.000,0","0,01K","-2,34%"
"06/05/2022","5.120,0","5.120,0","5.120,0","5.120,0","0,01K","2,40%"
"05/05/2022","5.000,0","5.145,0","5.147,0","5.000,0","0,03K","-2,91%"
"04/05/2022","5.150,0","5.150,0","5.150,0","5.150,0","0,00K","0,00%"
"29/04/2022","5.150,0","5.000,0","5.150,0","5.000,0","0,04K","3,00%"
"27/04/2022","5.000,0","5.000,0","5.000,0","5.000,0","0,01K","0,00%"
"25/04/2022","5.000,0","4.911,0","5.000,0","4.855,0","0,02K","0,00%"
"22/04/2022","5.000,0","4.950,0","5.000,0","4.950,0","0,65K","2,04%"
"21/04/2022","4.900,0","4.910,0","4.910,0","4.900,0","0,00K","-1,51%"
"20/04/2022","4.975,0","4.974,0","4.975,0","4.974,0","0,00K","-0,08%"
"19/04/2022","4.979,0","4.970,0","4.979,0","4.970,0","0,00K","-0,22%"
"15/04/2022","4.990,0","4.990,0","4.990,0","4.990,0","0,24K","1,84%"
"14/04/2022","4.900,0","4.900,0","4.900,0","4.900,0","0,00K","-0,41%"
