"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","6.385,0","6.261,0","6.385,0","6.261,0","0,80K","-0,23%"
"09/11/2022","6.400,0","6.260,0","6.400,0","6.260,0","0,01K","0,00%"
"08/11/2022","6.400,0","6.400,0","6.400,0","6.400,0","0,39K","0,00%"
"04/11/2022","6.400,0","6.500,0","6.500,0","6.300,0","0,22K","0,00%"
"03/11/2022","6.400,0","6.400,0","6.400,0","6.400,0","1,20K","0,00%"
"02/11/2022","6.400,0","6.435,0","6.435,0","6.400,0","0,79K","-0,16%"
"01/11/2022","6.410,0","6.410,0","6.410,0","6.410,0","0,50K","-2,58%"
"28/10/2022","6.580,0","6.580,0","6.580,0","6.580,0","0,05K","1,32%"
"27/10/2022","6.494,0","6.450,0","6.494,0","6.400,0","1,78K","0,22%"
"21/10/2022","6.480,0","6.500,0","6.500,0","6.306,0","0,58K","-0,31%"
"20/10/2022","6.500,0","6.405,0","6.600,0","6.405,0","0,08K","-2,26%"
"17/10/2022","6.650,0","6.390,0","6.650,0","6.390,0","0,02K","0,76%"
"14/10/2022","6.600,0","6.596,0","6.600,0","6.596,0","0,02K","0,00%"
"13/10/2022","6.600,0","6.505,0","6.600,0","6.390,0","0,20K","-1,49%"
"07/10/2022","6.700,0","6.550,0","6.700,0","6.550,0","0,02K","2,29%"
"06/10/2022","6.550,0","6.500,0","6.550,0","6.500,0","0,59K","0,77%"
"05/10/2022","6.500,0","6.500,0","6.500,0","6.500,0","1,78K","0,78%"
"04/10/2022","6.450,0","6.390,0","6.450,0","6.390,0","0,05K","0,78%"
"03/10/2022","6.400,0","6.400,0","6.400,0","6.400,0","0,88K","0,00%"
"30/09/2022","6.400,0","6.430,0","6.430,0","6.400,0","0,93K","-1,23%"
"29/09/2022","6.480,0","6.400,0","6.480,0","6.400,0","0,05K","1,25%"
"28/09/2022","6.400,0","6.500,0","6.500,0","6.400,0","1,91K","-2,14%"
