"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","96,05","95,10","96,50","94,30","63,35K","2,07%"
"11/11/2022","94,10","96,99","96,99","93,50","1,10M","-2,99%"
"10/11/2022","97,00","100,10","100,15","97,00","64,42K","-3,48%"
"09/11/2022","100,50","100,65","101,15","100,30","88,51K","-0,15%"
"08/11/2022","100,65","100,65","101,15","100,25","103,46K","0,00%"
"07/11/2022","100,65","102,00","102,25","100,50","61,75K","-0,79%"
"04/11/2022","101,45","102,50","102,90","101,25","191,39K","-1,17%"
"03/11/2022","102,65","102,50","103,00","102,50","78,19K","0,15%"
"02/11/2022","102,50","102,50","102,70","102,20","27,62K","0,10%"
"01/11/2022","102,40","102,80","102,80","101,65","18,38K","0,24%"
"31/10/2022","102,15","101,90","102,90","101,90","31,95K","0,25%"
"28/10/2022","101,90","102,85","102,95","101,90","530,78K","-0,54%"
"27/10/2022","102,45","101,50","102,45","101,25","94,37K","0,00%"
"26/10/2022","102,45","105,50","105,50","102,00","43,74K","-2,15%"
"25/10/2022","104,70","106,90","106,95","104,70","29,81K","-1,69%"
"24/10/2022","106,50","108,75","109,00","105,00","39,17K","-2,29%"
"21/10/2022","109,00","110,10","111,00","109,00","34,18K","-0,91%"
"20/10/2022","110,00","114,00","114,00","110,00","20,10K","-3,08%"
"19/10/2022","113,50","114,00","114,10","113,50","4,97K","-0,48%"
"18/10/2022","114,05","114,15","114,50","114,00","48,90K","-0,39%"
"17/10/2022","114,50","114,00","115,80","114,00","64,29K","0,39%"
"14/10/2022","114,05","114,10","114,80","113,90","801,96K","-0,13%"
"13/10/2022","114,20","116,00","116,00","114,00","535,13K","0,18%"
"12/10/2022","114,00","116,00","116,00","114,00","20,94K","-1,72%"
"11/10/2022","116,00","116,00","116,00","115,75","17,38K","0,00%"
"07/10/2022","116,00","115,55","116,05","115,55","53,77K","-0,60%"
"06/10/2022","116,70","115,10","117,25","114,75","660,29K","1,48%"
"05/10/2022","115,00","114,50","115,00","114,50","23,17K","0,44%"
"04/10/2022","114,50","114,15","115,00","114,15","56,88K","0,00%"
"03/10/2022","114,50","114,00","114,90","114,00","3,52K","0,17%"
"30/09/2022","114,30","114,15","114,70","114,00","763,79K","0,18%"
"29/09/2022","114,10","114,70","115,30","114,10","82,85K","-0,78%"
"28/09/2022","115,00","115,80","115,80","114,50","502,92K","-0,69%"
"27/09/2022","115,80","118,00","118,00","115,50","351,43K","-1,66%"
"26/09/2022","117,75","118,70","118,70","117,75","861,73K","-0,25%"
"23/09/2022","118,05","118,00","118,50","117,75","767,98K","-0,30%"
"22/09/2022","118,40","118,00","118,40","118,00","224,78K","0,04%"
"21/09/2022","118,35","117,85","118,35","117,85","66,66K","0,30%"
"20/09/2022","118,00","118,00","118,40","118,00","36,67K","0,00%"
"19/09/2022","118,00","118,05","118,75","118,00","22,28K","-0,08%"
"16/09/2022","118,10","119,00","119,00","118,10","70,66K","-0,34%"
"15/09/2022","118,50","119,00","119,00","118,05","83,15K","0,08%"
"14/09/2022","118,40","118,30","118,40","118,00","77,30K","-0,08%"
"13/09/2022","118,50","118,60","119,40","118,50","33,46K","-0,04%"
"12/09/2022","118,55","119,00","119,70","118,55","30,00K","-0,38%"
"09/09/2022","119,00","118,50","120,00","118,50","70,49K","0,34%"
"08/09/2022","118,60","118,10","120,00","118,10","14,83K","0,47%"
"07/09/2022","118,05","118,15","119,20","118,05","3,79K","0,04%"
"06/09/2022","118,00","118,00","118,10","117,30","79,11K","-3,04%"
"05/09/2022","121,70","121,15","122,50","121,15","37,83K","0,45%"
"02/09/2022","121,15","121,05","121,95","121,00","36,32K","-0,33%"
"01/09/2022","121,55","121,00","122,00","121,00","18,05K","0,45%"
"31/08/2022","121,00","120,00","121,00","120,00","180,51K","0,79%"
"30/08/2022","120,05","120,80","121,00","120,00","130,27K","-0,79%"
"29/08/2022","121,00","122,00","122,00","120,95","6,58K","-0,41%"
"26/08/2022","121,50","120,65","121,90","120,65","52,61K","0,41%"
"25/08/2022","121,00","121,00","121,40","121,00","4,56K","0,00%"
"24/08/2022","121,00","120,25","121,00","120,00","12,10K","0,41%"
"23/08/2022","120,50","120,00","120,60","120,00","38,92K","1,26%"
"22/08/2022","119,00","121,30","121,30","119,00","180,31K","-1,94%"
