"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","28,07","28,07","28,07","28,07","0,02K","3,96%"
"08/11/2022","27,00","27,00","27,00","27,00","0,05K","-1,46%"
"21/10/2022","27,40","27,40","27,40","27,40","0,05K","-3,86%"
"14/10/2022","28,50","28,50","28,50","28,50","0,87K","-0,21%"
"12/10/2022","28,56","28,56","28,56","28,56","0,05K","-3,97%"
"05/10/2022","29,74","29,74","29,74","29,74","0,00K","3,99%"
"28/09/2022","28,60","28,60","28,60","28,60","0,06K","0,00%"
"27/09/2022","28,60","28,60","28,60","28,60","0,10K","0,00%"
"26/09/2022","28,60","28,60","28,60","28,60","0,09K","-3,99%"
"16/09/2022","29,79","29,79","29,79","29,79","0,00K","0,00%"
"15/09/2022","29,79","29,79","29,79","29,79","0,00K","3,98%"
"14/09/2022","28,65","28,65","28,65","28,65","0,09K","0,00%"
"13/09/2022","28,65","28,65","28,65","28,65","0,01K","3,99%"
"09/09/2022","27,55","27,55","27,55","27,55","0,00K","3,96%"
"08/09/2022","26,50","26,50","26,50","26,50","0,50K","0,00%"
"07/09/2022","26,50","26,50","26,50","26,50","0,61K","1,30%"
"31/08/2022","26,16","26,16","26,16","26,16","0,03K","-3,61%"
"25/08/2022","27,14","27,14","27,14","27,14","0,01K","3,98%"
"23/08/2022","26,10","26,10","26,10","26,10","0,09K","0,69%"
"02/08/2022","25,92","25,92","25,92","25,92","0,06K","0,00%"
"27/07/2022","25,92","25,92","25,92","25,92","0,29K","-2,74%"
"22/07/2022","26,65","26,65","26,65","26,65","0,52K","-1,95%"
"21/07/2022","27,18","27,18","27,18","27,18","0,47K","-3,99%"
"15/07/2022","28,31","28,31","28,31","28,31","0,10K","-0,07%"
"13/07/2022","28,33","28,33","28,33","28,33","0,19K","0,11%"
"12/07/2022","28,30","28,30","28,30","28,30","0,01K","0,14%"
"05/07/2022","28,26","29,10","29,10","28,26","0,25K","-5,64%"
"04/07/2022","29,95","30,00","30,00","29,95","0,21K","0,00%"
"29/06/2022","29,95","29,95","29,95","29,95","0,06K","-5,99%"
"22/06/2022","31,86","31,86","31,86","31,86","0,00K","-5,99%"
"21/06/2022","33,89","33,89","33,89","33,89","0,01K","5,91%"
"20/06/2022","32,00","32,00","32,00","32,00","0,02K","-5,88%"
"10/06/2022","34,00","34,00","34,00","34,00","0,35K","3,12%"
"09/06/2022","32,97","32,97","32,97","32,97","0,05K","5,98%"
"07/06/2022","31,11","31,11","31,11","31,11","0,04K","6,00%"
"25/05/2022","29,35","29,35","29,35","29,35","0,03K","-2,49%"
"19/05/2022","30,10","31,21","31,21","30,10","0,83K","-5,94%"
"18/05/2022","32,00","32,00","32,00","32,00","0,01K","2,73%"
"16/05/2022","31,15","31,15","31,15","31,15","0,00K","-2,66%"
"13/05/2022","32,00","32,00","32,00","32,00","0,10K","0,00%"
"11/05/2022","32,00","33,00","33,00","32,00","0,03K","0,00%"
"10/05/2022","32,00","32,00","32,00","32,00","0,07K","2,63%"
"09/05/2022","31,18","31,18","31,18","31,18","0,06K","0,10%"
"04/05/2022","31,15","31,15","31,15","31,15","0,07K","0,00%"
"28/04/2022","31,15","31,15","31,15","31,15","0,10K","-1,11%"
"12/04/2022","31,50","31,50","31,50","31,50","0,25K","1,29%"
"08/04/2022","31,10","33,00","33,00","31,10","1,07K","-5,76%"
"07/04/2022","33,00","33,00","33,00","33,00","0,10K","0,00%"
"01/04/2022","33,00","33,01","33,01","33,00","0,02K","0,00%"
"31/03/2022","33,00","33,00","33,00","33,00","0,02K","-2,94%"
"28/03/2022","34,00","34,00","34,00","34,00","0,01K","-2,86%"
"25/03/2022","35,00","35,00","35,00","35,00","0,00K","2,85%"
"21/03/2022","34,03","34,03","34,03","34,03","0,01K","-2,83%"
"17/03/2022","35,02","35,02","35,02","35,02","0,04K","-4,84%"
"11/03/2022","36,80","35,80","36,80","35,80","0,06K","2,76%"
"10/03/2022","35,81","35,81","35,81","35,81","0,01K","-5,74%"
