"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","101,50","99,00","101,50","99,00","1,00K","2,53%"
"11/11/2022","99,00","99,50","99,50","99,00","17,04K","-0,50%"
"10/11/2022","99,50","99,55","99,55","99,50","30,12K","0,00%"
"09/11/2022","99,50","99,55","100,00","99,50","20,16K","0,00%"
"08/11/2022","99,50","101,70","101,70","99,50","5,01K","-2,26%"
"07/11/2022","101,80","101,80","101,80","101,80","0,00K","1,80%"
"04/11/2022","100,00","101,90","101,90","100,00","10,50K","-0,99%"
"02/11/2022","101,00","99,50","101,90","99,00","6,19K","2,02%"
"01/11/2022","99,00","100,10","100,10","98,80","0,47K","-1,00%"
"31/10/2022","100,00","99,20","100,00","99,00","21,58K","0,00%"
"28/10/2022","100,00","99,00","100,00","99,00","0,96K","1,01%"
"27/10/2022","99,00","100,00","100,00","99,00","46,90K","-1,00%"
"26/10/2022","100,00","100,00","100,00","100,00","3,79K","-3,85%"
"25/10/2022","104,00","104,00","104,00","104,00","0,01K","-0,67%"
"24/10/2022","104,70","104,90","104,90","104,70","0,10K","5,76%"
"21/10/2022","99,00","102,00","102,00","99,00","36,84K","-2,94%"
"20/10/2022","102,00","102,80","104,70","102,00","3,08K","-0,78%"
"19/10/2022","102,80","103,30","103,30","102,60","8,96K","-1,15%"
"18/10/2022","104,00","105,60","105,60","103,15","0,95K","0,29%"
"17/10/2022","103,70","105,60","105,60","103,70","0,23K","-0,29%"
"14/10/2022","104,00","105,70","105,70","104,00","0,26K","-1,61%"
"13/10/2022","105,70","103,25","105,70","103,25","0,57K","1,63%"
"12/10/2022","104,00","105,00","105,70","104,00","0,21K","-0,95%"
"11/10/2022","105,00","104,00","105,00","104,00","0,03K","0,96%"
"07/10/2022","104,00","105,75","105,75","104,00","2,96K","0,00%"
"06/10/2022","104,00","104,10","105,00","104,00","0,27K","0,00%"
"05/10/2022","104,00","105,75","105,75","104,00","0,07K","-1,65%"
"04/10/2022","105,75","105,80","105,80","105,75","0,04K","4,70%"
"30/09/2022","101,00","105,00","105,00","101,00","3,14K","-0,98%"
"29/09/2022","102,00","105,95","105,95","102,00","4,83K","-0,97%"
"28/09/2022","103,00","105,00","105,00","103,00","3,77K","0,00%"
"27/09/2022","103,00","103,00","103,00","103,00","0,98K","-1,34%"
"26/09/2022","104,40","104,40","105,00","104,40","0,13K","-1,42%"
"23/09/2022","105,90","106,00","106,00","105,00","12,50K","-0,09%"
"22/09/2022","106,00","106,00","106,00","106,00","0,10K","0,00%"
"21/09/2022","106,00","109,80","109,80","106,00","0,81K","0,00%"
"19/09/2022","106,00","106,95","106,95","106,00","0,63K","0,95%"
"16/09/2022","105,00","107,00","107,00","105,00","19,10K","-2,33%"
"14/09/2022","107,50","107,50","107,50","107,50","10,00K","1,56%"
"13/09/2022","105,85","106,90","110,00","105,85","27,34K","-1,03%"
"12/09/2022","106,95","106,95","106,95","106,95","0,02K","1,37%"
"09/09/2022","105,50","106,90","106,95","105,50","10,38K","-0,47%"
"08/09/2022","106,00","106,30","106,30","105,50","10,10K","-0,28%"
"07/09/2022","106,30","106,90","106,90","106,30","0,05K","-0,51%"
"06/09/2022","106,85","106,90","106,90","106,85","17,63K","-0,09%"
"05/09/2022","106,95","106,95","106,95","106,95","0,04K","0,00%"
"01/09/2022","106,95","107,45","107,45","106,95","0,11K","1,76%"
"31/08/2022","105,10","105,00","106,00","105,00","10,37K","0,10%"
"30/08/2022","105,00","107,00","108,00","105,00","10,06K","-0,10%"
"29/08/2022","105,10","105,10","105,10","105,10","0,00K","0,00%"
"26/08/2022","105,10","105,05","106,95","105,05","1,35K","0,10%"
"25/08/2022","105,00","106,00","106,00","105,00","0,11K","0,19%"
"24/08/2022","104,80","105,00","105,00","104,80","0,44K","0,48%"
"23/08/2022","104,30","107,00","107,00","104,30","0,10K","-1,23%"
"19/08/2022","105,60","107,00","107,00","105,60","0,02K","-1,31%"
"18/08/2022","107,00","107,00","107,00","107,00","0,00K","0,00%"
"17/08/2022","107,00","107,00","107,00","107,00","0,01K","0,00%"
"16/08/2022","107,00","107,00","107,00","107,00","1,80K","0,94%"
"15/08/2022","106,00","105,05","107,00","105,05","0,09K","0,95%"
"12/08/2022","105,00","105,00","105,00","105,00","0,08K","0,29%"
"10/08/2022","104,70","106,00","106,00","104,65","0,05K","-2,10%"
"09/08/2022","106,95","106,95","106,95","106,95","0,00K","0,00%"
"08/08/2022","106,95","106,95","106,95","106,95","0,01K","-0,33%"
"05/08/2022","107,30","107,30","107,30","107,30","0,03K","2,93%"
"04/08/2022","104,25","104,25","104,25","104,25","0,10K","-3,20%"
"02/08/2022","107,70","107,70","107,70","107,70","0,11K","4,06%"
"01/08/2022","103,50","107,95","107,95","103,50","0,05K","-4,08%"
"29/07/2022","107,90","107,90","107,90","107,90","0,01K","4,71%"
"28/07/2022","103,05","105,40","105,40","103,05","0,14K","-2,04%"
"27/07/2022","105,20","108,00","108,00","105,20","2,74K","-2,59%"
"26/07/2022","108,00","108,00","108,00","108,00","0,01K","-1,37%"
"25/07/2022","109,50","106,00","110,00","106,00","9,79K","3,30%"
"22/07/2022","106,00","106,00","106,00","106,00","0,00K","0,00%"
"21/07/2022","106,00","106,00","106,00","106,00","0,16K","0,00%"
"19/07/2022","106,00","106,00","106,00","105,95","0,01K","0,00%"
"18/07/2022","106,00","106,00","106,00","106,00","0,13K","2,91%"
"15/07/2022","103,00","106,00","106,00","102,80","0,53K","-3,74%"
"14/07/2022","107,00","107,00","107,00","107,00","0,00K","0,19%"
"13/07/2022","106,80","105,25","106,80","105,25","0,11K","4,71%"
"12/07/2022","102,00","101,45","102,20","101,45","34,47K","-1,45%"
"08/07/2022","103,50","104,00","104,00","103,50","22,52K","-1,43%"
"06/07/2022","105,00","104,00","105,00","101,00","0,62K","-1,36%"
"05/07/2022","106,45","104,00","106,45","100,90","0,44K","2,36%"
"04/07/2022","104,00","103,75","106,85","103,75","0,21K","-0,95%"
"30/06/2022","105,00","106,95","107,35","105,00","10,43K","0,00%"
"29/06/2022","105,00","105,00","105,00","105,00","1,58K","-1,87%"
"28/06/2022","107,00","105,00","107,00","105,00","0,05K","1,90%"
"27/06/2022","105,00","105,10","105,10","103,00","10,62K","-1,73%"
"24/06/2022","106,85","106,85","106,90","106,85","0,21K","-0,14%"
"23/06/2022","107,00","106,75","107,00","106,75","0,77K","0,00%"
"22/06/2022","107,00","107,00","107,00","107,00","1,09K","-0,05%"
"21/06/2022","107,05","107,15","107,15","106,55","1,16K","0,47%"
"17/06/2022","106,55","107,00","107,00","106,55","5,21K","-0,42%"
"16/06/2022","107,00","107,00","107,00","107,00","7,73K","0,00%"
"15/06/2022","107,00","108,00","108,00","106,50","48,78K","-0,93%"
"14/06/2022","108,00","109,00","109,00","108,00","58,04K","-1,77%"
"13/06/2022","109,95","108,95","110,00","108,95","0,05K","0,00%"
"10/06/2022","109,95","109,00","110,00","109,00","0,26K","0,87%"
"09/06/2022","109,00","109,00","109,50","109,00","3,92K","-0,46%"
"08/06/2022","109,50","108,85","109,50","108,85","10,64K","0,46%"
"07/06/2022","109,00","110,00","110,00","109,00","10,04K","0,00%"
"06/06/2022","109,00","108,70","109,00","108,70","10,53K","0,00%"
"03/06/2022","109,00","109,95","109,95","109,00","1,11K","-0,91%"
"02/06/2022","110,00","108,90","110,00","108,90","0,06K","0,96%"
"01/06/2022","108,95","109,00","109,00","108,95","13,71K","0,41%"
"31/05/2022","108,50","107,65","109,50","107,65","2,98K","-3,98%"
"30/05/2022","113,00","113,00","113,00","113,00","8,10K","3,76%"
"27/05/2022","108,90","107,60","108,90","107,00","1,01K","-0,18%"
"26/05/2022","109,10","109,15","109,15","107,50","0,31K","1,49%"
"25/05/2022","107,50","110,00","110,00","107,50","0,03K","0,00%"
"24/05/2022","107,50","107,65","107,65","107,50","0,10K","-2,89%"
"23/05/2022","110,70","108,10","110,70","107,05","1,47K","2,03%"
"20/05/2022","108,50","109,90","110,00","108,50","0,55K","-1,36%"
"19/05/2022","110,00","109,20","110,00","109,20","4,42K","0,73%"
"18/05/2022","109,20","109,20","109,20","109,20","0,00K","0,00%"
"17/05/2022","109,20","107,60","109,20","107,60","0,05K","0,65%"
"16/05/2022","108,50","109,20","109,20","108,50","0,15K","-0,55%"
"13/05/2022","109,10","109,10","109,10","109,10","0,10K","1,96%"
"12/05/2022","107,00","109,15","109,15","107,00","11,27K","-2,28%"
"11/05/2022","109,50","109,95","109,95","109,50","1,22K","-0,18%"
"10/05/2022","109,70","109,70","109,70","109,70","0,20K","-0,27%"
"09/05/2022","110,00","110,00","110,00","109,50","0,07K","-0,90%"
"06/05/2022","111,00","109,60","111,00","109,60","17,81K","0,00%"
"05/05/2022","111,00","111,00","111,00","111,00","2,22K","2,54%"
"04/05/2022","108,25","114,00","114,00","108,25","0,80K","-0,69%"
"29/04/2022","109,00","111,35","111,35","109,00","0,06K","0,00%"
"28/04/2022","109,00","109,00","109,00","109,00","","0,00%"
"27/04/2022","109,00","109,00","109,00","109,00","0,02K","0,00%"
"26/04/2022","109,00","108,55","109,00","108,55","31,47K","0,09%"
"25/04/2022","108,90","108,90","108,90","108,90","","0,51%"
"22/04/2022","108,35","108,40","108,40","108,35","0,20K","0,00%"
"21/04/2022","108,35","109,00","109,00","108,30","0,48K","-3,90%"
"20/04/2022","112,75","113,95","113,95","112,75","1,68K","3,63%"
"19/04/2022","108,80","108,80","108,80","108,80","0,00K","-0,18%"
"18/04/2022","109,00","108,85","109,00","108,50","0,06K","0,93%"
"15/04/2022","108,00","105,60","108,00","105,60","2,65K","2,76%"
"14/04/2022","105,10","105,10","105,10","105,10","1,77K","-4,45%"
"11/04/2022","110,00","110,00","110,00","110,00","0,52K","4,46%"
"08/04/2022","105,30","105,30","105,30","105,30","0,00K","0,29%"
"07/04/2022","105,00","105,00","105,00","105,00","0,18K","-2,33%"
"05/04/2022","107,50","107,50","107,50","107,50","0,05K","1,42%"
"01/04/2022","106,00","107,00","107,00","106,00","0,05K","-1,85%"
"30/03/2022","108,00","107,80","108,00","107,80","51,33K","0,05%"
"29/03/2022","107,95","105,10","107,95","105,10","0,11K","-0,05%"
"28/03/2022","108,00","108,00","108,00","108,00","2,00K","2,81%"
"25/03/2022","105,05","105,05","105,05","105,05","0,47K","0,10%"
"23/03/2022","104,95","105,85","105,85","104,95","0,20K","-2,82%"
"22/03/2022","108,00","108,00","108,00","108,00","4,00K","0,00%"
"21/03/2022","108,00","109,95","109,95","108,00","44,10K","2,37%"
