"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","97,00","97,20","97,20","97,00","0,10K","0,00%"
"14/11/2022","97,00","99,00","99,00","97,00","0,13K","-2,02%"
"11/11/2022","99,00","99,00","99,00","99,00","0,04K","-5,71%"
"10/11/2022","105,00","105,00","105,00","105,00","0,00K","0,00%"
"09/11/2022","105,00","102,00","105,00","102,00","0,53K","1,20%"
"26/10/2022","103,75","103,75","103,75","103,75","0,01K","5,12%"
"24/10/2022","98,70","98,70","98,70","98,70","0,12K","0,00%"
"20/10/2022","98,70","99,05","99,05","98,70","0,22K","-2,95%"
"18/10/2022","101,70","102,50","102,50","101,70","0,16K","-0,78%"
"14/10/2022","102,50","102,50","102,50","102,50","0,01K","0,20%"
"11/10/2022","102,30","102,30","102,30","102,30","0,01K","0,05%"
"07/10/2022","102,25","102,20","102,25","102,20","0,01K","0,05%"
"06/10/2022","102,20","102,20","102,20","102,20","0,04K","0,49%"
"03/10/2022","101,70","101,70","101,70","101,70","0,01K","-0,29%"
"29/09/2022","102,00","102,10","102,10","102,00","0,13K","-2,86%"
"28/09/2022","105,00","105,05","105,05","103,45","0,30K","-4,55%"
"20/09/2022","110,00","110,00","110,00","110,00","0,01K","1,99%"
"19/09/2022","107,85","107,95","108,00","105,00","0,18K","-0,05%"
"15/09/2022","107,90","107,95","107,95","101,50","0,02K","-0,05%"
"12/09/2022","107,95","107,95","107,95","107,95","0,01K","-0,05%"
"09/09/2022","108,00","108,00","108,00","108,00","0,01K","0,00%"
"08/09/2022","108,00","108,00","108,00","108,00","0,02K","0,00%"
"07/09/2022","108,00","108,00","108,00","108,00","0,01K","2,61%"
"02/09/2022","105,25","105,25","105,25","105,25","0,00K","-3,00%"
"01/09/2022","108,50","108,50","108,50","108,50","0,01K","4,23%"
"31/08/2022","104,10","103,15","104,10","103,15","0,01K","-5,10%"
"25/08/2022","109,70","109,70","109,70","109,70","0,00K","1,57%"
"23/08/2022","108,00","104,90","108,00","104,90","0,05K","2,96%"
"10/08/2022","104,90","104,90","104,90","104,90","0,00K","0,87%"
"05/08/2022","104,00","104,00","104,00","104,00","0,03K","0,00%"
"04/08/2022","104,00","104,00","104,00","104,00","0,08K","-0,86%"
"03/08/2022","104,90","104,90","104,90","104,90","0,01K","0,00%"
"27/07/2022","104,90","104,90","104,90","104,90","0,03K","5,96%"
"19/07/2022","99,00","99,00","99,00","99,00","0,00K","0,00%"
"18/07/2022","99,00","99,00","99,00","99,00","0,02K","0,30%"
"04/07/2022","98,70","98,70","99,00","98,70","0,13K","-5,96%"
"01/07/2022","104,95","104,95","104,95","104,95","0,00K","4,95%"
"30/06/2022","100,00","100,00","100,00","100,00","0,01K","4,06%"
"28/06/2022","96,10","98,12","98,12","96,10","0,12K","-2,09%"
"27/06/2022","98,15","100,20","100,20","98,15","0,20K","-3,40%"
"24/06/2022","101,60","102,00","102,00","101,60","0,10K","-0,39%"
"21/06/2022","102,00","102,05","102,05","102,00","0,05K","-1,11%"
"13/06/2022","103,15","103,15","103,15","103,15","0,19K","-1,76%"
"10/06/2022","105,00","105,00","105,00","105,00","0,00K","-0,94%"
"08/06/2022","106,00","106,00","106,00","106,00","0,00K","-0,38%"
"03/06/2022","106,40","106,40","106,40","106,40","0,05K","0,47%"
"02/06/2022","105,90","105,90","105,90","105,90","0,01K","-0,47%"
"30/05/2022","106,40","106,40","106,40","106,40","0,02K","-0,51%"
"23/05/2022","106,95","106,95","106,95","106,95","0,01K","-0,51%"
