"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"09/11/2022","194,00","190,00","194,00","190,00","2,43K","0,00%"
"04/11/2022","194,00","195,40","195,40","194,00","0,51K","-0,77%"
"02/11/2022","195,50","195,50","195,50","195,50","0,21K","0,77%"
"31/10/2022","194,00","194,70","196,00","194,00","4,06K","-0,41%"
"28/10/2022","194,80","194,80","194,80","194,80","1,20K","-0,61%"
"27/10/2022","196,00","196,00","196,00","196,00","0,00K","5,35%"
"26/10/2022","186,05","186,05","186,05","186,05","0,03K","-5,56%"
"25/10/2022","197,00","189,90","197,00","189,90","0,01K","2,60%"
"21/10/2022","192,00","192,00","192,00","192,00","1,33K","-2,93%"
"20/10/2022","197,80","190,00","197,80","183,00","0,62K","4,11%"
"19/10/2022","190,00","199,00","199,00","190,00","0,15K","0,48%"
"18/10/2022","189,10","189,10","189,10","189,10","0,10K","-4,01%"
"17/10/2022","197,00","189,20","197,00","189,20","0,21K","-1,50%"
"14/10/2022","200,00","191,50","200,00","191,50","4,72K","0,50%"
"13/10/2022","199,00","199,00","199,00","199,00","0,00K","1,02%"
"12/10/2022","197,00","191,50","197,00","191,50","0,39K","-2,91%"
"03/10/2022","202,90","201,00","202,90","200,85","0,71K","1,50%"
"30/09/2022","199,90","192,20","202,90","192,00","9,55K","-2,01%"
"29/09/2022","204,00","200,00","204,00","194,00","2,27K","0,49%"
"28/09/2022","203,00","199,90","203,50","189,00","2,26K","1,50%"
"27/09/2022","200,00","199,95","204,00","199,50","0,90K","-1,94%"
"26/09/2022","203,95","196,00","203,95","195,00","0,51K","1,97%"
"23/09/2022","200,00","189,00","200,00","189,00","3,63K","5,26%"
"22/09/2022","190,00","190,10","190,15","189,00","2,22K","0,00%"
"21/09/2022","190,00","191,10","191,10","190,00","0,31K","-0,63%"
"20/09/2022","191,20","191,20","191,20","191,20","0,02K","-0,03%"
"19/09/2022","191,25","191,25","191,25","191,25","0,02K","-1,42%"
"16/09/2022","194,00","194,90","195,00","191,20","4,12K","-0,51%"
"15/09/2022","195,00","195,00","195,00","195,00","0,30K","2,25%"
"14/09/2022","190,70","194,90","194,90","190,70","0,01K","-2,21%"
"13/09/2022","195,00","195,00","195,00","195,00","0,05K","2,63%"
"12/09/2022","190,00","189,25","190,10","189,25","0,05K","-2,56%"
"09/09/2022","195,00","191,00","195,00","190,00","0,35K","0,05%"
"08/09/2022","194,90","195,00","195,00","194,90","0,26K","-0,05%"
