"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","4.400,0","4.400,0","4.400,0","4.400,0","1,98K","0,00%"
"11/11/2022","4.400,0","4.500,0","4.500,0","4.400,0","3,00K","0,00%"
"10/11/2022","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","0,00%"
"09/11/2022","4.400,0","4.400,0","4.400,0","4.400,0","0,07K","0,00%"
"08/11/2022","4.400,0","4.500,0","4.500,0","4.400,0","0,59K","-2,22%"
"04/11/2022","4.500,0","4.521,0","4.523,0","4.500,0","0,64K","0,00%"
"03/11/2022","4.500,0","4.500,0","4.500,0","4.500,0","0,12K","0,00%"
"31/10/2022","4.500,0","4.500,0","4.500,0","4.500,0","0,40K","0,00%"
"27/10/2022","4.500,0","4.500,0","4.500,0","4.500,0","2,70K","-0,02%"
"26/10/2022","4.501,0","4.505,0","4.505,0","4.500,0","1,86K","-1,19%"
"25/10/2022","4.555,0","4.580,0","4.580,0","4.507,0","0,01K","-0,11%"
"24/10/2022","4.560,0","4.561,0","4.561,0","4.560,0","0,02K","-0,44%"
"21/10/2022","4.580,0","4.580,0","4.580,0","4.580,0","0,50K","-0,41%"
"20/10/2022","4.599,0","4.600,0","4.610,0","4.505,0","1,65K","-2,15%"
"19/10/2022","4.700,0","4.505,0","4.700,0","4.505,0","0,02K","-0,42%"
"18/10/2022","4.720,0","4.550,0","4.720,0","4.500,0","0,02K","3,96%"
"17/10/2022","4.540,0","4.540,0","4.540,0","4.540,0","0,00K","-3,81%"
"14/10/2022","4.720,0","4.800,0","4.800,0","4.720,0","0,64K","0,00%"
"13/10/2022","4.720,0","4.720,0","4.720,0","4.720,0","0,16K","-0,42%"
"12/10/2022","4.740,0","4.725,0","4.740,0","4.725,0","0,48K","0,42%"
"11/10/2022","4.720,0","4.720,0","4.720,0","4.720,0","0,00K","0,00%"
"07/10/2022","4.720,0","4.720,0","4.720,0","4.720,0","0,00K","0,00%"
"06/10/2022","4.720,0","4.720,0","4.720,0","4.720,0","0,05K","0,85%"
"05/10/2022","4.680,0","4.705,0","4.705,0","4.680,0","2,37K","-0,53%"
"03/10/2022","4.705,0","4.705,0","4.705,0","4.705,0","0,07K","-1,98%"
"30/09/2022","4.800,0","4.900,0","4.900,0","4.800,0","2,46K","0,00%"
"28/09/2022","4.800,0","4.800,0","4.850,0","4.800,0","1,62K","-0,62%"
