"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","219,00","219,00","219,05","219,00","0,03K","0,46%"
"11/11/2022","218,00","231,95","231,95","218,00","0,39K","-1,36%"
"10/11/2022","221,00","221,00","221,00","221,00","0,11K","-5,15%"
"09/11/2022","233,00","233,00","233,00","233,00","0,00K","1,75%"
"08/11/2022","229,00","217,00","229,00","215,10","0,27K","4,57%"
"07/11/2022","219,00","237,95","237,95","219,00","0,36K","-3,12%"
"04/11/2022","226,05","234,00","238,00","226,05","0,57K","-1,72%"
"03/11/2022","230,00","231,05","231,05","230,00","0,29K","-1,03%"
"02/11/2022","232,40","232,40","232,40","232,40","0,04K","-1,69%"
"01/11/2022","236,40","236,40","236,40","236,40","0,01K","-0,67%"
"31/10/2022","238,00","238,00","238,00","238,00","3,78K","0,04%"
"28/10/2022","237,90","244,85","244,85","237,90","0,61K","-0,04%"
"27/10/2022","238,00","234,00","244,00","233,30","1,17K","3,39%"
"26/10/2022","230,20","230,00","237,00","230,00","0,84K","2,45%"
"25/10/2022","224,70","219,95","224,70","219,90","0,25K","5,99%"
"24/10/2022","212,00","219,90","219,90","212,00","0,19K","-0,05%"
"21/10/2022","212,10","213,00","215,00","212,10","0,28K","-1,35%"
"20/10/2022","215,00","218,00","218,00","215,00","0,29K","-1,87%"
"18/10/2022","219,10","219,10","220,00","219,10","0,35K","-0,41%"
"17/10/2022","220,00","227,30","227,30","216,00","0,41K","-3,93%"
"14/10/2022","229,00","229,10","234,00","229,00","0,45K","-2,14%"
"13/10/2022","234,00","238,50","240,00","234,00","0,05K","0,43%"
"07/10/2022","233,00","239,80","239,80","233,00","0,02K","-0,85%"
"06/10/2022","235,00","237,00","240,00","235,00","0,17K","-1,67%"
"05/10/2022","239,00","233,00","239,00","233,00","0,01K","1,27%"
"04/10/2022","236,00","235,00","237,50","231,10","0,31K","0,43%"
"03/10/2022","235,00","228,00","237,00","228,00","1,14K","-2,08%"
"30/09/2022","240,00","242,90","243,00","240,00","3,06K","1,69%"
"29/09/2022","236,00","231,00","236,00","231,00","2,50K","0,00%"
"28/09/2022","236,00","246,00","246,00","236,00","3,74K","-4,84%"
"27/09/2022","248,00","249,00","250,00","248,00","0,31K","-2,32%"
"26/09/2022","253,90","258,00","258,00","248,10","0,03K","2,17%"
"23/09/2022","248,50","251,50","257,50","248,50","0,45K","-1,00%"
"22/09/2022","251,00","254,00","259,90","249,00","0,54K","-1,18%"
"21/09/2022","254,00","249,05","255,00","248,10","0,66K","1,20%"
"20/09/2022","251,00","253,20","256,95","250,00","0,62K","-0,04%"
"19/09/2022","251,10","250,00","260,00","250,00","0,22K","-3,42%"
"16/09/2022","260,00","266,00","266,00","248,20","1,29K","0,00%"
"15/09/2022","260,00","273,00","277,00","247,50","2,25K","-0,67%"
"14/09/2022","261,75","249,95","261,75","249,90","13,32K","5,99%"
"13/09/2022","246,95","234,00","246,95","234,00","1,79K","5,99%"
"12/09/2022","233,00","232,00","233,00","232,00","0,85K","4,48%"
"09/09/2022","223,00","226,25","233,00","222,00","0,55K","-3,88%"
"08/09/2022","232,00","233,95","233,95","227,00","0,40K","1,67%"
"07/09/2022","228,20","246,90","246,90","226,00","1,64K","-2,12%"
"06/09/2022","233,15","230,00","233,15","224,00","1,12K","5,98%"
"05/09/2022","220,00","220,00","226,00","218,00","2,68K","3,09%"
"02/09/2022","213,40","213,40","213,40","212,00","3,91K","5,98%"
"01/09/2022","201,35","193,00","201,35","193,00","1,36K","5,97%"
"31/08/2022","190,00","185,00","190,00","185,00","3,30K","5,53%"
"26/08/2022","180,05","180,05","180,05","180,05","0,10K","-0,03%"
"25/08/2022","180,10","180,05","180,15","180,05","0,38K","-1,10%"
"22/08/2022","182,10","181,05","182,50","181,05","0,18K","-0,49%"
"17/08/2022","183,00","186,80","186,90","183,00","0,29K","-0,54%"
"16/08/2022","184,00","181,00","184,00","181,00","0,24K","1,66%"
"12/08/2022","181,00","181,00","181,00","181,00","0,02K","0,56%"
"11/08/2022","180,00","182,00","182,00","180,00","0,97K","-0,55%"
"10/08/2022","181,00","181,00","181,00","181,00","0,02K","-1,09%"
"09/08/2022","183,00","181,00","183,00","181,00","0,11K","0,00%"
"08/08/2022","183,00","183,00","183,00","183,00","0,02K","1,10%"
"05/08/2022","181,00","186,35","186,40","181,00","0,14K","0,00%"
"04/08/2022","181,00","181,00","181,00","181,00","0,02K","0,00%"
"03/08/2022","181,00","182,00","182,00","181,00","0,01K","-2,16%"
"02/08/2022","185,00","185,00","185,00","185,00","0,13K","2,21%"
"29/07/2022","181,00","181,00","181,00","181,00","0,11K","0,00%"
"27/07/2022","181,00","181,00","181,00","181,00","0,29K","0,00%"
"25/07/2022","181,00","181,00","190,90","181,00","0,06K","0,50%"
"22/07/2022","180,10","183,90","190,70","180,10","0,40K","0,06%"
"21/07/2022","180,00","180,00","180,00","180,00","0,50K","0,00%"
"15/07/2022","180,00","180,00","180,00","180,00","0,02K","0,00%"
"14/07/2022","180,00","180,00","182,00","180,00","0,55K","-0,83%"
