"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","1.420,00","1.454,00","1.454,00","1.400,00","4,34K","1,43%"
"11/11/2022","1.400,00","1.360,00","1.400,00","1.355,00","11,29K","0,00%"
"10/11/2022","1.400,00","1.435,00","1.435,00","1.400,00","9,96K","-2,10%"
"09/11/2022","1.430,00","1.423,00","1.445,00","1.422,00","3,83K","0,56%"
"08/11/2022","1.422,00","1.440,00","1.440,00","1.422,00","2,25K","-2,54%"
"07/11/2022","1.459,00","1.450,00","1.464,00","1.450,00","1,08K","2,75%"
"04/11/2022","1.420,00","1.435,00","1.480,00","1.420,00","3,52K","-1,39%"
"03/11/2022","1.440,00","1.505,00","1.505,00","1.440,00","0,32K","-3,36%"
"02/11/2022","1.490,00","1.513,00","1.514,00","1.490,00","0,92K","-1,65%"
"01/11/2022","1.515,00","1.514,00","1.515,00","1.514,00","0,00K","2,36%"
"31/10/2022","1.480,00","1.450,00","1.480,00","1.441,00","2,75K","2,85%"
"28/10/2022","1.439,00","1.510,00","1.510,00","1.439,00","2,14K","-4,07%"
"27/10/2022","1.500,00","1.501,00","1.510,00","1.490,00","4,64K","1,01%"
"26/10/2022","1.485,00","1.481,00","1.485,00","1.480,00","2,22K","0,68%"
"25/10/2022","1.475,00","1.475,00","1.476,00","1.455,00","2,54K","2,79%"
"24/10/2022","1.435,00","1.451,00","1.451,00","1.433,00","0,55K","0,21%"
"21/10/2022","1.432,00","1.506,00","1.506,00","1.432,00","1,06K","-5,48%"
"20/10/2022","1.515,00","1.515,00","1.515,00","1.515,00","2,18K","-2,26%"
"19/10/2022","1.550,00","1.550,00","1.550,00","1.531,00","0,03K","0,98%"
"18/10/2022","1.535,00","1.535,00","1.550,00","1.530,00","1,45K","0,00%"
"17/10/2022","1.535,00","1.550,00","1.580,00","1.535,00","0,13K","-0,97%"
"14/10/2022","1.550,00","1.560,00","1.570,00","1.550,00","4,72K","-0,39%"
"13/10/2022","1.556,00","1.625,00","1.625,00","1.549,00","9,36K","-5,12%"
"12/10/2022","1.640,00","1.640,00","1.640,00","1.640,00","0,70K","0,00%"
"11/10/2022","1.640,00","1.640,00","1.640,00","1.640,00","0,59K","0,00%"
"07/10/2022","1.640,00","1.630,00","1.640,00","1.630,00","3,61K","1,23%"
"06/10/2022","1.620,00","1.620,00","1.620,00","1.620,00","10,00K","0,62%"
"03/10/2022","1.610,00","1.605,00","1.610,00","1.605,00","0,21K","0,31%"
