"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","220,00","220,00","220,00","220,00","0,00K","2,56%"
"03/11/2022","214,50","214,50","214,50","214,50","0,01K","-5,92%"
"26/10/2022","228,00","230,00","230,00","228,00","0,06K","-6,00%"
"25/10/2022","242,55","242,55","242,55","242,55","0,00K","-5,99%"
"04/10/2022","258,00","260,00","260,00","253,00","0,35K","0,39%"
"03/10/2022","257,00","250,00","258,00","250,00","0,15K","-0,39%"
"29/09/2022","258,00","256,50","258,00","256,50","0,05K","0,58%"
"28/09/2022","256,50","257,00","257,00","256,50","0,13K","-0,58%"
"27/09/2022","258,00","258,00","258,00","258,00","0,11K","0,39%"
"26/09/2022","257,00","258,00","258,50","257,00","0,11K","-0,39%"
"23/09/2022","258,00","258,00","258,00","257,50","0,19K","0,76%"
"22/09/2022","256,05","256,05","256,05","256,05","0,00K","-0,76%"
"21/09/2022","258,00","257,00","258,00","257,00","0,22K","0,39%"
"20/09/2022","257,00","256,00","257,00","256,00","0,08K","0,35%"
"16/09/2022","256,10","256,10","256,10","256,10","0,05K","0,02%"
"15/09/2022","256,05","256,00","256,05","256,00","0,03K","0,00%"
"13/09/2022","256,05","256,05","256,05","256,05","0,08K","-0,37%"
"12/09/2022","257,00","256,00","257,00","256,00","0,50K","0,00%"
"09/09/2022","257,00","257,00","257,00","257,00","0,13K","0,35%"
"01/09/2022","256,10","256,15","256,15","256,10","1,02K","-0,02%"
"31/08/2022","256,15","256,15","256,15","256,15","0,03K","0,06%"
"30/08/2022","256,00","256,00","256,00","256,00","0,81K","0,00%"
"29/08/2022","256,00","256,00","256,00","256,00","0,01K","0,00%"
"26/08/2022","256,00","256,00","256,00","256,00","0,11K","1,95%"
"25/08/2022","251,10","251,10","251,10","251,10","0,01K","-2,30%"
"24/08/2022","257,00","257,00","257,00","257,00","0,02K","0,00%"
"23/08/2022","257,00","257,00","257,00","257,00","0,02K","0,00%"
"22/08/2022","257,00","257,00","257,00","257,00","0,01K","0,33%"
"18/08/2022","256,15","256,00","256,15","256,00","0,30K","-0,33%"
"17/08/2022","257,00","255,00","257,00","255,00","0,21K","-0,19%"
"16/08/2022","257,50","255,00","257,50","255,00","0,03K","0,59%"
"15/08/2022","256,00","254,40","256,00","254,40","0,13K","0,59%"
"12/08/2022","254,50","253,00","254,50","253,00","0,02K","0,87%"
"11/08/2022","252,30","252,10","252,30","252,10","0,31K","0,72%"
"09/08/2022","250,50","250,50","250,50","250,50","0,03K","-2,91%"
"08/08/2022","258,00","258,00","258,00","258,00","0,02K","1,57%"
"05/08/2022","254,00","252,05","254,00","252,05","0,01K","-0,39%"
"04/08/2022","255,00","255,00","255,00","255,00","0,30K","0,79%"
"01/08/2022","253,00","253,00","253,00","253,00","0,03K","-0,39%"
"29/07/2022","254,00","252,20","254,00","252,20","0,22K","0,40%"
"27/07/2022","253,00","253,00","253,00","253,00","0,17K","0,18%"
"26/07/2022","252,55","246,30","262,00","246,30","0,40K","-5,06%"
"25/05/2022","266,00","266,00","266,00","266,00","0,20K","0,00%"
"24/05/2022","266,00","266,00","266,00","266,00","0,03K","0,00%"
"23/05/2022","266,00","266,00","266,00","266,00","0,04K","0,00%"
"20/05/2022","266,00","266,00","266,00","266,00","0,02K","0,00%"
"18/05/2022","266,00","266,00","266,00","266,00","0,21K","0,00%"
"17/05/2022","266,00","266,00","266,00","266,00","0,28K","0,00%"
"16/05/2022","266,00","265,00","266,00","265,00","0,03K","0,34%"
"13/05/2022","265,10","263,05","266,40","263,05","0,09K","0,02%"
"12/05/2022","265,05","266,00","266,00","265,05","0,15K","-0,36%"
"11/05/2022","266,00","265,05","266,00","265,05","0,13K","0,00%"
"10/05/2022","266,00","266,00","266,00","266,00","0,20K","0,38%"
"09/05/2022","265,00","264,40","265,00","264,35","0,31K","-0,04%"
"06/05/2022","265,10","265,00","265,10","265,00","0,18K","0,04%"
"05/05/2022","265,00","264,30","266,50","264,30","1,33K","0,26%"
"04/05/2022","264,30","265,00","265,00","264,30","0,29K","-0,64%"
"29/04/2022","266,00","265,95","266,00","265,95","0,05K","0,08%"
"28/04/2022","265,80","264,35","266,00","264,35","0,06K","0,55%"
"27/04/2022","264,35","264,40","265,00","264,35","0,39K","-0,62%"
"26/04/2022","266,00","265,20","266,00","265,00","0,21K","0,62%"
"25/04/2022","264,35","264,35","264,35","264,35","","-0,25%"
"22/04/2022","265,00","264,35","265,00","264,35","0,14K","0,25%"
"21/04/2022","264,35","266,00","266,00","264,35","0,32K","-0,62%"
"19/04/2022","266,00","264,30","266,00","264,30","0,06K","0,38%"
"18/04/2022","265,00","264,35","265,00","264,35","0,16K","0,26%"
"15/04/2022","264,30","264,15","265,00","264,10","1,93K","0,06%"
"13/04/2022","264,15","265,00","266,00","264,15","0,18K","0,00%"
"12/04/2022","264,15","265,00","265,00","264,15","0,14K","0,04%"
"11/04/2022","264,05","264,75","264,75","263,95","32,14K","0,02%"
"07/04/2022","264,00","264,10","264,10","264,00","0,47K","-0,28%"
"06/04/2022","264,75","265,00","265,00","264,00","6,42K","0,00%"
"05/04/2022","264,75","264,75","264,75","264,75","1,25K","0,00%"
"01/04/2022","264,75","265,10","265,10","264,50","20,46K","-0,13%"
"31/03/2022","265,10","265,00","265,10","265,00","0,25K","0,00%"
"30/03/2022","265,10","265,10","265,10","265,10","0,02K","-0,71%"
"29/03/2022","267,00","265,00","267,00","264,70","26,35K","0,75%"
"28/03/2022","265,00","264,40","265,00","264,40","0,28K","0,00%"
"25/03/2022","265,00","265,00","265,00","265,00","0,23K","0,00%"
