"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"09/11/2022","785,00","785,00","785,00","785,00","0,44K","-3,33%"
"06/09/2022","812,00","812,00","812,00","812,00","0,07K","0,25%"
"01/09/2022","810,00","810,00","810,00","810,00","0,06K","0,00%"
"24/08/2022","810,00","810,00","810,00","810,00","0,03K","2,53%"
"12/08/2022","790,00","790,00","790,00","790,00","0,12K","0,51%"
"11/08/2022","786,00","786,00","786,00","786,00","0,54K","3,98%"
"10/08/2022","755,90","755,90","755,90","755,90","0,03K","3,99%"
"08/08/2022","726,90","726,90","726,90","726,90","0,00K","3,99%"
"03/08/2022","699,00","699,00","699,00","699,00","0,09K","3,99%"
"01/08/2022","672,20","672,20","672,20","672,20","0,00K","-3,97%"
"29/07/2022","700,00","700,00","700,00","700,00","0,03K","-2,49%"
"26/07/2022","717,90","717,90","717,90","717,90","0,00K","-4,00%"
"25/07/2022","747,80","747,80","747,80","747,80","0,00K","-3,99%"
"15/07/2022","778,90","778,90","778,90","778,90","0,00K","-3,99%"
"07/07/2022","811,30","811,30","811,30","811,30","0,00K","-3,99%"
"22/06/2022","845,00","845,00","845,00","845,00","0,01K","-0,59%"
"15/06/2022","850,00","850,00","850,00","850,00","0,00K","-1,16%"
"01/06/2022","860,00","860,00","860,00","860,00","0,00K","-0,58%"
"26/05/2022","865,00","865,00","865,00","865,00","0,00K","-0,57%"
"20/05/2022","870,00","870,00","870,00","870,00","0,05K","2,35%"
"17/05/2022","850,00","850,00","850,00","850,00","0,00K","1,19%"
"10/05/2022","840,00","840,00","840,00","840,00","0,61K","0,00%"
"29/04/2022","840,00","840,00","840,00","840,00","0,00K","0,00%"
"28/04/2022","840,00","840,00","840,00","840,00","0,02K","0,00%"
"25/04/2022","840,00","840,00","840,00","840,00","0,02K","3,54%"
"21/04/2022","811,30","811,30","811,30","811,30","0,01K","0,00%"
"20/04/2022","811,30","811,30","811,30","811,30","0,04K","-3,99%"
