"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"04/11/2022","873,00","873,00","873,00","873,00","0,00K","3,56%"
"19/10/2022","843,00","843,00","843,00","843,00","0,00K","-3,10%"
"18/10/2022","870,00","870,00","870,00","870,00","0,02K","0,00%"
"17/10/2022","870,00","870,00","870,00","870,00","0,02K","1,15%"
"22/09/2022","860,10","860,10","860,10","860,10","0,20K","-2,59%"
"16/09/2022","883,00","883,00","883,00","883,00","0,03K","0,00%"
"25/08/2022","883,00","883,00","883,00","883,00","0,00K","3,88%"
"18/08/2022","850,00","850,00","850,00","850,00","0,01K","0,00%"
"17/08/2022","850,00","850,00","850,00","850,00","0,02K","2,41%"
"09/08/2022","830,00","830,00","830,00","830,00","0,10K","1,22%"
"02/08/2022","820,00","820,00","820,00","820,00","0,03K","0,00%"
"01/08/2022","820,00","820,00","820,00","820,00","0,00K","-0,12%"
"01/07/2022","821,00","821,00","821,00","821,00","0,00K","-2,30%"
"27/06/2022","840,30","840,30","840,30","840,30","0,01K","-3,97%"
"10/06/2022","875,00","875,00","875,00","875,00","0,07K","-0,46%"
"09/06/2022","879,00","879,00","879,00","879,00","0,00K","1,03%"
"08/06/2022","870,00","870,00","870,00","870,00","0,03K","0,35%"
"03/06/2022","867,00","867,00","867,00","867,00","0,00K","2,97%"
"31/05/2022","842,00","842,00","842,00","842,00","0,04K","-0,71%"
"25/05/2022","848,00","848,00","848,00","848,00","0,01K","-3,96%"
"11/05/2022","883,00","883,00","883,00","883,00","0,04K","0,00%"
"09/05/2022","883,00","883,00","883,00","883,00","0,02K","0,34%"
"06/05/2022","880,00","880,00","880,00","880,00","0,05K","1,73%"
"26/04/2022","865,00","865,00","865,00","865,00","0,01K","3,97%"
"15/04/2022","832,00","832,00","832,00","832,00","0,15K","-2,23%"
"13/04/2022","851,00","851,00","851,00","851,00","0,04K","0,12%"
"12/04/2022","850,00","850,00","850,00","850,00","0,01K","2,41%"
"08/04/2022","830,00","830,00","830,00","830,00","0,02K","0,00%"
"31/03/2022","830,00","830,00","830,00","830,00","0,02K","-0,06%"
"29/03/2022","830,50","830,50","830,50","830,50","0,03K","-3,99%"
"21/03/2022","865,00","865,00","865,00","865,00","0,05K","0,00%"
"18/03/2022","865,00","865,00","865,00","865,00","0,13K","0,00%"
"17/03/2022","865,00","865,00","865,00","865,00","0,32K","1,76%"
"16/03/2022","850,00","850,00","850,00","850,00","0,20K","2,18%"
"15/03/2022","831,90","831,90","831,90","831,90","0,09K","3,99%"
"08/03/2022","800,00","800,00","800,00","800,00","0,03K","-0,62%"
"25/02/2022","805,00","805,00","805,00","805,00","0,02K","-1,83%"
"24/02/2022","820,00","820,00","820,00","820,00","0,02K","-1,80%"
"21/02/2022","835,00","835,00","835,00","835,00","0,00K","0,60%"
"15/02/2022","830,00","830,00","830,00","830,00","0,02K","-0,60%"
"08/02/2022","835,00","835,00","835,00","835,00","0,01K","1,83%"
"28/01/2022","820,00","820,00","820,00","820,00","0,00K","1,17%"
"27/01/2022","810,50","810,50","810,50","810,50","0,06K","0,06%"
"26/01/2022","810,00","810,00","810,00","810,00","0,50K","0,37%"
"21/01/2022","807,00","807,00","807,00","807,00","0,05K","0,25%"
"14/01/2022","805,00","805,00","805,00","805,00","0,01K","-1,23%"
"10/12/2021","815,00","815,00","815,00","815,00","0,01K","3,82%"
"30/11/2021","785,00","785,00","785,00","785,00","0,00K","0,00%"
"26/11/2021","785,00","785,00","785,00","785,00","0,08K","-0,25%"
"25/11/2021","787,00","787,00","787,00","787,00","0,00K","0,00%"
"24/11/2021","787,00","787,00","787,00","787,00","0,00K","0,00%"
"22/11/2021","787,00","787,00","787,00","787,00","0,05K","0,00%"
"17/11/2021","787,00","787,00","787,00","787,00","0,00K","0,00%"
"16/11/2021","787,00","787,00","787,00","787,00","0,02K","0,24%"
"02/11/2021","785,10","785,10","785,10","785,10","0,00K","0,01%"
"21/10/2021","785,00","785,00","785,00","785,00","0,40K","0,00%"
"14/10/2021","785,00","785,00","785,00","785,00","0,06K","1,76%"
"29/09/2021","771,40","771,40","771,40","771,40","0,30K","-1,73%"
"28/09/2021","785,00","785,00","785,00","785,00","0,00K","1,79%"
"24/09/2021","771,20","771,20","771,20","771,20","0,03K","0,16%"
"23/09/2021","770,00","770,00","770,00","770,00","3,00K","0,00%"
"22/09/2021","770,00","770,00","770,00","770,00","0,00K","-0,39%"
"17/09/2021","773,00","773,00","773,00","773,00","0,00K","0,00%"
"16/09/2021","773,00","773,00","773,00","773,00","0,00K","1,71%"
"10/09/2021","760,00","760,00","760,00","760,00","0,03K","0,00%"
"09/09/2021","760,00","760,00","760,00","760,00","0,07K","0,26%"
"08/09/2021","758,00","758,00","758,00","758,00","0,03K","0,13%"
"07/09/2021","757,00","757,00","757,00","757,00","0,04K","0,13%"
"03/09/2021","756,00","756,00","756,00","756,00","0,20K","-1,18%"
"02/09/2021","765,00","765,00","765,00","765,00","0,00K","0,39%"
"31/08/2021","762,00","762,00","762,00","762,00","0,01K","0,93%"
"27/08/2021","755,00","755,00","755,00","755,00","0,09K","-1,95%"
"26/08/2021","770,00","770,00","770,00","770,00","0,01K","0,00%"
"23/08/2021","770,00","770,00","770,00","770,00","0,06K","0,00%"
"19/08/2021","770,00","770,00","770,00","770,00","0,19K","-1,28%"
"17/08/2021","780,00","780,00","780,00","780,00","0,01K","0,00%"
"13/08/2021","780,00","780,00","780,00","780,00","0,05K","-1,27%"
"09/08/2021","790,00","790,00","790,00","790,00","0,02K","0,00%"
"06/08/2021","790,00","790,00","790,00","790,00","0,00K","0,00%"
"29/07/2021","790,00","790,00","790,00","790,00","0,03K","-0,25%"
"27/07/2021","792,00","792,00","792,00","792,00","0,01K","-1,00%"
"26/07/2021","800,00","800,00","800,00","800,00","0,00K","-0,50%"
"16/07/2021","804,00","804,00","804,00","804,00","0,01K","0,00%"
"14/07/2021","804,00","804,00","804,00","804,00","0,01K","-0,21%"
"06/07/2021","805,70","805,70","805,70","805,70","0,07K","-1,74%"
"30/06/2021","820,00","820,00","820,00","820,00","0,01K","1,99%"
"24/06/2021","804,00","804,00","804,00","804,00","0,00K","-1,95%"
"22/06/2021","820,00","820,00","820,00","820,00","0,05K","-1,57%"
"21/06/2021","833,10","833,10","833,10","833,10","0,00K","-1,99%"
"17/06/2021","850,00","850,00","850,00","850,00","0,01K","0,00%"
"16/06/2021","850,00","850,00","850,00","850,00","0,02K","-0,47%"
"15/06/2021","854,00","854,00","854,00","854,00","1,15K","-0,70%"
"14/06/2021","860,00","860,00","860,00","860,00","35,75K","-1,26%"
