"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","28,31","29,10","29,10","28,31","0,14K","-1,39%"
"15/11/2022","28,71","28,70","29,00","28,70","0,90K","2,54%"
"14/11/2022","28,00","28,94","28,94","28,00","0,60K","2,19%"
"10/11/2022","27,40","28,25","28,25","27,40","1,15K","-2,14%"
"09/11/2022","28,00","28,00","28,10","28,00","0,91K","-4,76%"
"08/11/2022","29,40","29,40","29,40","29,40","0,00K","3,09%"
"07/11/2022","28,52","29,55","29,60","28,52","0,41K","-1,01%"
"04/11/2022","28,81","28,81","28,81","28,81","0,46K","0,03%"
"03/11/2022","28,80","29,00","29,67","28,80","0,18K","0,70%"
"02/11/2022","28,60","29,85","29,85","28,60","0,05K","-1,38%"
"01/11/2022","29,00","29,95","29,95","28,99","0,29K","0,00%"
"31/10/2022","29,00","30,75","30,75","28,60","1,38K","-1,86%"
"28/10/2022","29,55","30,50","30,99","29,55","3,56K","-2,48%"
"27/10/2022","30,30","29,40","30,30","29,00","1,99K","5,83%"
"26/10/2022","28,63","29,00","29,76","28,56","3,12K","1,96%"
"25/10/2022","28,08","27,25","28,08","26,50","1,87K","5,96%"
"24/10/2022","26,50","28,00","28,00","26,26","1,76K","-1,82%"
"21/10/2022","26,99","25,92","28,00","25,91","4,13K","-2,07%"
"20/10/2022","27,56","30,50","30,50","27,56","4,16K","-5,97%"
"19/10/2022","29,31","30,61","30,61","29,04","23,52K","-4,99%"
"18/10/2022","30,85","30,99","30,99","30,51","5,84K","0,33%"
"17/10/2022","30,75","30,51","31,40","30,51","31,46K","3,47%"
"14/10/2022","29,72","31,00","31,49","29,20","6,46K","-2,88%"
"13/10/2022","30,60","31,21","31,99","30,40","8,92K","-4,08%"
"12/10/2022","31,90","32,95","32,95","31,21","2,62K","-3,10%"
"11/10/2022","32,92","32,00","33,18","31,80","4,55K","2,87%"
"07/10/2022","32,00","32,37","33,88","31,72","22,22K","-0,50%"
"06/10/2022","32,16","31,50","32,37","31,38","1,11K","2,10%"
"05/10/2022","31,50","31,50","32,28","31,50","11,20K","0,00%"
"04/10/2022","31,50","31,50","32,20","30,65","6,83K","-0,06%"
"03/10/2022","31,52","33,40","33,40","31,49","17,89K","-5,88%"
"30/09/2022","33,49","33,00","34,00","32,10","23,40K","-1,12%"
"29/09/2022","33,87","33,70","34,59","33,00","51,31K","2,64%"
"28/09/2022","33,00","32,00","33,49","32,00","22,14K","3,13%"
"27/09/2022","32,00","31,70","34,18","31,70","45,71K","-0,99%"
"26/09/2022","32,32","30,10","32,32","29,50","15,76K","5,97%"
"23/09/2022","30,50","31,50","31,97","30,50","7,58K","-3,21%"
"22/09/2022","31,51","31,50","32,00","31,50","2,87K","0,03%"
"21/09/2022","31,50","30,62","31,64","30,62","1,12K","-0,88%"
"20/09/2022","31,78","31,60","31,85","31,02","0,93K","-0,63%"
"19/09/2022","31,98","32,40","32,40","31,40","2,74K","0,28%"
"16/09/2022","31,89","32,70","32,70","31,47","7,67K","-0,99%"
"15/09/2022","32,21","31,75","33,00","30,36","15,01K","2,32%"
"14/09/2022","31,48","30,40","31,50","30,00","29,70K","1,55%"
"13/09/2022","31,00","31,97","31,97","31,00","15,58K","-3,13%"
"12/09/2022","32,00","33,00","33,00","31,12","50,55K","-3,32%"
"09/09/2022","33,10","33,90","34,20","32,82","30,98K","0,91%"
"08/09/2022","32,80","30,95","32,80","30,95","110,82K","5,98%"
"07/09/2022","30,95","30,35","30,95","30,20","23,04K","5,99%"
"06/09/2022","29,20","28,58","29,20","28,58","21,78K","5,99%"
"05/09/2022","27,55","28,49","28,49","27,23","2,45K","-3,33%"
"02/09/2022","28,50","28,50","28,80","27,70","3,97K","0,00%"
"01/09/2022","28,50","28,27","28,97","28,27","1,84K","-3,00%"
"31/08/2022","29,38","28,10","29,47","28,10","6,95K","2,91%"
"30/08/2022","28,55","28,50","29,00","28,50","0,48K","-1,55%"
"29/08/2022","29,00","28,20","29,60","28,20","15,89K","0,52%"
"26/08/2022","28,85","28,88","28,88","28,85","0,22K","1,19%"
"25/08/2022","28,51","28,40","29,15","28,40","1,30K","-1,59%"
"24/08/2022","28,97","28,26","28,99","28,26","6,41K","-1,40%"
"23/08/2022","29,38","27,80","29,80","27,80","14,90K","2,48%"
"22/08/2022","28,67","30,01","30,01","28,67","14,82K","-5,97%"
"19/08/2022","30,49","30,10","31,40","29,90","33,44K","1,97%"
"18/08/2022","29,90","28,30","29,90","28,00","60,40K","5,88%"
"17/08/2022","28,24","28,24","28,24","28,24","4,81K","5,97%"
"16/08/2022","26,65","27,00","27,27","26,09","5,89K","-0,56%"
"15/08/2022","26,80","26,00","27,18","25,51","22,96K","3,08%"
"12/08/2022","26,00","25,00","26,26","25,00","16,82K","2,00%"
"11/08/2022","25,49","27,23","27,23","24,94","21,91K","-3,30%"
"10/08/2022","26,36","25,22","26,36","25,21","13,68K","5,99%"
"09/08/2022","24,87","23,68","24,87","23,68","6,88K","5,97%"
"08/08/2022","23,47","22,95","23,47","22,95","8,18K","5,96%"
"05/08/2022","22,15","22,20","22,21","22,09","6,01K","0,27%"
"04/08/2022","22,09","21,67","23,31","21,67","3,95K","-3,96%"
"03/08/2022","23,00","23,00","23,00","23,00","0,03K","0,00%"
