"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/11/2022","510,00","520,00","520,00","510,00","0,23K","-4,66%"
"14/11/2022","534,90","523,90","536,00","523,90","0,05K","2,08%"
"04/11/2022","524,00","524,00","524,00","524,00","0,00K","2,75%"
"03/11/2022","510,00","510,00","510,00","510,00","0,02K","-0,04%"
"02/11/2022","510,20","515,00","515,00","510,20","0,03K","-0,93%"
"01/11/2022","515,00","515,50","528,00","515,00","0,03K","0,98%"
"31/10/2022","510,00","511,00","511,00","510,00","0,06K","-2,49%"
"28/10/2022","523,00","515,00","523,00","515,00","0,27K","1,55%"
"27/10/2022","515,00","505,50","518,90","505,50","0,07K","1,88%"
"26/10/2022","505,50","505,50","505,50","505,50","0,10K","0,10%"
"25/10/2022","505,00","495,00","519,00","495,00","0,07K","2,43%"
"24/10/2022","493,00","500,00","500,00","493,00","0,17K","-1,00%"
"21/10/2022","498,00","501,00","501,00","498,00","0,38K","-0,80%"
"20/10/2022","502,00","506,00","506,00","502,00","0,11K","-1,57%"
"19/10/2022","510,00","510,10","510,10","510,00","0,10K","-0,02%"
"18/10/2022","510,10","510,00","511,00","510,00","0,20K","0,02%"
"17/10/2022","510,00","510,10","510,10","510,00","0,01K","-2,58%"
"14/10/2022","523,50","523,00","523,50","510,00","2,88K","2,65%"
"13/10/2022","510,00","510,30","525,00","510,00","3,27K","0,00%"
"12/10/2022","510,00","536,80","536,80","510,00","0,55K","-0,41%"
"11/10/2022","512,10","512,10","512,10","512,10","0,02K","0,39%"
"07/10/2022","510,10","542,90","542,90","510,10","1,07K","-1,14%"
"06/10/2022","516,00","521,00","521,00","516,00","0,35K","0,00%"
"05/10/2022","516,00","528,10","528,20","516,00","0,34K","-2,14%"
"04/10/2022","527,30","508,20","545,50","508,20","0,20K","2,39%"
"30/09/2022","515,00","560,00","560,00","515,00","0,24K","-2,83%"
"29/09/2022","530,00","576,00","576,00","530,00","5,75K","-3,81%"
"28/09/2022","551,00","579,80","579,80","550,00","2,65K","-1,61%"
"27/09/2022","560,00","593,00","593,00","560,00","1,57K","-5,49%"
"26/09/2022","592,50","590,50","609,00","590,50","0,46K","2,01%"
"23/09/2022","580,80","578,00","580,80","566,00","8,27K","5,99%"
"22/09/2022","548,00","545,00","548,00","540,00","0,35K","6,00%"
"21/09/2022","517,00","517,00","517,00","517,00","0,01K","-0,19%"
"19/09/2022","518,00","518,00","518,00","518,00","0,01K","4,58%"
"16/09/2022","495,30","495,30","495,30","495,30","0,22K","-6,00%"
"13/09/2022","526,90","520,00","526,90","520,00","0,00K","4,34%"
"12/09/2022","505,00","511,00","511,10","505,00","5,37K","-1,17%"
"09/09/2022","511,00","511,00","511,00","511,00","0,02K","-1,73%"
"07/09/2022","520,00","520,00","520,00","520,00","0,00K","0,00%"
"06/09/2022","520,00","520,00","520,00","520,00","0,01K","0,52%"
"31/08/2022","517,30","517,30","517,30","517,30","0,02K","0,00%"
"30/08/2022","517,30","519,10","520,00","517,30","0,09K","-0,52%"
"26/08/2022","520,00","535,00","535,00","520,00","0,34K","-5,81%"
"25/08/2022","552,10","552,10","552,10","552,10","0,00K","5,97%"
"24/08/2022","521,00","521,00","521,00","521,00","0,12K","-0,38%"
"23/08/2022","523,00","556,00","556,00","523,00","1,29K","-5,94%"
"22/08/2022","556,00","550,00","556,00","550,00","0,05K","2,58%"
"19/08/2022","542,00","542,00","542,00","542,00","0,01K","1,31%"
"17/08/2022","535,00","535,00","535,00","535,00","0,06K","4,70%"
"16/08/2022","511,00","511,00","511,00","511,00","0,01K","-4,49%"
"12/08/2022","535,00","516,00","535,00","515,00","0,25K","1,90%"
"11/08/2022","525,00","525,00","525,00","525,00","0,02K","-0,94%"
"05/08/2022","530,00","520,00","530,00","520,00","0,12K","1,92%"
"04/08/2022","520,00","520,00","520,00","520,00","0,01K","-0,95%"
"03/08/2022","525,00","530,00","530,00","516,00","0,08K","-0,94%"
"29/07/2022","530,00","524,00","530,00","500,00","5,17K","0,00%"
"26/07/2022","530,00","530,00","530,00","530,00","0,04K","5,79%"
"25/07/2022","501,00","535,00","535,00","501,00","0,27K","-5,65%"
"22/07/2022","531,00","547,00","547,00","531,00","0,17K","-5,85%"
"20/07/2022","564,00","564,00","564,00","564,00","0,01K","0,71%"
"19/07/2022","560,00","560,00","560,00","560,00","0,01K","0,18%"
"18/07/2022","559,00","547,50","559,00","547,50","0,01K","1,64%"
"15/07/2022","550,00","545,00","550,00","545,00","0,02K","2,61%"
"12/07/2022","536,00","536,00","536,00","536,00","0,03K","-0,74%"
"08/07/2022","540,00","540,10","540,20","536,00","2,09K","-0,37%"
"07/07/2022","542,00","541,20","542,00","541,20","0,03K","0,09%"
"06/07/2022","541,50","541,50","541,50","541,50","0,09K","0,07%"
"04/07/2022","541,10","541,10","541,10","541,10","0,01K","-1,62%"
"30/06/2022","550,00","536,00","551,00","536,00","0,27K","0,00%"
"29/06/2022","550,00","550,00","550,00","550,00","0,01K","0,00%"
"28/06/2022","550,00","541,00","550,00","541,00","0,51K","0,00%"
"27/06/2022","550,00","551,00","552,00","550,00","0,05K","0,00%"
"24/06/2022","550,00","550,00","550,00","550,00","0,03K","0,00%"
