"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"07/11/2022","366,00","366,00","366,00","366,00","0,02K","0,00%"
"04/11/2022","366,00","366,00","366,00","366,00","0,04K","0,00%"
"03/11/2022","366,00","366,00","366,00","366,00","0,01K","0,00%"
"05/10/2022","366,00","366,00","366,00","366,00","0,00K","-0,44%"
"20/09/2022","367,60","367,60","367,60","367,60","0,07K","-7,38%"
"19/09/2022","396,90","396,90","396,90","396,90","0,01K","0,00%"
"16/09/2022","396,90","396,90","396,90","396,90","0,01K","3,36%"
"24/08/2022","384,00","384,00","384,00","384,00","0,00K","-2,82%"
"12/08/2022","395,15","395,15","395,15","395,15","0,02K","3,99%"
"03/08/2022","380,00","380,00","380,00","380,00","0,01K","-0,03%"
"28/07/2022","380,10","380,10","380,10","380,10","0,01K","-3,77%"
"13/07/2022","395,00","395,00","395,00","395,00","0,00K","0,00%"
"01/06/2022","395,00","395,00","395,00","395,00","0,01K","-0,98%"
"28/04/2022","398,90","398,90","398,90","398,90","0,00K","2,28%"
"22/04/2022","390,00","390,00","390,00","390,00","0,05K","-2,21%"
"21/04/2022","398,80","398,80","398,80","398,80","0,00K","0,00%"
"20/04/2022","398,80","398,80","398,80","398,80","0,00K","1,94%"
"18/04/2022","391,20","391,20","391,20","391,20","0,00K","3,99%"
"13/04/2022","376,20","376,20","376,20","376,20","0,07K","-0,62%"
"12/04/2022","378,55","378,55","378,55","378,55","0,00K","4,00%"
"08/04/2022","364,00","364,00","364,00","364,00","0,32K","0,00%"
"30/03/2022","364,00","364,00","364,00","364,00","0,07K","-1,65%"
"28/03/2022","370,10","370,10","370,10","370,10","0,05K","-3,90%"
"18/03/2022","385,10","385,10","385,10","385,10","0,00K","0,03%"
"17/03/2022","385,00","385,00","385,00","385,00","0,07K","0,00%"
"16/03/2022","385,00","385,00","385,00","385,00","0,02K","0,00%"
"15/03/2022","385,00","385,00","385,00","385,00","0,01K","-3,75%"
"02/03/2022","400,00","400,00","400,00","400,00","0,00K","2,85%"
"22/02/2022","388,90","388,90","388,90","388,90","0,00K","3,94%"
"21/02/2022","374,15","374,15","374,15","374,15","0,00K","-3,84%"
"18/02/2022","389,10","389,10","389,10","389,10","0,01K","0,00%"
"08/02/2022","389,10","389,10","389,10","389,10","0,01K","2,91%"
"21/01/2022","378,10","378,10","378,10","378,10","0,03K","0,56%"
"20/01/2022","376,00","376,00","376,00","376,00","0,15K","-3,59%"
"18/01/2022","390,00","390,00","390,00","390,00","0,01K","1,30%"
"17/01/2022","385,00","385,00","385,00","385,00","0,02K","-3,75%"
"02/12/2021","400,00","400,00","400,00","400,00","0,01K","2,56%"
"19/11/2021","390,00","390,00","390,00","390,00","0,01K","2,63%"
"05/11/2021","380,00","380,00","380,00","380,00","0,01K","0,00%"
"28/10/2021","380,00","380,00","380,00","380,00","0,02K","3,83%"
