"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","2.280,00","2.256,00","2.316,00","2.256,00","1,23K","0,44%"
"11/11/2022","2.270,00","2.280,00","2.363,00","2.250,00","11,33K","1,79%"
"10/11/2022","2.230,00","2.200,00","2.230,00","2.183,00","6,85K","2,06%"
"09/11/2022","2.185,00","2.220,00","2.250,00","2.185,00","9,45K","-0,68%"
"08/11/2022","2.200,00","2.202,00","2.202,00","2.200,00","0,06K","-2,18%"
"07/11/2022","2.249,00","2.202,00","2.249,00","2.201,00","0,01K","0,00%"
"04/11/2022","2.249,00","2.235,00","2.249,00","2.170,00","1,04K","-0,88%"
"03/11/2022","2.269,00","2.261,00","2.280,00","2.240,00","0,58K","0,40%"
"02/11/2022","2.260,00","2.289,00","2.289,00","2.260,00","0,25K","-1,53%"
"01/11/2022","2.295,00","2.231,00","2.300,00","2.231,00","9,12K","2,00%"
"31/10/2022","2.250,00","2.255,00","2.255,00","2.250,00","0,07K","-1,32%"
"28/10/2022","2.280,00","2.278,00","2.282,00","2.277,00","0,32K","-1,72%"
"27/10/2022","2.320,00","2.300,00","2.320,00","2.300,00","3,40K","0,87%"
"26/10/2022","2.300,00","2.290,00","2.320,00","2.290,00","1,39K","1,72%"
"25/10/2022","2.261,00","2.250,00","2.275,00","2.184,00","0,09K","0,49%"
"24/10/2022","2.250,00","2.250,00","2.250,00","2.248,00","0,01K","-0,66%"
"21/10/2022","2.265,00","2.272,00","2.277,00","2.204,00","1,01K","-3,21%"
"20/10/2022","2.340,00","2.396,00","2.418,00","2.251,00","1,23K","-1,85%"
"19/10/2022","2.384,00","2.384,00","2.384,00","2.384,00","0,01K","-1,49%"
"18/10/2022","2.420,00","2.410,00","2.420,00","2.381,00","0,01K","0,08%"
"17/10/2022","2.418,00","2.409,00","2.418,00","2.375,00","0,52K","0,00%"
"14/10/2022","2.418,00","2.439,00","2.490,00","2.418,00","1,20K","0,54%"
"13/10/2022","2.405,00","2.460,00","2.460,00","2.405,00","0,51K","-1,84%"
"12/10/2022","2.450,00","2.410,00","2.450,00","2.410,00","9,99K","1,58%"
"11/10/2022","2.412,00","2.422,00","2.426,00","2.405,00","5,06K","-0,45%"
"07/10/2022","2.423,00","2.423,00","2.459,00","2.422,00","0,03K","-1,30%"
"06/10/2022","2.455,00","2.439,00","2.455,00","2.438,00","0,12K","2,25%"
"05/10/2022","2.401,00","2.402,00","2.410,00","2.390,00","1,16K","0,00%"
"04/10/2022","2.401,00","2.450,00","2.480,00","2.400,00","2,40K","0,00%"
"03/10/2022","2.401,00","2.402,00","2.402,00","2.400,00","0,08K","0,04%"
"30/09/2022","2.400,00","2.400,00","2.474,00","2.400,00","1,42K","-0,83%"
"29/09/2022","2.420,00","2.431,00","2.495,00","2.380,00","2,19K","0,12%"
"28/09/2022","2.417,00","2.503,00","2.503,00","2.400,00","4,17K","-3,44%"
"27/09/2022","2.503,00","2.598,00","2.650,00","2.503,00","5,01K","-0,79%"
"26/09/2022","2.523,00","2.523,00","2.523,00","2.523,00","2,31K","5,96%"
"23/09/2022","2.381,00","2.221,00","2.381,00","2.150,00","6,32K","5,96%"
"22/09/2022","2.247,00","2.190,00","2.276,00","2.190,00","0,65K","4,61%"
"21/09/2022","2.148,00","2.150,00","2.196,00","2.148,00","0,04K","-0,05%"
"20/09/2022","2.149,00","2.149,00","2.149,00","2.123,00","0,78K","0,42%"
"19/09/2022","2.140,00","2.150,00","2.150,00","2.139,00","3,98K","0,05%"
"16/09/2022","2.139,00","2.102,00","2.140,00","2.091,00","0,87K","-0,05%"
"15/09/2022","2.140,00","2.131,00","2.170,00","2.121,00","9,16K","0,38%"
"14/09/2022","2.132,00","2.132,00","2.132,00","2.132,00","0,00K","-1,30%"
"13/09/2022","2.160,00","2.148,00","2.160,00","2.148,00","1,51K","0,56%"
"12/09/2022","2.148,00","2.122,00","2.148,00","2.122,00","0,00K","-0,09%"
