"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","316,85","316,85","316,85","316,85","","-3,98%"
"14/11/2022","330,00","330,00","330,00","330,00","0,00K","-1,79%"
"08/11/2022","336,00","336,00","336,00","336,00","0,01K","-3,95%"
"07/11/2022","349,80","349,80","349,80","349,80","0,01K","-0,03%"
"28/10/2022","349,90","349,90","349,90","349,90","0,01K","3,83%"
"27/10/2022","337,00","337,00","337,00","337,00","0,06K","-3,71%"
"18/10/2022","350,00","350,00","350,00","350,00","0,00K","-1,05%"
"14/10/2022","353,70","353,70","353,70","353,70","0,01K","4,00%"
"12/10/2022","340,10","340,10","340,10","340,10","0,01K","-3,80%"
"11/10/2022","353,55","353,55","353,55","353,55","0,02K","3,99%"
"07/10/2022","340,00","340,00","340,00","340,00","0,04K","-2,86%"
"06/10/2022","350,00","350,00","350,00","350,00","0,01K","0,00%"
"04/10/2022","350,00","350,00","350,00","350,00","0,02K","0,47%"
"30/09/2022","348,35","348,35","348,35","348,35","0,01K","0,00%"
"27/09/2022","348,35","348,35","348,35","348,35","0,02K","3,99%"
"26/09/2022","335,00","335,00","335,00","335,00","0,33K","0,27%"
"23/09/2022","334,10","334,10","334,10","334,10","0,01K","-3,99%"
"22/09/2022","348,00","348,00","348,00","348,00","0,02K","2,35%"
"19/09/2022","340,00","340,00","340,00","340,00","0,01K","3,82%"
"15/09/2022","327,50","327,50","327,50","327,50","0,01K","3,98%"
"14/09/2022","314,95","314,95","314,95","314,95","0,08K","0,00%"
"13/09/2022","314,95","314,95","314,95","314,95","0,02K","0,05%"
"12/09/2022","314,80","314,80","314,80","314,80","0,12K","-0,05%"
"07/09/2022","314,95","314,95","314,95","314,95","0,02K","1,98%"
"06/09/2022","308,85","308,85","308,85","308,85","0,02K","3,99%"
"02/09/2022","297,00","297,00","297,00","297,00","0,01K","0,12%"
"31/08/2022","296,65","296,65","296,65","296,65","0,01K","-4,00%"
"30/08/2022","309,00","309,00","309,00","309,00","0,02K","0,32%"
