"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","198,10","205,00","209,00","198,00","13,73K","-0,95%"
"11/11/2022","200,00","205,00","208,70","200,00","322,99K","-2,39%"
"10/11/2022","204,90","208,80","209,00","204,90","10,82K","-2,43%"
"09/11/2022","210,00","210,00","212,00","210,00","15,94K","0,00%"
"08/11/2022","210,00","217,90","217,90","210,00","256,67K","-0,99%"
"07/11/2022","212,10","211,00","217,30","211,00","11,78K","-2,71%"
"04/11/2022","218,00","217,50","220,00","217,00","10,63K","0,00%"
"03/11/2022","218,00","220,00","220,00","218,00","7,99K","-1,36%"
"02/11/2022","221,00","222,00","222,00","221,00","0,21K","-0,45%"
"01/11/2022","222,00","220,90","222,00","220,90","0,87K","0,45%"
"31/10/2022","221,00","215,60","222,00","215,60","3,08K","-1,34%"
"28/10/2022","224,00","219,00","224,00","218,80","5,56K","3,85%"
"27/10/2022","215,70","210,25","216,00","210,25","21,01K","0,42%"
"26/10/2022","214,80","205,20","214,90","205,20","16,88K","1,32%"
"25/10/2022","212,00","204,00","215,95","204,00","17,04K","3,41%"
"24/10/2022","205,00","210,00","210,00","205,00","9,04K","-2,38%"
"21/10/2022","210,00","209,00","215,95","209,00","26,76K","-3,67%"
"20/10/2022","218,00","215,00","218,00","210,00","36,15K","0,93%"
"19/10/2022","216,00","218,05","219,00","216,00","12,18K","-1,17%"
"18/10/2022","218,55","218,50","224,45","218,50","30,45K","-1,55%"
"17/10/2022","222,00","223,00","229,50","222,00","15,97K","-3,37%"
"14/10/2022","229,75","227,50","235,00","223,00","64,09K","-2,23%"
"13/10/2022","235,00","238,00","238,00","235,00","3,50K","-1,67%"
"12/10/2022","239,00","240,90","240,90","236,20","7,34K","-0,79%"
"11/10/2022","240,90","241,00","241,00","235,20","0,73K","-0,04%"
"07/10/2022","241,00","240,20","245,00","240,20","7,52K","0,35%"
"06/10/2022","240,15","240,00","246,70","240,00","2,07K","-0,15%"
"05/10/2022","240,50","247,50","247,50","240,50","0,12K","0,21%"
"04/10/2022","240,00","245,00","249,45","240,00","14,88K","-3,54%"
"03/10/2022","248,80","240,00","248,80","240,00","1,10K","3,67%"
"30/09/2022","240,00","237,00","240,00","236,00","99,31K","-0,83%"
"29/09/2022","242,00","247,95","247,95","240,00","28,92K","0,83%"
