"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","212,00","209,00","213,90","209,00","0,04K","1,44%"
"11/11/2022","209,00","209,90","210,00","206,10","0,60K","-0,48%"
"10/11/2022","210,00","215,00","215,00","206,00","14,08K","-0,31%"
"09/11/2022","210,65","210,10","211,00","210,00","1,20K","0,00%"
"08/11/2022","210,65","218,85","218,85","210,65","0,52K","-2,48%"
"07/11/2022","216,00","218,00","220,00","215,00","1,03K","1,89%"
"04/11/2022","212,00","213,00","213,00","212,00","0,04K","0,95%"
"03/11/2022","210,00","213,00","213,00","210,00","0,34K","-1,41%"
"02/11/2022","213,00","212,00","213,25","212,00","1,61K","-2,74%"
"01/11/2022","219,00","214,90","219,00","214,90","0,35K","1,91%"
"31/10/2022","214,90","215,00","215,00","214,90","0,19K","-0,05%"
"28/10/2022","215,00","216,00","217,00","215,00","0,91K","-0,46%"
"27/10/2022","216,00","210,60","216,00","205,00","0,62K","-0,46%"
"26/10/2022","217,00","218,90","218,90","207,20","2,16K","3,38%"
"25/10/2022","209,90","205,00","210,00","205,00","4,52K","2,44%"
"24/10/2022","204,90","205,00","205,00","203,00","0,04K","-0,05%"
"21/10/2022","205,00","207,00","207,00","202,00","4,03K","-0,97%"
"20/10/2022","207,00","210,05","210,05","207,00","14,73K","-1,45%"
"19/10/2022","210,05","206,10","213,40","206,10","0,80K","-1,82%"
"18/10/2022","213,95","212,50","214,00","209,00","1,20K","0,02%"
"17/10/2022","213,90","214,05","215,00","212,25","2,32K","-0,97%"
"14/10/2022","216,00","216,05","218,90","216,00","0,28K","-1,73%"
"13/10/2022","219,80","217,00","219,80","217,00","0,02K","-0,09%"
"12/10/2022","220,00","218,05","220,00","218,00","1,23K","0,00%"
"11/10/2022","220,00","220,00","220,00","217,00","3,94K","0,00%"
"07/10/2022","220,00","220,00","220,50","220,00","5,11K","0,00%"
"06/10/2022","220,00","218,50","225,00","218,50","8,47K","0,69%"
"05/10/2022","218,50","218,90","218,90","217,00","6,68K","-0,21%"
"04/10/2022","218,95","216,95","219,00","215,00","1,48K","2,31%"
"03/10/2022","214,00","214,00","214,10","214,00","0,61K","0,94%"
"30/09/2022","212,00","216,00","216,50","212,00","13,45K","-1,40%"
"29/09/2022","215,00","219,00","220,00","213,60","13,30K","-2,23%"
"28/09/2022","219,90","220,00","221,00","215,00","7,20K","-0,05%"
"27/09/2022","220,00","228,10","230,00","220,00","4,75K","-5,13%"
"26/09/2022","231,90","233,00","233,00","227,00","6,57K","-0,04%"
"23/09/2022","232,00","228,50","233,00","228,25","8,14K","-0,43%"
"22/09/2022","233,00","230,00","233,00","229,50","1,36K","0,00%"
"21/09/2022","233,00","230,00","233,00","230,00","10,01K","1,30%"
"20/09/2022","230,00","231,30","231,30","230,00","0,41K","-1,29%"
"19/09/2022","233,00","232,00","233,95","232,00","7,51K","1,30%"
"16/09/2022","230,00","233,00","233,00","230,00","11,01K","-1,08%"
"15/09/2022","232,50","233,00","233,00","232,50","0,71K","-0,21%"
"14/09/2022","233,00","234,50","234,50","233,00","15,56K","-0,64%"
"13/09/2022","234,50","234,00","234,50","234,00","5,94K","0,64%"
"12/09/2022","233,00","234,20","234,20","232,00","0,39K","-0,60%"
"09/09/2022","234,40","234,00","234,40","234,00","2,85K","0,60%"
"08/09/2022","233,00","233,00","234,00","233,00","7,10K","0,00%"
"07/09/2022","233,00","234,50","234,50","233,00","15,82K","-0,75%"
"06/09/2022","234,75","230,00","235,00","228,00","37,50K","2,07%"
"05/09/2022","230,00","228,00","234,80","228,00","36,07K","2,22%"
"02/09/2022","225,00","223,05","225,90","223,05","1,84K","0,90%"
"01/09/2022","223,00","224,00","224,90","222,50","1,00K","-1,76%"
"31/08/2022","227,00","227,00","227,00","227,00","0,31K","0,44%"
"30/08/2022","226,00","225,10","226,00","225,00","0,43K","0,00%"
"29/08/2022","226,00","228,00","228,00","226,00","0,22K","-1,63%"
"26/08/2022","229,75","229,90","229,90","228,00","143,88K","-0,11%"
"25/08/2022","230,00","227,00","230,00","226,15","0,06K","1,32%"
"24/08/2022","227,00","230,00","230,00","226,00","0,13K","-1,30%"
"23/08/2022","230,00","230,00","230,00","228,05","1,11K","0,88%"
"22/08/2022","228,00","226,25","228,00","226,25","1,18K","-0,87%"
"19/08/2022","230,00","230,00","230,00","228,00","6,23K","0,00%"
"18/08/2022","230,00","229,00","231,00","229,00","5,61K","-0,86%"
"17/08/2022","232,00","228,05","232,00","228,05","6,22K","0,87%"
"16/08/2022","230,00","234,50","235,00","230,00","0,57K","-0,86%"
"15/08/2022","232,00","234,00","236,00","232,00","1,93K","-0,85%"
"12/08/2022","234,00","235,00","235,00","225,05","6,50K","-0,43%"
"11/08/2022","235,00","226,95","235,00","226,95","47,01K","3,98%"
"10/08/2022","226,00","221,00","226,00","221,00","5,37K","2,26%"
"09/08/2022","221,00","223,10","223,10","221,00","2,25K","0,00%"
"08/08/2022","221,00","223,00","224,90","221,00","1,07K","-0,90%"
"05/08/2022","223,00","225,00","225,00","221,00","6,16K","0,00%"
"04/08/2022","223,00","225,95","225,95","223,00","2,67K","0,45%"
"03/08/2022","222,00","222,50","227,00","222,00","0,94K","-1,33%"
"02/08/2022","225,00","220,00","229,00","220,00","1,03K","2,30%"
"01/08/2022","219,95","214,00","223,00","214,00","19,94K","2,59%"
"29/07/2022","214,40","212,50","214,40","212,50","0,03K","0,21%"
"28/07/2022","213,95","210,00","213,95","210,00","0,04K","2,52%"
"27/07/2022","208,70","208,00","216,45","206,15","0,99K","1,31%"
"26/07/2022","206,00","206,50","206,50","206,00","0,27K","-0,96%"
"25/07/2022","208,00","209,95","209,95","208,00","20,04K","0,73%"
"22/07/2022","206,50","207,10","207,10","206,00","0,18K","-0,24%"
"21/07/2022","207,00","212,00","212,00","207,00","0,72K","-2,36%"
"20/07/2022","212,00","208,00","212,50","208,00","1,58K","1,92%"
"19/07/2022","208,00","206,90","208,80","205,00","11,20K","2,72%"
"18/07/2022","202,50","205,00","205,00","201,50","0,36K","-1,22%"
"15/07/2022","205,00","201,25","205,00","200,00","5,47K","1,86%"
"14/07/2022","201,25","200,20","201,50","200,20","6,17K","-1,59%"
"13/07/2022","204,50","204,00","205,00","201,05","2,22K","2,00%"
"12/07/2022","200,50","200,05","200,50","200,00","0,01K","0,25%"
"08/07/2022","200,00","200,50","205,95","199,00","4,77K","0,00%"
"07/07/2022","200,00","198,50","200,00","197,10","27,00K","1,27%"
"06/07/2022","197,50","196,00","198,00","196,00","5,29K","0,77%"
"05/07/2022","196,00","200,00","200,20","196,00","36,01K","-3,92%"
"04/07/2022","204,00","197,00","207,70","197,00","4,64K","4,08%"
"01/07/2022","196,00","207,00","212,45","196,00","5,63K","-5,72%"
"30/06/2022","207,90","207,50","208,00","207,10","4,08K","0,43%"
"29/06/2022","207,00","208,00","208,00","207,00","0,08K","-1,43%"
"28/06/2022","210,00","210,00","210,00","210,00","0,03K","-1,18%"
"27/06/2022","212,50","207,95","212,50","205,00","0,96K","3,66%"
"24/06/2022","205,00","210,00","210,00","204,20","0,99K","0,00%"
"23/06/2022","205,00","207,00","214,50","205,00","1,89K","-6,82%"
"22/06/2022","220,00","219,90","222,00","216,05","72,64K","0,00%"
"21/06/2022","220,00","215,00","222,00","215,00","60,11K","3,29%"
"20/06/2022","213,00","210,10","216,40","210,10","1,12K","2,40%"
"17/06/2022","208,00","218,10","220,00","208,00","10,24K","-4,59%"
"16/06/2022","218,00","217,35","220,00","217,35","0,75K","0,44%"
"15/06/2022","217,05","221,00","221,20","214,00","1,02K","-0,89%"
"14/06/2022","219,00","223,00","223,00","219,00","1,73K","-2,23%"
"13/06/2022","224,00","222,15","224,00","221,90","1,80K","0,76%"
"10/06/2022","222,30","226,50","226,50","222,10","12,74K","-0,67%"
"09/06/2022","223,80","223,00","227,00","222,95","17,53K","0,36%"
"08/06/2022","223,00","222,25","223,50","222,00","6,90K","0,41%"
"07/06/2022","222,10","224,00","226,95","222,10","7,41K","0,05%"
"06/06/2022","222,00","227,00","227,00","222,00","55,55K","-1,31%"
"03/06/2022","224,95","223,00","227,50","223,00","8,83K","0,90%"
"02/06/2022","222,95","220,10","223,00","220,10","1,92K","1,34%"
"01/06/2022","220,00","221,10","223,95","220,00","14,19K","-0,95%"
"31/05/2022","222,10","223,00","224,90","221,00","5,53K","-0,27%"
"30/05/2022","222,70","223,20","229,00","222,15","3,89K","0,77%"
"27/05/2022","221,00","230,00","233,00","221,00","4,50K","-3,91%"
"26/05/2022","230,00","230,00","235,00","230,00","2,22K","0,02%"
"25/05/2022","229,95","230,00","230,50","229,00","0,87K","-0,02%"
"24/05/2022","230,00","237,90","237,90","230,00","2,09K","-1,33%"
"23/05/2022","233,10","235,00","235,00","232,05","0,74K","-0,38%"
"20/05/2022","234,00","237,00","238,45","234,00","3,64K","-1,27%"
"19/05/2022","237,00","237,00","237,90","237,00","1,63K","0,00%"
"18/05/2022","237,00","236,55","237,00","236,50","0,16K","-0,42%"
"17/05/2022","238,00","236,30","238,00","236,05","0,71K","0,59%"
"16/05/2022","236,60","239,00","239,00","235,10","0,39K","-1,00%"
"13/05/2022","239,00","236,00","239,00","236,00","3,02K","1,06%"
"12/05/2022","236,50","238,85","238,85","236,05","1,39K","-1,05%"
"11/05/2022","239,00","239,90","239,90","238,00","0,05K","0,42%"
"10/05/2022","238,00","240,00","240,00","238,00","0,50K","-0,42%"
"09/05/2022","239,00","240,70","243,00","239,00","6,15K","-0,83%"
"06/05/2022","241,00","243,00","243,00","241,00","3,17K","-0,17%"
