"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/09/2022","1.817,0","1.817,0","1.817,0","1.817,0","0,01K","-8,14%"
"16/05/2022","1.978,0","1.978,0","1.978,0","1.978,0","0,00K","4,00%"
"06/05/2022","1.902,0","1.902,0","1.902,0","1.902,0","0,00K","-0,94%"
"05/05/2022","1.920,0","1.920,0","1.920,0","1.920,0","0,00K","-3,76%"
"28/04/2022","1.995,0","1.995,0","1.995,0","1.995,0","0,00K","-3,86%"
"14/04/2022","2.075,0","2.075,0","2.075,0","2.075,0","0,06K","3,80%"
"31/03/2022","1.999,0","1.999,0","1.999,0","1.999,0","0,30K","3,36%"
"28/03/2022","1.934,0","1.934,0","1.934,0","1.934,0","0,00K","3,98%"
"16/03/2022","1.860,0","1.860,0","1.860,0","1.860,0","0,00K","-0,37%"
"11/03/2022","1.867,0","1.867,0","1.867,0","1.867,0","0,00K","-3,96%"
"09/03/2022","1.944,0","1.944,0","1.944,0","1.944,0","0,01K","3,96%"
"18/01/2022","1.870,0","1.870,0","1.870,0","1.870,0","0,00K","-3,66%"
"17/01/2022","1.941,0","1.941,0","1.941,0","1.941,0","0,43K","1,09%"
"14/01/2022","1.920,0","1.920,0","1.920,0","1.920,0","0,04K","-1,08%"
"07/01/2022","1.941,0","1.941,0","1.941,0","1.941,0","1,30K","0,00%"
"11/10/2021","1.941,0","1.941,0","1.941,0","1.941,0","0,01K","-1,97%"
"24/08/2021","1.980,0","1.980,0","1.980,0","1.980,0","0,01K","-1,10%"
"21/06/2021","2.002,0","2.002,0","2.002,0","2.002,0","0,00K","-1,04%"
"07/06/2021","2.023,0","2.023,0","2.023,0","2.023,0","0,01K","-1,99%"
"16/02/2021","2.064,0","2.064,0","2.064,0","2.064,0","0,00K","1,98%"
"15/02/2021","2.024,0","2.024,0","2.024,0","2.024,0","0,01K","1,96%"
"17/12/2020","1.985,0","1.985,0","1.985,0","1.985,0","0,00K","0,35%"
"29/09/2020","1.978,0","1.978,0","1.978,0","1.978,0","0,00K","-1,98%"
"10/09/2020","2.018,0","2.018,0","2.018,0","2.018,0","0,00K","-1,99%"
"19/08/2020","2.059,0","2.059,0","2.059,0","2.059,0","0,02K","-1,95%"
"16/07/2020","2.100,0","2.100,0","2.100,0","2.100,0","0,23K","0,00%"
"14/07/2020","2.100,0","2.100,0","2.100,0","2.100,0","0,01K","-0,33%"
"10/07/2020","2.107,0","2.107,0","2.107,0","2.107,0","0,05K","-1,95%"
"09/07/2020","2.149,0","2.149,0","2.149,0","2.149,0","0,01K","-1,96%"
