"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"08/11/2022","30,80","30,80","30,80","30,80","0,02K","3,01%"
"07/11/2022","29,90","29,90","30,80","29,90","1,17K","-2,92%"
"04/11/2022","30,80","30,80","30,80","30,80","0,01K","0,00%"
"03/11/2022","30,80","30,80","30,80","30,80","0,02K","0,00%"
"02/11/2022","30,80","30,80","30,80","30,80","0,02K","-0,58%"
"28/10/2022","30,98","30,98","30,98","30,98","0,00K","0,26%"
"26/10/2022","30,90","30,90","30,90","30,90","0,02K","0,03%"
"24/10/2022","30,89","30,05","30,89","30,05","0,03K","1,28%"
"21/10/2022","30,50","30,50","30,50","30,50","0,21K","-1,26%"
"19/10/2022","30,89","30,00","30,89","30,00","0,50K","-0,35%"
"18/10/2022","31,00","31,00","31,00","31,00","0,11K","0,03%"
"17/10/2022","30,99","30,25","30,99","30,25","0,03K","0,00%"
"14/10/2022","30,99","30,11","30,99","30,01","0,10K","0,00%"
"13/10/2022","30,99","30,99","30,99","30,11","0,13K","-0,03%"
"12/10/2022","31,00","31,00","31,00","31,00","0,01K","0,03%"
"11/10/2022","30,99","30,20","30,99","30,11","0,18K","2,62%"
"07/10/2022","30,20","30,16","31,00","30,16","0,17K","-2,86%"
"05/10/2022","31,09","30,01","31,09","30,01","0,32K","-0,03%"
"03/10/2022","31,10","30,25","31,10","30,25","0,07K","3,32%"
"30/09/2022","30,10","30,10","30,10","30,10","0,46K","-5,85%"
"29/09/2022","31,97","31,05","31,98","31,05","0,54K","3,03%"
"28/09/2022","31,03","31,03","31,03","31,03","0,02K","-4,52%"
"27/09/2022","32,50","31,03","32,50","31,03","0,15K","-0,52%"
"26/09/2022","32,67","31,72","32,67","31,72","0,05K","-0,06%"
"23/09/2022","32,69","32,69","32,69","32,69","0,03K","0,00%"
"20/09/2022","32,69","31,80","32,69","31,80","0,51K","2,96%"
"19/09/2022","31,75","32,70","32,70","31,75","1,06K","-2,91%"
"14/09/2022","32,70","32,70","32,70","32,70","0,03K","0,00%"
"07/09/2022","32,70","32,15","32,70","32,15","0,05K","2,54%"
"06/09/2022","31,89","31,00","31,89","31,00","0,24K","2,21%"
"02/09/2022","31,20","31,20","31,20","31,20","0,03K","0,65%"
"31/08/2022","31,00","31,14","31,14","31,00","0,26K","-0,45%"
"30/08/2022","31,14","31,14","31,14","31,14","0,28K","-3,89%"
"29/08/2022","32,40","31,20","32,40","31,17","0,34K","-1,22%"
"26/08/2022","32,80","32,80","32,80","32,80","0,03K","5,13%"
"25/08/2022","31,20","31,20","31,20","31,20","0,21K","-5,11%"
"24/08/2022","32,88","32,90","32,90","31,96","0,02K","2,75%"
