"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"09/11/2022","1.250,00","1.250,00","1.250,00","1.250,00","0,57K","0,00%"
"29/09/2022","1.250,00","1.250,00","1.250,00","1.250,00","0,00K","-3,85%"
"27/09/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,03K","-3,77%"
"21/09/2022","1.351,00","1.351,00","1.351,00","1.351,00","0,00K","-3,57%"
"20/09/2022","1.401,00","1.401,00","1.401,00","1.401,00","0,00K","-3,98%"
"13/09/2022","1.459,00","1.459,00","1.459,00","1.459,00","0,05K","-0,07%"
"15/08/2022","1.460,00","1.460,00","1.460,00","1.460,00","0,00K","-0,68%"
"09/06/2022","1.470,00","1.470,00","1.470,00","1.470,00","0,03K","2,51%"
"19/05/2022","1.434,00","1.434,00","1.434,00","1.434,00","0,00K","-3,95%"
"21/04/2022","1.493,00","1.493,00","1.493,00","1.493,00","0,00K","0,88%"
"14/04/2022","1.480,00","1.480,00","1.480,00","1.480,00","0,01K","-1,00%"
"24/02/2022","1.495,00","1.495,00","1.495,00","1.495,00","0,01K","2,75%"
"23/02/2022","1.455,00","1.455,00","1.455,00","1.455,00","0,01K","3,93%"
"22/02/2022","1.400,00","1.400,00","1.400,00","1.400,00","0,01K","2,64%"
"21/02/2022","1.364,00","1.364,00","1.364,00","1.364,00","0,00K","1,64%"
"18/02/2022","1.342,00","1.342,00","1.342,00","1.342,00","0,00K","3,95%"
"15/02/2022","1.291,00","1.291,00","1.291,00","1.291,00","0,00K","3,78%"
"11/02/2022","1.244,00","1.244,00","1.244,00","1.244,00","0,00K","3,93%"
"10/02/2022","1.197,00","1.197,00","1.197,00","1.197,00","0,00K","3,46%"
"04/02/2022","1.157,00","1.157,00","1.157,00","1.157,00","0,00K","3,95%"
"02/02/2022","1.113,00","1.113,00","1.113,00","1.113,00","0,00K","3,92%"
"28/01/2022","1.071,00","1.071,00","1.071,00","1.071,00","0,00K","-0,09%"
"27/01/2022","1.072,00","1.072,00","1.072,00","1.072,00","0,02K","0,19%"
"25/01/2022","1.070,00","1.070,00","1.070,00","1.070,00","0,01K","-2,73%"
"19/01/2022","1.100,00","1.100,00","1.100,00","1.100,00","0,01K","2,80%"
"05/01/2022","1.070,00","1.070,00","1.070,00","1.070,00","0,00K","1,71%"
"03/01/2022","1.052,00","1.052,00","1.052,00","1.052,00","0,00K","0,19%"
"30/12/2021","1.050,00","1.050,00","1.050,00","1.050,00","0,01K","-1,59%"
"30/11/2021","1.067,00","1.067,00","1.067,00","1.067,00","0,00K","-0,09%"
"29/11/2021","1.068,00","1.068,00","1.068,00","1.068,00","0,01K","-3,78%"
"04/11/2021","1.110,00","1.110,00","1.110,00","1.110,00","0,02K","0,00%"
"03/11/2021","1.110,00","1.110,00","1.110,00","1.110,00","0,00K","-3,90%"
"07/09/2021","1.155,00","1.155,00","1.155,00","1.155,00","0,00K","0,52%"
"06/09/2021","1.149,00","1.149,00","1.149,00","1.149,00","0,01K","1,86%"
"30/08/2021","1.128,00","1.128,00","1.128,00","1.128,00","0,00K","-1,91%"
"27/08/2021","1.150,00","1.150,00","1.150,00","1.150,00","0,01K","0,00%"
"25/08/2021","1.150,00","1.150,00","1.150,00","1.150,00","0,00K","-1,88%"
"06/08/2021","1.172,00","1.172,00","1.172,00","1.172,00","0,00K","1,91%"
"23/07/2021","1.150,00","1.150,00","1.150,00","1.150,00","0,00K","0,00%"
"19/07/2021","1.150,00","1.150,00","1.150,00","1.150,00","0,01K","-0,09%"
"13/07/2021","1.151,00","1.151,00","1.151,00","1.151,00","0,01K","0,09%"
"29/06/2021","1.150,00","1.150,00","1.150,00","1.150,00","0,05K","0,00%"
"28/06/2021","1.150,00","1.150,00","1.150,00","1.150,00","0,12K","-0,09%"
"18/06/2021","1.151,00","1.151,00","1.151,00","1.151,00","0,00K","-1,54%"
"11/06/2021","1.169,00","1.169,00","1.169,00","1.169,00","0,00K","1,21%"
"09/06/2021","1.155,00","1.155,00","1.155,00","1.155,00","0,01K","-1,87%"
"07/06/2021","1.177,00","1.177,00","1.177,00","1.177,00","0,01K","1,47%"
"31/05/2021","1.160,00","1.160,00","1.160,00","1.160,00","0,01K","-1,02%"
"27/05/2021","1.172,00","1.172,00","1.172,00","1.172,00","0,01K","1,91%"
"26/05/2021","1.150,00","1.150,00","1.150,00","1.150,00","0,31K","1,50%"
"25/05/2021","1.133,00","1.133,00","1.133,00","1.133,00","0,02K","1,98%"
"24/05/2021","1.111,00","1.111,00","1.111,00","1.111,00","0,01K","1,93%"
"19/05/2021","1.090,00","1.090,00","1.090,00","1.090,00","0,60K","1,87%"
"29/04/2021","1.070,00","1.070,00","1.070,00","1.070,00","2,50K","1,90%"
"28/04/2021","1.050,00","1.050,00","1.050,00","1.050,00","0,01K","0,00%"
"27/04/2021","1.050,00","1.050,00","1.050,00","1.050,00","0,02K","1,94%"
"26/04/2021","1.030,00","1.030,00","1.030,00","1.030,00","0,04K","-0,39%"
"23/04/2021","1.034,00","1.034,00","1.034,00","1.034,00","0,01K","-1,99%"
"21/04/2021","1.055,00","1.055,00","1.055,00","1.055,00","0,01K","-1,95%"
"20/04/2021","1.076,00","1.076,00","1.076,00","1.076,00","1,00K","1,99%"
"13/04/2021","1.055,00","1.055,00","1.055,00","1.055,00","0,00K","-1,77%"
"12/04/2021","1.074,00","1.074,00","1.074,00","1.074,00","0,00K","0,00%"
"07/04/2021","1.074,00","1.074,00","1.074,00","1.074,00","2,00K","1,99%"
"29/03/2021","1.053,00","1.053,00","1.053,00","1.053,00","0,01K","0,10%"
"05/03/2021","1.052,00","1.052,00","1.052,00","1.052,00","0,00K","0,19%"
"19/02/2021","1.050,00","1.050,00","1.050,00","1.050,00","0,03K","-0,28%"
"10/02/2021","1.053,00","1.053,00","1.053,00","1.053,00","0,02K","-1,22%"
"09/02/2021","1.066,00","1.066,00","1.066,00","1.066,00","0,05K","-1,93%"
"08/02/2021","1.087,00","1.087,00","1.087,00","1.087,00","0,08K","-1,98%"
"05/02/2021","1.109,00","1.109,00","1.109,00","1.109,00","0,03K","-1,95%"
"04/02/2021","1.131,00","1.131,00","1.131,00","1.131,00","0,03K","-1,99%"
"03/02/2021","1.154,00","1.154,00","1.154,00","1.154,00","0,00K","-1,95%"
"27/01/2021","1.177,00","1.177,00","1.177,00","1.177,00","1,60K","-1,92%"
"26/01/2021","1.200,00","1.200,00","1.200,00","1.200,00","2,50K","0,00%"
"21/01/2021","1.200,00","1.200,00","1.200,00","1.200,00","0,00K","-1,56%"
"08/01/2021","1.219,00","1.219,00","1.219,00","1.219,00","0,01K","0,00%"
"22/12/2020","1.219,00","1.219,00","1.219,00","1.219,00","0,00K","-1,85%"
"18/12/2020","1.242,00","1.242,00","1.242,00","1.242,00","0,00K","-1,90%"
"17/12/2020","1.266,00","1.266,00","1.266,00","1.266,00","0,00K","-1,86%"
"16/12/2020","1.290,00","1.290,00","1.290,00","1.290,00","0,01K","-0,54%"
"01/10/2020","1.297,00","1.297,00","1.297,00","1.297,00","0,01K","1,65%"
"28/07/2020","1.276,00","1.276,00","1.276,00","1.276,00","0,00K","-1,85%"
"03/07/2020","1.300,00","1.300,00","1.300,00","1.300,00","0,01K","1,88%"
"23/06/2020","1.276,00","1.276,00","1.276,00","1.276,00","0,00K","2,00%"
