"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","893,00","893,00","893,00","893,00","0,00K","0,00%"
"10/11/2022","893,00","893,00","893,00","893,00","0,00K","0,00%"
"09/11/2022","893,00","893,00","893,00","893,00","0,00K","-3,98%"
"08/11/2022","930,00","930,00","930,00","930,00","0,07K","-3,63%"
"04/11/2022","965,00","965,00","965,00","965,00","0,01K","0,00%"
"02/11/2022","965,00","965,00","965,00","965,00","0,00K","0,00%"
"01/11/2022","965,00","965,00","965,00","965,00","0,00K","-3,50%"
"17/10/2022","1.000,00","1.000,00","1.000,00","1.000,00","0,00K","-0,89%"
"13/10/2022","1.009,00","1.009,00","1.009,00","1.009,00","0,01K","-3,90%"
"05/10/2022","1.050,00","1.050,00","1.050,00","1.050,00","0,00K","1,94%"
"29/09/2022","1.030,00","1.030,00","1.030,00","1.030,00","0,00K","0,00%"
"21/09/2022","1.030,00","1.030,00","1.030,00","1.030,00","0,00K","-0,19%"
"08/09/2022","1.032,00","1.032,00","1.032,00","1.032,00","0,00K","-3,91%"
"01/09/2022","1.074,00","1.074,00","1.074,00","1.074,00","0,00K","-0,09%"
"18/08/2022","1.075,00","1.075,00","1.075,00","1.075,00","0,00K","1,90%"
"16/08/2022","1.055,00","1.055,00","1.055,00","1.055,00","0,00K","0,00%"
"15/08/2022","1.055,00","1.055,00","1.055,00","1.055,00","0,00K","3,94%"
"12/08/2022","1.015,00","1.015,00","1.015,00","1.015,00","0,00K","3,89%"
"11/08/2022","977,00","977,00","977,00","977,00","0,00K","-2,20%"
"04/08/2022","999,00","999,00","999,00","999,00","0,01K","1,42%"
"03/08/2022","985,00","985,00","985,00","985,00","0,00K","-2,96%"
"28/07/2022","1.015,00","1.015,00","1.015,00","1.015,00","0,00K","0,00%"
"25/07/2022","1.015,00","1.015,00","1.015,00","1.015,00","0,00K","-3,97%"
"20/07/2022","1.057,00","1.057,00","1.057,00","1.057,00","0,01K","-7,28%"
"01/07/2022","1.140,00","1.140,00","1.140,00","1.140,00","0,00K","3,73%"
"30/06/2022","1.099,00","1.099,00","1.099,00","1.099,00","0,00K","3,97%"
"29/06/2022","1.057,00","1.057,00","1.057,00","1.057,00","0,02K","3,93%"
"24/06/2022","1.017,00","1.017,00","1.017,00","1.017,00","0,00K","3,99%"
"10/06/2022","978,00","978,00","978,00","978,00","0,02K","-3,83%"
"18/05/2022","1.017,00","1.017,00","1.017,00","1.017,00","0,02K","-3,97%"
