"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","20,49","20,50","20,50","20,00","7,42K","-0,05%"
"15/11/2022","20,50","20,51","20,51","20,30","5,34K","-1,87%"
"14/11/2022","20,89","20,10","20,97","20,10","1,43K","3,72%"
"11/11/2022","20,14","20,12","20,15","20,07","3,07K","0,10%"
"10/11/2022","20,12","20,60","20,60","20,12","2,21K","-2,71%"
"09/11/2022","20,68","20,68","20,68","20,68","0,01K","2,63%"
"08/11/2022","20,15","21,00","21,24","20,06","1,23K","-5,58%"
"07/11/2022","21,34","21,34","21,34","21,34","0,07K","0,00%"
"04/11/2022","21,34","21,27","21,34","21,00","1,14K","-0,19%"
"03/11/2022","21,38","21,38","21,38","21,38","0,09K","-0,33%"
"02/11/2022","21,45","21,00","21,49","21,00","2,08K","2,14%"
"01/11/2022","21,00","21,60","21,60","21,00","0,53K","-2,28%"
"31/10/2022","21,49","21,65","21,65","21,00","2,30K","-1,83%"
"28/10/2022","21,89","21,00","21,89","21,00","0,49K","4,24%"
"27/10/2022","21,00","21,39","21,39","20,43","2,11K","3,96%"
"26/10/2022","20,20","20,70","20,97","20,03","0,35K","-3,58%"
"25/10/2022","20,95","20,99","21,00","20,00","2,64K","-0,24%"
"21/10/2022","21,00","21,00","21,00","20,38","25,19K","-0,33%"
"20/10/2022","21,07","21,91","21,91","21,07","14,07K","-2,00%"
"19/10/2022","21,50","21,71","22,00","21,50","2,99K","-1,38%"
"18/10/2022","21,80","22,00","22,00","21,80","2,31K","0,00%"
"17/10/2022","21,80","22,00","22,00","21,80","2,01K","-0,91%"
"14/10/2022","22,00","22,00","22,40","21,85","2,50K","0,00%"
"13/10/2022","22,00","22,17","22,54","22,00","12,79K","-2,83%"
"12/10/2022","22,64","22,23","22,64","22,20","1,02K","-0,26%"
"11/10/2022","22,70","22,70","22,70","22,70","0,04K","0,89%"
"06/10/2022","22,50","22,10","22,74","22,08","0,36K","1,95%"
"05/10/2022","22,07","22,04","22,78","22,04","1,22K","-3,20%"
"04/10/2022","22,80","22,98","23,00","22,11","0,54K","3,64%"
"03/10/2022","22,00","21,85","22,01","21,82","3,87K","0,69%"
"30/09/2022","21,85","23,00","23,00","21,68","31,58K","-5,25%"
"29/09/2022","23,06","23,01","23,44","23,01","3,75K","-1,71%"
"28/09/2022","23,46","23,55","23,55","23,10","4,61K","-0,51%"
"27/09/2022","23,58","23,58","23,96","23,57","1,99K","0,00%"
"26/09/2022","23,58","23,51","24,22","23,51","1,97K","-3,56%"
"23/09/2022","24,45","24,00","24,49","23,87","4,36K","2,43%"
"22/09/2022","23,87","24,00","24,05","23,87","2,06K","-2,97%"
"21/09/2022","24,60","24,75","24,75","24,00","6,61K","-0,69%"
"20/09/2022","24,77","24,96","24,96","24,27","0,67K","-0,88%"
"19/09/2022","24,99","25,20","25,20","24,50","0,73K","1,50%"
"16/09/2022","24,62","25,25","25,27","24,62","10,60K","1,03%"
"15/09/2022","24,37","24,07","24,44","24,00","8,34K","-1,50%"
"14/09/2022","24,74","24,30","24,74","24,26","2,39K","1,98%"
"13/09/2022","24,26","24,85","24,90","24,26","2,92K","-2,57%"
"12/09/2022","24,90","24,50","24,90","24,50","2,54K","1,59%"
"09/09/2022","24,51","25,28","25,28","24,51","2,24K","-2,74%"
"08/09/2022","25,20","24,54","25,26","24,54","2,44K","0,44%"
"07/09/2022","25,09","25,24","25,24","25,09","0,24K","-0,04%"
"06/09/2022","25,10","24,97","25,40","24,42","0,50K","-0,08%"
"05/09/2022","25,12","25,13","25,13","25,12","0,51K","2,95%"
"02/09/2022","24,40","25,19","25,19","24,40","3,76K","-0,61%"
"01/09/2022","24,55","25,23","25,23","24,55","1,18K","-2,70%"
"31/08/2022","25,23","25,25","25,25","25,23","1,29K","-0,67%"
"29/08/2022","25,40","24,51","25,66","24,40","0,90K","1,60%"
"26/08/2022","25,00","24,80","25,00","24,23","4,68K","0,16%"
"25/08/2022","24,96","25,00","25,00","24,80","0,87K","0,65%"
"24/08/2022","24,80","25,49","25,49","24,55","1,55K","-0,68%"
"23/08/2022","24,97","25,00","25,00","24,80","1,40K","-0,12%"
"22/08/2022","25,00","25,80","25,80","25,00","11,93K","-2,91%"
"19/08/2022","25,75","25,50","25,75","25,20","2,90K","2,06%"
"18/08/2022","25,23","25,80","25,80","25,23","0,07K","0,48%"
"17/08/2022","25,11","24,61","26,39","24,61","0,11K","-2,67%"
"16/08/2022","25,80","26,10","26,48","25,80","8,50K","-1,04%"
"15/08/2022","26,07","25,06","26,65","25,06","18,56K","1,48%"
"12/08/2022","25,69","25,00","25,90","24,50","8,14K","1,90%"
"11/08/2022","25,21","24,75","25,30","24,00","6,02K","1,86%"
"10/08/2022","24,75","23,48","24,85","23,48","7,63K","5,36%"
"09/08/2022","23,49","23,45","23,49","23,45","1,42K","1,25%"
"08/08/2022","23,20","23,00","23,21","23,00","2,20K","-1,07%"
"05/08/2022","23,45","23,01","23,45","23,00","3,00K","1,96%"
"04/08/2022","23,00","23,05","23,05","23,00","0,54K","-0,82%"
"03/08/2022","23,19","23,10","23,48","22,98","0,37K","0,91%"
"02/08/2022","22,98","23,70","23,70","22,98","3,17K","-2,21%"
"01/08/2022","23,50","23,74","23,74","23,03","0,03K","2,17%"
"29/07/2022","23,00","22,91","23,00","22,50","4,50K","0,39%"
"28/07/2022","22,91","23,00","23,00","22,91","0,89K","-0,39%"
"27/07/2022","23,00","23,00","23,00","22,91","1,48K","0,00%"
"26/07/2022","23,00","23,16","23,16","22,91","3,00K","-0,69%"
"25/07/2022","23,16","23,45","23,45","23,13","1,21K","0,26%"
"22/07/2022","23,10","23,03","23,10","23,03","0,54K","-3,35%"
"21/07/2022","23,90","23,30","23,90","23,01","1,60K","3,37%"
