"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/06/2022","115,00","115,00","115,00","115,00","0,00K","0,88%"
"28/04/2022","114,00","114,00","114,00","114,00","0,00K","3,64%"
"25/03/2022","110,00","110,00","110,00","110,00","0,02K","0,00%"
"18/02/2022","110,00","110,00","110,00","110,00","0,00K","0,05%"
"16/11/2021","109,95","109,95","109,95","109,95","0,01K","-0,05%"
"15/11/2021","110,00","110,00","110,00","110,00","0,00K","1,90%"
"04/11/2021","107,95","107,95","107,95","107,95","0,00K","2,81%"
"01/11/2021","105,00","105,00","105,00","105,00","0,00K","1,94%"
"22/10/2021","103,00","103,00","103,00","103,00","0,00K","3,00%"
"06/08/2021","100,00","100,00","100,00","100,00","0,00K","0,05%"
"19/07/2021","99,95","99,95","99,95","99,95","0,00K","1,99%"
"29/06/2021","98,00","98,00","98,00","98,00","0,00K","-1,01%"
"24/06/2021","99,00","99,00","99,00","99,00","0,00K","-0,92%"
"17/06/2021","99,92","99,92","99,92","99,92","0,03K","0,00%"
"16/06/2021","99,92","99,92","99,92","99,92","0,23K","-1,99%"
"15/06/2021","101,95","101,95","101,95","101,95","0,08K","-1,97%"
"14/06/2021","104,00","104,00","104,00","104,00","0,01K","-1,89%"
"09/06/2021","106,00","106,00","106,00","106,00","0,00K","-1,85%"
"08/06/2021","108,00","108,00","108,00","108,00","0,00K","-1,77%"
"04/12/2020","109,95","109,95","109,95","109,95","0,03K","-1,48%"
"03/12/2020","111,60","111,60","111,60","111,60","0,00K","-1,98%"
"05/10/2020","113,85","113,85","113,85","113,85","0,10K","-0,04%"
"25/09/2020","113,90","113,90","113,90","113,90","0,13K","0,00%"
"03/09/2020","113,90","113,90","113,90","113,90","0,00K","-0,09%"
"10/03/2020","114,00","114,00","114,00","114,00","0,01K","0,00%"
"24/01/2020","114,00","114,00","114,00","114,00","0,08K","-5,79%"
"30/12/2019","121,00","121,00","121,00","121,00","0,02K","2,54%"
"26/12/2019","118,00","118,00","118,00","118,00","0,00K","-1,67%"
"25/12/2019","120,00","120,00","120,00","120,00","0,00K","-1,64%"
"09/12/2019","122,00","122,00","122,00","122,00","0,00K","0,00%"
"05/12/2019","122,00","122,00","122,00","122,00","0,00K","-3,17%"
"27/11/2019","126,00","126,00","126,00","126,00","0,00K","-3,04%"
"12/11/2019","129,95","129,95","129,95","129,95","0,00K","-1,55%"
"05/11/2019","132,00","132,00","132,00","132,00","0,01K","-5,71%"
"28/11/2018","140,00","140,00","140,00","140,00","0,01K","3,70%"
"19/09/2018","135,00","135,00","135,00","135,00","0,01K","0,00%"
"17/09/2018","135,00","135,00","135,00","135,00","0,02K","-3,57%"
"28/02/2018","140,00","140,00","140,00","140,00","0,00K","0,00%"
"20/02/2018","140,00","140,00","140,00","140,00","0,01K","0,36%"
"30/01/2018","139,50","139,50","139,50","139,50","0,03K","3,72%"
"20/12/2017","134,50","134,50","134,50","134,50","0,01K","0,00%"
"15/12/2017","134,50","134,50","134,50","134,50","0,01K","-5,94%"
"25/10/2017","143,00","143,00","143,00","143,00","0,25K","-5,92%"
"17/10/2017","152,00","152,00","152,00","152,00","0,60K","-1,94%"
"20/09/2017","155,00","155,00","155,00","155,00","0,00K","0,00%"
"15/09/2017","155,00","155,00","155,00","155,00","0,00K","0,00%"
"14/09/2017","155,00","155,00","155,00","155,00","0,00K","3,33%"
"12/09/2017","150,00","150,00","150,00","150,00","0,00K","4,90%"
"07/09/2017","143,00","143,00","143,00","143,00","0,00K","5,93%"
"30/08/2017","135,00","135,00","135,00","135,00","0,03K","0,00%"
"29/08/2017","135,00","135,00","135,00","135,00","0,00K","0,30%"
"28/08/2017","134,60","134,60","134,60","134,60","0,00K","5,98%"
"16/08/2017","127,00","127,00","127,00","127,00","0,29K","0,00%"
"15/08/2017","127,00","127,00","127,00","127,00","0,04K","-5,93%"
"07/08/2017","135,00","135,00","135,00","135,00","0,01K","0,00%"
"21/07/2017","135,00","135,00","135,00","135,00","0,05K","0,00%"
"08/06/2017","135,00","135,00","135,00","135,00","0,01K","1,93%"
"29/05/2017","132,45","132,45","132,45","132,45","0,01K","5,96%"
"04/05/2017","125,00","125,00","125,00","125,00","0,06K","2,25%"
"29/03/2017","122,25","122,25","122,25","122,25","0,02K","-5,96%"
"21/03/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"20/03/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"17/03/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"16/03/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"15/03/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"14/03/2017","130,00","130,00","130,00","130,00","0,01K","0,00%"
"28/02/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"24/02/2017","130,00","130,00","130,00","130,00","0,01K","0,00%"
"23/02/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"22/02/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"21/02/2017","130,00","130,00","130,00","130,00","0,00K","4,00%"
"17/02/2017","125,00","125,00","125,00","125,00","0,00K","2,38%"
"16/02/2017","122,10","122,10","122,10","122,10","0,01K","-0,12%"
"15/02/2017","122,25","122,25","122,25","122,25","0,01K","-5,96%"
"14/02/2017","130,00","130,00","130,00","130,00","0,01K","0,00%"
"10/02/2017","130,00","130,00","130,00","130,00","0,01K","0,00%"
"09/02/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"08/02/2017","130,00","130,00","130,00","130,00","0,00K","0,00%"
"27/10/2016","130,00","130,00","130,00","130,00","0,01K","0,00%"
"22/09/2016","130,00","130,00","130,00","130,00","0,03K","4,67%"
"05/07/2016","124,20","124,20","124,20","124,20","0,02K","-5,91%"
"14/06/2016","132,00","132,00","132,00","132,00","0,01K","-5,71%"
"15/03/2016","140,00","140,00","140,00","140,00","0,02K","0,00%"
"14/03/2016","140,00","140,00","140,00","140,00","0,03K","0,00%"
"09/03/2016","140,00","140,00","140,00","140,00","0,01K","0,00%"
"19/02/2016","140,00","140,00","140,00","140,00","0,00K","-6,67%"
"26/01/2016","150,00","150,00","150,00","150,00","0,02K","0,07%"
"20/01/2016","149,90","149,90","149,90","149,90","0,00K","3,38%"
"31/12/2015","145,00","145,00","145,00","145,00","0,01K","3,57%"
"27/11/2015","140,00","140,00","140,00","140,00","0,00K","0,00%"
"19/11/2015","140,00","140,00","140,00","140,00","0,01K","0,00%"
"13/11/2015","140,00","140,00","140,00","140,00","0,00K","-3,45%"
"11/11/2015","145,00","145,00","145,00","145,00","0,00K","3,94%"
"14/10/2015","139,50","139,50","139,50","139,50","0,00K","-0,36%"
"08/10/2015","140,00","140,00","140,00","140,00","0,01K","16,67%"
"28/09/2015","120,00","120,00","120,00","120,00","0,01K","0,21%"
"31/08/2015","119,75","119,75","119,75","119,75","0,01K","0,00%"
"26/08/2015","119,75","119,75","119,75","119,75","0,00K","5,97%"
"12/08/2015","113,00","113,00","113,00","113,00","0,04K","0,00%"
"07/08/2015","113,00","113,00","113,00","113,00","0,03K","0,00%"
"31/07/2015","113,00","113,00","113,00","113,00","0,01K","-5,83%"
"21/07/2015","120,00","120,00","120,00","120,00","0,10K","0,67%"
"29/05/2015","119,20","119,20","119,20","119,20","0,00K","0,51%"
"14/05/2015","118,60","118,60","118,60","118,60","0,02K","-5,98%"
"22/04/2015","126,15","126,15","126,15","126,15","0,00K","5,96%"
"16/04/2015","119,05","119,05","119,05","119,05","0,00K","5,96%"
"09/04/2015","112,35","112,35","112,35","112,35","0,00K","5,99%"
"08/04/2015","106,00","106,00","106,00","106,00","0,00K","6,00%"
"07/04/2015","100,00","100,00","100,00","100,00","0,01K","0,00%"
"06/04/2015","100,00","100,00","100,00","100,00","0,00K","-2,20%"
"31/03/2015","102,25","102,25","102,25","102,25","0,00K","26,22%"
"19/03/2015","81,01","81,01","81,01","81,01","0,00K","0,73%"
"17/03/2015","80,42","80,42","80,42","80,42","1,68K","-11,63%"
"13/03/2015","91,00","91,00","91,00","91,00","0,00K","-4,72%"
"06/03/2015","95,51","95,51","95,51","95,51","0,01K","-5,99%"
"05/03/2015","101,60","101,60","101,60","101,60","0,01K","-21,85%"
"05/02/2015","130,00","130,00","130,00","130,00","0,04K","0,00%"
"02/02/2015","130,00","130,00","130,00","130,00","0,00K","0,00%"
"29/01/2015","130,00","130,00","130,00","130,00","0,10K","0,00%"
"27/01/2015","130,00","130,00","130,00","130,00","0,00K","0,00%"
"26/01/2015","130,00","130,00","130,00","130,00","0,00K","-5,80%"
"09/01/2015","138,00","138,00","138,00","138,00","0,05K","0,00%"
"25/12/2014","138,00","138,00","138,00","138,00","0,00K","3,76%"
"23/12/2014","133,00","133,00","133,00","133,00","0,01K","0,00%"
"11/12/2014","133,00","133,00","133,00","133,00","0,01K","-5,00%"
"09/12/2014","140,00","140,00","140,00","140,00","0,01K","-2,78%"
"08/12/2014","144,00","144,00","144,00","144,00","0,02K","0,00%"
"04/12/2014","144,00","135,40","144,00","135,40","0,20K","0,00%"
"03/12/2014","144,00","144,60","144,60","144,00","1,05K","0,00%"
"02/12/2014","144,00","144,00","144,00","144,00","0,01K","-17,24%"
"20/10/2014","174,00","174,00","174,00","174,00","0,00K","0,00%"
"29/09/2014","174,00","174,00","174,00","174,00","0,05K","0,00%"
"09/09/2014","174,00","174,00","174,00","174,00","0,03K","19,02%"
"04/09/2014","146,20","146,00","146,20","146,00","0,03K","-5,68%"
"08/08/2014","155,00","155,00","155,00","155,00","0,00K","-2,82%"
"06/08/2014","159,50","159,50","159,50","159,50","0,00K","4,93%"
"16/07/2014","152,00","152,00","152,00","152,00","0,00K","-1,94%"
"03/07/2014","155,00","155,00","155,00","155,00","0,10K","3,33%"
"27/06/2014","150,00","150,00","150,00","150,00","0,00K","-3,04%"
"02/06/2014","154,70","154,70","154,70","154,70","0,01K","-5,96%"
"30/05/2014","164,50","164,50","164,50","164,50","0,00K","0,00%"
"28/05/2014","164,50","164,50","164,50","164,50","0,00K","-5,46%"
"27/05/2014","174,00","174,00","174,00","174,00","0,01K","-0,57%"
"28/04/2014","175,00","175,00","175,00","175,00","0,00K","2,94%"
"21/04/2014","170,00","170,00","170,00","170,00","0,17K","-5,03%"
"18/04/2014","179,00","179,00","179,00","179,00","0,09K","-0,56%"
"08/04/2014","180,00","180,00","180,00","180,00","0,03K","0,00%"
"31/03/2014","180,00","180,00","180,00","180,00","0,01K","-1,10%"
"28/03/2014","182,00","189,50","189,50","182,00","0,08K","-1,62%"
"20/03/2014","185,00","185,00","185,00","185,00","0,03K","1,09%"
"18/03/2014","183,00","183,00","183,00","183,00","0,05K","-1,08%"
"17/03/2014","185,00","185,00","185,00","185,00","0,04K","0,00%"
"11/03/2014","185,00","185,00","185,00","185,00","0,02K","1,65%"
"07/03/2014","182,00","182,00","182,00","182,00","0,01K","-3,70%"
"06/03/2014","189,00","188,00","189,00","188,00","0,12K","5,00%"
"04/03/2014","180,00","180,00","180,00","180,00","0,02K","2,83%"
"27/02/2014","175,05","175,05","175,05","175,05","0,05K","0,03%"
"26/02/2014","175,00","175,00","175,00","175,00","0,03K","1,74%"
"18/02/2014","172,00","172,00","172,00","172,00","0,00K","-9,47%"
"07/02/2014","190,00","190,00","190,00","190,00","0,00K","0,00%"
"12/12/2013","190,00","190,00","190,00","190,00","0,05K","-3,55%"
