"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","111,85","108,60","111,85","108,60","0,11K","-0,09%"
"11/11/2022","111,95","109,50","112,00","109,00","0,54K","2,24%"
"10/11/2022","109,50","113,00","113,10","109,50","3,35K","-2,19%"
"09/11/2022","111,95","109,50","111,95","109,50","0,08K","-0,93%"
"03/11/2022","113,00","109,65","113,00","109,65","0,02K","2,59%"
"02/11/2022","110,15","110,20","113,05","110,15","0,03K","0,05%"
"01/11/2022","110,10","110,05","110,25","110,05","0,19K","0,05%"
"31/10/2022","110,05","112,00","113,10","110,05","0,60K","-1,74%"
"28/10/2022","112,00","112,00","112,00","111,95","1,62K","0,00%"
"27/10/2022","112,00","110,10","112,00","110,10","0,01K","0,04%"
"26/10/2022","111,95","109,30","111,95","109,30","0,17K","1,77%"
"25/10/2022","110,00","111,90","112,00","110,00","0,98K","-0,77%"
"24/10/2022","110,85","112,00","112,00","110,85","0,56K","-1,03%"
"21/10/2022","112,00","113,10","113,10","110,00","0,63K","-0,97%"
"20/10/2022","113,10","115,00","115,00","113,10","5,72K","-5,99%"
"19/10/2022","120,30","118,00","120,30","118,00","0,36K","1,09%"
"18/10/2022","119,00","116,00","119,00","116,00","0,03K","-1,65%"
"17/10/2022","121,00","120,95","121,00","120,95","0,09K","0,00%"
"14/10/2022","121,00","121,00","121,00","121,00","0,53K","0,00%"
"13/10/2022","121,00","120,90","126,00","120,10","10,17K","0,79%"
"12/10/2022","120,05","116,00","122,00","116,00","22,40K","3,54%"
"11/10/2022","115,95","115,90","115,95","115,90","0,54K","3,02%"
"07/10/2022","112,55","112,35","116,00","112,35","0,52K","-1,27%"
"06/10/2022","114,00","114,00","114,00","114,00","0,03K","-1,17%"
"05/10/2022","115,35","112,05","115,35","112,05","0,04K","1,18%"
"04/10/2022","114,00","116,45","116,50","114,00","0,40K","-2,56%"
"03/10/2022","117,00","116,95","117,00","116,95","0,47K","0,86%"
"30/09/2022","116,00","112,90","116,80","112,00","66,71K","2,38%"
"29/09/2022","113,30","112,90","113,30","110,00","0,46K","1,16%"
"28/09/2022","112,00","110,10","112,00","107,75","11,34K","-2,27%"
"27/09/2022","114,60","113,80","114,60","113,80","0,10K","-0,13%"
"26/09/2022","114,75","113,05","114,75","110,00","0,32K","0,66%"
"23/09/2022","114,00","116,85","116,85","113,30","0,03K","0,80%"
"22/09/2022","113,10","114,00","114,00","113,00","0,49K","-2,84%"
"21/09/2022","116,40","116,40","116,40","113,00","0,09K","-0,26%"
"20/09/2022","116,70","114,20","116,70","114,00","0,13K","0,65%"
"19/09/2022","115,95","117,50","117,50","114,20","0,57K","0,83%"
"16/09/2022","115,00","115,00","115,00","115,00","0,09K","-0,86%"
"15/09/2022","116,00","114,90","116,95","114,00","0,16K","1,71%"
"14/09/2022","114,05","115,00","115,00","114,00","0,16K","-2,52%"
"12/09/2022","117,00","115,10","117,00","115,10","0,02K","0,00%"
"09/09/2022","117,00","116,00","117,00","116,00","0,14K","0,00%"
"07/09/2022","117,00","117,00","117,00","117,00","0,01K","-0,26%"
"06/09/2022","117,30","115,50","117,30","115,50","1,28K","-0,51%"
"05/09/2022","117,90","118,90","118,90","115,90","0,79K","1,55%"
"02/09/2022","116,10","117,50","117,50","116,10","0,94K","-2,27%"
"01/09/2022","118,80","118,80","118,80","118,80","0,01K","2,33%"
"31/08/2022","116,10","119,95","119,95","116,00","3,05K","-2,35%"
"30/08/2022","118,90","118,00","118,90","117,55","0,86K","0,00%"
"29/08/2022","118,90","117,00","118,90","115,05","0,54K","1,62%"
"26/08/2022","117,00","116,50","117,20","116,50","0,41K","0,00%"
"25/08/2022","117,00","116,30","117,00","116,25","0,41K","-1,64%"
"24/08/2022","118,95","117,00","119,00","116,30","0,13K","1,67%"
"23/08/2022","117,00","118,50","118,50","117,00","0,80K","-1,64%"
"22/08/2022","118,95","118,15","119,00","117,00","0,95K","0,17%"
"19/08/2022","118,75","118,75","118,75","118,75","0,12K","-0,17%"
"18/08/2022","118,95","118,45","119,00","117,55","0,59K","0,81%"
"17/08/2022","118,00","118,00","118,90","117,55","0,11K","0,00%"
