"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"10/11/2022","202,00","202,00","202,00","202,00","0,00K","-1,46%"
"13/10/2022","205,00","205,00","205,00","205,00","0,01K","0,00%"
"12/10/2022","205,00","205,00","205,00","205,00","0,00K","0,00%"
"16/09/2022","205,00","205,00","205,00","205,00","0,10K","3,54%"
"14/09/2022","198,00","198,00","198,00","198,00","0,05K","0,00%"
"13/09/2022","198,00","198,00","198,00","198,00","0,01K","-3,41%"
"07/09/2022","205,00","205,00","205,00","205,00","0,03K","0,00%"
"06/09/2022","205,00","205,00","205,00","205,00","0,02K","-2,84%"
"31/08/2022","211,00","211,00","211,00","211,00","0,00K","2,93%"
"30/08/2022","205,00","205,00","205,00","205,00","0,01K","-2,84%"
"23/08/2022","211,00","211,00","211,00","211,00","0,00K","1,93%"
"22/08/2022","207,00","207,00","207,00","207,00","0,00K","3,50%"
"19/08/2022","200,00","200,00","200,00","200,00","0,23K","0,00%"
"18/08/2022","200,00","200,00","200,00","200,00","0,20K","0,15%"
"17/08/2022","199,70","199,70","199,70","199,70","0,01K","3,98%"
"16/08/2022","192,05","192,05","192,05","192,05","0,03K","-0,03%"
"15/08/2022","192,10","192,10","192,10","192,10","0,00K","0,05%"
"12/08/2022","192,00","192,00","192,00","192,00","0,05K","1,05%"
"11/08/2022","190,00","190,00","190,00","190,00","0,00K","-1,04%"
"02/08/2022","192,00","192,00","192,00","192,00","0,03K","0,00%"
"01/08/2022","192,00","192,00","192,00","192,00","0,28K","0,00%"
"29/07/2022","192,00","192,00","192,00","192,00","0,50K","0,00%"
"28/07/2022","192,00","192,00","192,00","192,00","0,50K","-0,18%"
"26/07/2022","192,35","192,35","192,35","192,35","0,20K","0,00%"
"20/07/2022","192,35","192,35","192,35","192,35","0,01K","0,00%"
"08/07/2022","192,35","192,35","192,35","192,35","0,15K","3,97%"
"06/07/2022","185,00","185,00","185,00","185,00","0,03K","0,00%"
"05/07/2022","185,00","185,00","185,00","185,00","0,10K","0,54%"
"29/06/2022","184,00","184,00","184,00","184,00","0,01K","3,98%"
"24/06/2022","176,95","176,95","176,95","176,95","0,01K","0,00%"
"21/06/2022","176,95","176,95","176,95","176,95","0,06K","0,00%"
"17/06/2022","176,95","176,95","176,95","176,95","0,00K","0,00%"
"16/06/2022","176,95","176,95","176,95","176,95","0,03K","-3,99%"
"09/06/2022","184,30","184,30","184,30","184,30","0,01K","-2,59%"
"08/06/2022","189,20","189,20","189,20","189,20","0,01K","3,98%"
"07/06/2022","181,95","181,95","181,95","181,95","0,05K","3,97%"
"02/06/2022","175,00","175,00","175,00","175,00","0,08K","-3,23%"
"30/05/2022","180,85","180,85","180,85","180,85","0,02K","-0,41%"
"27/05/2022","181,60","181,60","181,60","181,60","0,04K","0,00%"
"16/05/2022","181,60","181,60","181,60","181,60","0,80K","-3,92%"
"11/05/2022","189,00","189,00","189,00","189,00","0,04K","-0,53%"
"04/05/2022","190,00","190,00","190,00","190,00","0,01K","0,42%"
"20/04/2022","189,20","189,20","189,20","189,20","0,00K","0,03%"
"19/04/2022","189,15","189,15","189,15","189,15","0,04K","-3,98%"
"15/04/2022","197,00","197,00","197,00","197,00","0,00K","-0,20%"
"01/04/2022","197,40","197,40","197,40","197,40","0,02K","0,15%"
"31/03/2022","197,10","197,10","197,10","197,10","0,01K","-1,43%"
"29/03/2022","199,95","199,95","199,95","199,95","0,02K","1,39%"
"28/03/2022","197,20","197,20","197,20","197,20","0,01K","3,79%"
"25/03/2022","190,00","190,00","190,00","190,00","0,07K","0,00%"
"24/03/2022","190,00","190,00","190,00","190,00","0,04K","0,00%"
"23/03/2022","190,00","190,00","190,00","190,00","0,05K","-1,04%"
"21/03/2022","192,00","192,00","192,00","192,00","0,02K","-1,49%"
"17/03/2022","194,90","194,90","194,90","194,90","0,04K","0,00%"
"14/03/2022","194,90","194,90","194,90","194,90","0,04K","-3,99%"
"11/03/2022","203,00","203,00","203,00","203,00","0,01K","3,02%"
"10/03/2022","197,05","197,05","197,05","197,05","0,01K","-2,93%"
"09/03/2022","203,00","203,00","203,00","203,00","0,04K","3,73%"
"08/03/2022","195,70","195,70","195,70","195,70","0,01K","3,99%"
"07/03/2022","188,20","188,20","188,20","188,20","0,08K","-3,73%"
"04/03/2022","195,50","195,50","195,50","195,50","0,02K","-1,98%"
"03/03/2022","199,45","199,45","199,45","199,45","0,15K","-4,00%"
"02/03/2022","207,75","207,75","207,75","207,75","0,52K","3,88%"
"25/02/2022","200,00","200,00","200,00","200,00","0,15K","0,88%"
"24/02/2022","198,25","198,25","198,25","198,25","0,10K","-1,37%"
"22/02/2022","201,00","201,00","201,00","201,00","0,18K","0,50%"
"21/02/2022","200,00","200,00","200,00","200,00","0,10K","0,91%"
"18/02/2022","198,20","198,20","198,20","198,20","0,10K","-3,27%"
"16/02/2022","204,90","204,90","204,90","204,90","0,01K","-0,05%"
"15/02/2022","205,00","205,00","205,00","205,00","0,00K","2,32%"
"11/02/2022","200,35","200,35","200,35","200,35","0,01K","0,02%"
"09/02/2022","200,30","200,30","200,30","200,30","0,02K","-2,29%"
"08/02/2022","205,00","205,00","205,00","205,00","0,00K","0,00%"
"02/02/2022","205,00","205,00","205,00","205,00","0,08K","2,45%"
"31/01/2022","200,10","200,10","200,10","200,10","0,16K","-0,45%"
"28/01/2022","201,00","201,00","201,00","201,00","0,01K","0,00%"
"27/01/2022","201,00","201,00","201,00","201,00","0,10K","0,50%"
"25/01/2022","200,00","200,00","200,00","200,00","0,06K","-3,33%"
"19/01/2022","206,90","206,90","206,90","206,90","0,01K","3,45%"
"06/01/2022","200,00","200,00","200,00","200,00","0,04K","-4,17%"
"29/12/2021","208,70","198,10","208,70","198,10","0,04K","1,80%"
"28/12/2021","205,00","205,00","205,00","205,00","33,45K","-1,91%"
"27/12/2021","209,00","209,00","209,00","209,00","0,01K","1,95%"
"24/12/2021","205,00","205,00","205,00","204,90","32,56K","5,13%"
"23/12/2021","195,00","195,00","195,00","195,00","0,05K","-0,56%"
"22/12/2021","196,10","196,10","196,10","196,10","0,00K","0,05%"
"21/12/2021","196,00","197,10","197,10","196,00","0,08K","-0,51%"
"20/12/2021","197,00","197,00","197,00","197,00","0,01K","-1,97%"
"17/12/2021","200,95","200,05","200,95","200,05","0,40K","0,45%"
"16/12/2021","200,05","200,05","200,05","200,05","0,11K","0,03%"
"07/12/2021","200,00","200,00","200,00","200,00","0,05K","1,01%"
"02/12/2021","198,00","201,05","201,05","198,00","0,07K","-1,00%"
"29/11/2021","200,00","200,00","200,00","200,00","0,13K","0,00%"
"26/11/2021","200,00","200,00","200,00","200,00","0,20K","-1,96%"
"08/11/2021","204,00","204,00","204,00","204,00","0,05K","-2,86%"
"04/11/2021","210,00","209,00","210,00","197,00","14,01K","0,89%"
"03/11/2021","208,15","220,00","220,00","208,15","0,01K","-4,74%"
"02/11/2021","218,50","217,95","218,50","217,95","0,11K","-0,68%"
"01/11/2021","220,00","215,00","220,00","209,00","0,36K","3,21%"
"29/10/2021","213,15","213,15","213,15","213,15","0,05K","-2,98%"
"28/10/2021","219,70","210,00","219,70","210,00","0,05K","-0,14%"
"27/10/2021","220,00","211,35","220,00","210,00","0,48K","1,85%"
"26/10/2021","216,00","216,00","216,00","216,00","0,01K","1,89%"
"25/10/2021","212,00","212,00","212,00","212,00","0,06K","-2,30%"
"21/10/2021","217,00","215,00","217,00","215,00","0,03K","0,93%"
"18/10/2021","215,00","215,00","215,00","215,00","0,01K","1,73%"
"15/10/2021","211,35","211,35","211,35","211,35","0,01K","0,00%"
"12/10/2021","211,35","211,40","211,40","211,35","0,02K","0,00%"
"11/10/2021","211,35","211,35","211,35","211,35","0,01K","-3,89%"
"07/10/2021","219,90","211,30","219,90","211,30","0,07K","-0,05%"
"06/10/2021","220,00","220,00","220,00","220,00","0,00K","-3,89%"
"01/10/2021","228,90","220,85","228,90","220,85","0,03K","-0,48%"
"30/09/2021","230,00","225,60","230,00","225,60","0,01K","1,95%"
"28/09/2021","225,60","221,90","225,60","221,90","0,01K","3,96%"
"27/09/2021","217,00","204,05","217,00","204,05","0,38K","2,26%"
"23/09/2021","212,20","212,20","212,20","212,20","0,25K","-3,94%"
"21/09/2021","220,90","220,90","220,90","220,90","0,02K","0,27%"
"17/09/2021","220,30","220,30","220,50","220,30","0,59K","-3,99%"
"16/09/2021","229,45","229,45","229,45","229,45","0,04K","-4,00%"
"13/09/2021","239,00","229,00","239,00","229,00","0,43K","0,21%"
"10/09/2021","238,50","237,00","239,00","230,00","0,15K","0,63%"
"09/09/2021","237,00","233,00","237,00","233,00","0,21K","1,28%"
"08/09/2021","234,00","230,00","234,00","230,00","0,34K","1,34%"
"06/09/2021","230,90","229,00","230,90","229,00","0,04K","0,83%"
"03/09/2021","229,00","223,00","229,00","223,00","0,05K","2,81%"
"02/09/2021","222,75","222,75","224,00","222,75","0,69K","-3,99%"
"01/09/2021","232,00","224,00","232,00","224,00","0,66K","3,57%"
"31/08/2021","224,00","216,00","224,35","216,00","0,39K","3,70%"
"30/08/2021","216,00","216,00","216,00","216,00","0,00K","-1,39%"
"27/08/2021","219,05","219,05","219,05","219,05","0,02K","-1,99%"
"26/08/2021","223,50","220,00","223,70","220,00","0,07K","3,86%"
"25/08/2021","215,20","207,00","215,20","207,00","0,07K","3,99%"
"24/08/2021","206,95","206,95","206,95","206,95","0,01K","3,99%"
"23/08/2021","199,00","199,00","199,00","199,00","0,02K","0,40%"
"18/08/2021","198,20","198,20","198,20","198,20","0,23K","0,00%"
"12/08/2021","198,20","198,20","198,20","198,20","0,04K","-3,97%"
"06/08/2021","206,40","206,40","206,60","206,40","3,80K","-3,98%"
"02/08/2021","214,95","206,20","214,95","206,00","6,04K","3,59%"
"28/07/2021","207,50","207,50","207,50","207,50","0,00K","0,12%"
"14/07/2021","207,25","218,00","218,00","207,25","0,00K","-3,60%"
"12/07/2021","215,00","215,00","215,00","215,00","0,00K","1,90%"
"09/07/2021","211,00","210,00","211,00","210,00","0,02K","1,93%"
"08/07/2021","207,00","207,00","207,00","207,00","0,02K","0,00%"
"06/07/2021","207,00","207,00","207,00","207,00","0,00K","0,00%"
"05/07/2021","207,00","206,00","210,00","206,00","0,23K","-1,43%"
"02/07/2021","210,00","210,00","210,00","210,00","0,50K","1,45%"
"29/06/2021","207,00","207,00","207,00","207,00","0,02K","-1,43%"
"28/06/2021","210,00","210,00","210,00","210,00","0,07K","0,00%"
"24/06/2021","210,00","213,00","213,00","210,00","0,64K","-1,41%"
"23/06/2021","213,00","213,00","213,00","213,00","0,02K","-0,02%"
"22/06/2021","213,05","214,00","214,00","213,05","0,07K","-0,44%"
"21/06/2021","214,00","215,10","215,10","214,00","0,07K","-1,83%"
"18/06/2021","218,00","214,00","218,00","214,00","0,01K","1,87%"
"17/06/2021","214,00","215,60","215,60","214,00","0,13K","-0,74%"
"16/06/2021","215,60","217,60","217,60","215,60","0,10K","-2,00%"
"15/06/2021","220,00","217,95","220,00","217,95","0,77K","0,99%"
"14/06/2021","217,85","216,00","217,85","216,00","0,52K","0,86%"
"11/06/2021","216,00","215,55","216,00","215,55","0,58K","0,93%"
"10/06/2021","214,00","213,00","214,00","213,00","0,03K","-1,38%"
"09/06/2021","217,00","211,20","217,00","211,20","0,41K","0,93%"
"08/06/2021","215,00","213,00","215,00","213,00","0,22K","1,65%"
"07/06/2021","211,50","214,00","214,50","210,00","0,40K","-1,40%"
"04/06/2021","214,50","214,00","214,50","214,00","0,03K","0,23%"
"03/06/2021","214,00","214,00","214,10","214,00","0,25K","-0,47%"
"02/06/2021","215,00","214,00","215,00","214,00","0,24K","0,44%"
"01/06/2021","214,05","214,60","214,60","214,00","0,32K","-2,24%"
