"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","1.035,00","1.035,00","1.035,00","1.035,00","0,01K","5,94%"
"10/11/2022","977,00","977,00","977,00","977,00","0,01K","-5,60%"
"09/11/2022","1.035,00","1.035,00","1.035,00","1.035,00","0,29K","0,98%"
"04/11/2022","1.025,00","1.025,00","1.025,00","1.025,00","0,40K","-1,91%"
"03/11/2022","1.045,00","1.050,00","1.050,00","1.045,00","0,06K","-0,48%"
"31/10/2022","1.050,00","1.050,00","1.050,00","1.050,00","0,01K","0,00%"
"28/10/2022","1.050,00","1.050,00","1.050,00","1.050,00","0,00K","0,00%"
"27/10/2022","1.050,00","1.050,00","1.050,00","1.050,00","0,26K","0,86%"
"26/10/2022","1.041,00","1.041,00","1.041,00","1.041,00","0,05K","-2,44%"
"24/10/2022","1.067,00","1.080,00","1.099,00","1.067,00","0,05K","1,33%"
"21/10/2022","1.053,00","1.100,00","1.100,00","1.053,00","0,27K","-5,98%"
"18/10/2022","1.120,00","1.120,00","1.120,00","1.120,00","0,06K","1,82%"
"17/10/2022","1.100,00","1.068,00","1.100,00","1.068,00","0,07K","0,00%"
"14/10/2022","1.100,00","1.075,00","1.100,00","1.070,00","0,11K","0,73%"
"07/10/2022","1.092,00","1.114,00","1.114,00","1.092,00","0,24K","-1,97%"
"06/10/2022","1.114,00","1.120,00","1.125,00","1.114,00","0,80K","-5,99%"
"05/10/2022","1.185,00","1.092,00","1.185,00","1.092,00","0,01K","4,96%"
"04/10/2022","1.129,00","1.129,00","1.129,00","1.129,00","0,06K","0,00%"
"30/09/2022","1.129,00","1.129,00","1.129,00","1.129,00","0,11K","-4,73%"
"29/09/2022","1.185,00","1.185,00","1.185,00","1.185,00","2,20K","-1,25%"
"28/09/2022","1.200,00","1.232,00","1.232,00","1.200,00","0,68K","-4,76%"
"27/09/2022","1.260,00","1.260,00","1.260,00","1.260,00","1,00K","-3,08%"
"26/09/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,50K","4,00%"
"23/09/2022","1.250,00","1.250,00","1.250,00","1.250,00","0,05K","-3,85%"
"22/09/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,55K","0,00%"
"21/09/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,55K","4,00%"
"20/09/2022","1.250,00","1.250,00","1.250,00","1.250,00","0,50K","2,21%"
"19/09/2022","1.223,00","1.223,00","1.223,00","1.223,00","0,05K","-5,92%"
"16/09/2022","1.300,00","1.220,00","1.300,00","1.220,00","0,65K","5,26%"
"15/09/2022","1.235,00","1.299,00","1.300,00","1.235,00","0,35K","-2,76%"
"14/09/2022","1.270,00","1.270,00","1.270,00","1.270,00","0,10K","0,00%"
"13/09/2022","1.270,00","1.270,00","1.270,00","1.270,00","0,20K","4,35%"
"12/09/2022","1.217,00","1.217,00","1.217,00","1.217,00","0,17K","-4,17%"
"09/09/2022","1.270,00","1.214,00","1.270,00","1.214,00","0,11K","0,00%"
"08/09/2022","1.270,00","1.270,00","1.270,00","1.270,00","0,10K","1,68%"
"07/09/2022","1.249,00","1.249,00","1.249,00","1.249,00","0,10K","4,08%"
"05/09/2022","1.200,00","1.200,00","1.200,00","1.200,00","0,10K","0,00%"
"02/09/2022","1.200,00","1.200,00","1.200,00","1.200,00","0,64K","-4,00%"
"31/08/2022","1.250,00","1.250,00","1.250,00","1.250,00","0,01K","4,17%"
"29/08/2022","1.200,00","1.261,00","1.265,00","1.200,00","1,55K","-4,76%"
"26/08/2022","1.260,00","1.260,00","1.260,00","1.260,00","0,10K","-3,08%"
"19/08/2022","1.300,00","1.264,00","1.300,00","1.243,00","0,20K","2,93%"
"17/08/2022","1.263,00","1.360,00","1.360,00","1.243,00","0,75K","-1,64%"
"16/08/2022","1.284,00","1.284,00","1.284,00","1.284,00","0,17K","-2,95%"
"15/08/2022","1.323,00","1.323,00","1.323,00","1.323,00","0,00K","5,84%"
"12/08/2022","1.250,00","1.250,00","1.250,00","1.250,00","0,33K","-3,85%"
"11/08/2022","1.300,00","1.300,00","1.300,00","1.300,00","0,03K","-2,26%"
"05/08/2022","1.330,00","1.330,00","1.330,00","1.330,00","0,02K","0,00%"
"21/07/2022","1.330,00","1.330,00","1.330,00","1.330,00","1,05K","0,00%"
"19/07/2022","1.330,00","1.330,00","1.330,00","1.330,00","1,50K","0,00%"
"18/07/2022","1.330,00","1.330,00","1.330,00","1.330,00","3,40K","-1,48%"
"14/07/2022","1.350,00","1.350,00","1.350,00","1.350,00","2,50K","-0,74%"
"13/07/2022","1.360,00","1.360,00","1.360,00","1.360,00","2,78K","3,42%"
"12/07/2022","1.315,00","1.315,00","1.315,00","1.315,00","0,49K","0,00%"
"06/07/2022","1.315,00","1.315,00","1.315,00","1.315,00","0,30K","0,00%"
"05/07/2022","1.315,00","1.315,00","1.315,00","1.315,00","0,25K","-2,59%"
"01/07/2022","1.350,00","1.350,00","1.350,00","1.350,00","0,03K","-3,57%"
"30/06/2022","1.400,00","1.400,00","1.400,00","1.400,00","0,70K","-1,41%"
"29/06/2022","1.420,00","1.420,00","1.420,00","1.420,00","2,00K","1,28%"
"24/06/2022","1.402,00","1.402,00","1.402,00","1.402,00","0,15K","-3,97%"
