"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"05/08/2015","133,50","141,00","141,00","133,50","3,76K","-5,99%"
"04/08/2015","142,00","140,50","142,00","140,00","2,19K","0,04%"
"03/08/2015","141,95","141,05","141,95","138,60","0,69K","1,32%"
"31/07/2015","140,10","143,00","146,00","140,10","2,47K","-1,62%"
"29/07/2015","142,40","141,00","142,70","141,00","0,17K","-0,28%"
"28/07/2015","142,80","142,90","142,90","140,00","0,82K","1,20%"
"27/07/2015","141,10","143,15","143,15","141,00","0,19K","-1,50%"
"24/07/2015","143,25","143,80","143,80","143,25","0,03K","-0,10%"
"23/07/2015","143,40","144,00","144,00","140,00","1,51K","2,43%"
"22/07/2015","140,00","140,50","140,50","140,00","2,35K","0,00%"
"21/07/2015","140,00","140,00","140,00","140,00","0,08K","-1,41%"
"20/07/2015","142,00","140,00","142,00","137,20","0,58K","1,43%"
"16/07/2015","140,00","140,00","140,50","140,00","2,53K","-3,15%"
"15/07/2015","144,55","145,85","145,85","140,00","1,75K","2,52%"
"14/07/2015","141,00","143,10","143,15","141,00","7,56K","-4,08%"
"13/07/2015","147,00","145,25","147,00","145,20","0,13K","-1,90%"
"10/07/2015","149,85","148,85","149,90","148,85","0,21K","4,06%"
"08/07/2015","144,00","145,00","145,00","144,00","0,23K","0,00%"
"07/07/2015","144,00","144,25","144,25","144,00","0,22K","-0,28%"
"06/07/2015","144,40","144,00","144,40","144,00","0,28K","-0,41%"
"03/07/2015","145,00","145,00","145,00","145,00","0,05K","1,40%"
"02/07/2015","143,00","144,10","144,10","143,00","0,60K","-3,99%"
"01/07/2015","148,95","149,00","149,90","144,00","0,85K","-0,70%"
"30/06/2015","150,00","143,30","150,00","143,30","2,01K","4,17%"
"29/06/2015","144,00","143,20","144,00","143,00","0,46K","0,56%"
"26/06/2015","143,20","155,00","155,00","143,00","4,16K","-5,79%"
"25/06/2015","152,00","146,00","153,00","146,00","6,08K","4,11%"
"24/06/2015","146,00","143,10","146,00","143,00","0,12K","2,10%"
"23/06/2015","143,00","142,10","143,00","142,10","0,05K","1,06%"
"22/06/2015","141,50","144,45","148,90","140,05","1,35K","0,35%"
"19/06/2015","141,00","141,00","141,05","141,00","0,20K","-0,70%"
"18/06/2015","142,00","143,00","143,00","142,00","0,05K","1,07%"
"17/06/2015","140,50","148,00","149,00","140,00","1,99K","-4,49%"
"16/06/2015","147,10","150,00","150,00","147,00","0,86K","-2,58%"
"15/06/2015","151,00","150,05","151,00","150,00","1,52K","0,67%"
"12/06/2015","150,00","151,00","152,90","150,00","0,33K","0,00%"
"11/06/2015","150,00","150,05","153,00","150,00","0,94K","-0,03%"
"10/06/2015","150,05","150,05","150,05","150,00","0,11K","0,03%"
"09/06/2015","150,00","152,00","152,00","150,00","2,99K","-1,96%"
"08/06/2015","153,00","156,00","156,00","150,00","5,14K","-1,29%"
"05/06/2015","155,00","155,00","155,00","154,00","0,40K","0,32%"
"04/06/2015","154,50","154,90","154,90","154,50","0,16K","1,64%"
"03/06/2015","152,00","153,00","155,00","150,05","0,71K","-0,23%"
"02/06/2015","152,35","155,00","155,00","152,25","0,27K","0,16%"
"01/06/2015","152,10","155,05","159,70","152,00","6,64K","-1,87%"
"28/05/2015","155,00","159,95","159,95","155,00","1,79K","-0,70%"
"27/05/2015","156,10","156,00","156,10","156,00","0,25K","-0,06%"
"26/05/2015","156,20","160,00","160,00","155,00","11,38K","-2,92%"
"25/05/2015","160,90","160,00","160,90","159,50","0,23K","0,81%"
"22/05/2015","159,60","161,95","161,95","159,60","0,45K","-1,75%"
"21/05/2015","162,45","161,45","163,00","159,00","0,75K","2,14%"
"20/05/2015","159,05","160,00","162,10","158,25","0,36K","-0,59%"
"19/05/2015","160,00","163,00","163,00","160,00","0,85K","-1,99%"
"18/05/2015","163,25","162,70","163,45","162,70","0,40K","3,78%"
"15/05/2015","157,30","157,20","159,00","157,20","1,19K","0,06%"
"14/05/2015","157,20","158,05","158,05","156,15","1,22K","-0,51%"
"13/05/2015","158,00","165,00","165,65","157,50","1,69K","-2,47%"
"12/05/2015","162,00","158,15","162,60","156,60","6,34K","3,18%"
"11/05/2015","157,00","160,00","166,00","155,00","0,49K","-2,85%"
"08/05/2015","161,60","168,00","170,00","161,60","2,48K","-4,83%"
"07/05/2015","169,80","167,80","176,75","167,80","6,88K","1,10%"
"06/05/2015","167,95","164,00","167,95","162,00","2,57K","4,97%"
"05/05/2015","160,00","160,00","164,00","160,00","4,69K","3,23%"
"04/05/2015","155,00","160,00","165,75","152,00","16,35K","-1,27%"
"30/04/2015","157,00","157,50","161,45","156,00","2,09K","-0,16%"
"29/04/2015","157,25","169,90","174,40","156,00","7,80K","-4,70%"
"28/04/2015","165,00","163,90","170,70","163,00","6,18K","1,85%"
"27/04/2015","162,00","158,00","162,40","158,00","1,63K","5,19%"
"24/04/2015","154,00","157,00","159,00","148,00","46,08K","-1,75%"
"23/04/2015","156,75","168,00","170,70","155,15","5,08K","-5,00%"
"22/04/2015","165,00","167,00","167,00","165,00","0,06K","-1,37%"
"21/04/2015","167,30","165,15","168,00","162,00","0,56K","1,33%"
"20/04/2015","165,10","166,00","170,00","165,10","0,52K","-3,39%"
"17/04/2015","170,90","170,90","170,90","165,10","0,32K","1,12%"
"16/04/2015","169,00","174,95","175,00","169,00","2,06K","-1,52%"
"15/04/2015","171,60","159,00","171,60","159,00","3,68K","10,00%"
"14/04/2015","156,00","155,40","159,00","155,00","5,28K","0,65%"
"13/04/2015","155,00","158,70","158,70","155,00","0,63K","-0,19%"
"10/04/2015","155,30","159,00","159,40","155,30","1,01K","0,19%"
"09/04/2015","155,00","159,50","159,50","155,00","0,28K","0,00%"
"08/04/2015","155,00","158,95","158,95","155,00","2,25K","-1,90%"
"07/04/2015","158,00","160,00","161,00","158,00","1,01K","-1,28%"
"06/04/2015","160,05","166,00","166,00","160,00","1,23K","2,01%"
"03/04/2015","156,90","151,00","156,90","150,50","1,52K","-1,85%"
"02/04/2015","159,85","160,00","168,75","150,40","8,86K","-0,09%"
"01/04/2015","160,00","167,20","168,00","160,00","4,00K","-3,61%"
"31/03/2015","166,00","172,90","172,90","166,00","0,72K","-3,99%"
"30/03/2015","172,90","173,00","173,00","170,00","0,35K","1,86%"
"27/03/2015","169,75","170,00","170,00","166,10","2,63K","-0,15%"
"26/03/2015","170,00","179,00","179,00","169,85","9,44K","-3,41%"
"25/03/2015","176,00","176,00","181,00","176,00","11,19K","-12,22%"
"23/03/2015","200,50","201,00","201,00","196,00","0,25K","0,25%"
"20/03/2015","200,00","190,00","200,00","190,00","0,74K","5,26%"
"19/03/2015","190,00","200,00","200,00","190,00","6,86K","-4,62%"
"18/03/2015","199,20","218,50","218,50","199,20","11,03K","-5,99%"
"17/03/2015","211,90","225,00","225,00","211,90","5,57K","-3,68%"
"16/03/2015","220,00","227,00","227,00","215,00","3,47K","0,00%"
"13/03/2015","220,00","222,00","222,00","220,00","3,36K","-0,90%"
"12/03/2015","222,00","229,00","229,00","222,00","6,30K","-3,90%"
"11/03/2015","231,00","235,00","235,00","230,10","0,31K","-2,90%"
"10/03/2015","237,90","229,25","240,00","229,25","4,31K","3,46%"
"09/03/2015","229,95","220,15","229,95","220,15","0,06K","4,48%"
"06/03/2015","220,10","222,00","232,00","220,10","2,83K","0,05%"
"05/03/2015","220,00","220,00","222,00","220,00","1,12K","2,23%"
"04/03/2015","215,20","215,10","215,20","215,00","2,73K","-0,83%"
"03/03/2015","217,00","213,50","217,55","213,50","0,44K","-0,46%"
"02/03/2015","218,00","216,00","218,00","216,00","0,32K","-0,91%"
"27/02/2015","220,00","218,50","220,00","216,05","0,79K","0,46%"
"26/02/2015","219,00","219,90","219,90","219,00","0,00K","-0,41%"
"25/02/2015","219,90","222,00","222,00","212,00","0,26K","4,19%"
"24/02/2015","211,05","221,00","221,00","211,00","8,59K","-2,06%"
"23/02/2015","215,50","218,00","220,00","215,50","4,73K","0,23%"
"20/02/2015","215,00","224,95","225,00","215,00","12,37K","-2,27%"
"19/02/2015","220,00","220,20","223,85","219,00","5,19K","-0,05%"
"18/02/2015","220,10","224,90","224,90","220,00","0,68K","0,11%"
"17/02/2015","219,85","232,50","232,50","219,85","4,96K","-4,41%"
"16/02/2015","230,00","236,00","236,00","230,00","1,08K","-2,13%"
"13/02/2015","235,00","234,00","235,85","234,00","0,84K","0,43%"
"12/02/2015","234,00","232,60","234,00","232,00","0,82K","0,00%"
"11/02/2015","234,00","234,00","235,00","232,00","0,10K","0,00%"
"10/02/2015","234,00","235,00","236,80","232,00","5,65K","-0,43%"
"09/02/2015","235,00","237,00","237,00","232,00","1,96K","0,00%"
"06/02/2015","235,00","234,95","237,50","234,00","0,62K","1,29%"
"05/02/2015","232,00","235,05","239,75","230,00","1,84K","-1,28%"
"04/02/2015","235,00","228,05","235,00","228,05","11,87K","2,20%"
"03/02/2015","229,95","224,05","230,00","224,05","2,89K","2,73%"
"02/02/2015","223,85","223,70","227,90","223,60","0,62K","0,11%"
"30/01/2015","223,60","226,20","228,50","223,60","3,77K","-1,11%"
"29/01/2015","226,10","225,10","226,10","225,10","0,19K","0,49%"
"28/01/2015","225,00","230,00","234,00","225,00","3,15K","-2,17%"
"27/01/2015","230,00","233,50","234,00","230,00","1,08K","-1,50%"
"26/01/2015","233,50","237,00","237,00","228,00","0,10K","2,86%"
"23/01/2015","227,00","228,00","234,00","226,25","8,16K","-1,30%"
"22/01/2015","230,00","234,00","238,90","230,00","10,05K","-4,17%"
"21/01/2015","240,00","239,85","244,50","235,00","2,42K","0,00%"
"20/01/2015","240,00","241,70","241,70","234,00","0,48K","2,56%"
"19/01/2015","234,00","240,00","240,00","232,60","5,38K","-4,49%"
"16/01/2015","245,00","240,00","245,00","230,50","4,91K","2,08%"
"15/01/2015","240,00","251,00","256,00","240,00","5,94K","-4,00%"
"14/01/2015","250,00","240,00","250,00","240,00","3,78K","4,17%"
"13/01/2015","240,00","247,05","249,95","240,00","4,35K","-5,47%"
"12/01/2015","253,90","245,60","253,90","245,60","0,04K","-0,16%"
"09/01/2015","254,30","250,00","254,40","242,00","0,50K","0,71%"
"08/01/2015","252,50","252,00","254,90","235,15","0,64K","3,27%"
"07/01/2015","244,50","244,00","244,50","240,00","0,26K","0,20%"
"06/01/2015","244,00","241,85","244,00","235,00","2,17K","2,87%"
"02/01/2015","237,20","241,00","244,00","235,05","5,86K","-1,58%"
"31/12/2014","241,00","247,00","248,00","240,00","4,05K","-3,60%"
"30/12/2014","250,00","251,30","254,95","250,00","2,71K","0,00%"
"29/12/2014","250,00","252,10","252,10","250,00","2,19K","0,00%"
"26/12/2014","250,00","264,00","264,00","250,00","11,10K","-5,29%"
"25/12/2014","263,95","263,95","263,95","263,95","0,02K","3,90%"
"24/12/2014","254,05","257,90","257,90","254,00","0,24K","0,81%"
"23/12/2014","252,00","251,15","259,70","251,15","1,25K","0,32%"
"22/12/2014","251,20","251,10","251,25","251,10","0,04K","0,40%"
"19/12/2014","250,20","265,00","265,00","250,20","2,53K","-3,77%"
"18/12/2014","260,00","261,00","267,95","260,00","6,74K","0,00%"
"17/12/2014","260,00","268,00","268,00","258,00","1,86K","2,36%"
"16/12/2014","254,00","254,00","259,00","254,00","2,62K","0,00%"
"15/12/2014","254,00","244,00","254,50","244,00","2,70K","5,72%"
"12/12/2014","240,25","250,00","262,00","240,25","52,25K","-23,26%"
"09/12/2014","313,05","318,00","318,00","313,05","6,56K","-5,99%"
"08/12/2014","333,00","333,05","333,05","333,00","0,18K","-2,06%"
"05/12/2014","340,00","333,25","340,00","333,10","1,15K","-1,16%"
"04/12/2014","344,00","335,00","344,00","332,00","4,35K","1,18%"
"03/12/2014","340,00","340,00","340,00","340,00","0,13K","0,00%"
"02/12/2014","340,00","333,05","340,00","333,00","0,47K","1,49%"
"01/12/2014","335,00","335,00","340,00","335,00","0,05K","0,00%"
"28/11/2014","335,00","345,00","345,00","335,00","6,09K","-2,90%"
"27/11/2014","345,00","340,00","345,00","335,20","2,06K","0,00%"
"26/11/2014","345,00","350,00","350,00","345,00","1,31K","-1,43%"
"25/11/2014","350,00","354,10","363,00","350,00","4,85K","-1,41%"
"24/11/2014","355,00","366,00","366,00","355,00","0,77K","-5,33%"
"21/11/2014","375,00","374,00","380,00","366,00","3,13K","2,18%"
"20/11/2014","367,00","351,10","375,00","351,10","11,76K","1,94%"
"19/11/2014","360,00","349,00","360,00","349,00","1,78K","-2,70%"
"17/11/2014","370,00","346,30","373,00","338,00","1,05K","3,06%"
"14/11/2014","359,00","355,05","359,00","350,00","0,70K","-0,80%"
"13/11/2014","361,90","356,00","361,90","355,50","0,41K","1,94%"
"12/11/2014","355,00","360,00","363,80","352,50","2,64K","1,43%"
"11/11/2014","350,00","345,00","358,00","338,00","8,26K","0,36%"
"10/11/2014","348,75","371,00","385,00","348,75","27,39K","-10,00%"
"07/11/2014","387,50","411,05","417,90","387,00","24,73K","-5,72%"
"05/11/2014","411,00","424,00","424,00","410,00","6,52K","-2,15%"
"04/11/2014","420,05","429,00","430,00","420,05","1,75K","-2,31%"
"03/11/2014","430,00","430,00","430,00","427,50","1,21K","0,00%"
"31/10/2014","430,00","431,00","439,85","415,05","3,82K","-1,15%"
"30/10/2014","435,00","435,00","438,00","430,00","1,89K","-0,46%"
"29/10/2014","437,00","431,00","437,00","431,00","1,00K","1,60%"
"28/10/2014","430,10","427,10","431,00","427,10","1,49K","-1,60%"
"27/10/2014","437,10","446,00","446,00","437,10","0,07K","0,00%"
"24/10/2014","437,10","444,90","452,00","437,10","3,91K","-1,13%"
"23/10/2014","442,10","430,50","448,00","422,00","7,14K","2,69%"
"22/10/2014","430,50","436,90","436,90","430,00","5,61K","-1,60%"
