"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","2.124,0","2.124,0","2.124,0","2.124,0","0,62K","-3,93%"
"10/11/2022","2.211,0","2.211,0","2.211,0","2.211,0","2,19K","0,00%"
"08/11/2022","2.211,0","2.211,0","2.211,0","2.211,0","1,00K","0,00%"
"04/11/2022","2.211,0","2.211,0","2.211,0","2.211,0","0,34K","-3,99%"
"31/10/2022","2.303,0","2.303,0","2.303,0","2.303,0","0,05K","-3,96%"
"26/10/2022","2.398,0","2.398,0","2.398,0","2.398,0","0,23K","-0,08%"
"21/10/2022","2.400,0","2.400,0","2.400,0","2.400,0","0,05K","0,00%"
"18/10/2022","2.400,0","2.400,0","2.400,0","2.400,0","0,45K","0,00%"
"14/10/2022","2.400,0","2.400,0","2.400,0","2.400,0","0,35K","2,04%"
"13/10/2022","2.352,0","2.352,0","2.352,0","2.352,0","0,35K","3,98%"
"11/10/2022","2.262,0","2.262,0","2.262,0","2.262,0","0,03K","-3,87%"
"07/10/2022","2.353,0","2.353,0","2.353,0","2.353,0","0,05K","0,00%"
"06/10/2022","2.353,0","2.353,0","2.353,0","2.353,0","0,06K","-3,96%"
"05/10/2022","2.450,0","2.450,0","2.450,0","2.450,0","0,00K","2,13%"
"03/10/2022","2.399,0","2.399,0","2.399,0","2.399,0","1,00K","3,99%"
"30/09/2022","2.307,0","2.307,0","2.307,0","2.307,0","1,40K","-3,92%"
"29/09/2022","2.401,0","2.401,0","2.401,0","2.401,0","0,74K","-3,96%"
"28/09/2022","2.500,0","2.500,0","2.500,0","2.500,0","0,00K","-3,85%"
"27/09/2022","2.600,0","2.600,0","2.600,0","2.600,0","0,90K","-1,96%"
"26/09/2022","2.652,0","2.652,0","2.652,0","2.652,0","0,30K","0,04%"
"23/09/2022","2.651,0","2.651,0","2.651,0","2.651,0","0,01K","0,00%"
"22/09/2022","2.651,0","2.651,0","2.651,0","2.651,0","2,93K","3,96%"
"21/09/2022","2.550,0","2.550,0","2.550,0","2.550,0","0,75K","4,00%"
"16/09/2022","2.452,0","2.452,0","2.452,0","2.452,0","0,02K","-2,62%"
"15/09/2022","2.518,0","2.518,0","2.518,0","2.518,0","0,09K","0,48%"
"09/09/2022","2.506,0","2.506,0","2.506,0","2.506,0","0,02K","0,44%"
"02/09/2022","2.495,0","2.495,0","2.495,0","2.495,0","0,13K","0,97%"
"31/08/2022","2.471,0","2.471,0","2.471,0","2.471,0","0,04K","0,82%"
"26/08/2022","2.451,0","2.451,0","2.451,0","2.451,0","0,02K","-0,20%"
"05/08/2022","2.456,0","2.456,0","2.456,0","2.456,0","0,82K","0,20%"
"03/08/2022","2.451,0","2.451,0","2.451,0","2.451,0","0,00K","-1,88%"
"27/07/2022","2.498,0","2.498,0","2.498,0","2.498,0","0,00K","-0,68%"
"18/07/2022","2.515,0","2.515,0","2.515,0","2.515,0","0,08K","0,56%"
"15/07/2022","2.501,0","2.501,0","2.501,0","2.501,0","1,25K","0,04%"
"12/07/2022","2.500,0","2.500,0","2.500,0","2.500,0","0,50K","-0,04%"
"07/07/2022","2.501,0","2.501,0","2.501,0","2.501,0","0,53K","0,16%"
"06/07/2022","2.497,0","2.497,0","2.497,0","2.497,0","0,01K","-0,12%"
"01/07/2022","2.500,0","2.500,0","2.500,0","2.500,0","0,87K","-0,99%"
"29/06/2022","2.525,0","2.525,0","2.525,0","2.525,0","0,25K","1,00%"
"24/06/2022","2.500,0","2.500,0","2.500,0","2.500,0","5,38K","-1,96%"
"23/06/2022","2.550,0","2.550,0","2.550,0","2.550,0","0,00K","-1,89%"
"22/06/2022","2.599,0","2.599,0","2.599,0","2.599,0","0,00K","-1,89%"
"21/06/2022","2.649,0","2.649,0","2.649,0","2.649,0","0,00K","1,88%"
"20/06/2022","2.600,0","2.600,0","2.600,0","2.600,0","0,50K","-1,63%"
"17/06/2022","2.643,0","2.643,0","2.643,0","2.643,0","0,52K","-1,71%"
"16/06/2022","2.689,0","2.689,0","2.689,0","2.689,0","0,52K","-3,96%"
"10/06/2022","2.800,0","2.800,0","2.800,0","2.800,0","0,44K","-1,75%"
"09/06/2022","2.850,0","2.850,0","2.850,0","2.850,0","0,03K","-0,31%"
"08/06/2022","2.859,0","2.859,0","2.859,0","2.859,0","0,44K","-0,73%"
"03/06/2022","2.880,0","2.880,0","2.880,0","2.880,0","0,18K","-0,66%"
"01/06/2022","2.899,0","2.899,0","2.899,0","2.899,0","0,08K","0,83%"
"30/05/2022","2.875,0","2.875,0","2.875,0","2.875,0","1,50K","-0,17%"
"27/05/2022","2.880,0","2.880,0","2.880,0","2.880,0","1,00K","-0,69%"
"26/05/2022","2.900,0","2.900,0","2.900,0","2.900,0","0,00K","0,00%"
"25/05/2022","2.900,0","2.900,0","2.900,0","2.900,0","1,00K","0,00%"
"24/05/2022","2.900,0","2.900,0","2.900,0","2.900,0","0,16K","-0,68%"
"19/05/2022","2.920,0","2.920,0","2.920,0","2.920,0","1,14K","0,59%"
"18/05/2022","2.903,0","2.903,0","2.903,0","2.903,0","2,00K","1,47%"
"16/05/2022","2.861,0","2.861,0","2.861,0","2.861,0","0,83K","-2,02%"
"10/05/2022","2.920,0","2.920,0","2.920,0","2.920,0","0,00K","0,00%"
"09/05/2022","2.920,0","2.920,0","2.920,0","2.920,0","1,00K","0,48%"
"06/05/2022","2.906,0","2.906,0","2.906,0","2.906,0","1,09K","-0,48%"
"26/04/2022","2.920,0","2.920,0","2.920,0","2.920,0","1,00K","0,69%"
"25/04/2022","2.900,0","2.900,0","2.900,0","2.900,0","","0,00%"
"22/04/2022","2.900,0","2.900,0","2.900,0","2.900,0","0,21K","1,75%"
"15/04/2022","2.850,0","2.850,0","2.850,0","2.850,0","0,23K","0,00%"
"14/04/2022","2.850,0","2.850,0","2.850,0","2.850,0","0,30K","-2,10%"
"08/04/2022","2.911,0","2.911,0","2.911,0","2.911,0","0,11K","3,96%"
"30/03/2022","2.800,0","2.800,0","2.800,0","2.800,0","1,40K","1,82%"
"28/03/2022","2.750,0","2.750,0","2.750,0","2.750,0","3,10K","-0,72%"
"25/03/2022","2.770,0","2.770,0","2.770,0","2.770,0","0,08K","1,09%"
"24/03/2022","2.740,0","2.740,0","2.740,0","2.740,0","0,52K","-0,58%"
"18/03/2022","2.756,0","2.756,0","2.756,0","2.756,0","0,12K","-0,68%"
"16/03/2022","2.775,0","2.775,0","2.775,0","2.775,0","0,12K","0,00%"
"11/03/2022","2.775,0","2.775,0","2.775,0","2.775,0","0,34K","0,00%"
"10/03/2022","2.775,0","2.775,0","2.775,0","2.775,0","1,90K","0,87%"
"09/03/2022","2.751,0","2.751,0","2.751,0","2.751,0","0,10K","0,22%"
"08/03/2022","2.745,0","2.745,0","2.745,0","2.745,0","0,01K","0,29%"
"07/03/2022","2.737,0","2.737,0","2.737,0","2.737,0","0,15K","0,00%"
"04/03/2022","2.737,0","2.737,0","2.737,0","2.737,0","0,85K","-3,96%"
"28/02/2022","2.850,0","2.850,0","2.850,0","2.850,0","0,10K","-3,81%"
"25/02/2022","2.963,0","2.963,0","2.963,0","2.963,0","0,00K","3,96%"
"24/02/2022","2.850,0","2.850,0","2.850,0","2.850,0","3,00K","-1,72%"
"23/02/2022","2.900,0","2.900,0","2.900,0","2.900,0","0,01K","0,35%"
"22/02/2022","2.890,0","2.890,0","2.890,0","2.890,0","0,25K","-3,99%"
"15/02/2022","3.010,0","3.010,0","3.010,0","3.010,0","1,00K","-1,25%"
"14/02/2022","3.048,0","3.048,0","3.048,0","3.048,0","0,55K","0,00%"
"11/02/2022","3.048,0","3.048,0","3.048,0","3.048,0","0,13K","0,00%"
"08/02/2022","3.048,0","3.048,0","3.048,0","3.048,0","1,55K","-0,07%"
"04/02/2022","3.050,0","3.050,0","3.050,0","3.050,0","0,95K","0,00%"
"02/02/2022","3.050,0","3.050,0","3.050,0","3.050,0","3,38K","1,67%"
"25/01/2022","3.000,0","3.000,0","3.000,0","3.000,0","0,15K","0,00%"
"24/01/2022","3.000,0","3.000,0","3.000,0","3.000,0","0,00K","0,00%"
"20/01/2022","3.000,0","3.000,0","3.000,0","3.000,0","0,30K","-3,82%"
"19/01/2022","3.119,0","3.119,0","3.119,0","3.119,0","0,00K","3,97%"
"18/01/2022","3.000,0","3.000,0","3.000,0","3.000,0","1,92K","0,67%"
"17/01/2022","2.980,0","2.980,0","2.980,0","2.980,0","1,10K","0,00%"
"14/01/2022","2.980,0","2.980,0","2.980,0","2.980,0","0,08K","4,23%"
"07/01/2022","2.859,0","2.859,0","2.859,0","2.859,0","0,06K","0,00%"
"06/01/2022","2.859,0","2.859,0","2.859,0","2.859,0","0,06K","0,00%"
"05/01/2022","2.859,0","2.859,0","2.859,0","2.859,0","0,00K","-0,03%"
"31/12/2021","2.860,0","2.820,0","2.860,0","2.820,0","3,05K","1,42%"
"30/12/2021","2.820,0","2.850,0","2.850,0","2.820,0","0,91K","0,00%"
"29/12/2021","2.820,0","2.820,0","2.820,0","2.820,0","0,36K","-0,88%"
"28/12/2021","2.845,0","2.845,0","2.845,0","2.845,0","0,05K","0,00%"
"24/12/2021","2.845,0","2.845,0","2.845,0","2.845,0","24,46K","0,89%"
"22/12/2021","2.820,0","2.820,0","2.820,0","2.820,0","2,00K","0,71%"
"21/12/2021","2.800,0","2.800,0","2.800,0","2.800,0","0,24K","-0,04%"
"17/12/2021","2.801,0","2.801,0","2.801,0","2.801,0","0,22K","-0,67%"
"15/12/2021","2.820,0","2.820,0","2.820,0","2.820,0","0,28K","2,88%"
"14/12/2021","2.741,0","2.800,0","2.800,0","2.735,0","0,20K","-2,11%"
"10/12/2021","2.800,0","2.800,0","2.800,0","2.800,0","0,14K","1,82%"
"08/12/2021","2.750,0","2.750,0","2.750,0","2.750,0","1,55K","-4,51%"
"03/12/2021","2.880,0","2.880,0","2.880,0","2.880,0","0,08K","5,42%"
"26/11/2021","2.732,0","2.732,0","2.732,0","2.732,0","0,13K","0,59%"
"12/11/2021","2.716,0","2.716,0","2.716,0","2.716,0","0,01K","-0,51%"
"11/11/2021","2.730,0","2.730,0","2.900,0","2.730,0","1,20K","-1,30%"
