"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","535,00","539,90","543,00","530,00","1,13K","1,71%"
"11/11/2022","526,00","530,00","530,00","513,00","6,60K","-0,75%"
"10/11/2022","530,00","550,00","550,00","525,00","2,16K","-3,51%"
"09/11/2022","549,30","557,00","557,00","549,30","0,51K","-1,03%"
"08/11/2022","555,00","560,00","566,80","545,00","0,17K","-0,89%"
"07/11/2022","560,00","570,00","570,00","549,00","9,58K","0,90%"
"04/11/2022","555,00","577,10","580,00","555,00","10,23K","-3,81%"
"03/11/2022","577,00","585,70","590,00","577,00","0,13K","-2,20%"
"02/11/2022","590,00","591,00","595,60","585,60","0,33K","-0,84%"
"01/11/2022","595,00","598,80","603,00","579,10","0,45K","2,06%"
"31/10/2022","583,00","569,00","583,00","569,00","0,21K","2,28%"
"28/10/2022","570,00","598,00","599,80","570,00","4,42K","-1,72%"
"27/10/2022","580,00","574,80","600,00","574,80","6,50K","1,75%"
"26/10/2022","570,00","566,00","575,00","555,00","1,46K","3,64%"
"25/10/2022","550,00","539,00","558,30","527,00","1,19K","4,36%"
"24/10/2022","527,00","525,00","550,00","525,00","3,79K","-2,41%"
"21/10/2022","540,00","549,00","562,00","535,00","18,71K","-3,57%"
"20/10/2022","560,00","590,00","594,00","560,00","2,56K","-5,88%"
"19/10/2022","595,00","595,50","600,00","595,00","0,17K","-0,83%"
"18/10/2022","600,00","615,10","616,00","595,00","0,73K","-2,49%"
"17/10/2022","615,30","632,00","640,00","615,00","3,20K","-3,86%"
"14/10/2022","640,00","640,00","640,00","635,00","0,11K","0,00%"
"13/10/2022","640,00","645,00","659,00","640,00","0,27K","-1,69%"
"12/10/2022","651,00","651,00","651,00","651,00","0,00K","-0,61%"
"11/10/2022","655,00","656,00","666,90","650,00","0,19K","0,00%"
"07/10/2022","655,00","665,00","665,00","655,00","0,07K","-1,95%"
"06/10/2022","668,00","666,00","668,00","650,00","3,02K","3,21%"
"05/10/2022","647,20","669,00","669,00","647,20","0,16K","-2,97%"
"04/10/2022","667,00","650,00","667,00","631,50","2,25K","2,62%"
"03/10/2022","650,00","645,00","650,00","645,00","0,03K","0,00%"
"30/09/2022","650,00","621,10","650,00","621,10","13,97K","2,04%"
"29/09/2022","637,00","656,00","656,00","633,00","2,56K","-2,90%"
"28/09/2022","656,00","660,00","669,80","656,00","3,43K","-2,81%"
"27/09/2022","675,00","690,00","690,00","660,00","0,85K","-1,46%"
"26/09/2022","685,00","692,00","692,00","678,00","1,76K","-0,87%"
"23/09/2022","691,00","703,00","709,00","691,00","5,52K","-2,26%"
"22/09/2022","707,00","700,00","708,00","700,00","0,14K","1,00%"
"21/09/2022","700,00","719,00","719,40","695,00","2,82K","-2,71%"
"20/09/2022","719,50","700,00","719,50","693,10","1,05K","2,79%"
"19/09/2022","700,00","711,00","730,00","686,10","3,86K","-3,98%"
"16/09/2022","729,00","760,00","775,00","729,00","5,13K","-4,58%"
"15/09/2022","764,00","749,50","767,00","748,00","1,68K","1,87%"
"14/09/2022","750,00","750,00","750,00","744,00","0,04K","0,51%"
"13/09/2022","746,20","750,00","757,90","746,20","0,15K","-0,51%"
"12/09/2022","750,00","747,00","759,00","745,00","1,23K","0,52%"
"09/09/2022","746,10","760,00","768,00","740,00","1,13K","-1,60%"
"08/09/2022","758,20","760,10","766,00","758,20","0,37K","-1,02%"
"07/09/2022","766,00","769,50","769,50","760,20","0,36K","-0,52%"
"06/09/2022","770,00","775,00","776,00","750,00","1,84K","0,65%"
"05/09/2022","765,00","753,00","775,00","750,00","4,50K","2,51%"
"02/09/2022","746,30","759,90","760,00","746,30","0,19K","-0,49%"
"01/09/2022","750,00","749,00","750,00","735,00","1,68K","1,20%"
"31/08/2022","741,10","750,00","750,00","740,00","0,24K","-1,19%"
"30/08/2022","750,00","753,10","755,50","737,50","1,80K","-2,47%"
"29/08/2022","769,00","751,00","769,00","750,00","0,46K","2,53%"
"26/08/2022","750,00","740,00","755,00","735,00","3,07K","1,74%"
"25/08/2022","737,20","735,10","755,00","735,00","0,14K","-1,05%"
"24/08/2022","745,00","753,50","753,50","733,00","5,50K","-1,72%"
"23/08/2022","758,00","764,00","764,00","758,00","0,15K","-0,66%"
"22/08/2022","763,00","761,80","776,00","755,00","0,42K","0,73%"
"19/08/2022","757,50","759,60","759,60","748,10","0,12K","1,54%"
"18/08/2022","746,00","753,00","762,00","741,00","0,67K","-1,84%"
"17/08/2022","760,00","761,00","761,10","760,00","1,04K","-0,26%"
"16/08/2022","762,00","764,10","765,10","762,00","0,25K","-1,04%"
