"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"10/11/2022","579,90","587,00","587,00","579,90","0,05K","-1,39%"
"08/11/2022","588,10","589,10","589,10","588,10","0,01K","0,02%"
"04/11/2022","588,00","588,50","588,50","588,00","0,01K","0,32%"
"03/11/2022","586,10","586,10","586,10","586,10","0,00K","-5,47%"
"01/11/2022","620,00","583,10","620,00","583,10","0,04K","0,00%"
"28/10/2022","620,00","580,00","620,00","580,00","0,05K","4,03%"
"27/10/2022","596,00","596,50","596,50","596,00","0,01K","-0,67%"
"26/10/2022","600,00","600,00","600,00","600,00","0,01K","0,00%"
"21/10/2022","600,00","600,00","600,00","600,00","0,00K","-1,64%"
"18/10/2022","610,00","610,00","610,00","610,00","0,01K","-0,02%"
"14/10/2022","610,10","625,00","625,00","610,00","0,01K","-2,85%"
"12/10/2022","628,00","628,00","628,00","628,00","0,00K","0,16%"
"06/10/2022","627,00","627,10","627,50","627,00","0,01K","-2,03%"
"04/10/2022","640,00","640,00","640,00","640,00","0,00K","-3,03%"
"30/09/2022","660,00","660,00","660,00","660,00","0,97K","0,89%"
"29/09/2022","654,20","654,20","654,20","654,20","0,00K","-5,99%"
"20/09/2022","695,90","690,00","695,90","690,00","0,03K","-0,14%"
"19/09/2022","696,90","696,90","696,90","696,90","0,01K","-0,44%"
"16/09/2022","700,00","700,00","700,00","700,00","0,04K","5,42%"
"08/09/2022","664,00","630,50","664,00","628,00","0,01K","5,73%"
"31/08/2022","628,00","631,00","631,00","628,00","0,02K","-0,33%"
"26/08/2022","630,10","630,10","630,10","630,10","0,00K","0,32%"
"25/08/2022","628,10","628,00","628,10","628,00","1,02K","-0,30%"
"24/08/2022","630,00","627,50","630,00","627,50","0,00K","0,56%"
"18/08/2022","626,50","626,50","626,50","626,50","0,00K","0,24%"
"17/08/2022","625,00","630,00","630,00","625,00","0,01K","-0,79%"
"16/08/2022","630,00","630,00","630,00","630,00","0,00K","0,77%"
"15/08/2022","625,20","625,20","625,20","625,20","0,00K","0,51%"
"10/08/2022","622,00","622,00","622,00","622,00","0,00K","0,32%"
"09/08/2022","620,00","620,00","620,00","620,00","0,14K","-3,28%"
"08/08/2022","641,00","697,90","697,90","641,00","0,01K","-5,74%"
"05/08/2022","680,00","620,00","680,00","620,00","0,07K","5,92%"
"28/07/2022","642,00","635,00","642,00","635,00","0,01K","2,74%"
"27/07/2022","624,90","616,10","624,90","616,10","0,00K","1,59%"
"26/07/2022","615,10","615,10","615,10","615,10","0,01K","-3,13%"
"20/07/2022","635,00","635,00","635,00","635,00","0,01K","3,25%"
"06/07/2022","615,00","615,00","615,00","615,00","0,01K","1,32%"
"04/07/2022","607,00","600,00","607,00","600,00","0,04K","1,17%"
"01/07/2022","600,00","600,00","600,00","600,00","0,00K","0,00%"
"28/06/2022","600,00","600,50","600,50","600,00","0,01K","-1,64%"
"24/06/2022","610,00","610,00","610,00","610,00","1,10K","0,00%"
"22/06/2022","610,00","610,00","610,00","610,00","0,01K","0,00%"
"21/06/2022","610,00","610,00","610,00","610,00","0,00K","0,00%"
"20/06/2022","610,00","610,00","610,00","610,00","0,00K","0,00%"
"17/06/2022","610,00","610,00","610,00","602,00","0,07K","0,00%"
"16/06/2022","610,00","612,60","612,60","610,00","0,09K","-2,40%"
"15/06/2022","625,00","625,00","625,00","625,00","1,00K","2,12%"
"14/06/2022","612,00","650,00","650,00","612,00","0,13K","-5,85%"
"10/06/2022","650,00","650,00","650,00","650,00","0,07K","-2,99%"
"08/06/2022","670,00","699,10","739,00","668,10","0,53K","-4,22%"
"07/06/2022","699,50","669,10","699,50","669,10","0,01K","-2,85%"
"06/06/2022","720,00","720,00","720,00","710,00","0,37K","2,71%"
"03/06/2022","701,00","717,50","720,00","700,00","0,03K","0,14%"
"02/06/2022","700,00","700,00","718,00","700,00","0,38K","2,94%"
"30/05/2022","680,00","690,00","690,00","680,00","0,01K","-1,45%"
"26/05/2022","690,00","690,20","690,20","690,00","0,20K","0,73%"
"25/05/2022","685,00","690,50","690,50","685,00","0,04K","-2,14%"
"24/05/2022","700,00","700,00","700,00","700,00","0,16K","-2,78%"
"23/05/2022","720,00","705,00","720,00","705,00","0,11K","0,00%"
"20/05/2022","720,00","715,00","720,00","705,00","0,09K","1,27%"
"19/05/2022","711,00","711,00","711,00","711,00","0,10K","0,85%"
"16/05/2022","705,00","705,00","705,00","705,00","0,01K","-3,56%"
"12/05/2022","731,00","730,00","731,00","710,00","0,95K","5,94%"
"11/05/2022","690,00","720,00","720,00","690,00","0,10K","-4,56%"
"10/05/2022","723,00","723,00","723,00","723,00","0,00K","0,00%"
"09/05/2022","723,00","724,00","724,00","723,00","0,01K","-0,96%"
"06/05/2022","730,00","725,00","730,00","725,00","0,26K","-0,68%"
"05/05/2022","735,00","730,00","735,00","730,00","0,20K","1,80%"
"29/04/2022","722,00","722,00","722,00","722,00","0,01K","0,28%"
"28/04/2022","720,00","721,00","721,00","720,00","0,08K","0,00%"
"26/04/2022","720,00","720,00","720,00","720,00","0,01K","0,00%"
