"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","1.410,00","1.396,00","1.410,00","1.396,00","0,00K","1,81%"
"10/11/2022","1.385,00","1.385,00","1.385,00","1.385,00","0,02K","-1,00%"
"09/11/2022","1.399,00","1.400,00","1.400,00","1.399,00","0,02K","-1,13%"
"07/11/2022","1.415,00","1.316,00","1.415,00","1.316,00","0,02K","2,54%"
"04/11/2022","1.380,00","1.320,00","1.380,00","1.316,00","0,82K","4,86%"
"03/11/2022","1.316,00","1.316,00","1.316,00","1.316,00","0,01K","-2,81%"
"01/11/2022","1.354,00","1.354,00","1.354,00","1.354,00","0,00K","2,97%"
"31/10/2022","1.315,00","1.315,00","1.315,00","1.315,00","0,01K","-0,15%"
"28/10/2022","1.317,00","1.317,00","1.341,00","1.317,00","4,46K","-1,86%"
"27/10/2022","1.342,00","1.342,00","1.342,00","1.342,00","0,17K","-0,59%"
"26/10/2022","1.350,00","1.360,00","1.368,00","1.350,00","0,02K","0,00%"
"25/10/2022","1.350,00","1.350,00","1.350,00","1.350,00","0,00K","4,57%"
"24/10/2022","1.291,00","1.293,00","1.293,00","1.291,00","0,05K","0,00%"
"21/10/2022","1.291,00","1.320,00","1.392,00","1.291,00","0,08K","-5,97%"
"20/10/2022","1.373,00","1.400,00","1.400,00","1.373,00","0,16K","-5,96%"
"14/10/2022","1.460,00","1.401,00","1.460,00","1.400,00","0,02K","0,76%"
"13/10/2022","1.449,00","1.400,00","1.449,00","1.400,00","0,02K","-2,09%"
"07/10/2022","1.480,00","1.480,00","1.480,00","1.480,00","0,01K","3,86%"
"04/10/2022","1.425,00","1.440,00","1.440,00","1.400,00","0,01K","0,42%"
"03/10/2022","1.419,00","1.419,00","1.419,00","1.419,00","0,00K","5,11%"
"30/09/2022","1.350,00","1.380,00","1.380,00","1.350,00","0,24K","-2,17%"
"29/09/2022","1.380,00","1.380,00","1.440,00","1.378,00","0,04K","-1,43%"
"28/09/2022","1.400,00","1.490,00","1.490,00","1.400,00","0,79K","-1,41%"
"27/09/2022","1.420,00","1.500,00","1.574,00","1.420,00","0,21K","-5,33%"
"23/09/2022","1.500,00","1.594,00","1.619,00","1.500,00","1,15K","-4,94%"
"22/09/2022","1.578,00","1.584,00","1.587,00","1.541,00","0,88K","5,34%"
"21/09/2022","1.498,00","1.499,00","1.499,00","1.496,00","0,01K","0,00%"
"20/09/2022","1.498,00","1.499,00","1.499,00","1.498,00","0,03K","0,20%"
"19/09/2022","1.495,00","1.490,00","1.495,00","1.490,00","0,01K","4,47%"
"16/09/2022","1.431,00","1.431,00","1.431,00","1.431,00","0,01K","-2,65%"
"15/09/2022","1.470,00","1.470,00","1.470,00","1.470,00","0,00K","-1,34%"
"14/09/2022","1.490,00","1.490,00","1.490,00","1.490,00","0,01K","3,98%"
"13/09/2022","1.433,00","1.494,00","1.499,00","1.433,00","0,10K","-4,40%"
"12/09/2022","1.499,00","1.469,00","1.499,00","1.469,00","0,05K","2,60%"
"09/09/2022","1.461,00","1.461,00","1.461,00","1.461,00","0,02K","-2,60%"
"06/09/2022","1.500,00","1.463,00","1.500,00","1.463,00","0,14K","2,04%"
"31/08/2022","1.470,00","1.470,00","1.470,00","1.470,00","0,01K","3,89%"
"30/08/2022","1.415,00","1.410,00","1.415,00","1.410,00","0,01K","0,35%"
"29/08/2022","1.410,00","1.402,00","1.410,00","1.400,00","0,03K","0,36%"
"26/08/2022","1.405,00","1.397,00","1.405,00","1.397,00","1,01K","-2,90%"
"24/08/2022","1.447,00","1.396,00","1.447,00","1.396,00","0,18K","2,48%"
"23/08/2022","1.412,00","1.407,00","1.412,00","1.407,00","0,23K","-3,62%"
"19/08/2022","1.465,00","1.465,00","1.465,00","1.465,00","0,02K","4,57%"
"18/08/2022","1.401,00","1.402,00","1.402,00","1.400,00","0,04K","-5,72%"
"15/08/2022","1.486,00","1.450,00","1.486,00","1.411,00","0,02K","-0,80%"
"12/08/2022","1.498,00","1.480,00","1.498,00","1.480,00","0,01K","5,12%"
