"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","11,28","11,28","11,28","11,28","","-5,92%"
"14/11/2022","11,99","11,99","11,99","11,99","0,01K","5,92%"
"11/11/2022","11,32","11,30","12,00","11,30","0,30K","-5,67%"
"10/11/2022","12,00","12,28","12,28","12,00","0,33K","-3,15%"
"08/11/2022","12,39","12,15","12,39","12,10","1,19K","-0,08%"
"07/11/2022","12,40","12,40","12,40","12,40","0,02K","-0,72%"
"04/11/2022","12,49","12,07","12,49","12,07","0,09K","-0,24%"
"03/11/2022","12,52","12,30","12,52","12,30","0,31K","-0,24%"
"02/11/2022","12,55","12,03","12,56","12,03","0,24K","-0,24%"
"01/11/2022","12,58","12,06","12,58","12,01","3,31K","-0,87%"
"26/10/2022","12,69","12,70","12,70","12,69","0,02K","5,40%"
"25/10/2022","12,04","12,93","12,93","12,04","0,02K","-1,31%"
"24/10/2022","12,20","13,00","13,00","12,20","0,50K","-3,02%"
"21/10/2022","12,58","12,26","12,58","12,26","0,11K","-3,45%"
"20/10/2022","13,03","13,03","13,03","13,03","0,01K","1,01%"
"19/10/2022","12,90","12,50","12,90","12,50","0,11K","0,00%"
"18/10/2022","12,90","12,99","12,99","12,90","0,24K","-0,69%"
"17/10/2022","12,99","13,00","13,00","12,99","0,06K","-0,69%"
"14/10/2022","13,08","13,10","13,10","12,40","0,24K","-0,53%"
"13/10/2022","13,15","12,42","13,15","12,42","0,03K","0,00%"
"12/10/2022","13,15","12,80","13,15","12,80","0,06K","0,00%"
"11/10/2022","13,15","13,00","13,15","13,00","0,04K","1,15%"
"07/10/2022","13,00","12,38","13,17","12,38","1,18K","-1,29%"
"06/10/2022","13,17","13,17","13,17","13,17","0,01K","5,36%"
"05/10/2022","12,50","12,06","12,50","12,05","0,07K","4,08%"
"04/10/2022","12,01","12,77","13,23","12,01","1,66K","-3,84%"
"03/10/2022","12,49","12,67","12,67","12,49","0,09K","3,65%"
"30/09/2022","12,05","12,55","12,70","12,05","12,89K","-5,86%"
"29/09/2022","12,80","12,90","12,90","12,56","2,62K","-1,54%"
"28/09/2022","13,00","12,94","13,00","12,90","1,14K","0,31%"
"27/09/2022","12,96","13,37","13,37","12,96","1,25K","-3,07%"
"26/09/2022","13,37","13,02","13,40","12,90","0,72K","-0,37%"
"23/09/2022","13,42","13,33","13,97","13,33","0,59K","-5,02%"
"22/09/2022","14,13","14,17","14,17","13,11","0,26K","1,58%"
"21/09/2022","13,91","13,91","14,30","13,90","1,78K","-0,78%"
"20/09/2022","14,02","14,30","14,30","14,02","0,13K","0,14%"
"19/09/2022","14,00","14,00","14,65","14,00","11,31K","-5,08%"
"16/09/2022","14,75","14,50","14,95","14,30","7,48K","-1,14%"
"15/09/2022","14,92","14,92","14,92","14,50","25,12K","5,97%"
"14/09/2022","14,08","13,60","14,08","13,50","34,72K","5,94%"
"13/09/2022","13,29","12,84","13,48","12,84","1,12K","3,83%"
"12/09/2022","12,80","13,63","13,63","12,80","5,93K","-5,88%"
"09/09/2022","13,60","13,36","13,60","13,36","0,16K","0,89%"
"08/09/2022","13,48","13,40","13,50","13,00","1,80K","2,82%"
"07/09/2022","13,11","13,25","13,25","13,11","0,01K","-0,30%"
"06/09/2022","13,15","13,25","13,25","13,15","0,20K","1,08%"
"05/09/2022","13,01","13,25","13,25","13,00","0,50K","0,08%"
"02/09/2022","13,00","13,35","13,35","13,00","0,48K","-2,69%"
"01/09/2022","13,36","12,76","13,37","12,76","3,55K","-0,15%"
"31/08/2022","13,38","13,11","13,47","13,11","0,28K","2,06%"
"30/08/2022","13,11","13,08","13,47","13,08","0,15K","-3,53%"
"29/08/2022","13,59","13,49","13,63","13,49","0,40K","0,67%"
"26/08/2022","13,50","13,15","13,50","13,10","0,45K","-0,81%"
"25/08/2022","13,61","13,62","13,62","13,61","0,00K","-0,22%"
"24/08/2022","13,64","13,64","13,64","13,64","0,01K","4,68%"
"23/08/2022","13,03","13,67","13,67","12,91","0,92K","-4,12%"
"22/08/2022","13,59","13,66","13,66","13,21","0,48K","2,95%"
"19/08/2022","13,20","13,66","13,67","13,20","0,51K","-0,30%"
"18/08/2022","13,24","13,23","13,27","13,23","1,28K","-3,22%"
"17/08/2022","13,68","13,70","13,70","13,68","0,00K","-0,22%"
"16/08/2022","13,71","13,12","13,74","13,12","0,08K","-1,44%"
"15/08/2022","13,91","13,91","13,91","13,91","0,01K","0,00%"
"12/08/2022","13,91","12,93","13,95","12,93","1,15K","1,53%"
"11/08/2022","13,70","13,50","13,70","12,85","1,40K","2,70%"
"10/08/2022","13,34","13,07","13,45","12,54","1,60K","2,62%"
"09/08/2022","13,00","13,00","13,00","13,00","0,01K","-0,46%"
"08/08/2022","13,06","12,47","13,06","12,46","0,60K","-0,61%"
"05/08/2022","13,14","12,47","13,14","12,46","0,12K","5,54%"
"04/08/2022","12,45","12,40","12,45","12,40","0,62K","-5,61%"
"03/08/2022","13,19","13,22","13,22","13,19","0,06K","4,19%"
"02/08/2022","12,66","12,80","12,80","12,66","0,03K","-1,09%"
"01/08/2022","12,80","13,24","13,24","12,80","0,44K","-0,78%"
"29/07/2022","12,90","12,90","12,90","12,90","0,11K","-2,27%"
"27/07/2022","13,20","12,92","13,35","12,45","0,59K","2,17%"
"25/07/2022","12,92","13,50","13,50","12,92","0,11K","-4,72%"
"22/07/2022","13,56","13,56","13,56","13,56","0,01K","0,22%"
"21/07/2022","13,53","13,55","13,55","12,92","0,14K","2,58%"
"20/07/2022","13,19","12,90","13,19","12,90","0,18K","3,13%"
"19/07/2022","12,79","12,66","12,79","12,66","0,24K","1,03%"
"18/07/2022","12,66","12,66","12,66","12,66","0,02K","0,00%"
"15/07/2022","12,66","12,30","12,66","12,30","0,54K","0,00%"
"14/07/2022","12,66","12,66","12,66","12,66","0,01K","2,10%"
"13/07/2022","12,40","12,62","12,62","12,40","0,03K","-1,74%"
"12/07/2022","12,62","12,66","12,66","12,62","0,02K","0,00%"
"08/07/2022","12,62","12,63","12,63","12,61","1,34K","-0,08%"
"07/07/2022","12,63","12,64","12,64","12,35","0,21K","4,64%"
"06/07/2022","12,07","12,80","12,80","12,07","0,39K","-0,25%"
"05/07/2022","12,10","12,02","12,86","12,00","6,10K","-5,17%"
"04/07/2022","12,76","12,80","12,80","12,76","0,28K","-0,31%"
"01/07/2022","12,80","13,00","13,00","12,80","0,20K","-1,54%"
"30/06/2022","13,00","13,00","13,02","13,00","0,56K","-0,08%"
"29/06/2022","13,01","13,38","13,38","13,01","0,15K","-2,91%"
"27/06/2022","13,40","13,40","13,40","13,40","0,10K","-4,08%"
"22/06/2022","13,97","14,09","14,09","13,97","0,27K","4,33%"
"21/06/2022","13,39","14,00","14,00","13,36","0,15K","-5,37%"
"20/06/2022","14,15","14,15","14,15","14,15","0,09K","0,00%"
"17/06/2022","14,15","13,34","14,15","13,34","0,06K","0,14%"
"15/06/2022","14,13","13,61","14,13","13,50","0,15K","-0,42%"
"14/06/2022","14,19","14,00","14,19","13,79","1,25K","1,94%"
"13/06/2022","13,92","13,90","14,30","13,90","0,28K","-2,59%"
"10/06/2022","14,29","13,96","14,29","13,96","0,10K","-0,76%"
"09/06/2022","14,40","14,00","14,40","14,00","0,05K","0,35%"
"08/06/2022","14,35","14,35","14,35","14,35","0,02K","2,87%"
"07/06/2022","13,95","13,95","14,30","13,95","0,53K","-3,12%"
"06/06/2022","14,40","14,39","14,40","13,62","6,70K","2,56%"
"03/06/2022","14,04","14,15","14,48","13,50","1,70K","-0,78%"
"02/06/2022","14,15","13,50","14,15","13,50","0,05K","2,54%"
"01/06/2022","13,80","13,50","13,85","13,50","0,69K","0,29%"
"31/05/2022","13,76","13,85","13,85","13,00","0,06K","0,88%"
"30/05/2022","13,64","13,64","13,64","13,64","0,03K","0,00%"
"27/05/2022","13,64","13,60","13,66","13,10","5,24K","-0,29%"
"26/05/2022","13,68","13,11","13,85","13,11","0,04K","-1,37%"
"25/05/2022","13,87","13,37","13,87","13,36","0,89K","-0,50%"
"24/05/2022","13,94","13,98","13,98","13,94","0,18K","-0,29%"
"23/05/2022","13,98","13,99","13,99","13,98","0,01K","-0,36%"
"20/05/2022","14,03","14,06","14,06","13,34","0,23K","-0,14%"
"19/05/2022","14,05","14,05","14,05","14,05","0,01K","0,00%"
"18/05/2022","14,05","14,06","14,08","13,31","0,93K","-0,07%"
"17/05/2022","14,06","14,24","14,24","13,35","2,75K","4,61%"
"16/05/2022","13,44","13,44","13,44","13,44","0,57K","-5,95%"
"13/05/2022","14,29","14,29","14,29","14,29","0,00K","-0,07%"
"12/05/2022","14,30","14,20","14,30","13,52","3,15K","0,70%"
"11/05/2022","14,20","14,30","14,30","14,00","1,56K","1,43%"
"10/05/2022","14,00","14,38","14,38","14,00","0,44K","-1,41%"
"09/05/2022","14,20","14,39","14,39","14,06","0,29K","0,00%"
"06/05/2022","14,20","14,39","14,39","14,06","0,58K","-0,35%"
"05/05/2022","14,25","14,20","14,45","14,20","3,10K","0,35%"
"04/05/2022","14,20","14,04","14,60","14,02","0,93K","-1,05%"
"29/04/2022","14,35","14,39","14,39","14,02","1,03K","-0,07%"
"28/04/2022","14,36","14,02","14,36","14,02","2,82K","-0,83%"
"27/04/2022","14,48","14,02","14,48","14,02","0,11K","0,56%"
"26/04/2022","14,40","14,50","14,50","14,40","1,24K","1,41%"
"25/04/2022","14,20","14,50","14,50","14,15","1,39K","0,00%"
"22/04/2022","14,20","14,80","14,80","14,20","0,59K","-4,18%"
"21/04/2022","14,82","14,81","14,82","14,81","0,06K","0,07%"
"20/04/2022","14,81","14,50","14,81","14,40","0,24K","-0,07%"
"18/04/2022","14,82","14,40","14,82","14,40","0,10K","-0,13%"
"15/04/2022","14,84","14,40","14,84","14,40","0,39K","0,61%"
"14/04/2022","14,75","14,40","14,75","14,40","0,51K","0,07%"
"13/04/2022","14,74","14,32","14,74","14,30","0,64K","-0,67%"
"12/04/2022","14,84","14,65","14,84","14,40","1,18K","2,70%"
"11/04/2022","14,45","14,78","14,78","14,45","2,04K","-2,23%"
"08/04/2022","14,78","14,78","14,78","14,78","0,01K","-0,34%"
"07/04/2022","14,83","14,85","15,00","14,11","1,27K","-0,13%"
