"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","679,00","658,00","683,00","650,00","0,06K","0,59%"
"11/11/2022","675,00","675,00","675,00","660,00","0,16K","-0,74%"
"10/11/2022","680,00","680,00","684,90","656,10","0,76K","-0,73%"
"09/11/2022","685,00","685,00","685,00","685,00","1,52K","-0,58%"
"08/11/2022","689,00","677,00","689,00","675,00","0,20K","-0,14%"
"07/11/2022","690,00","680,00","690,00","677,00","0,05K","-0,12%"
"04/11/2022","690,80","677,30","690,80","677,00","0,04K","-0,60%"
"03/11/2022","695,00","680,00","695,00","680,00","0,01K","2,83%"
"02/11/2022","675,90","699,00","699,00","675,20","0,84K","-3,17%"
"01/11/2022","698,00","690,00","719,90","688,60","0,18K","-1,68%"
"31/10/2022","709,90","719,90","719,90","683,00","0,02K","2,74%"
"28/10/2022","691,00","706,00","732,00","691,00","2,47K","-2,68%"
"27/10/2022","710,00","734,90","734,90","710,00","0,83K","-3,40%"
"26/10/2022","735,00","709,50","739,00","709,50","0,28K","5,00%"
"25/10/2022","700,00","698,80","700,00","663,00","0,02K","5,90%"
"24/10/2022","661,00","699,00","716,80","661,00","0,29K","-5,44%"
"21/10/2022","699,00","700,00","716,80","699,00","2,04K","-0,85%"
"20/10/2022","705,00","691,00","712,90","671,50","2,40K","-1,26%"
"19/10/2022","714,00","700,00","720,00","700,00","0,76K","-1,52%"
"18/10/2022","725,00","738,90","740,00","725,00","1,46K","-3,07%"
"17/10/2022","748,00","728,20","760,00","725,00","1,49K","-2,72%"
"14/10/2022","768,90","755,00","768,90","750,00","1,51K","-1,17%"
"13/10/2022","778,00","760,00","778,00","760,00","0,07K","-0,26%"
"12/10/2022","780,00","760,00","784,60","760,00","0,02K","0,26%"
"11/10/2022","778,00","760,00","778,00","760,00","0,09K","2,37%"
"07/10/2022","760,00","762,60","762,70","760,00","3,30K","-3,17%"
"06/10/2022","784,90","761,50","794,70","761,50","1,65K","-0,65%"
"05/10/2022","790,00","788,00","790,00","765,00","0,06K","0,25%"
"04/10/2022","788,00","759,00","789,80","758,10","0,05K","-0,25%"
"03/10/2022","790,00","790,00","790,00","790,00","0,05K","3,95%"
"30/09/2022","760,00","775,10","798,90","755,00","2,41K","-4,76%"
"29/09/2022","798,00","773,00","809,90","770,00","2,45K","3,50%"
"28/09/2022","771,00","802,00","823,90","771,00","0,31K","-4,81%"
"27/09/2022","810,00","829,90","829,90","810,00","0,24K","-1,82%"
"26/09/2022","825,00","838,90","838,90","816,00","0,15K","-1,67%"
"23/09/2022","839,00","840,00","846,00","821,00","7,92K","0,00%"
"22/09/2022","839,00","812,10","841,00","812,10","0,76K","-0,12%"
"21/09/2022","840,00","820,00","848,00","820,00","4,15K","2,44%"
"20/09/2022","820,00","835,00","835,00","820,00","0,18K","-1,19%"
"19/09/2022","829,90","817,00","829,90","817,00","1,16K","-1,08%"
"16/09/2022","839,00","807,10","839,00","790,00","6,14K","1,15%"
"15/09/2022","829,50","835,00","835,00","805,60","5,90K","-1,00%"
"13/09/2022","837,90","830,00","837,90","800,00","1,75K","-0,24%"
"12/09/2022","839,90","840,00","840,00","820,00","0,08K","-0,90%"
"09/09/2022","847,50","830,00","848,70","826,00","5,15K","0,89%"
"08/09/2022","840,00","829,90","870,00","821,10","3,58K","1,20%"
"07/09/2022","830,00","815,10","830,00","810,00","0,02K","-0,47%"
"06/09/2022","833,90","815,00","833,90","814,00","0,05K","-1,30%"
"05/09/2022","844,90","838,00","844,90","816,00","0,62K","1,92%"
"02/09/2022","829,00","808,00","829,00","808,00","0,01K","-0,12%"
"01/09/2022","830,00","803,00","830,00","803,00","0,07K","0,00%"
"31/08/2022","830,00","812,00","830,00","812,00","0,02K","2,22%"
"30/08/2022","812,00","812,00","812,00","812,00","0,01K","-2,05%"
"26/08/2022","829,00","820,10","837,50","820,00","0,26K","-1,30%"
"25/08/2022","839,90","820,10","839,90","820,10","0,19K","1,19%"
"24/08/2022","830,00","820,10","830,00","820,00","0,15K","-1,04%"
"23/08/2022","838,70","820,00","838,70","820,00","0,05K","1,66%"
"22/08/2022","825,00","820,10","825,00","820,10","0,03K","-0,48%"
"19/08/2022","829,00","818,10","829,00","818,00","1,00K","-1,64%"
"18/08/2022","842,80","834,00","842,80","834,00","0,03K","0,83%"
"17/08/2022","835,90","815,00","835,90","815,00","0,09K","-0,25%"
"16/08/2022","838,00","810,10","838,00","810,10","0,02K","-0,70%"
"15/08/2022","843,90","845,00","845,00","810,00","0,04K","2,91%"
"12/08/2022","820,00","835,00","879,00","820,00","5,16K","-1,20%"
"11/08/2022","830,00","800,00","830,00","793,10","1,60K","1,74%"
"10/08/2022","815,80","790,20","815,80","790,20","0,72K","-0,02%"
"09/08/2022","816,00","794,00","816,00","794,00","0,02K","-0,24%"
"08/08/2022","818,00","800,00","818,00","800,00","0,00K","4,20%"
"05/08/2022","785,00","783,00","818,90","783,00","3,42K","-1,88%"
"04/08/2022","800,00","819,00","819,00","770,00","0,18K","0,00%"
"03/08/2022","800,00","780,10","800,00","777,00","4,02K","-2,44%"
"02/08/2022","820,00","800,00","820,00","800,00","0,03K","0,37%"
"01/08/2022","817,00","809,40","817,00","808,90","0,20K","5,97%"
"29/07/2022","771,00","798,10","818,50","771,00","0,53K","-5,85%"
"28/07/2022","818,90","797,10","818,90","797,10","0,00K","-0,01%"
"27/07/2022","819,00","800,00","820,00","800,00","0,13K","-3,41%"
"25/07/2022","847,90","805,00","847,90","805,00","0,54K","5,99%"
"22/07/2022","800,00","800,00","800,00","800,00","0,20K","0,00%"
"21/07/2022","800,00","760,00","800,00","760,00","1,15K","2,56%"
"20/07/2022","780,00","780,00","780,00","780,00","1,19K","-2,26%"
"19/07/2022","798,00","753,00","807,00","745,30","5,64K","2,97%"
"18/07/2022","775,00","762,50","780,00","745,00","2,23K","-1,40%"
"15/07/2022","786,00","745,60","786,90","745,60","0,12K","0,38%"
"14/07/2022","783,00","741,20","783,00","741,20","0,08K","0,38%"
"13/07/2022","780,00","799,90","799,90","753,00","0,17K","0,81%"
"12/07/2022","773,70","763,90","773,70","763,90","0,02K","5,99%"
"08/07/2022","730,00","750,00","750,00","720,00","1,86K","-2,67%"
"07/07/2022","750,00","750,10","750,10","745,00","0,29K","0,00%"
"06/07/2022","750,00","745,00","782,00","745,00","1,64K","-5,06%"
"05/07/2022","790,00","790,00","790,00","790,00","0,05K","-2,47%"
"04/07/2022","810,00","769,00","810,00","769,00","0,08K","5,19%"
