"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","1.440,00","1.440,00","1.440,00","1.440,00","0,84K","-0,69%"
"11/11/2022","1.450,00","1.450,00","1.450,00","1.450,00","0,12K","0,00%"
"10/11/2022","1.450,00","1.450,00","1.450,00","1.450,00","0,11K","0,00%"
"09/11/2022","1.450,00","1.450,00","1.450,00","1.450,00","0,61K","0,69%"
"08/11/2022","1.440,00","1.439,00","1.440,00","1.439,00","0,07K","-3,36%"
"28/10/2022","1.490,00","1.490,00","1.490,00","1.490,00","0,05K","2,76%"
"27/10/2022","1.450,00","1.450,00","1.450,00","1.450,00","1,35K","-1,36%"
"21/10/2022","1.470,00","1.455,00","1.470,00","1.410,00","0,34K","-1,93%"
"19/10/2022","1.499,00","1.499,00","1.499,00","1.499,00","0,01K","3,38%"
"17/10/2022","1.450,00","1.440,00","1.450,00","1.368,00","0,03K","0,00%"
"14/10/2022","1.450,00","1.490,00","1.499,00","1.450,00","0,06K","-2,68%"
"13/10/2022","1.490,00","1.490,00","1.490,00","1.490,00","0,02K","-0,67%"
"12/10/2022","1.500,00","1.505,00","1.505,00","1.500,00","3,27K","-1,96%"
"07/10/2022","1.530,00","1.499,00","1.530,00","1.499,00","0,02K","2,07%"
"06/10/2022","1.499,00","1.455,00","1.499,00","1.455,00","0,02K","-0,07%"
"04/10/2022","1.500,00","1.450,00","1.500,00","1.450,00","0,05K","0,00%"
"03/10/2022","1.500,00","1.500,00","1.500,00","1.500,00","0,00K","0,00%"
"30/09/2022","1.500,00","1.520,00","1.520,00","1.450,00","1,19K","-1,32%"
"28/09/2022","1.520,00","1.520,00","1.520,00","1.520,00","0,00K","1,33%"
"27/09/2022","1.500,00","1.540,00","1.553,00","1.500,00","0,43K","-3,23%"
"26/09/2022","1.550,00","1.550,00","1.550,00","1.550,00","0,00K","0,00%"
"23/09/2022","1.550,00","1.550,00","1.550,00","1.515,00","0,07K","0,00%"
"22/09/2022","1.550,00","1.540,00","1.550,00","1.540,00","0,31K","0,00%"
"16/09/2022","1.550,00","1.510,00","1.550,00","1.510,00","0,42K","2,65%"
"15/09/2022","1.510,00","1.511,00","1.511,00","1.510,00","0,03K","0,00%"
"14/09/2022","1.510,00","1.545,00","1.545,00","1.507,00","0,11K","0,00%"
"13/09/2022","1.510,00","1.508,00","1.511,00","1.507,00","0,06K","0,00%"
"09/09/2022","1.510,00","1.510,00","1.510,00","1.510,00","0,02K","0,27%"
"07/09/2022","1.506,00","1.512,00","1.512,00","1.506,00","4,22K","-2,21%"
"06/09/2022","1.540,00","1.515,00","1.540,00","1.515,00","1,84K","1,99%"
"05/09/2022","1.510,00","1.500,00","1.510,00","1.500,00","0,23K","0,60%"
"02/09/2022","1.501,00","1.501,00","1.501,00","1.501,00","1,05K","0,07%"
"01/09/2022","1.500,00","1.504,00","1.505,00","1.500,00","0,15K","-0,86%"
"29/08/2022","1.513,00","1.510,00","1.513,00","1.510,00","0,02K","0,87%"
"26/08/2022","1.500,00","1.456,00","1.514,00","1.456,00","1,73K","3,45%"
"25/08/2022","1.450,00","1.425,00","1.450,00","1.425,00","1,51K","0,00%"
"24/08/2022","1.450,00","1.420,00","1.450,00","1.420,00","0,50K","-0,68%"
"23/08/2022","1.460,00","1.430,00","1.460,00","1.430,00","0,93K","4,29%"
"22/08/2022","1.400,00","1.400,00","1.405,00","1.400,00","0,03K","0,00%"
"17/08/2022","1.400,00","1.420,00","1.440,00","1.400,00","0,02K","0,00%"
"16/08/2022","1.400,00","1.440,00","1.440,00","1.400,00","0,01K","-2,78%"
"15/08/2022","1.440,00","1.440,00","1.440,00","1.400,00","0,01K","-0,28%"
"11/08/2022","1.444,00","1.428,00","1.444,00","1.400,00","0,12K","1,12%"
"08/08/2022","1.428,00","1.428,00","1.428,00","1.428,00","0,01K","-0,14%"
"26/07/2022","1.430,00","1.430,00","1.430,00","1.430,00","0,01K","2,14%"
"20/07/2022","1.400,00","1.400,00","1.400,00","1.400,00","0,00K","0,14%"
"19/07/2022","1.398,00","1.395,00","1.398,00","1.395,00","0,03K","-0,14%"
"15/07/2022","1.400,00","1.351,00","1.400,00","1.350,00","0,01K","1,08%"
"12/07/2022","1.385,00","1.385,00","1.385,00","1.385,00","0,10K","-0,22%"
"08/07/2022","1.388,00","1.388,00","1.388,00","1.388,00","0,50K","0,00%"
"04/07/2022","1.388,00","1.388,00","1.388,00","1.388,00","0,05K","-2,94%"
"24/06/2022","1.430,00","1.430,00","1.430,00","1.430,00","0,50K","-1,38%"
"23/06/2022","1.450,00","1.377,00","1.450,00","1.330,00","6,22K","3,57%"
"22/06/2022","1.400,00","1.400,00","1.400,00","1.400,00","0,05K","0,72%"
"21/06/2022","1.390,00","1.375,00","1.390,00","1.375,00","0,62K","1,16%"
"17/06/2022","1.374,00","1.387,00","1.387,00","1.374,00","0,02K","-4,45%"
"16/06/2022","1.438,00","1.438,00","1.438,00","1.438,00","0,00K","-0,83%"
"13/06/2022","1.450,00","1.450,00","1.450,00","1.400,00","0,17K","0,00%"
"10/06/2022","1.450,00","1.450,00","1.450,00","1.450,00","0,01K","0,00%"
"09/06/2022","1.450,00","1.450,00","1.450,00","1.450,00","0,02K","3,57%"
"08/06/2022","1.400,00","1.407,00","1.407,00","1.400,00","2,00K","-3,45%"
"06/06/2022","1.450,00","1.455,00","1.455,00","1.450,00","0,01K","0,00%"
"03/06/2022","1.450,00","1.450,00","1.450,00","1.450,00","0,20K","3,57%"
"02/06/2022","1.400,00","1.391,00","1.400,00","1.391,00","0,13K","0,36%"
"01/06/2022","1.395,00","1.395,00","1.395,00","1.395,00","0,02K","-0,36%"
"31/05/2022","1.400,00","1.400,00","1.400,00","1.400,00","0,05K","0,00%"
"30/05/2022","1.400,00","1.400,00","1.420,00","1.391,00","0,66K","0,07%"
"27/05/2022","1.399,00","1.399,00","1.399,00","1.399,00","0,00K","-0,07%"
"26/05/2022","1.400,00","1.400,00","1.400,00","1.400,00","0,00K","2,12%"
"25/05/2022","1.371,00","1.400,00","1.400,00","1.371,00","0,01K","-2,00%"
"24/05/2022","1.399,00","1.400,00","1.400,00","1.399,00","0,07K","0,00%"
"23/05/2022","1.399,00","1.362,00","1.399,00","1.362,00","0,03K","0,65%"
"20/05/2022","1.390,00","1.362,00","1.390,00","1.360,00","0,01K","2,06%"
"19/05/2022","1.362,00","1.362,00","1.362,00","1.360,00","0,02K","0,00%"
"18/05/2022","1.362,00","1.362,00","1.362,00","1.362,00","0,00K","-0,29%"
"17/05/2022","1.366,00","1.367,00","1.367,00","1.366,00","0,01K","0,37%"
"16/05/2022","1.361,00","1.425,00","1.425,00","1.361,00","0,00K","-2,79%"
"13/05/2022","1.400,00","1.395,00","1.400,00","1.395,00","0,01K","-1,75%"
"12/05/2022","1.425,00","1.425,00","1.425,00","1.425,00","0,01K","0,00%"
"11/05/2022","1.425,00","1.425,00","1.425,00","1.425,00","0,02K","0,00%"
"10/05/2022","1.425,00","1.434,00","1.434,00","1.425,00","0,30K","-0,70%"
"09/05/2022","1.435,00","1.450,00","1.450,00","1.435,00","0,04K","-0,90%"
"06/05/2022","1.448,00","1.448,00","1.448,00","1.448,00","0,00K","0,00%"
"05/05/2022","1.448,00","1.448,00","1.448,00","1.438,00","0,06K","-0,07%"
"04/05/2022","1.449,00","1.435,00","1.449,00","1.432,00","0,01K","-0,07%"
"29/04/2022","1.450,00","1.450,00","1.450,00","1.441,00","0,17K","0,00%"
"28/04/2022","1.450,00","1.451,00","1.451,00","1.450,00","0,30K","0,00%"
"27/04/2022","1.450,00","1.450,00","1.450,00","1.450,00","","0,97%"
"26/04/2022","1.436,00","1.480,00","1.480,00","1.436,00","0,02K","-2,97%"
"25/04/2022","1.480,00","1.480,00","1.480,00","1.480,00","0,40K","-0,27%"
"22/04/2022","1.484,00","1.485,00","1.485,00","1.451,00","0,13K","0,00%"
"21/04/2022","1.484,00","1.450,00","1.484,00","1.450,00","0,02K","3,20%"
"20/04/2022","1.438,00","1.438,00","1.438,00","1.438,00","0,00K","-3,16%"
"18/04/2022","1.485,00","1.460,00","1.485,00","1.460,00","0,03K","3,13%"
"15/04/2022","1.440,00","1.450,00","1.450,00","1.440,00","0,26K","-0,76%"
"14/04/2022","1.451,00","1.480,00","1.480,00","1.451,00","0,03K","-2,49%"
"13/04/2022","1.488,00","1.450,00","1.488,00","1.425,00","0,05K","1,99%"
"12/04/2022","1.459,00","1.455,00","1.459,00","1.450,00","0,05K","0,27%"
"11/04/2022","1.455,00","1.489,00","1.489,00","1.455,00","0,09K","-0,34%"
"08/04/2022","1.460,00","1.460,00","1.460,00","1.460,00","0,05K","-1,55%"
"07/04/2022","1.483,00","1.499,00","1.500,00","1.470,00","0,91K","0,88%"
"06/04/2022","1.470,00","1.470,00","1.470,00","1.470,00","1,00K","0,00%"
"05/04/2022","1.470,00","1.500,00","1.500,00","1.470,00","2,01K","-1,34%"
"04/04/2022","1.490,00","1.490,00","1.490,00","1.490,00","0,00K","1,57%"
"01/04/2022","1.467,00","1.467,00","1.467,00","1.467,00","0,05K","-1,87%"
"31/03/2022","1.495,00","1.500,00","1.500,00","1.480,00","0,07K","1,98%"
"30/03/2022","1.466,00","1.470,00","1.470,00","1.466,00","0,05K","0,00%"
"29/03/2022","1.466,00","1.470,00","1.470,00","1.466,00","0,03K","-0,61%"
"28/03/2022","1.475,00","1.475,00","1.475,00","1.475,00","0,04K","0,00%"
"25/03/2022","1.475,00","1.475,00","1.476,00","1.475,00","2,34K","-1,67%"
"24/03/2022","1.500,00","1.500,00","1.500,00","1.500,00","0,00K","2,25%"
"23/03/2022","1.467,00","1.500,00","1.500,00","1.467,00","0,44K","-2,52%"
"22/03/2022","1.505,00","1.530,00","1.560,00","1.505,00","0,33K","-1,63%"
"21/03/2022","1.530,00","1.550,00","1.550,00","1.530,00","0,26K","-0,20%"
"18/03/2022","1.533,00","1.531,00","1.570,00","1.530,00","0,85K","-3,28%"
"17/03/2022","1.585,00","1.585,00","1.585,00","1.585,00","0,00K","3,66%"
"16/03/2022","1.529,00","1.529,00","1.529,00","1.529,00","0,06K","-4,32%"
"15/03/2022","1.598,00","1.608,00","1.608,00","1.525,00","2,03K","3,77%"
"14/03/2022","1.540,00","1.562,00","1.562,00","1.540,00","2,05K","-2,53%"
"10/03/2022","1.580,00","1.599,00","1.610,00","1.580,00","0,42K","-1,19%"
"09/03/2022","1.599,00","1.531,00","1.599,00","1.525,00","0,29K","4,85%"
"08/03/2022","1.525,00","1.485,00","1.555,00","1.485,00","0,18K","2,69%"
"07/03/2022","1.485,00","1.500,00","1.500,00","1.465,00","0,88K","-2,94%"
"04/03/2022","1.530,00","1.540,00","1.540,00","1.520,00","2,74K","-1,29%"
"03/03/2022","1.550,00","1.551,00","1.551,00","1.550,00","0,02K","-0,96%"
"02/03/2022","1.565,00","1.550,00","1.580,00","1.550,00","0,24K","-0,89%"
"01/03/2022","1.579,00","1.550,00","1.579,00","1.546,00","2,13K","-0,06%"
"28/02/2022","1.580,00","1.600,00","1.600,00","1.580,00","1,59K","-1,25%"
"25/02/2022","1.600,00","1.600,00","1.600,00","1.576,00","2,07K","-0,93%"
"24/02/2022","1.615,00","1.600,00","1.642,00","1.573,00","1,53K","-0,37%"
"23/02/2022","1.621,00","1.630,00","1.675,00","1.620,00","2,24K","-1,76%"
"22/02/2022","1.650,00","1.614,00","1.667,00","1.603,00","1,05K","2,04%"
"21/02/2022","1.617,00","1.620,00","1.629,00","1.613,00","0,20K","0,00%"
"18/02/2022","1.617,00","1.624,00","1.634,00","1.617,00","9,76K","-0,37%"
"17/02/2022","1.623,00","1.627,00","1.639,00","1.623,00","6,64K","-0,18%"
"16/02/2022","1.626,00","1.654,00","1.654,00","1.625,00","5,07K","-0,91%"
"15/02/2022","1.641,00","1.646,00","1.646,00","1.640,00","0,05K","0,24%"
"14/02/2022","1.637,00","1.644,00","1.657,00","1.620,00","0,41K","-0,79%"
"11/02/2022","1.650,00","1.655,00","1.672,00","1.643,00","0,44K","-1,90%"
"10/02/2022","1.682,00","1.687,00","1.687,00","1.650,00","0,68K","0,90%"
"09/02/2022","1.667,00","1.667,00","1.692,00","1.667,00","0,18K","-0,06%"
"08/02/2022","1.668,00","1.684,00","1.711,00","1.668,00","2,33K","-2,51%"
"07/02/2022","1.711,00","1.680,00","1.714,00","1.679,00","0,62K","-0,23%"
"04/02/2022","1.715,00","1.714,00","1.715,00","1.676,00","0,17K","0,00%"
"03/02/2022","1.715,00","1.684,00","1.715,00","1.670,00","0,90K","1,78%"
"02/02/2022","1.685,00","1.729,00","1.737,00","1.685,00","2,14K","-2,54%"
"01/02/2022","1.729,00","1.713,00","1.730,00","1.712,00","8,09K","2,92%"
"31/01/2022","1.680,00","1.598,00","1.680,00","1.598,00","4,10K","5,99%"
"28/01/2022","1.585,00","1.617,00","1.617,00","1.582,00","1,41K","-2,16%"
"27/01/2022","1.620,00","1.600,00","1.620,00","1.600,00","0,28K","-0,61%"
"26/01/2022","1.630,00","1.605,00","1.630,00","1.600,00","0,45K","-0,61%"
"25/01/2022","1.640,00","1.647,00","1.647,00","1.640,00","0,33K","-0,55%"
"24/01/2022","1.649,00","1.600,00","1.649,00","1.595,00","5,68K","3,26%"
"21/01/2022","1.597,00","1.542,00","1.598,00","1.501,00","3,58K","3,50%"
"20/01/2022","1.543,00","1.540,00","1.544,00","1.540,00","0,06K","0,19%"
"19/01/2022","1.540,00","1.501,00","1.540,00","1.500,00","0,17K","-0,19%"
"18/01/2022","1.543,00","1.500,00","1.543,00","1.500,00","5,81K","2,87%"
"14/01/2022","1.500,00","1.498,00","1.500,00","1.490,00","0,19K","0,33%"
"13/01/2022","1.495,00","1.500,00","1.500,00","1.495,00","0,38K","-0,33%"
"12/01/2022","1.500,00","1.498,00","1.500,00","1.497,00","0,44K","0,33%"
"10/01/2022","1.495,00","1.497,00","1.497,00","1.490,00","0,82K","0,34%"
"07/01/2022","1.490,00","1.489,00","1.490,00","1.480,00","3,53K","0,00%"
"06/01/2022","1.490,00","1.456,00","1.490,00","1.456,00","0,63K","0,07%"
"04/01/2022","1.489,00","1.489,00","1.489,00","1.489,00","0,00K","0,61%"
"03/01/2022","1.480,00","1.451,00","1.494,00","1.450,00","0,04K","0,00%"
"31/12/2021","1.480,00","1.496,00","1.496,00","1.480,00","0,05K","0,00%"
"30/12/2021","1.480,00","1.480,00","1.490,00","1.472,00","2,06K","-0,54%"
"29/12/2021","1.488,00","1.488,00","1.488,00","1.488,00","0,00K","0,27%"
"28/12/2021","1.484,00","1.488,00","1.489,00","1.484,00","0,70K","0,27%"
"27/12/2021","1.480,00","1.465,00","1.485,00","1.465,00","0,03K","-0,20%"
"24/12/2021","1.483,00","1.483,00","1.483,00","1.483,00","0,04K","0,61%"
"23/12/2021","1.474,00","1.450,00","1.483,00","1.450,00","7,01K","0,00%"
"22/12/2021","1.474,00","1.480,00","1.480,00","1.452,00","0,04K","1,52%"
"21/12/2021","1.452,00","1.452,00","1.484,00","1.452,00","0,08K","-2,42%"
"20/12/2021","1.488,00","1.451,00","1.488,00","1.451,00","0,00K","-0,40%"
"17/12/2021","1.494,00","1.494,00","1.494,00","1.494,00","0,00K","0,27%"
"16/12/2021","1.490,00","1.442,00","1.499,00","1.442,00","0,93K","2,76%"
"15/12/2021","1.450,00","1.525,00","1.525,00","1.450,00","0,40K","-3,33%"
"14/12/2021","1.500,00","1.525,00","1.525,00","1.499,00","0,10K","0,00%"
"13/12/2021","1.500,00","1.500,00","1.500,00","1.500,00","1,07K","-1,57%"
"10/12/2021","1.524,00","1.470,00","1.524,00","1.470,00","0,09K","2,97%"
"09/12/2021","1.480,00","1.470,00","1.480,00","1.470,00","0,01K","-0,20%"
"08/12/2021","1.483,00","1.440,00","1.483,00","1.440,00","0,46K","-0,80%"
"06/12/2021","1.495,00","1.465,00","1.495,00","1.440,00","0,13K","1,77%"
"03/12/2021","1.469,00","1.469,00","1.469,00","1.469,00","0,07K","-1,67%"
"02/12/2021","1.494,00","1.463,00","1.494,00","1.462,00","0,02K","0,00%"
"01/12/2021","1.494,00","1.494,00","1.494,00","1.494,00","0,06K","-0,07%"
"30/11/2021","1.495,00","1.460,00","1.496,00","1.450,00","0,03K","-0,13%"
"29/11/2021","1.497,00","1.470,00","1.497,00","1.470,00","0,01K","-0,20%"
"26/11/2021","1.500,00","1.500,00","1.500,00","1.490,00","0,12K","0,00%"
"25/11/2021","1.500,00","1.538,00","1.538,00","1.500,00","0,46K","-1,90%"
"24/11/2021","1.529,00","1.508,00","1.529,00","1.504,00","0,02K","1,39%"
"23/11/2021","1.508,00","1.529,00","1.529,00","1.508,00","0,01K","-1,95%"
"22/11/2021","1.538,00","1.543,00","1.543,00","1.523,00","0,03K","-0,13%"
"19/11/2021","1.540,00","1.540,00","1.540,00","1.540,00","0,01K","0,00%"
"17/11/2021","1.540,00","1.527,00","1.540,00","1.510,00","0,27K","-0,52%"
"16/11/2021","1.548,00","1.545,00","1.548,00","1.525,00","0,06K","-0,06%"
"15/11/2021","1.549,00","1.544,00","1.549,00","1.544,00","0,07K","0,32%"
"12/11/2021","1.544,00","1.544,00","1.544,00","1.544,00","0,05K","-0,39%"
"09/11/2021","1.550,00","1.549,00","1.550,00","1.547,00","0,32K","0,06%"
"08/11/2021","1.549,00","1.550,00","1.560,00","1.500,00","3,50K","-0,19%"
"05/11/2021","1.552,00","1.503,00","1.552,00","1.500,00","0,39K","1,50%"
"04/11/2021","1.529,00","1.568,00","1.568,00","1.500,00","6,01K","-0,07%"
"03/11/2021","1.530,00","1.534,00","1.578,00","1.530,00","0,75K","-0,52%"
"01/11/2021","1.538,00","1.500,00","1.538,00","1.486,00","0,97K","2,53%"
"29/10/2021","1.500,00","1.510,00","1.550,00","1.486,00","1,25K","1,01%"
"28/10/2021","1.485,00","1.482,00","1.485,00","1.470,00","10,46K","0,34%"
"27/10/2021","1.480,00","1.510,00","1.510,00","1.480,00","0,02K","0,68%"
"26/10/2021","1.470,00","1.471,00","1.471,00","1.470,00","1,36K","0,00%"
"25/10/2021","1.470,00","1.470,00","1.470,00","1.470,00","0,14K","-1,74%"
"22/10/2021","1.496,00","1.492,00","1.497,00","1.492,00","0,12K","0,07%"
"21/10/2021","1.495,00","1.494,00","1.495,00","1.494,00","0,01K","-0,13%"
"18/10/2021","1.497,00","1.467,00","1.497,00","1.467,00","0,02K","1,84%"
"15/10/2021","1.470,00","1.500,00","1.501,00","1.465,00","0,89K","-1,93%"
"14/10/2021","1.499,00","1.499,00","1.500,00","1.499,00","0,03K","1,97%"
"13/10/2021","1.470,00","1.470,00","1.498,00","1.470,00","0,85K","0,00%"
"12/10/2021","1.470,00","1.449,00","1.490,00","1.449,00","15,13K","1,52%"
"11/10/2021","1.448,00","1.448,00","1.450,00","1.401,00","0,52K","-0,14%"
"08/10/2021","1.450,00","1.450,00","1.450,00","1.422,00","0,40K","0,00%"
"07/10/2021","1.450,00","1.450,00","1.450,00","1.450,00","0,10K","0,00%"
"06/10/2021","1.450,00","1.450,00","1.450,00","1.450,00","0,84K","0,00%"
"05/10/2021","1.450,00","1.450,00","1.450,00","1.445,00","0,70K","3,79%"
"04/10/2021","1.397,00","1.433,00","1.433,00","1.393,00","0,55K","-3,66%"
"01/10/2021","1.450,00","1.450,00","1.450,00","1.450,00","0,03K","0,00%"
"30/09/2021","1.450,00","1.451,00","1.451,00","1.448,00","31,60K","0,00%"
"29/09/2021","1.450,00","1.500,00","1.500,00","1.450,00","22,01K","-2,68%"
"28/09/2021","1.490,00","1.492,00","1.492,00","1.490,00","1,27K","-0,67%"
"27/09/2021","1.500,00","1.530,00","1.530,00","1.500,00","0,32K","0,47%"
"24/09/2021","1.493,00","1.500,00","1.529,00","1.493,00","0,23K","0,13%"
"23/09/2021","1.491,00","1.500,00","1.500,00","1.491,00","0,04K","-0,60%"
"22/09/2021","1.500,00","1.491,00","1.505,00","1.490,00","1,05K","0,00%"
"21/09/2021","1.500,00","1.490,00","1.500,00","1.490,00","1,09K","0,33%"
"20/09/2021","1.495,00","1.501,00","1.501,00","1.490,00","0,39K","-0,99%"
"17/09/2021","1.510,00","1.502,00","1.529,00","1.501,00","0,03K","0,67%"
"16/09/2021","1.500,00","1.500,00","1.500,00","1.500,00","0,00K","-2,98%"
"15/09/2021","1.546,00","1.500,00","1.546,00","1.500,00","0,50K","1,11%"
"14/09/2021","1.529,00","1.500,00","1.529,00","1.500,00","0,39K","1,93%"
"13/09/2021","1.500,00","1.517,00","1.517,00","1.455,00","33,12K","-0,99%"
"10/09/2021","1.515,00","1.520,00","1.583,00","1.515,00","0,19K","-3,81%"
"09/09/2021","1.575,00","1.550,00","1.575,00","1.500,00","0,18K","1,61%"
"08/09/2021","1.550,00","1.590,00","1.590,00","1.550,00","0,03K","-3,13%"
"07/09/2021","1.600,00","1.590,00","1.600,00","1.530,00","0,12K","0,63%"
"06/09/2021","1.590,00","1.600,00","1.600,00","1.590,00","1,21K","0,00%"
"03/09/2021","1.590,00","1.565,00","1.597,00","1.540,00","0,55K","3,31%"
"02/09/2021","1.539,00","1.539,00","1.539,00","1.539,00","0,00K","3,78%"
"01/09/2021","1.483,00","1.484,00","1.484,00","1.483,00","0,03K","3,85%"
"31/08/2021","1.428,00","1.498,00","1.498,00","1.428,00","0,29K","-2,86%"
